context: The next time I fall in love, response:	I'd prefer a guy who's a bit coldhearted.
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	I'm so excited I can't sleep.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm so excited I can't sleep. response:	It seems like such a long time ago that we went to the Trapnest concert.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert. response:	Damn! I kept looking at Ren, and forgot to look at Takumi.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi. response:	Takumi...
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi... response:	Oh, well. What's done is done.
context: I wanna need your love\I'm a broken rose\I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done. response:	It's been at least two hours since Nana left.
context: I'm a broken rose\I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left. response:	But knowing Nana...
context: I wanna need your love\I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana... response:	One day we'll be better than Trapnest! Good riddance!
context: I'm so excited I can't sleep.\It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance! response:	Let me see you try.
context: It seems like such a long time ago that we went to the Trapnest concert.\Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try. response:	I was thinking, what if she bluntly declares a rivalry and quickly returned home?
context: Damn! I kept looking at Ren, and forgot to look at Takumi.\Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home? response:	But I'm sure things are going well.
context: Takumi...\Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well. response:	I hope things go well.
context: Oh, well. What's done is done.\It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well. response:	Since we came into this world as women,
context: It's been at least two hours since Nana left.\But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well.\Since we came into this world as women, response:	let's be happy as women, Nana.
context: But knowing Nana...\One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana. response:	Nana!
context: One day we'll be better than Trapnest! Good riddance!\Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana.\Nana! response:	I have no intention of getting back together with you!
context: Let me see you try.\I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you! response:	What are you doing? These roses must've been expensive.
context: I was thinking, what if she bluntly declares a rivalry and quickly returned home?\But I'm sure things are going well.\I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive. response:	What's with the stingy comments? You're Trapnest's guitarist.
context: But I'm sure things are going well.\I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist. response:	Flowers wither after a little time anyway,
context: I hope things go well.\Since we came into this world as women,\let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway, response:	so I'm making good use of them while they still have value.
context: Since we came into this world as women,\let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value. response:	Not a story I prefer.
context: let's be happy as women, Nana.\Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer. response:	But you won't wither, Ren!
context: Nana!\I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren! response:	In any case, look at this gorgeous room.
context: I have no intention of getting back together with you!\What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room. response:	And you each get a room to yourself?
context: What are you doing? These roses must've been expensive.\What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself? response:	This is what they call aSuite Room, right?
context: What's with the stingy comments? You're Trapnest's guitarist.\Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right? response:	Nope. Deluxe Room.
context: Flowers wither after a little time anyway,\so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room. response:	It's deluxe, all right. Especially this bath.
context: so I'm making good use of them while they still have value.\Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath. response:	It's unnecessarily too big. I don't feel comfortable.
context: Not a story I prefer.\But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable. response:	Being here like this is like going back in time.
context: But you won't wither, Ren!\In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time. response:	We used to soak in the bathtub every day like this
context: In any case, look at this gorgeous room.\And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this response:	and talk about all kinds of stuff.
context: And you each get a room to yourself?\This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff. response:	The bathroom in our room was small but it was comfortable and I liked it.
context: This is what they call aSuite Room, right?\Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it. response:	Say, Ren, what are we gonna do about that room?
context: Nope. Deluxe Room.\It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room? response:	Nobody's living there, so it's a waste. You should move out.
context: It's deluxe, all right. Especially this bath.\It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out. response:	It's okay. That was my starting point.
context: It's unnecessarily too big. I don't feel comfortable.\Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point. response:	One day, I'll purchase it, return in my old age,
context: Being here like this is like going back in time.\We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age, response:	and quietly live there together with you.
context: We used to soak in the bathtub every day like this\and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you. response:	Don't make decisions for me about when I get old.
context: and talk about all kinds of stuff.\The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old. response:	When I was a kid that building was used for storage.
context: The bathroom in our room was small but it was comfortable and I liked it.\Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage. response:	I would run away from that shitty orphanage and go hide there.
context: Say, Ren, what are we gonna do about that room?\Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there. response:	I found a guitar and made it my own, and I would play it there all night.
context: Nobody's living there, so it's a waste. You should move out.\It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night. response:	Regardless whether you were born with talent or not,
context: It's okay. That was my starting point.\One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not, response:	anyone could play well after that much practice.
context: One day, I'll purchase it, return in my old age,\and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice. response:	This is the first time you told me that.
context: and quietly live there together with you.\Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that. response:	I never told anyone. I wanted people to think I was gifted.
context: Don't make decisions for me about when I get old.\When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted. response:	You don't hafta wash me. I took a bath just before I came here.
context: When I was a kid that building was used for storage.\I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here. response:	Old habits die hard. But why are you so embarrassed?
context: I would run away from that shitty orphanage and go hide there.\I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed? response:	I'm not embarrassed!
context: I found a guitar and made it my own, and I would play it there all night.\Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed! response:	Like I've said many times,
context: Regardless whether you were born with talent or not,\anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times, response:	I'm no longer on the pill, so we're not gonna do it in the bath.
context: anyone could play well after that much practice.\This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath. response:	I know, I know.
context: This is the first time you told me that.\I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know. response:	Do you, really?
context: I never told anyone. I wanted people to think I was gifted.\You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really? response:	Ren...
context: You don't hafta wash me. I took a bath just before I came here.\Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really?\Ren... response:	Hm?
context: Old habits die hard. But why are you so embarrassed?\I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really?\Ren...\Hm? response:	That thing you said earlier. Is it true?
context: I'm not embarrassed!\Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really?\Ren...\Hm?\That thing you said earlier. Is it true? response:	Which one?
context: Like I've said many times,\I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really?\Ren...\Hm?\That thing you said earlier. Is it true?\Which one? response:	Right now, I'm not about to give up my pride
context: I'm no longer on the pill, so we're not gonna do it in the bath.\I know, I know.\Do you, really?\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride response:	so I can't live with you like we used to.
context: I know, I know.\Do you, really?\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to. response:	But it would be nice if we could maybe meet like this from time to time.
context: Do you, really?\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time. response:	Hold each other and talk about each other.
context: Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other. response:	And one day when we're much older,
context: Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, response:	when I no longer care about pride and recognition,
context: That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition, response:	when I've grown tired of singing...
context: Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing... response:	Then can I return to that home too?
context: Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too? response:	That night I had a dream.
context: so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream. response:	I don't remember what I dreamt,
context: But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt, response:	but in that dream I was wrapped in feelings of warmth and happiness.
context: Hold each other and talk about each other.\And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness. response:	I woke up past noon and found Nana there sleeping next to me.
context: And one day when we're much older,\when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me. response:	I wonder if it would be okay to ask her.
context: when I no longer care about pride and recognition,\when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her. response:	I'm sure it would be okay.
context: when I've grown tired of singing...\Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay. response:	She did say she'd talk to me about anything if I ask.
context: Then can I return to that home too?\That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask. response:	Hey, Nana.
context: That night I had a dream.\I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana. response:	How'd it go with Ren?
context: I don't remember what I dreamt,\but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren? response:	I can't answer anything you ask...
context: but in that dream I was wrapped in feelings of warmth and happiness.\I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask... response:	Huh? What? I don't understand.
context: I woke up past noon and found Nana there sleeping next to me.\I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand. response:	What I said was,
context: I wonder if it would be okay to ask her.\I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand.\What I said was, response:	I can't answer anything you ask while I'm brushing my teeth!
context: I'm sure it would be okay.\She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth! response:	Really, you're not too good at figuring things out, Hachiko.
context: She did say she'd talk to me about anything if I ask.\Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko. response:	Well, I shouldn't expect much. You're a dog, after all.
context: Hey, Nana.\How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all. response:	Come on, Nana.
context: How'd it go with Ren?\I can't answer anything you ask...\Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana. response:	Thanks for the meal.
context: I can't answer anything you ask...\Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal. response:	There's more miso soup, so just ask.
context: Huh? What? I don't understand.\What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask. response:	Yes.
context: What I said was,\I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask.\Yes. response:	She never did answer my question.
context: I can't answer anything you ask while I'm brushing my teeth!\Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask.\Yes.\She never did answer my question. response:	Liar!
context: Really, you're not too good at figuring things out, Hachiko.\Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask.\Yes.\She never did answer my question.\Liar! response:	And to think I was rooting for you so much
context: Well, I shouldn't expect much. You're a dog, after all.\Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask.\Yes.\She never did answer my question.\Liar!\And to think I was rooting for you so much response:	that I forgot to look at Takumi in person.
