context: Oh. So this is where you went. response:	If you stay in a place like this you'll catch a cold.
context: Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines. response:	Maybe someone like you is more suited for me.
context: Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me. response:	What was that all about?
context: Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about? response:	HOPE
context: My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about?\HOPE response:	Since he said a thing like that,
context: Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about?\HOPE\Since he said a thing like that, response:	You're the worst.
context: So, I've been rejected once already...\And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about?\HOPE\Since he said a thing like that,\You're the worst. response:	Go die, why don't you?!
context: And I haven't got much confidence left, but...\I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about?\HOPE\Since he said a thing like that,\You're the worst.\Go die, why don't you?! response:	What?
context: I was thinking Maybe Koizumi is crying again, or something along those lines.\Maybe someone like you is more suited for me.\What was that all about?\HOPE\Since he said a thing like that,\You're the worst.\Go die, why don't you?!\What? response:	I told you to line up the edges before stapling them, didn't I?
context: Maybe someone like you is more suited for me.\What was that all about?\HOPE\Since he said a thing like that,\You're the worst.\Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I? response:	I did line them up.
context: What was that all about?\HOPE\Since he said a thing like that,\You're the worst.\Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I?\I did line them up. response:	Idiot! How are these aligned?!
context: HOPE\Since he said a thing like that,\You're the worst.\Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?! response:	Just look. This is terrible.
context: Since he said a thing like that,\You're the worst.\Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible. response:	Shut up. Why are you rambling like some old man?
context: You're the worst.\Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man? response:	Because you're not doing it properly!
context: Go die, why don't you?!\What?\I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly! response:	No need to be a stickler.
context: What?\I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler. response:	You're freaking irritating! Just shut up and work!
context: I told you to line up the edges before stapling them, didn't I?\I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work! response:	What are they arguing about now?
context: I did line them up.\Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now? response:	I looks like they're organizing the print-outs for the next self study period.
context: Idiot! How are these aligned?!\Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period. response:	Man. And I lined them all up so neatly too.
context: Just look. This is terrible.\Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too. response:	I can't see them.
context: Shut up. Why are you rambling like some old man?\Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them. response:	Otani's feelings are like...
context: Because you're not doing it properly!\No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like... response:	Completely shrouded in fog.
context: No need to be a stickler.\You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like...\Completely shrouded in fog. response:	Couldn't you come up with a better analogy?
context: You're freaking irritating! Just shut up and work!\What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy? response:	That is the best I could do.
context: What are they arguing about now?\I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do. response:	Self Study
context: I looks like they're organizing the print-outs for the next self study period.\Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do.\Self Study response:	But it feels like things are great right now.
context: Man. And I lined them all up so neatly too.\I can't see them.\Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do.\Self Study\But it feels like things are great right now. response:	Really?
context: I can't see them.\Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do.\Self Study\But it feels like things are great right now.\Really? response:	Really, really!
context: Otani's feelings are like...\Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do.\Self Study\But it feels like things are great right now.\Really?\Really, really! response:	It's going up.
context: Completely shrouded in fog.\Couldn't you come up with a better analogy?\That is the best I could do.\Self Study\But it feels like things are great right now.\Really?\Really, really!\It's going up. response:	What is?
context: Couldn't you come up with a better analogy?\That is the best I could do.\Self Study\But it feels like things are great right now.\Really?\Really, really!\It's going up.\What is? response:	Koizumi Risa's ranking in the eyes of Otani-kun.
context: That is the best I could do.\Self Study\But it feels like things are great right now.\Really?\Really, really!\It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun. response:	Koizumi Risa's ranking
context: Self Study\But it feels like things are great right now.\Really?\Really, really!\It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking response:	What the heck is that supposed to mean?
context: But it feels like things are great right now.\Really?\Really, really!\It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean? response:	As far as Kanzaki-san is concerned, you've won.
context: Really?\Really, really!\It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won. response:	You really think so?
context: Really, really!\It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so? response:	Yeah. From now on, just go for the finish.
context: It's going up.\What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish. response:	It's almost Valentine's Day too.
context: What is?\Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too. response:	Give him chocolates or something.
context: Koizumi Risa's ranking in the eyes of Otani-kun.\Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something. response:	Chocolate, huh?
context: Koizumi Risa's ranking\What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh? response:	Oh yeah. In the end I didn't give him any chocolate last year.
context: What the heck is that supposed to mean?\As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year. response:	Don't want it.
context: As far as Kanzaki-san is concerned, you've won.\You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it. response:	No good!
context: You really think so?\Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good! response:	If he says Don't want it again like last year, I'll never recover!
context: Yeah. From now on, just go for the finish.\It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover! response:	Don't say stuff like that.
context: It's almost Valentine's Day too.\Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that. response:	Is it fine to just let other girls give him chocolate?
context: Give him chocolates or something.\Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate? response:	That's no good either!
context: Chocolate, huh?\Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either! response:	See?
context: Oh yeah. In the end I didn't give him any chocolate last year.\Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either!\See? response:	But I can't do it!
context: Don't want it.\No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either!\See?\But I can't do it! response:	He already knows I like him.
context: No good!\If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either!\See?\But I can't do it!\He already knows I like him. response:	I can't run or hide or anything. I'd actually be giving him honmei chocolate!
context: If he says Don't want it again like last year, I'll never recover!\Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either!\See?\But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate! response:	Exactly!
context: Don't say stuff like that.\Is it fine to just let other girls give him chocolate?\That's no good either!\See?\But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly! response:	What's the point of giving him obligatory chocolate now?
context: Is it fine to just let other girls give him chocolate?\That's no good either!\See?\But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now? response:	But it'll be like confessing to him all over again. I don't wanna!
context: That's no good either!\See?\But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna! response:	What do you mean you don't want to? You have to!
context: See?\But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to! response:	Gah! What should I do?!
context: But I can't do it!\He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?! response:	She sure is rowdy.
context: He already knows I like him.\I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy. response:	We're in the middle of class.
context: I can't run or hide or anything. I'd actually be giving him honmei chocolate!\Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy.\We're in the middle of class. response:	Hey...
context: Exactly!\What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy.\We're in the middle of class.\Hey... response:	Did you get any Valentine's chocolate last year?
context: What's the point of giving him obligatory chocolate now?\But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy.\We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year? response:	Yeah, I did.
context: But it'll be like confessing to him all over again. I don't wanna!\What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy.\We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did. response:	F-F-From who?
context: What do you mean you don't want to? You have to!\Gah! What should I do?!\She sure is rowdy.\We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who? response:	You know, those girls that come and watch me play basketball all the time.
context: Gah! What should I do?!\She sure is rowdy.\We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time. response:	Them, huh?
context: She sure is rowdy.\We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh? response:	It was just obligatory chocolate, though.
context: We're in the middle of class.\Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though. response:	How do you know?
context: Hey...\Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though.\How do you know? response:	How could I not?
context: Did you get any Valentine's chocolate last year?\Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though.\How do you know?\How could I not? response:	The moment we had new members, they all flocked to them.
context: Yeah, I did.\F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though.\How do you know?\How could I not?\The moment we had new members, they all flocked to them. response:	But it's fine.
context: F-F-From who?\You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though.\How do you know?\How could I not?\The moment we had new members, they all flocked to them.\But it's fine. response:	I mean, I'll definitely get chocolate from at least one person this year, right?
context: You know, those girls that come and watch me play basketball all the time.\Them, huh?\It was just obligatory chocolate, though.\How do you know?\How could I not?\The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right? response:	You're gonna give me some, right?
context: Them, huh?\It was just obligatory chocolate, though.\How do you know?\How could I not?\The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right? response:	Wh-What? Me?
context: It was just obligatory chocolate, though.\How do you know?\How could I not?\The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me? response:	Aren't you?
context: How do you know?\How could I not?\The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me?\Aren't you? response:	You want some?
context: How could I not?\The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me?\Aren't you?\You want some? response:	Well, since you asked, I guess I could give you something.
context: The moment we had new members, they all flocked to them.\But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me?\Aren't you?\You want some?\Well, since you asked, I guess I could give you something. response:	What's with that attitude!
context: But it's fine.\I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me?\Aren't you?\You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude! response:	Ah, but you've given me a lot of presents lately.
context: I mean, I'll definitely get chocolate from at least one person this year, right?\You're gonna give me some, right?\Wh-What? Me?\Aren't you?\You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately. response:	I guess I'll give you something in return next time.
context: You're gonna give me some, right?\Wh-What? Me?\Aren't you?\You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time. response:	Is this all right?
context: Wh-What? Me?\Aren't you?\You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right? response:	At this rate, I'll really get my hopes up.
context: Aren't you?\You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up. response:	See you, then.
context: You want some?\Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up.\See you, then. response:	Bye.
context: Well, since you asked, I guess I could give you something.\What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up.\See you, then.\Bye. response:	Bye bye!
context: What's with that attitude!\Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up.\See you, then.\Bye.\Bye bye! response:	Could it be he's starting to have feelings for me?
context: Ah, but you've given me a lot of presents lately.\I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up.\See you, then.\Bye.\Bye bye!\Could it be he's starting to have feelings for me? response:	If he's asking me for chocolate, does that mean...
context: I guess I'll give you something in return next time.\Is this all right?\At this rate, I'll really get my hopes up.\See you, then.\Bye.\Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean... response:	Risa.
context: Is this all right?\At this rate, I'll really get my hopes up.\See you, then.\Bye.\Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa. response:	Koizumi-senpai! Long time no see!
context: At this rate, I'll really get my hopes up.\See you, then.\Bye.\Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see! response:	Haruka! Seiko-chan! What are you guys up to? Shopping?
context: See you, then.\Bye.\Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping? response:	The Home Ec Club going to make chocolate for Valentine's Day.
context: Bye.\Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day. response:	We're picking up some supplies.
context: Bye bye!\Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies. response:	Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?
context: Could it be he's starting to have feelings for me?\If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai? response:	If we all make something together, it'll save money, no?
context: If he's asking me for chocolate, does that mean...\Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no? response:	Ahh, that's true. Well then...
context: Risa.\Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then... response:	Huh? You're giving chocolate to that midget?
context: Koizumi-senpai! Long time no see!\Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget? response:	What about me?
context: Haruka! Seiko-chan! What are you guys up to? Shopping?\The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me? response:	Fine. I'll give you some too.
context: The Home Ec Club going to make chocolate for Valentine's Day.\We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too. response:	That attitude... It's like you don't care about me at all!
context: We're picking up some supplies.\Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all! response:	It's not like that...
context: Koizumi-senpai, why don't you make chocolate with us and give it to Otani-senpai?\If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that... response:	It's okay, isn't it?
context: If we all make something together, it'll save money, no?\Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it? response:	You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?
context: Ahh, that's true. Well then...\Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai? response:	Huh? You have a girlfriend?
context: Huh? You're giving chocolate to that midget?\What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend? response:	Yeah. Seven of them.
context: What about me?\Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them. response:	Huh? Seven?!
context: Fine. I'll give you some too.\That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?! response:	By dating various different types of women, I'll grow as a man.
context: That attitude... It's like you don't care about me at all!\It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man. response:	It's all for the sake of one day going out with you, Risa.
context: It's not like that...\It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa. response:	Go out with them one at a time!
