context: Come on, senpai! response:	Anti - Angel Operations Headquarters
context: What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here? response:	Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.
context: You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories. response:	Are you giving me orders?
context: Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders? response:	Who do you think you are
context: I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are response:	Your leader!
context: Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are\Your leader! response:	And your superior.
context: Staff Building 3rd Floor Empty room\What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are\Your leader!\And your superior. response:	Just do what she says.
context: What is it?\Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are\Your leader!\And your superior.\Just do what she says. response:	Wait...
context: Why did you call us all the way out here?\Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are\Your leader!\And your superior.\Just do what she says.\Wait... response:	My memories?
context: Naoi - kun, I want you to try to recover Otonashi - kun's lost memories.\Are you giving me orders?\Who do you think you are\Your leader!\And your superior.\Just do what she says.\Wait...\My memories? response:	Yes, your memories.
context: Are you giving me orders?\Who do you think you are\Your leader!\And your superior.\Just do what she says.\Wait...\My memories?\Yes, your memories. response:	Naoi - kun's hypnotism is the real deal.
context: Who do you think you are\Your leader!\And your superior.\Just do what she says.\Wait...\My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal. response:	He can make you regain your memories.
context: Your leader!\And your superior.\Just do what she says.\Wait...\My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories. response:	I see.
context: And your superior.\Just do what she says.\Wait...\My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see. response:	I'd love to give that a try.
context: Just do what she says.\Wait...\My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see.\I'd love to give that a try. response:	Wait a second!
context: Wait...\My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see.\I'd love to give that a try.\Wait a second! response:	Don't just go ahead and decide that!
context: My memories?\Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see.\I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that! response:	Why not?
context: Yes, your memories.\Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see.\I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that!\Why not? response:	Don't tell me you don't want them back?
context: Naoi - kun's hypnotism is the real deal.\He can make you regain your memories.\I see.\I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back? response:	Well, I...
context: He can make you regain your memories.\I see.\I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back?\Well, I... response:	Of course I want to remember.
context: I see.\I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back?\Well, I...\Of course I want to remember. response:	But why do I feel so insecure?
context: I'd love to give that a try.\Wait a second!\Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back?\Well, I...\Of course I want to remember.\But why do I feel so insecure? response:	Is it because I might not be able to live like this if I regain my memories?
context: Wait a second!\Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back?\Well, I...\Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories? response:	What?
context: Don't just go ahead and decide that!\Why not?\Don't tell me you don't want them back?\Well, I...\Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What? response:	Do I enjoy living with everyone like this?
context: Why not?\Don't tell me you don't want them back?\Well, I...\Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this? response:	If I get my memories back, will I still be able to go on like this?
context: Don't tell me you don't want them back?\Well, I...\Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this? response:	But even so...
context: Well, I...\Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so... response:	Otonashi - kun?
context: Of course I want to remember.\But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun? response:	Y - Yeah...
context: But why do I feel so insecure?\Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun?\Y - Yeah... response:	Okay.
context: Is it because I might not be able to live like this if I regain my memories?\What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun?\Y - Yeah...\Okay. response:	No matter what kind of past you had, don't lose sight of yourself.
context: What?\Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun?\Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself. response:	No matter what happens, I'll be here by your side.
context: Do I enjoy living with everyone like this?\If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun?\Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side. response:	Please say something...
context: If I get my memories back, will I still be able to go on like this?\But even so...\Otonashi - kun?\Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something... response:	I'll be here too, so don't worry.
context: But even so...\Otonashi - kun?\Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry. response:	Great!
context: Otonashi - kun?\Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry.\Great! response:	That's reassuring.
context: Y - Yeah...\Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry.\Great!\That's reassuring. response:	Hey! What's with this difference?
context: Okay.\No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry.\Great!\That's reassuring.\Hey! What's with this difference? response:	Well, fine.
context: No matter what kind of past you had, don't lose sight of yourself.\No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry.\Great!\That's reassuring.\Hey! What's with this difference?\Well, fine. response:	Please sit down.
context: No matter what happens, I'll be here by your side.\Please say something...\I'll be here too, so don't worry.\Great!\That's reassuring.\Hey! What's with this difference?\Well, fine.\Please sit down. response:	Now then, I'll begin.
context: Please say something...\I'll be here too, so don't worry.\Great!\That's reassuring.\Hey! What's with this difference?\Well, fine.\Please sit down.\Now then, I'll begin. response:	Onii - chan, is school fun?
context: I'll be here too, so don't worry.\Great!\That's reassuring.\Hey! What's with this difference?\Well, fine.\Please sit down.\Now then, I'll begin.\Onii - chan, is school fun? response:	It's not fun.
context: Great!\That's reassuring.\Hey! What's with this difference?\Well, fine.\Please sit down.\Now then, I'll begin.\Onii - chan, is school fun?\It's not fun. response:	I haven't even gone.
context: That's reassuring.\Hey! What's with this difference?\Well, fine.\Please sit down.\Now then, I'll begin.\Onii - chan, is school fun?\It's not fun.\I haven't even gone. response:	It might be fun if you go.
context: Hey! What's with this difference?\Well, fine.\Please sit down.\Now then, I'll begin.\Onii - chan, is school fun?\It's not fun.\I haven't even gone.\It might be fun if you go. response:	Maybe if I was smart.
context: Well, fine.\Please sit down.\Now then, I'll begin.\Onii - chan, is school fun?\It's not fun.\I haven't even gone.\It might be fun if you go.\Maybe if I was smart. response:	But I'm an idiot.
context: Please sit down.\Now then, I'll begin.\Onii - chan, is school fun?\It's not fun.\I haven't even gone.\It might be fun if you go.\Maybe if I was smart.\But I'm an idiot. response:	There's no place for kids with bad grades.
context: Now then, I'll begin.\Onii - chan, is school fun?\It's not fun.\I haven't even gone.\It might be fun if you go.\Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades. response:	Isn't studying fun?
context: Onii - chan, is school fun?\It's not fun.\I haven't even gone.\It might be fun if you go.\Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun? response:	There's no way it could be fun.
context: It's not fun.\I haven't even gone.\It might be fun if you go.\Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun. response:	It is called studying.
context: I haven't even gone.\It might be fun if you go.\Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun.\It is called studying. response:	What about your friends?
context: It might be fun if you go.\Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun.\It is called studying.\What about your friends? response:	Is playing with your friends fun?
context: Maybe if I was smart.\But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun.\It is called studying.\What about your friends?\Is playing with your friends fun? response:	It's more fun watching TV or playing games by myself.
context: But I'm an idiot.\There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun.\It is called studying.\What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself. response:	It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.
context: There's no place for kids with bad grades.\Isn't studying fun?\There's no way it could be fun.\It is called studying.\What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny. response:	Really?
context: Isn't studying fun?\There's no way it could be fun.\It is called studying.\What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really? response:	I'd love to study.
context: There's no way it could be fun.\It is called studying.\What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study. response:	I'd love to make friends too.
context: It is called studying.\What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study.\I'd love to make friends too. response:	Oh, right.
context: What about your friends?\Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study.\I'd love to make friends too.\Oh, right. response:	Here.
context: Is playing with your friends fun?\It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study.\I'd love to make friends too.\Oh, right.\Here. response:	Thank you, Onii - chan!
context: It's more fun watching TV or playing games by myself.\It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study.\I'd love to make friends too.\Oh, right.\Here.\Thank you, Onii - chan! response:	Idiot!
context: It's a pain getting dragged around for other people's hobbies and laughing at jokes that aren't even funny.\Really?\I'd love to study.\I'd love to make friends too.\Oh, right.\Here.\Thank you, Onii - chan!\Idiot! response:	I don't know what I'm living for.
context: Really?\I'd love to study.\I'd love to make friends too.\Oh, right.\Here.\Thank you, Onii - chan!\Idiot!\I don't know what I'm living for. response:	I don't know my purpose.
context: I'd love to study.\I'd love to make friends too.\Oh, right.\Here.\Thank you, Onii - chan!\Idiot!\I don't know what I'm living for.\I don't know my purpose. response:	I don't care about anyone else,
context: I'd love to make friends too.\Oh, right.\Here.\Thank you, Onii - chan!\Idiot!\I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else, response:	because it's easier to live without caring about anyone else.
context: Oh, right.\Here.\Thank you, Onii - chan!\Idiot!\I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else. response:	Just working enough to eat and get into a daily routine...
context: Here.\Thank you, Onii - chan!\Idiot!\I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine... response:	That was all I wanted.
context: Thank you, Onii - chan!\Idiot!\I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted. response:	Even so, I kept going to see my sister.
context: Idiot!\I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister. response:	I would buy her comics with what little money I had.
context: I don't know what I'm living for.\I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had. response:	I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.
context: I don't know my purpose.\I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one. response:	For all I knew, it might have been a different one, and the next part of the story wasn't in it.
context: I don't care about anyone else,\because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it. response:	But...
context: because it's easier to live without caring about anyone else.\Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But... response:	Thank you, Onii - chan!
context: Just working enough to eat and get into a daily routine...\That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan! response:	My sister would always say that.
context: That was all I wanted.\Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan!\My sister would always say that. response:	She would be happy with whatever I got her.
context: Even so, I kept going to see my sister.\I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her. response:	She was different from me.
context: I would buy her comics with what little money I had.\I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her.\She was different from me. response:	She had hope in life.
context: I always got her whatever I picked up first at the bookstore, so I didn't even know if I gave her the same one.\For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her.\She was different from me.\She had hope in life. response:	She could find her purpose in life.
context: For all I knew, it might have been a different one, and the next part of the story wasn't in it.\But...\Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her.\She was different from me.\She had hope in life.\She could find her purpose in life. response:	But she hadn't been discharged for the last two years.
context: But...\Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her.\She was different from me.\She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years. response:	It was sad...
context: Thank you, Onii - chan!\My sister would always say that.\She would be happy with whatever I got her.\She was different from me.\She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad... response:	If only I could change places with her...
context: My sister would always say that.\She would be happy with whatever I got her.\She was different from me.\She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her... response:	I, who didn't have a purpose or meaning in life.
context: She would be happy with whatever I got her.\She was different from me.\She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life. response:	That compassion was what kept me visiting her.
context: She was different from me.\She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her. response:	Winter came.
context: She had hope in life.\She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came. response:	Working during the summer is hard, but working in the winter is worse.
context: She could find her purpose in life.\But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came.\Working during the summer is hard, but working in the winter is worse. response:	Your fingers go numb, like they're going to fall off.
context: But she hadn't been discharged for the last two years.\It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came.\Working during the summer is hard, but working in the winter is worse.\Your fingers go numb, like they're going to fall off. response:	But...
context: It was sad...\If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came.\Working during the summer is hard, but working in the winter is worse.\Your fingers go numb, like they're going to fall off.\But... response:	I kept going so I could live.
context: If only I could change places with her...\I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came.\Working during the summer is hard, but working in the winter is worse.\Your fingers go numb, like they're going to fall off.\But...\I kept going so I could live. response:	Live?
context: I, who didn't have a purpose or meaning in life.\That compassion was what kept me visiting her.\Winter came.\Working during the summer is hard, but working in the winter is worse.\Your fingers go numb, like they're going to fall off.\But...\I kept going so I could live.\Live? response:	What for?
