context: What are kyoshi? response:	Walking corpses.
context: I've never seen...\Long black hair...\Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter. response:	Now, Seimei... Entertain me.
context: Long black hair...\Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me. response:	Th-There's a ton of them!
context: Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them! response:	So they're kyoshi?
context: It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi? response:	Section Chief Yamashiro, are they okay?
context: He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay? response:	I don't know.
context: How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know. response:	But for now, we need to deal with this.
context: I suppose it has been a long time, so I guess you've changed, too.\Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this. response:	Seal all entrances to the park.
context: Well, it doesn't matter.\Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this.\Seal all entrances to the park. response:	Don't let a single one out.
context: Now, Seimei... Entertain me.\Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out. response:	S-Seriously?!
context: Th-There's a ton of them!\So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out.\S-Seriously?! response:	Be careful, Miyako!
context: So they're kyoshi?\Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out.\S-Seriously?!\Be careful, Miyako! response:	Kyoshi eat living humans!
context: Section Chief Yamashiro, are they okay?\I don't know.\But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out.\S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans! response:	No luck, huh?
context: I don't know.\But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out.\S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh? response:	Kyoichi!
context: But for now, we need to deal with this.\Seal all entrances to the park.\Don't let a single one out.\S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh?\Kyoichi! response:	Got it!
context: Seal all entrances to the park.\Don't let a single one out.\S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh?\Kyoichi!\Got it! response:	I thought we were dea
context: Don't let a single one out.\S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh?\Kyoichi!\Got it!\I thought we were dea response:	It's safe now.
context: S-Seriously?!\Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh?\Kyoichi!\Got it!\I thought we were dea\It's safe now. response:	What was that for? I really thought I was gonna suffocate!
context: Be careful, Miyako!\Kyoshi eat living humans!\No luck, huh?\Kyoichi!\Got it!\I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate! response:	Kyoshi attack humans by sensing their breath.
context: Kyoshi eat living humans!\No luck, huh?\Kyoichi!\Got it!\I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath. response:	So you kept me from breathing?
context: No luck, huh?\Kyoichi!\Got it!\I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing? response:	No luck. I can't get signal.
context: Kyoichi!\Got it!\I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal. response:	A barrier?
context: Got it!\I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal.\A barrier? response:	Probably.
context: I thought we were dea\It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal.\A barrier?\Probably. response:	If only I'd noticed sooner...
context: It's safe now.\What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal.\A barrier?\Probably.\If only I'd noticed sooner... response:	Um, what is a kyoshi?
context: What was that for? I really thought I was gonna suffocate!\Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal.\A barrier?\Probably.\If only I'd noticed sooner...\Um, what is a kyoshi? response:	You said something about walking corpses.
context: Kyoshi attack humans by sensing their breath.\So you kept me from breathing?\No luck. I can't get signal.\A barrier?\Probably.\If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses. response:	That's right.
context: So you kept me from breathing?\No luck. I can't get signal.\A barrier?\Probably.\If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses.\That's right. response:	They used to be human corpses.
context: No luck. I can't get signal.\A barrier?\Probably.\If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses.\That's right.\They used to be human corpses. response:	Meaning even normal people can see them.
context: A barrier?\Probably.\If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses.\That's right.\They used to be human corpses.\Meaning even normal people can see them. response:	You could say they're artificial Anothers.
context: Probably.\If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses.\That's right.\They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers. response:	So, someone created them?
context: If only I'd noticed sooner...\Um, what is a kyoshi?\You said something about walking corpses.\That's right.\They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them? response:	What differentiates them from zombies is that their bodies are still intact.
context: Um, what is a kyoshi?\You said something about walking corpses.\That's right.\They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact. response:	Why would you make something like that?
context: You said something about walking corpses.\That's right.\They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that? response:	In China, the ritual was used to send those who had died
context: That's right.\They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died response:	far away from their village back home.
context: They used to be human corpses.\Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home. response:	Judging by their clothes, those bodies date back to World War Two.
context: Meaning even normal people can see them.\You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two. response:	Someone prepared the kyoshi ritual to use in the war,
context: You could say they're artificial Anothers.\So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war, response:	but it was abandoned when the war ended.
context: So, someone created them?\What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended. response:	And that Another used the bodies down there
context: What differentiates them from zombies is that their bodies are still intact.\Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there response:	and the materials he stole to finish it?
context: Why would you make something like that?\In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it? response:	Sheesh...
context: In China, the ritual was used to send those who had died\far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh... response:	Every country turns to the occult when they're about to lose a war.
context: far away from their village back home.\Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war. response:	And they just left this dangerous stuff down here!
context: Judging by their clothes, those bodies date back to World War Two.\Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here! response:	So, is there a way to deal with them?
context: Someone prepared the kyoshi ritual to use in the war,\but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them? response:	Sunlight.
context: but it was abandoned when the war ended.\And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight. response:	It's night, and we're underground!
context: And that Another used the bodies down there\and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight.\It's night, and we're underground! response:	Flamethrower? Shotgun?
context: and the materials he stole to finish it?\Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun? response:	We don't have either of those!
context: Sheesh...\Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those! response:	Think for yourself a little, Seimei.
context: Every country turns to the occult when they're about to lose a war.\And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei. response:	He's back!
context: And they just left this dangerous stuff down here!\So, is there a way to deal with them?\Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei.\He's back! response:	He's just toying with us.
context: So, is there a way to deal with them?\Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei.\He's back!\He's just toying with us. response:	Hey, you keep calling me Seimei, but...
context: Sunlight.\It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei.\He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but... response:	Seimei? What are you mad about, Seimei?
context: It's night, and we're underground!\Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei.\He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei? response:	I told you...
context: Flamethrower? Shotgun?\We don't have either of those!\Think for yourself a little, Seimei.\He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you... response:	I'm not this damn Seimei!
context: We don't have either of those!\Think for yourself a little, Seimei.\He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei! response:	Oh, he snapped.
context: Think for yourself a little, Seimei.\He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei!\Oh, he snapped. response:	You're not?
context: He's back!\He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei!\Oh, he snapped.\You're not? response:	You're not Seimei?
context: He's just toying with us.\Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei!\Oh, he snapped.\You're not?\You're not Seimei? response:	Really?
context: Hey, you keep calling me Seimei, but...\Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei!\Oh, he snapped.\You're not?\You're not Seimei?\Really? response:	I see. I thought you were.
context: Seimei? What are you mad about, Seimei?\I told you...\I'm not this damn Seimei!\Oh, he snapped.\You're not?\You're not Seimei?\Really?\I see. I thought you were. response:	If that's not the case, oh well.
context: I told you...\I'm not this damn Seimei!\Oh, he snapped.\You're not?\You're not Seimei?\Really?\I see. I thought you were.\If that's not the case, oh well. response:	Well, if you understand now
context: I'm not this damn Seimei!\Oh, he snapped.\You're not?\You're not Seimei?\Really?\I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now response:	I'll just kill you, then.
context: Oh, he snapped.\You're not?\You're not Seimei?\Really?\I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then. response:	I prepared all this for my friend, but it's gone to waste.
context: You're not?\You're not Seimei?\Really?\I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste. response:	I don't like the fact that you resemble Seimei.
context: You're not Seimei?\Really?\I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei. response:	Die.
context: Really?\I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die. response:	Shit.
context: I see. I thought you were.\If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die.\Shit. response:	I'm Seimei!
context: If that's not the case, oh well.\Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die.\Shit.\I'm Seimei! response:	I'm definitely Seimei!
context: Well, if you understand now\I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die.\Shit.\I'm Seimei!\I'm definitely Seimei! response:	Right? Good.
context: I'll just kill you, then.\I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die.\Shit.\I'm Seimei!\I'm definitely Seimei!\Right? Good. response:	Now we can play.
context: I prepared all this for my friend, but it's gone to waste.\I don't like the fact that you resemble Seimei.\Die.\Shit.\I'm Seimei!\I'm definitely Seimei!\Right? Good.\Now we can play. response:	They're here!
context: I don't like the fact that you resemble Seimei.\Die.\Shit.\I'm Seimei!\I'm definitely Seimei!\Right? Good.\Now we can play.\They're here! response:	Get back, you two.
context: Die.\Shit.\I'm Seimei!\I'm definitely Seimei!\Right? Good.\Now we can play.\They're here!\Get back, you two. response:	They're half-human, so blows will work on them.
context: Shit.\I'm Seimei!\I'm definitely Seimei!\Right? Good.\Now we can play.\They're here!\Get back, you two.\They're half-human, so blows will work on them. response:	That won't get us anywhere.
context: I'm Seimei!\I'm definitely Seimei!\Right? Good.\Now we can play.\They're here!\Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere. response:	Find the altar!
context: I'm definitely Seimei!\Right? Good.\Now we can play.\They're here!\Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar! response:	Th-The altar?
context: Right? Good.\Now we can play.\They're here!\Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar!\Th-The altar? response:	Keeping this many kyoshi moving would require a fairly powerful device.
context: Now we can play.\They're here!\Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device. response:	The Chiyoda team above us will call for reinforcements.
context: They're here!\Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements. response:	While we wait for that, we need to find a way to stop the kyoshi!
context: Get back, you two.\They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi! response:	Not bad.
context: They're half-human, so blows will work on them.\That won't get us anywhere.\Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad. response:	This place is pretty creepy.
context: That won't get us anywhere.\Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy. response:	So this is where they were doing research on kyoshi?
context: Find the altar!\Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi? response:	The string's coming from this way.
context: Th-The altar?\Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way. response:	String?
context: Keeping this many kyoshi moving would require a fairly powerful device.\The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way.\String? response:	How do you think kyoshi move?
context: The Chiyoda team above us will call for reinforcements.\While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way.\String?\How do you think kyoshi move? response:	They've already lost their human abilities.
context: While we wait for that, we need to find a way to stop the kyoshi!\Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way.\String?\How do you think kyoshi move?\They've already lost their human abilities. response:	There should be no way for them to move at all.
context: Not bad.\This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way.\String?\How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all. response:	Some strange power that emanates from the altar?
context: This place is pretty creepy.\So this is where they were doing research on kyoshi?\The string's coming from this way.\String?\How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar? response:	That's right. Negative energy. Yin.
context: So this is where they were doing research on kyoshi?\The string's coming from this way.\String?\How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin. response:	I see.
context: The string's coming from this way.\String?\How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin.\I see. response:	So he's using these threads to supply the Yin energy the altar generates to the kyoshi?
context: String?\How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin.\I see.\So he's using these threads to supply the Yin energy the altar generates to the kyoshi? response:	Then if we cut them?
context: How do you think kyoshi move?\They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin.\I see.\So he's using these threads to supply the Yin energy the altar generates to the kyoshi?\Then if we cut them? response:	You can't.
context: They've already lost their human abilities.\There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin.\I see.\So he's using these threads to supply the Yin energy the altar generates to the kyoshi?\Then if we cut them?\You can't. response:	You'd need something magically enchanted to do it.
context: There should be no way for them to move at all.\Some strange power that emanates from the altar?\That's right. Negative energy. Yin.\I see.\So he's using these threads to supply the Yin energy the altar generates to the kyoshi?\Then if we cut them?\You can't.\You'd need something magically enchanted to do it. response:	Is this...
