context: The ice here is in the way. response:	Then why don't we have two boats set off here,
context: Tsumugu?\Knew it?\What do you mean?\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me. response:	It made me warm.
context: Knew it?\What do you mean?\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm. response:	It made me excited.
context: What do you mean?\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited. response:	But...
context: I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But... response:	But?
context: Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But? response:	Hii-kun's the sea.
context: The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But?\Hii-kun's the sea. response:	What?
context: It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But?\Hii-kun's the sea.\What? response:	When I came out of the sea,
context: It shined down on me.\It made me warm.\It made me excited.\But...\But?\Hii-kun's the sea.\What?\When I came out of the sea, response:	the surface that was filled with sunlight was so much fun, and exciting...
context: It made me warm.\It made me excited.\But...\But?\Hii-kun's the sea.\What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting... response:	But... I realized it's because the sea was there...
context: It made me excited.\But...\But?\Hii-kun's the sea.\What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there... response:	that's why I was able to admire the surface.
context: But...\But?\Hii-kun's the sea.\What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface. response:	If I'm not by the sea,
context: But?\Hii-kun's the sea.\What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea, response:	my Ena dries up, and I can't breathe.
context: Hii-kun's the sea.\What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe. response:	Does that mean you love Hikari?
context: What?\When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari? response:	Why are you crying?
context: When I came out of the sea,\the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying? response:	Because I know how Chii-chan feels...
context: the surface that was filled with sunlight was so much fun, and exciting...\But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels... response:	What?
context: But... I realized it's because the sea was there...\that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels...\What? response:	She said not to tell anyone that she likes Hii-kun...
context: that's why I was able to admire the surface.\If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun... response:	I don't want you to tell anyone either...
context: If I'm not by the sea,\my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either... response:	Are you sure that's what you want?
context: my Ena dries up, and I can't breathe.\Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want? response:	Why...
context: Does that mean you love Hikari?\Why are you crying?\Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want?\Why... response:	Why didn't you say anything this whole time?
context: Why are you crying?\Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want?\Why...\Why didn't you say anything this whole time? response:	Because she asked me not to say anything.
context: Because I know how Chii-chan feels...\What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want?\Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything. response:	But...
context: What?\She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want?\Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything.\But... response:	Hikari's worked so hard!
context: She said not to tell anyone that she likes Hii-kun...\I don't want you to tell anyone either...\Are you sure that's what you want?\Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything.\But...\Hikari's worked so hard! response:	He believed Manaka-san's love was for you!
context: I don't want you to tell anyone either...\Are you sure that's what you want?\Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything.\But...\Hikari's worked so hard!\He believed Manaka-san's love was for you! response:	He really worked so hard to get it back...
context: Are you sure that's what you want?\Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything.\But...\Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back... response:	Hikari said it himself.
context: Why...\Why didn't you say anything this whole time?\Because she asked me not to say anything.\But...\Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself. response:	To get Mukaido's feelings back,
context: Why didn't you say anything this whole time?\Because she asked me not to say anything.\But...\Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back, response:	the person she loves has to work for it.
context: Because she asked me not to say anything.\But...\Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it. response:	If that's the case,
context: But...\Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case, response:	Hikari's already done more than enough.
context: Hikari's worked so hard!\He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough. response:	Love is probably like the sea.
context: He believed Manaka-san's love was for you!\He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough.\Love is probably like the sea. response:	Love and the sea?
context: He really worked so hard to get it back...\Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea? response:	It's not just all fun and love...
context: Hikari said it himself.\To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea?\It's not just all fun and love... response:	You also have to embrace the sadness,
context: To get Mukaido's feelings back,\the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness, response:	pain, and everything else...
context: the person she loves has to work for it.\If that's the case,\Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else... response:	That's when new feelings are born.
context: If that's the case,\Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born. response:	So it wasn't...
context: Hikari's already done more than enough.\Love is probably like the sea.\Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born.\So it wasn't... response:	one-sided...
context: Love is probably like the sea.\Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born.\So it wasn't...\one-sided... response:	Episode Twenty-Five: Love is Like the Sea
context: Love and the sea?\It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born.\So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea response:	Hikari and Manaka-san loved each other.
context: It's not just all fun and love...\You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born.\So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other. response:	If Manaka-san gets back the ability to love someone after the Ofunehiki...
context: You also have to embrace the sadness,\pain, and everything else...\That's when new feelings are born.\So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki... response:	Then...
context: pain, and everything else...\That's when new feelings are born.\So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then... response:	Then...
context: That's when new feelings are born.\So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then... response:	I have something I want to talk to you about.
context: So it wasn't...\one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then...\I have something I want to talk to you about. response:	Is that all right?
context: one-sided...\Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then...\I have something I want to talk to you about.\Is that all right? response:	I'm sorry, Manaka-san.
context: Episode Twenty-Five: Love is Like the Sea\Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then...\I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san. response:	No, it's my fault.
context: Hikari and Manaka-san loved each other.\If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then...\I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san.\No, it's my fault. response:	Because I don't understand what love is.
context: If Manaka-san gets back the ability to love someone after the Ofunehiki...\Then...\Then...\I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is. response:	Huh?
context: Then...\Then...\I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is.\Huh? response:	Manaka-san?
context: Then...\I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is.\Huh?\Manaka-san? response:	The sound of waves won't go away.
context: I have something I want to talk to you about.\Is that all right?\I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is.\Huh?\Manaka-san?\The sound of waves won't go away. response:	Sound of waves?
context: Is that all right?\I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is.\Huh?\Manaka-san?\The sound of waves won't go away.\Sound of waves? response:	When you do that, Miuna-chan,
context: I'm sorry, Manaka-san.\No, it's my fault.\Because I don't understand what love is.\Huh?\Manaka-san?\The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan, response:	for some reason,
context: No, it's my fault.\Because I don't understand what love is.\Huh?\Manaka-san?\The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan,\for some reason, response:	I feel a little better...
context: Because I don't understand what love is.\Huh?\Manaka-san?\The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan,\for some reason,\I feel a little better... response:	Can we stay like this for a while?
context: Huh?\Manaka-san?\The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan,\for some reason,\I feel a little better...\Can we stay like this for a while? response:	Chisaki.
context: Manaka-san?\The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan,\for some reason,\I feel a little better...\Can we stay like this for a while?\Chisaki. response:	Can I come in?
context: The sound of waves won't go away.\Sound of waves?\When you do that, Miuna-chan,\for some reason,\I feel a little better...\Can we stay like this for a while?\Chisaki.\Can I come in? response:	Huh?
context: Sound of waves?\When you do that, Miuna-chan,\for some reason,\I feel a little better...\Can we stay like this for a while?\Chisaki.\Can I come in?\Huh? response:	Sure.
context: When you do that, Miuna-chan,\for some reason,\I feel a little better...\Can we stay like this for a while?\Chisaki.\Can I come in?\Huh?\Sure. response:	What are you doing?
context: for some reason,\I feel a little better...\Can we stay like this for a while?\Chisaki.\Can I come in?\Huh?\Sure.\What are you doing? response:	It's the outfit we're wearing as the Ojoshi-sama's attendants.
context: I feel a little better...\Can we stay like this for a while?\Chisaki.\Can I come in?\Huh?\Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants. response:	I thought I'd adjust the hems a bit.
context: Can we stay like this for a while?\Chisaki.\Can I come in?\Huh?\Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit. response:	I heard from Kaname.
context: Chisaki.\Can I come in?\Huh?\Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname. response:	Huh?
context: Can I come in?\Huh?\Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh? response:	About your feelings.
context: Huh?\Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh?\About your feelings. response:	Wh-What are you...
context: Sure.\What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh?\About your feelings.\Wh-What are you... response:	You don't have to lie...
context: What are you doing?\It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh?\About your feelings.\Wh-What are you...\You don't have to lie... response:	about anything anymore.
context: It's the outfit we're wearing as the Ojoshi-sama's attendants.\I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh?\About your feelings.\Wh-What are you...\You don't have to lie...\about anything anymore. response:	No.
context: I thought I'd adjust the hems a bit.\I heard from Kaname.\Huh?\About your feelings.\Wh-What are you...\You don't have to lie...\about anything anymore.\No. response:	Not only you, but Mukaido as well.
context: I heard from Kaname.\Huh?\About your feelings.\Wh-What are you...\You don't have to lie...\about anything anymore.\No.\Not only you, but Mukaido as well. response:	What?
context: Huh?\About your feelings.\Wh-What are you...\You don't have to lie...\about anything anymore.\No.\Not only you, but Mukaido as well.\What? response:	Manaka loves Hikari...
context: About your feelings.\Wh-What are you...\You don't have to lie...\about anything anymore.\No.\Not only you, but Mukaido as well.\What?\Manaka loves Hikari... response:	I really am awful...
context: Wh-What are you...\You don't have to lie...\about anything anymore.\No.\Not only you, but Mukaido as well.\What?\Manaka loves Hikari...\I really am awful... response:	I've hoped...
context: You don't have to lie...\about anything anymore.\No.\Not only you, but Mukaido as well.\What?\Manaka loves Hikari...\I really am awful...\I've hoped... response:	since a long time ago, and even now...
context: about anything anymore.\No.\Not only you, but Mukaido as well.\What?\Manaka loves Hikari...\I really am awful...\I've hoped...\since a long time ago, and even now... response:	that Hikari would always love Manaka.
context: No.\Not only you, but Mukaido as well.\What?\Manaka loves Hikari...\I really am awful...\I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka. response:	And that Manaka would always be protected by Hikari.
context: Not only you, but Mukaido as well.\What?\Manaka loves Hikari...\I really am awful...\I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari. response:	I didn't want anything to change
context: What?\Manaka loves Hikari...\I really am awful...\I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change response:	between the four of us because we loved each other so much.
context: Manaka loves Hikari...\I really am awful...\I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much. response:	I really wanted Hikari and Manaka
context: I really am awful...\I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka response:	to be in love with each other.
context: I've hoped...\since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other. response:	Because that would keep our relationship unchanged
context: since a long time ago, and even now...\that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged response:	from how it's always been.
context: that Hikari would always love Manaka.\And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been. response:	That's not the case now.
context: And that Manaka would always be protected by Hikari.\I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been.\That's not the case now. response:	It's not because you wanted to protect the relationships between you four.
context: I didn't want anything to change\between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four. response:	You're in love with me.
context: between the four of us because we loved each other so much.\I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me. response:	That's why you were hoping that they loved each other.
context: I really wanted Hikari and Manaka\to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other. response:	You think way too highly of yourself.
context: to be in love with each other.\Because that would keep our relationship unchanged\from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself. response:	That's just what I thought when I tied it all together.
context: Because that would keep our relationship unchanged\from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together. response:	Was I wrong?
context: from how it's always been.\That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong? response:	All right.
context: That's not the case now.\It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong?\All right. response:	I'll think it over again.
context: It's not because you wanted to protect the relationships between you four.\You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong?\All right.\I'll think it over again. response:	Are you really still thinking about it?
context: You're in love with me.\That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong?\All right.\I'll think it over again.\Are you really still thinking about it? response:	About who I really love?
context: That's why you were hoping that they loved each other.\You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong?\All right.\I'll think it over again.\Are you really still thinking about it?\About who I really love? response:	No, I still think that you're in love with me.
context: You think way too highly of yourself.\That's just what I thought when I tied it all together.\Was I wrong?\All right.\I'll think it over again.\Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me. response:	But I'm trying to figure out how to get you to admit it.
context: That's just what I thought when I tied it all together.\Was I wrong?\All right.\I'll think it over again.\Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it. response:	I'm serious.
