context: Answer me! response:	You were there during that day when South America vanished.
context: I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies. response:	It lies with himself.
context: I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself. response:	There's no merit in being tortured and remaining silent.
context: A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent. response:	However, it doesn't seem like you understand that.
context: I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that. response:	Before you became a contractor, you were more heartless than anyone else
context: How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else response:	and feared by people as the black Grim Reaper.
context: I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper. response:	Now that you're a contractor, you've lost yourself over a trivial matter about your sister.
context: If you've ever established a contract, you would know better than anyone else.\The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister. response:	Shut up!
context: The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.\It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up! response:	You're emotional, but you're unlike the mentally unstable Moratorium.
context: It lies with himself.\There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium. response:	There aren't any signs of your remuneration.
context: There's no merit in being tortured and remaining silent.\However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration. response:	Are you really a contractor?
context: However, it doesn't seem like you understand that.\Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor? response:	BK201...
context: Before you became a contractor, you were more heartless than anyone else\and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor?\BK201... response:	Every case that involves this cursed contractor is full of mystery and death.
context: and feared by people as the black Grim Reaper.\Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death. response:	What is the organization that's lurking behind him?
context: Now that you're a contractor, you've lost yourself over a trivial matter about your sister.\Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him? response:	How's MI6?
context: Shut up!\You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6? response:	They've returned to their hotel rooms.
context: You're emotional, but you're unlike the mentally unstable Moratorium.\There aren't any signs of your remuneration.\Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms. response:	Don't worry. Matsumoto-san and Kouno are watching over them.
context: There aren't any signs of your remuneration.\Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them. response:	I won't let them do as they like in Japan anymore.
context: Are you really a contractor?\BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore. response:	I see. So this is the place
context: BK201...\Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place response:	that July was able to detect.
context: Every case that involves this cursed contractor is full of mystery and death.\What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect. response:	November 11!
context: What is the organization that's lurking behind him?\How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect.\November 11! response:	I've been looking for you, Misaki.
context: How's MI6?\They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect.\November 11!\I've been looking for you, Misaki. response:	I dispatched two of my men in an effort to contact you.
context: They've returned to their hotel rooms.\Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect.\November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you. response:	Excuse me.
context: Don't worry. Matsumoto-san and Kouno are watching over them.\I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect.\November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me. response:	It's Kirihara.
context: I won't let them do as they like in Japan anymore.\I see. So this is the place\that July was able to detect.\November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara. response:	Boss! I'm sorry, but I've lost track of November.
context: I see. So this is the place\that July was able to detect.\November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November. response:	They're already here.
context: that July was able to detect.\November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here. response:	Huh?
context: November 11!\I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh? response:	Never mind. Regroup.
context: I've been looking for you, Misaki.\I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh?\Never mind. Regroup. response:	Is everything all right?
context: I dispatched two of my men in an effort to contact you.\Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh?\Never mind. Regroup.\Is everything all right? response:	Yes.
context: Excuse me.\It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh?\Never mind. Regroup.\Is everything all right?\Yes. response:	Where shall we begin?
context: It's Kirihara.\Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh?\Never mind. Regroup.\Is everything all right?\Yes.\Where shall we begin? response:	Huh?
context: Boss! I'm sorry, but I've lost track of November.\They're already here.\Huh?\Never mind. Regroup.\Is everything all right?\Yes.\Where shall we begin?\Huh? response:	Please give us instructions as well.
context: They're already here.\Huh?\Never mind. Regroup.\Is everything all right?\Yes.\Where shall we begin?\Huh?\Please give us instructions as well. response:	Thank you for the generous offer, but...
context: Huh?\Never mind. Regroup.\Is everything all right?\Yes.\Where shall we begin?\Huh?\Please give us instructions as well.\Thank you for the generous offer, but... response:	I don't need to remind you that our target is considered a cursed contractor.
context: Never mind. Regroup.\Is everything all right?\Yes.\Where shall we begin?\Huh?\Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor. response:	Although I don't know what the enemy's objectives are,
context: Is everything all right?\Yes.\Where shall we begin?\Huh?\Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are, response:	it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.
context: Yes.\Where shall we begin?\Huh?\Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us. response:	We are partly to blame for that.
context: Where shall we begin?\Huh?\Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that. response:	If possible, we would like to avoid any casualties.
context: Huh?\Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties. response:	Allow us to assist you.
context: Please give us instructions as well.\Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you. response:	Don't worry. We'll make sure he releases Havoc without laying a finger on us.
context: Thank you for the generous offer, but...\I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us. response:	Understood.
context: I don't need to remind you that our target is considered a cursed contractor.\Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood. response:	Boss!
context: Although I don't know what the enemy's objectives are,\it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss! response:	Please lend us a hand.
context: it's a fact that the regressor, once feared as the most diabolical contractor in history, was taken away from us.\We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss!\Please lend us a hand. response:	This is...
context: We are partly to blame for that.\If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss!\Please lend us a hand.\This is... response:	You still eat a lot, don't you?
context: If possible, we would like to avoid any casualties.\Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss!\Please lend us a hand.\This is...\You still eat a lot, don't you? response:	Do you always make it yourself?
context: Allow us to assist you.\Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss!\Please lend us a hand.\This is...\You still eat a lot, don't you?\Do you always make it yourself? response:	I never thought meals could be enjoyable until I lost my abilities.
context: Don't worry. We'll make sure he releases Havoc without laying a finger on us.\Understood.\Boss!\Please lend us a hand.\This is...\You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities. response:	I only ate because I had to.
context: Understood.\Boss!\Please lend us a hand.\This is...\You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to. response:	However, I learned how to cook after I met Laura's family.
context: Boss!\Please lend us a hand.\This is...\You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family. response:	In the beginning, it didn't seem like the children liked my cooking.
context: Please lend us a hand.\This is...\You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking. response:	As time passed by, they started to say things like I want to eat this and I want to eat that.
context: This is...\You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that. response:	I was happy.
context: You still eat a lot, don't you?\Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy. response:	I wanted to make more delicious meals for them.
context: Do you always make it yourself?\I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them. response:	I wanted to see their happy faces.
context: I never thought meals could be enjoyable until I lost my abilities.\I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces. response:	This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.
context: I only ate because I had to.\However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children. response:	Delicious.
context: However, I learned how to cook after I met Laura's family.\In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious. response:	Laura's mother once said,
context: In the beginning, it didn't seem like the children liked my cooking.\As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said, response:	Don't trust men who can cook well.
context: As time passed by, they started to say things like I want to eat this and I want to eat that.\I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said,\Don't trust men who can cook well. response:	They're bound to be evil people.
context: I was happy.\I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people. response:	I'm kidding.
context: I wanted to make more delicious meals for them.\I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding. response:	Did I upset you,
context: I wanted to see their happy faces.\This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding.\Did I upset you, response:	even though you're a contractor?
context: This was coming from someone whose remuneration for her contract was drinking the lifeblood of children.\Delicious.\Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding.\Did I upset you,\even though you're a contractor? response:	You've really changed,
context: Delicious.\Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding.\Did I upset you,\even though you're a contractor?\You've really changed, response:	but not in a bad way.
context: Laura's mother once said,\Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding.\Did I upset you,\even though you're a contractor?\You've really changed,\but not in a bad way. response:	It's strange.
context: Don't trust men who can cook well.\They're bound to be evil people.\I'm kidding.\Did I upset you,\even though you're a contractor?\You've really changed,\but not in a bad way.\It's strange. response:	It's the first time I've seen you smile.
context: They're bound to be evil people.\I'm kidding.\Did I upset you,\even though you're a contractor?\You've really changed,\but not in a bad way.\It's strange.\It's the first time I've seen you smile. response:	I'm still not used to it.
context: I'm kidding.\Did I upset you,\even though you're a contractor?\You've really changed,\but not in a bad way.\It's strange.\It's the first time I've seen you smile.\I'm still not used to it. response:	Well, that goes for both of us.
context: Did I upset you,\even though you're a contractor?\You've really changed,\but not in a bad way.\It's strange.\It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us. response:	I might not be the only one who's experienced these things.
context: even though you're a contractor?\You've really changed,\but not in a bad way.\It's strange.\It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things. response:	Everyone might still be alive, just like you and me.
context: You've really changed,\but not in a bad way.\It's strange.\It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me. response:	I'll cooperate with you.
context: but not in a bad way.\It's strange.\It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you. response:	Take me to the gate.
context: It's strange.\It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate. response:	If you do, my abilities and memories from that time might return.
context: It's the first time I've seen you smile.\I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return. response:	I might be able to remember something about where your sister is.
context: I'm still not used to it.\Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is. response:	Promise me one thing, though.
context: Well, that goes for both of us.\I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though. response:	If... If I revert back to my former self, kill me right away.
context: I might not be the only one who's experienced these things.\Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away. response:	I found them.
context: Everyone might still be alive, just like you and me.\I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them. response:	Where are they?
context: I'll cooperate with you.\Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them.\Where are they? response:	Ichigaya Yanagichou.
context: Take me to the gate.\If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them.\Where are they?\Ichigaya Yanagichou. response:	They're on the move.
context: If you do, my abilities and memories from that time might return.\I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them.\Where are they?\Ichigaya Yanagichou.\They're on the move. response:	It's not that far away.
context: I might be able to remember something about where your sister is.\Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them.\Where are they?\Ichigaya Yanagichou.\They're on the move.\It's not that far away. response:	Which direction are they going?
context: Promise me one thing, though.\If... If I revert back to my former self, kill me right away.\I found them.\Where are they?\Ichigaya Yanagichou.\They're on the move.\It's not that far away.\Which direction are they going? response:	East.
context: If... If I revert back to my former self, kill me right away.\I found them.\Where are they?\Ichigaya Yanagichou.\They're on the move.\It's not that far away.\Which direction are they going?\East. response:	Episode Six Red Giant over Eastern Europe... (Part Two)
context: I found them.\Where are they?\Ichigaya Yanagichou.\They're on the move.\It's not that far away.\Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two) response:	What a strange feeling.
context: Where are they?\Ichigaya Yanagichou.\They're on the move.\It's not that far away.\Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling. response:	You could say it's kind of nostalgic.
context: Ichigaya Yanagichou.\They're on the move.\It's not that far away.\Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic. response:	A feeling that would disturb the mental composure of any contractor.
context: They're on the move.\It's not that far away.\Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor. response:	Is it because we're getting closer to the gate?
context: It's not that far away.\Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate? response:	I understand why the researchers were anticipating Havoc's awakening.
context: Which direction are they going?\East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening. response:	We'll bring her into custody before that.
context: East.\Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that. response:	We will, won't we?
