context: Out of my way, Michelle! response:	Don't come any closer to Nee-san!
context: Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia. response:	I'm a member of the new Oracion Seis.
context: Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis. response:	How dare you?! You damned liar!
context: The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar! response:	Intense pain and losin' control of your body...
context: No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body... response:	Ow!
context: if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow! response:	You're not coming out!
context: Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow!\You're not coming out! response:	It's useless.
context: That was just a performance so I could blend in with the guild.\And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow!\You're not coming out!\It's useless. response:	My body doesn't feel pain.
context: And my name is Imitatia.\I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow!\You're not coming out!\It's useless.\My body doesn't feel pain. response:	It doesn't matter what I'm hit with, I'll never give in.
context: I'm a member of the new Oracion Seis.\How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow!\You're not coming out!\It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in. response:	Likewise, I won't be taken in by any silly emotions.
context: How dare you?! You damned liar!\Intense pain and losin' control of your body...\Ow!\You're not coming out!\It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions. response:	Silly, huh?
context: Intense pain and losin' control of your body...\Ow!\You're not coming out!\It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh? response:	Then why's your eye like that?
context: Ow!\You're not coming out!\It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that? response:	My eye?
context: You're not coming out!\It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that?\My eye? response:	Yeah, your eye.
context: It's useless.\My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that?\My eye?\Yeah, your eye. response:	Somebody who fights with confidence,
context: My body doesn't feel pain.\It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that?\My eye?\Yeah, your eye.\Somebody who fights with confidence, response:	bad guy or not, has a stronger brightness in their eyes.
context: It doesn't matter what I'm hit with, I'll never give in.\Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that?\My eye?\Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes. response:	They don't have a hesitant look in their eye like you do.
context: Likewise, I won't be taken in by any silly emotions.\Silly, huh?\Then why's your eye like that?\My eye?\Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do. response:	Coco! How you doin' over there?!
context: Silly, huh?\Then why's your eye like that?\My eye?\Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?! response:	She's not budging!
context: Then why's your eye like that?\My eye?\Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging! response:	I'm not hesitant about anything! This is all for Nee-san's sake!
context: My eye?\Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake! response:	My heart won't be swayed!
context: Yeah, your eye.\Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed! response:	Is that right?! Well, we're not hesitant either!
context: Somebody who fights with confidence,\bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either! response:	If Happy's hunch is right,
context: bad guy or not, has a stronger brightness in their eyes.\They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right, response:	the only way to save Lucy is by wipin' the floor with you!
context: They don't have a hesitant look in their eye like you do.\Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you! response:	So I'm gonna go all out!
context: Coco! How you doin' over there?!\She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out! response:	Roar of the Fire Dragon!
context: She's not budging!\I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon! response:	Man!
context: I'm not hesitant about anything! This is all for Nee-san's sake!\My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon!\Man! response:	That doesn't feel hot at all!
context: My heart won't be swayed!\Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon!\Man!\That doesn't feel hot at all! response:	Take Over! Bear Arms!
context: Is that right?! Well, we're not hesitant either!\If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon!\Man!\That doesn't feel hot at all!\Take Over! Bear Arms! response:	What is this?!
context: If Happy's hunch is right,\the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon!\Man!\That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?! response:	My cilice brings pain to any and all vulnerable spots!
context: the only way to save Lucy is by wipin' the floor with you!\So I'm gonna go all out!\Roar of the Fire Dragon!\Man!\That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots! response:	Brilliant Flame of the Fire Dragon!
context: So I'm gonna go all out!\Roar of the Fire Dragon!\Man!\That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon! response:	Tricking and using Lucy Heartfilia! Is that your duty?!
context: Roar of the Fire Dragon!\Man!\That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?! response:	Duty?!
context: Man!\That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?! response:	Coco!
context: That doesn't feel hot at all!\Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco! response:	I don't follow such thoughtless things as duty.
context: Take Over! Bear Arms!\What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco!\I don't follow such thoughtless things as duty. response:	I follow my own heart and decide what to do.
context: What is this?!\My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do. response:	It's exactly because my heart aches that I have such strong feelings.
context: My cilice brings pain to any and all vulnerable spots!\Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings. response:	Magic is the heart.
context: Brilliant Flame of the Fire Dragon!\Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart. response:	And no one can beat the power of my feelings.
context: Tricking and using Lucy Heartfilia! Is that your duty?!\Duty?!\Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings. response:	Well?
context: Duty?!\Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings.\Well? response:	No good. I can't find her. What should we do?!
context: Coco!\I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?! response:	At this rate, Samuel will kill...
context: I don't follow such thoughtless things as duty.\I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill... response:	Don't lose your cool. This place is huge. He won't be able to find her so easily.
context: I follow my own heart and decide what to do.\It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily. response:	Legion wants to stop the Infinity Clock just as much as we do.
context: It's exactly because my heart aches that I have such strong feelings.\Magic is the heart.\And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do. response:	So why...?
context: Magic is the heart.\And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...? response:	After getting to the bottom of the truth, is that the answer you arrived at, Sammy?
context: And no one can beat the power of my feelings.\Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy? response:	That's the decision he made. His viewpoint is different from ours.
context: Well?\No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours. response:	But he's completely mistaken.
context: No good. I can't find her. What should we do?!\At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken. response:	You're brothers, aren't you? Do something!
context: At this rate, Samuel will kill...\Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something! response:	I have no memory of becoming his big brother!
context: Don't lose your cool. This place is huge. He won't be able to find her so easily.\Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother! response:	This isn't a duty or a calculation...
context: Legion wants to stop the Infinity Clock just as much as we do.\So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation... response:	It has nothing to do with Exceeds or humans or guilds or the church...
context: So why...?\After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church... response:	What's important is what I'm doing for whose sake...
context: After getting to the bottom of the truth, is that the answer you arrived at, Sammy?\That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake... response:	For that sake, I have no other choice, Nii-san!
context: That's the decision he made. His viewpoint is different from ours.\But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san! response:	Actually, we've finished deciphering it.
context: But he's completely mistaken.\You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it. response:	You know how to stop Real Nightmare?
context: You're brothers, aren't you? Do something!\I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare? response:	It seems the only way is by erasing the carved seals on the Infinity Clock,
context: I have no memory of becoming his big brother!\This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock, response:	thereby negating right to ownership.
context: This isn't a duty or a calculation...\It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock,\thereby negating right to ownership. response:	Then Happy's hunch was right!
context: It has nothing to do with Exceeds or humans or guilds or the church...\What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock,\thereby negating right to ownership.\Then Happy's hunch was right! response:	So he's backed up by evidence.
context: What's important is what I'm doing for whose sake...\For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock,\thereby negating right to ownership.\Then Happy's hunch was right!\So he's backed up by evidence. response:	Happy did an outstanding job this time around.
context: For that sake, I have no other choice, Nii-san!\Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock,\thereby negating right to ownership.\Then Happy's hunch was right!\So he's backed up by evidence.\Happy did an outstanding job this time around. response:	Grim Reaper and Racer have been defeated.
context: Actually, we've finished deciphering it.\You know how to stop Real Nightmare?\It seems the only way is by erasing the carved seals on the Infinity Clock,\thereby negating right to ownership.\Then Happy's hunch was right!\So he's backed up by evidence.\Happy did an outstanding job this time around.\Grim Reaper and Racer have been defeated. response:	There are four left.
