context: Gotcha! response:	Wow, it's big!
context: What is this... What a refined human figure.\I materialized.\What's going on here?\A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid! response:	Nice.
context: I materialized.\What's going on here?\A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice. response:	Even though it's cheap stuff.
context: What's going on here?\A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff. response:	Um...
context: A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff.\Um... response:	I have a million questions to ask you...
context: I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff.\Um...\I have a million questions to ask you... response:	That's my line.
context: Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff.\Um...\I have a million questions to ask you...\That's my line. response:	Oh well, you can ask first.
context: Poor boy. Just remain like that until you've calmed down.\Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff.\Um...\I have a million questions to ask you...\That's my line.\Oh well, you can ask first. response:	I'm magnanimous. Speak.
context: Don't be afraid, don't be afraid!\Nice.\Even though it's cheap stuff.\Um...\I have a million questions to ask you...\That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak. response:	I have a strong sense for spiritual stuff.
context: Nice.\Even though it's cheap stuff.\Um...\I have a million questions to ask you...\That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff. response:	But this is the first time I can see one so clearly...
context: Even though it's cheap stuff.\Um...\I have a million questions to ask you...\That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly... response:	Are you a ghost... Um...
context: Um...\I have a million questions to ask you...\That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um... response:	Are you a tree spirit?
context: I have a million questions to ask you...\That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit? response:	I cannot believe it's come down to this...
context: That's my line.\Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this... response:	You're likening me to mountain demons? Explain yourself!
context: Oh well, you can ask first.\I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself! response:	I can't believe my child's notion of god has been reduced to such a state.
context: I'm magnanimous. Speak.\I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state. response:	Fine.
context: I have a strong sense for spiritual stuff.\But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine. response:	Time to educate you.
context: But this is the first time I can see one so clearly...\Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you. response:	In the first place, what did you take a guardian tree for?
context: Are you a ghost... Um...\Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you.\In the first place, what did you take a guardian tree for? response:	A sacred tree?
context: Are you a tree spirit?\I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree? response:	A sacred tree is as its name goes, a tree of a god.
context: I cannot believe it's come down to this...\You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god. response:	A vessel for the god.
context: You're likening me to mountain demons? Explain yourself!\I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god. response:	A land deity had descended upon that big nagi tree.
context: I can't believe my child's notion of god has been reduced to such a state.\Fine.\Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree. response:	A land deity is the guardian deity of this land.
context: Fine.\Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land. response:	All living things were born from that land deity.
context: Time to educate you.\In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity. response:	That land deity is none other than me. A god that you can call a mother of this land.
context: In the first place, what did you take a guardian tree for?\A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land. response:	Does a god just pop out of nowhere like that?
context: A sacred tree?\A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that? response:	Now it's my turn to ask questions.
context: A sacred tree is as its name goes, a tree of a god.\A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions. response:	What is this vessel?
context: A vessel for the god.\A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel? response:	Vessel?
context: A land deity had descended upon that big nagi tree.\A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel?\Vessel? response:	What I materialized from.
context: A land deity is the guardian deity of this land.\All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel?\Vessel?\What I materialized from. response:	Look, there was a human shape like this, right?
context: All living things were born from that land deity.\That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel?\Vessel?\What I materialized from.\Look, there was a human shape like this, right? response:	Like this.
context: That land deity is none other than me. A god that you can call a mother of this land.\Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel?\Vessel?\What I materialized from.\Look, there was a human shape like this, right?\Like this. response:	Oh, that was a woodcraft that I made.
context: Does a god just pop out of nowhere like that?\Now it's my turn to ask questions.\What is this vessel?\Vessel?\What I materialized from.\Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made. response:	It feels very comfortable.
context: Now it's my turn to ask questions.\What is this vessel?\Vessel?\What I materialized from.\Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable. response:	I don't know...
context: What is this vessel?\Vessel?\What I materialized from.\Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know... response:	Oh, isn't it because it's made out of the sacred tree?
context: Vessel?\What I materialized from.\Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree? response:	You're telling the truth, right?!
context: What I materialized from.\Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?! response:	You'll get struck by lightning if you lie!
context: Look, there was a human shape like this, right?\Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie! response:	Hey, why do you not know anything about it?
context: Like this.\Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it? response:	It was cut down some time ago.
context: Oh, that was a woodcraft that I made.\It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago. response:	This shrine is undergoing land readjustment.
context: It feels very comfortable.\I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment. response:	I heard the deity is to be enshrined together in a nearby shrine.
context: I don't know...\Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine. response:	A friend gave me that sacred tree,
context: Oh, isn't it because it's made out of the sacred tree?\You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree, response:	so I made a woodcraft out of it for a district exhibition.
context: You're telling the truth, right?!\You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition. response:	This place was my childhood playground. I was shocked too...
context: You'll get struck by lightning if you lie!\Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too... response:	Say, haven't we met there before? In the past-
context: Hey, why do you not know anything about it?\It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past- response:	You deserve to be struck by lightning!
context: It was cut down some time ago.\This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning! response:	How... How horrendous!
context: This shrine is undergoing land readjustment.\I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous! response:	I can't believe you cut down a sacred tree and made it into a woodcraft!
context: I heard the deity is to be enshrined together in a nearby shrine.\A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft! response:	A dismemberment murder case!
context: A friend gave me that sacred tree,\so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case! response:	How... how horrendous!
context: so I made a woodcraft out of it for a district exhibition.\This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous! response:	Now is not the time to be singing that!
context: This place was my childhood playground. I was shocked too...\Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that! response:	I can't believe things turn out like this while I was asleep!
context: Say, haven't we met there before? In the past-\You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep! response:	How horrendous local administration work is!
context: You deserve to be struck by lightning!\How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is! response:	Asleep?
context: How... How horrendous!\I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep? response:	Do you still remember? In the past, you and I...
context: I can't believe you cut down a sacred tree and made it into a woodcraft!\A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I... response:	I have no memories of such things!
context: A dismemberment murder case!\How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things! response:	What do you think will happen if the guardian tree has fallen?
context: How... how horrendous!\Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen? response:	The land for appeasing the god will lose its guardian.
context: Now is not the time to be singing that!\I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian. response:	What will become of my lovely children, my followers?
context: I can't believe things turn out like this while I was asleep!\How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers? response:	This land will become insecure, and calamities will spread.
context: How horrendous local administration work is!\Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread. response:	Somebody has to bring peace to this land...
context: Asleep?\Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land... response:	How miserable!
context: Do you still remember? In the past, you and I...\I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable! response:	What am I supposed to do with this puny split-spirit of a god...
context: I have no memories of such things!\What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god... response:	Erm... a bug.
context: What do you think will happen if the guardian tree has fallen?\The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug. response:	At your feet.
context: The land for appeasing the god will lose its guardian.\What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet. response:	You saw it, you non-believer?
context: What will become of my lovely children, my followers?\This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet.\You saw it, you non-believer? response:	This is an impurity!
context: This land will become insecure, and calamities will spread.\Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet.\You saw it, you non-believer?\This is an impurity! response:	The things that were suppressed by the sacred tree are all coming alive!
context: Somebody has to bring peace to this land...\How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet.\You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive! response:	No point making that expression.
context: How miserable!\What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet.\You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression. response:	Don't think you're able to touch this thing.
context: What am I supposed to do with this puny split-spirit of a god...\Erm... a bug.\At your feet.\You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing. response:	A human can't hold it in the first place, and you'll just get tainted, though not as much as me.
context: Erm... a bug.\At your feet.\You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me. response:	Ewww, dirty.
context: At your feet.\You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty. response:	What in the name of god?!
context: You saw it, you non-believer?\This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?! response:	Umm...
context: This is an impurity!\The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?!\Umm... response:	Do you want something to eat?
context: The things that were suppressed by the sacred tree are all coming alive!\No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?!\Umm...\Do you want something to eat? response:	I don't have any offerings though.
context: No point making that expression.\Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?!\Umm...\Do you want something to eat?\I don't have any offerings though. response:	I'll go buy some.
context: Don't think you're able to touch this thing.\A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?!\Umm...\Do you want something to eat?\I don't have any offerings though.\I'll go buy some. response:	As a god...
context: A human can't hold it in the first place, and you'll just get tainted, though not as much as me.\Ewww, dirty.\What in the name of god?!\Umm...\Do you want something to eat?\I don't have any offerings though.\I'll go buy some.\As a god... response:	I have no countermeasures against the impurities infesting this land...
context: Ewww, dirty.\What in the name of god?!\Umm...\Do you want something to eat?\I don't have any offerings though.\I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land... response:	And I even lost my dignity for being saved by a non-believer...
context: What in the name of god?!\Umm...\Do you want something to eat?\I don't have any offerings though.\I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer... response:	Even if you call yourself a god...
context: Umm...\Do you want something to eat?\I don't have any offerings though.\I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god... response:	Didn't I kill that bug?
context: Do you want something to eat?\I don't have any offerings though.\I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug? response:	With a flick.
context: I don't have any offerings though.\I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug?\With a flick. response:	That only returned to the land. It'll reappear as a new impurity, given time.
context: I'll go buy some.\As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time. response:	With the exception of those who have undergone training,
context: As a god...\I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training, response:	normal people can't touch the impurities.
context: I have no countermeasures against the impurities infesting this land...\And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities. response:	Who exactly are you?
context: And I even lost my dignity for being saved by a non-believer...\Even if you call yourself a god...\Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you? response:	I have a strong sense for the supernatural, maybe that's why?
context: Even if you call yourself a god...\Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why? response:	I don't get it.
context: Didn't I kill that bug?\With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it. response:	There are so many things that I don't understand.
context: With a flick.\That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand. response:	Let me think for a while. Don't talk to me.
context: That only returned to the land. It'll reappear as a new impurity, given time.\With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me. response:	I don't like silence; can I turn on the TV?
context: With the exception of those who have undergone training,\normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV? response:	Oh! TV, huh?
context: normal people can't touch the impurities.\Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh? response:	Yeah...
context: Who exactly are you?\I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah... response:	I want to watch!
context: I have a strong sense for the supernatural, maybe that's why?\I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah...\I want to watch! response:	No, wait-
