context: Kakeru Okikura response:	Touko Fukami
context: I take everything seriously.\What's this?\Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you.\What's wrong?\Nothing. response:	Do you think I can take it back to Sacchan as a gift?
context: What's this?\Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you.\What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift? response:	A bit much, don't you think?
context: Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you.\What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think? response:	A bit.
context: Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you.\What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit. response:	Like, I have
context: They were so crummy when I was little.\I've finally found you.\What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit.\Like, I have response:	I'd like this one.
context: I've finally found you.\What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit.\Like, I have\I'd like this one. response:	Whoa, don't drop it.
context: What's wrong?\Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit.\Like, I have\I'd like this one.\Whoa, don't drop it. response:	Trust me. I have good reflexes, Hiro.
context: Nothing.\Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit.\Like, I have\I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro. response:	Fine,
context: Do you think I can take it back to Sacchan as a gift?\A bit much, don't you think?\A bit.\Like, I have\I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine, response:	but you're paying for it if you break it.
context: A bit much, don't you think?\A bit.\Like, I have\I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it. response:	After all I went through to make sure we can split it completely evenly?
context: A bit.\Like, I have\I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly? response:	I used to come here every day during my high school entrance exam days.
context: Like, I have\I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days. response:	Huh? Isn't this pretty far from your place?
context: I'd like this one.\Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place? response:	This kid gets pumped only when he's running.
context: Whoa, don't drop it.\Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running. response:	He could run forever.
context: Trust me. I have good reflexes, Hiro.\Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever. response:	What do you mean, only?
context: Fine,\but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever.\What do you mean, only? response:	This is the last year we're all meeting up, huh?
context: but you're paying for it if you break it.\After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh? response:	Huh?
context: After all I went through to make sure we can split it completely evenly?\I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh?\Huh? response:	Why so negative?
context: I used to come here every day during my high school entrance exam days.\Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh?\Huh?\Why so negative? response:	We could all come again.
context: Huh? Isn't this pretty far from your place?\This kid gets pumped only when he's running.\He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh?\Huh?\Why so negative?\We could all come again. response:	Yeah, next year, and the year after...
context: This kid gets pumped only when he's running.\He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh?\Huh?\Why so negative?\We could all come again.\Yeah, next year, and the year after... response:	We'll be friends forever!
context: He could run forever.\What do you mean, only?\This is the last year we're all meeting up, huh?\Huh?\Why so negative?\We could all come again.\Yeah, next year, and the year after...\We'll be friends forever! response:	Forever? Who knows what'll happen in the future.
context: What do you mean, only?\This is the last year we're all meeting up, huh?\Huh?\Why so negative?\We could all come again.\Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future. response:	What?
context: This is the last year we're all meeting up, huh?\Huh?\Why so negative?\We could all come again.\Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future.\What? response:	So we're going to stop being friends once we graduate? Come on.
context: Huh?\Why so negative?\We could all come again.\Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on. response:	No, but I mean,
context: Why so negative?\We could all come again.\Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean, response:	there's no telling what might happen.
context: We could all come again.\Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen. response:	They say that if you say your wishes out loud,
context: Yeah, next year, and the year after...\We'll be friends forever!\Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud, response:	you'll end up granting them yourself.
context: We'll be friends forever!\Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself. response:	So maybe instead of saying we won't come here, we should say let's come again.
context: Forever? Who knows what'll happen in the future.\What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again. response:	Did you get that from Sachi?
context: What?\So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi? response:	Yeah, so?
context: So we're going to stop being friends once we graduate? Come on.\No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so? response:	Okay.
context: No, but I mean,\there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so?\Okay. response:	My wish is that no matter what happens,
context: there's no telling what might happen.\They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so?\Okay.\My wish is that no matter what happens, response:	my future self will fix it all.
context: They say that if you say your wishes out loud,\you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so?\Okay.\My wish is that no matter what happens,\my future self will fix it all. response:	Thanks for waiting.
context: you'll end up granting them yourself.\So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so?\Okay.\My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting. response:	Thanks.
context: So maybe instead of saying we won't come here, we should say let's come again.\Did you get that from Sachi?\Yeah, so?\Okay.\My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting.\Thanks. response:	Two iced coffees.
context: Did you get that from Sachi?\Yeah, so?\Okay.\My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting.\Thanks.\Two iced coffees. response:	Thanks.
context: Yeah, so?\Okay.\My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting.\Thanks.\Two iced coffees.\Thanks. response:	Yukkii, give me a hand please.
context: Okay.\My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting.\Thanks.\Two iced coffees.\Thanks.\Yukkii, give me a hand please. response:	Okay.
context: My wish is that no matter what happens,\my future self will fix it all.\Thanks for waiting.\Thanks.\Two iced coffees.\Thanks.\Yukkii, give me a hand please.\Okay. response:	Since when is he Yukkii?
context: my future self will fix it all.\Thanks for waiting.\Thanks.\Two iced coffees.\Thanks.\Yukkii, give me a hand please.\Okay.\Since when is he Yukkii? response:	They're totally best buds.
context: Thanks for waiting.\Thanks.\Two iced coffees.\Thanks.\Yukkii, give me a hand please.\Okay.\Since when is he Yukkii?\They're totally best buds. response:	More toast for the iced coffee customers.
context: Thanks.\Two iced coffees.\Thanks.\Yukkii, give me a hand please.\Okay.\Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers. response:	Such a salesman.
context: Two iced coffees.\Thanks.\Yukkii, give me a hand please.\Okay.\Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers.\Such a salesman. response:	Grandpa's so nice to Yukinari.
context: Thanks.\Yukkii, give me a hand please.\Okay.\Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari. response:	You can hardly tell who's the grandson.
context: Yukkii, give me a hand please.\Okay.\Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson. response:	Yuki-kun's popular.
context: Okay.\Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular. response:	With the elderly.
context: Since when is he Yukkii?\They're totally best buds.\More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly. response:	What are you talking about?
context: They're totally best buds.\More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly.\What are you talking about? response:	What about Grandpa?
context: More toast for the iced coffee customers.\Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly.\What are you talking about?\What about Grandpa? response:	Why is it so delicious when you eat out?
context: Such a salesman.\Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly.\What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out? response:	I was going to stay away from ramune.
context: Grandpa's so nice to Yukinari.\You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly.\What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune. response:	Sucks to be watching your weight, huh?
context: You can hardly tell who's the grandson.\Yuki-kun's popular.\With the elderly.\What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh? response:	Please don't call it that.
context: Yuki-kun's popular.\With the elderly.\What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that. response:	Here, look.
context: With the elderly.\What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that.\Here, look. response:	It's sparkling.
context: What are you talking about?\What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that.\Here, look.\It's sparkling. response:	The fireworks were so pretty.
context: What about Grandpa?\Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that.\Here, look.\It's sparkling.\The fireworks were so pretty. response:	Like, boom, bang!
context: Why is it so delicious when you eat out?\I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that.\Here, look.\It's sparkling.\The fireworks were so pretty.\Like, boom, bang! response:	The festival's ending.
context: I was going to stay away from ramune.\Sucks to be watching your weight, huh?\Please don't call it that.\Here, look.\It's sparkling.\The fireworks were so pretty.\Like, boom, bang!\The festival's ending. response:	Hinode Bridge
context: Sucks to be watching your weight, huh?\Please don't call it that.\Here, look.\It's sparkling.\The fireworks were so pretty.\Like, boom, bang!\The festival's ending.\Hinode Bridge response:	I'm home.
context: Please don't call it that.\Here, look.\It's sparkling.\The fireworks were so pretty.\Like, boom, bang!\The festival's ending.\Hinode Bridge\I'm home. response:	I'm home.
context: Here, look.\It's sparkling.\The fireworks were so pretty.\Like, boom, bang!\The festival's ending.\Hinode Bridge\I'm home.\I'm home. response:	What do you want for dinner?
context: It's sparkling.\The fireworks were so pretty.\Like, boom, bang!\The festival's ending.\Hinode Bridge\I'm home.\I'm home.\What do you want for dinner? response:	Stew.
context: The fireworks were so pretty.\Like, boom, bang!\The festival's ending.\Hinode Bridge\I'm home.\I'm home.\What do you want for dinner?\Stew. response:	It's too hot, so no.
context: Like, boom, bang!\The festival's ending.\Hinode Bridge\I'm home.\I'm home.\What do you want for dinner?\Stew.\It's too hot, so no. response:	What should I make?
context: The festival's ending.\Hinode Bridge\I'm home.\I'm home.\What do you want for dinner?\Stew.\It's too hot, so no.\What should I make? response:	This again, Mom? Why do even bother asking?
context: Hinode Bridge\I'm home.\I'm home.\What do you want for dinner?\Stew.\It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking? response:	I'm leaving.
context: I'm home.\I'm home.\What do you want for dinner?\Stew.\It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking?\I'm leaving. response:	Oh, wait a sec. Hina, what do you want for dinner?
context: I'm home.\What do you want for dinner?\Stew.\It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner? response:	I saw some cabbage left over.
context: What do you want for dinner?\Stew.\It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over. response:	That's my girl.
context: Stew.\It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl. response:	See, all three of us have the same one.
context: It's too hot, so no.\What should I make?\This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl.\See, all three of us have the same one. response:	Sorry, I didn't bring mine.
context: What should I make?\This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine. response:	You sure are tactful.
context: This again, Mom? Why do even bother asking?\I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful. response:	Shut up.
context: I'm leaving.\Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful.\Shut up. response:	That thing on the door, right?
context: Oh, wait a sec. Hina, what do you want for dinner?\I saw some cabbage left over.\That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful.\Shut up.\That thing on the door, right? response:	You could have brought it if you noticed.
context: I saw some cabbage left over.\That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful.\Shut up.\That thing on the door, right?\You could have brought it if you noticed. response:	You make a fuss whenever I touch your stuff without asking.
context: That's my girl.\See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful.\Shut up.\That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking. response:	Wait, you went in?
context: See, all three of us have the same one.\Sorry, I didn't bring mine.\You sure are tactful.\Shut up.\That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in? response:	Who was it again that asked me to bring the reference book you left behind?
context: Sorry, I didn't bring mine.\You sure are tactful.\Shut up.\That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind? response:	Exile and the Kingdom Camus
context: You sure are tactful.\Shut up.\That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus response:	So it was you.
context: Shut up.\That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you. response:	David.
context: That thing on the door, right?\You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you.\David. response:	David?
context: You could have brought it if you noticed.\You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you.\David.\David? response:	Hey, you. Here.
context: You make a fuss whenever I touch your stuff without asking.\Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you.\David.\David?\Hey, you. Here. response:	Thank goodness, I thought you'd left already.
context: Wait, you went in?\Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you.\David.\David?\Hey, you. Here.\Thank goodness, I thought you'd left already. response:	Make sure your parents see this.
context: Who was it again that asked me to bring the reference book you left behind?\Exile and the Kingdom Camus\So it was you.\David.\David?\Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this. response:	Thank you.
context: Exile and the Kingdom Camus\So it was you.\David.\David?\Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you. response:	Such a pain, transferring schools.
context: So it was you.\David.\David?\Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you.\Such a pain, transferring schools. response:	What year?
context: David.\David?\Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you.\Such a pain, transferring schools.\What year? response:	Third.
context: David?\Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you.\Such a pain, transferring schools.\What year?\Third. response:	Same as me.
context: Hey, you. Here.\Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you.\Such a pain, transferring schools.\What year?\Third.\Same as me. response:	Sounds tough, transferring in your third year.
context: Thank goodness, I thought you'd left already.\Make sure your parents see this.\Thank you.\Such a pain, transferring schools.\What year?\Third.\Same as me.\Sounds tough, transferring in your third year. response:	Your name?
context: Make sure your parents see this.\Thank you.\Such a pain, transferring schools.\What year?\Third.\Same as me.\Sounds tough, transferring in your third year.\Your name? response:	Hm?
context: Thank you.\Such a pain, transferring schools.\What year?\Third.\Same as me.\Sounds tough, transferring in your third year.\Your name?\Hm? response:	What's your name?
context: Such a pain, transferring schools.\What year?\Third.\Same as me.\Sounds tough, transferring in your third year.\Your name?\Hm?\What's your name? response:	Touko Fukami.
context: What year?\Third.\Same as me.\Sounds tough, transferring in your third year.\Your name?\Hm?\What's your name?\Touko Fukami. response:	Touko.
context: Third.\Same as me.\Sounds tough, transferring in your third year.\Your name?\Hm?\What's your name?\Touko Fukami.\Touko. response:	He's calling me by my first name?
context: Same as me.\Sounds tough, transferring in your third year.\Your name?\Hm?\What's your name?\Touko Fukami.\Touko.\He's calling me by my first name? response:	I saw you at fireworks the other day.
context: Sounds tough, transferring in your third year.\Your name?\Hm?\What's your name?\Touko Fukami.\Touko.\He's calling me by my first name?\I saw you at fireworks the other day. response:	You were buying a bell.
context: Your name?\Hm?\What's your name?\Touko Fukami.\Touko.\He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell. response:	Wait, Jonathan!
context: Hm?\What's your name?\Touko Fukami.\Touko.\He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan! response:	Jonathan?
context: What's your name?\Touko Fukami.\Touko.\He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan!\Jonathan? response:	That's the chicken's name.
context: Touko Fukami.\Touko.\He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan!\Jonathan?\That's the chicken's name. response:	And then there's Husserl, Confucius,
context: Touko.\He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan!\Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius, response:	Roger, and Makuzu.
context: He's calling me by my first name?\I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan!\Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu. response:	We're all taking care of them at school,
context: I saw you at fireworks the other day.\You were buying a bell.\Wait, Jonathan!\Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school, response:	but I think the ethics teacher puts in the most time.
context: You were buying a bell.\Wait, Jonathan!\Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time. response:	Jonathan's from somewhere else.
context: Wait, Jonathan!\Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else. response:	So that's why it's not fitting in.
context: Jonathan?\That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in. response:	They're free-range, so they're so hard to draw.
context: That's the chicken's name.\And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw. response:	You could just put them in a coop.
context: And then there's Husserl, Confucius,\Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop. response:	I can't make that decision.
context: Roger, and Makuzu.\We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision. response:	It'd be cruel.
context: We're all taking care of them at school,\but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision.\It'd be cruel. response:	Why isn't Jonathan running away? That's amazing.
context: but I think the ethics teacher puts in the most time.\Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing. response:	Cruel?
context: Jonathan's from somewhere else.\So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel? response:	It's better if they get to go wherever they want to.
context: So that's why it's not fitting in.\They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to. response:	That's just your own point of view.
context: They're free-range, so they're so hard to draw.\You could just put them in a coop.\I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view. response:	Huh?
context: You could just put them in a coop.\I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view.\Huh? response:	Well...
context: I can't make that decision.\It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view.\Huh?\Well... response:	there aren't any animals that'd go into cages on their own.
context: It'd be cruel.\Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view.\Huh?\Well...\there aren't any animals that'd go into cages on their own. response:	That's because they don't have enough options.
context: Why isn't Jonathan running away? That's amazing.\Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view.\Huh?\Well...\there aren't any animals that'd go into cages on their own.\That's because they don't have enough options. response:	Huh?
context: Cruel?\It's better if they get to go wherever they want to.\That's just your own point of view.\Huh?\Well...\there aren't any animals that'd go into cages on their own.\That's because they don't have enough options.\Huh? response:	This is a port town. There are lots of cats.
context: It's better if they get to go wherever they want to.\That's just your own point of view.\Huh?\Well...\there aren't any animals that'd go into cages on their own.\That's because they don't have enough options.\Huh?\This is a port town. There are lots of cats. response:	Ever considered that they might get attacked?
context: That's just your own point of view.\Huh?\Well...\there aren't any animals that'd go into cages on their own.\That's because they don't have enough options.\Huh?\This is a port town. There are lots of cats.\Ever considered that they might get attacked? response:	They're all full from eating fish!
