context: Why is Lancer helping them? response:	What is it, Caster?
context: As a result, I eventually took a life.\I bore that person no ill will,\and it was not a matter of me standing to profit from killing him.\It was mechanical, carried out as per another's orders.\At that moment, I pushed from my mind the notion that I was human.\Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self. response:	I have always believed that I am solely responsible for the way I live.
context: I bore that person no ill will,\and it was not a matter of me standing to profit from killing him.\It was mechanical, carried out as per another's orders.\At that moment, I pushed from my mind the notion that I was human.\Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live. response:	However...
context: and it was not a matter of me standing to profit from killing him.\It was mechanical, carried out as per another's orders.\At that moment, I pushed from my mind the notion that I was human.\Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However... response:	I must return something, which must have once existed, to its rightful place.
context: It was mechanical, carried out as per another's orders.\At that moment, I pushed from my mind the notion that I was human.\Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place. response:	After all this time, having a goal beyond simple existence is strange.
context: At that moment, I pushed from my mind the notion that I was human.\Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange. response:	It is a completely self-centered thing.
context: Regardless of any problems with the environment in which I was raised,\my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing. response:	But in the end, that's what all wishes are.
context: my choices were mine alone.\As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are. response:	We need to defeat Caster before the fight
context: As you said, I have no wish to return to my former self.\I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight response:	between Lancer and Archer ends.
context: I have always believed that I am solely responsible for the way I live.\However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends. response:	I know.
context: However...\I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends.\I know. response:	You're sure I can leave Caster to you, Tohsaka?
context: I must return something, which must have once existed, to its rightful place.\After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka? response:	Yes.
context: After all this time, having a goal beyond simple existence is strange.\It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka?\Yes. response:	She'll probably have me on the ropes the whole time, but stay out of it, okay?
context: It is a completely self-centered thing.\But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay? response:	You just keep Kuzuki-sensei as far away as you can.
context: But in the end, that's what all wishes are.\We need to defeat Caster before the fight\between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can. response:	Understood.
context: We need to defeat Caster before the fight\between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood. response:	Berserker is gone.
context: between Lancer and Archer ends.\I know.\You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone. response:	The one who'll be the biggest problem is Blondie.
context: I know.\You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie. response:	But if we can get Archer and Saber back from Caster, we can beat him.
context: You're sure I can leave Caster to you, Tohsaka?\Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him. response:	And then the Holy Grail War will be over.
context: Yes.\She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over. response:	Looks like she wants to wrap this up, too.
context: She'll probably have me on the ropes the whole time, but stay out of it, okay?\You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too. response:	I graciously spared your life.
context: You just keep Kuzuki-sensei as far away as you can.\Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life. response:	Have you come to throw it away, little girl?
context: Understood.\Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl? response:	I didn't come to throw something away, but to take back what's mine.
context: Berserker is gone.\The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine. response:	Beating you, someone I really can't stand, in the process.
context: The one who'll be the biggest problem is Blondie.\But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process. response:	Saber...
context: But if we can get Archer and Saber back from Caster, we can beat him.\And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber... response:	I offer my compliments on winning Lancer to your side.
context: And then the Holy Grail War will be over.\Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side. response:	But you still have fewer pawns on the board.
context: Looks like she wants to wrap this up, too.\I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board. response:	Are you so transparently a child that
context: I graciously spared your life.\Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that response:	you cannot manage such simple arithmetic?
context: Have you come to throw it away, little girl?\I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic? response:	I've been thinking this for a while now.
context: I didn't come to throw something away, but to take back what's mine.\Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now. response:	That outfit of yours is a bit, you know...
context: Beating you, someone I really can't stand, in the process.\Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know... response:	A purple robe, in this day and age? What kind of bumpkin wears that?
context: Saber...\I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that? response:	Also, this is your idea of a magic workshop?
context: I offer my compliments on winning Lancer to your side.\But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop? response:	You're so stuck in the past, it's laughable.
context: But you still have fewer pawns on the board.\Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable. response:	Oh, dear.
context: Are you so transparently a child that\you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear. response:	Are all mages of this era so foolhardy?
context: you cannot manage such simple arithmetic?\I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy? response:	Now I understand why Archer deserted you.
context: I've been thinking this for a while now.\That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you. response:	Kuzuki can see everything...
context: That outfit of yours is a bit, you know...\A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything... response:	That we're trying a divide-and-conquer strategy,
context: A purple robe, in this day and age? What kind of bumpkin wears that?\Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy, response:	and that you have a trick up your sleeve.
context: Also, this is your idea of a magic workshop?\You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve. response:	And even knowing that, he's letting Caster do things her way.
context: You're so stuck in the past, it's laughable.\Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way. response:	Shall we get started, then?
context: Oh, dear.\Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then? response:	This will be my third time facing you.
context: Are all mages of this era so foolhardy?\Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you. response:	I'm tired of looking at your ugly face.
context: Now I understand why Archer deserted you.\Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face. response:	This time, I'll finish you off for good.
context: Kuzuki can see everything...\That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good. response:	Bold words.
context: That we're trying a divide-and-conquer strategy,\and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words. response:	Do you honestly think you can defeat me, little girl?
context: and that you have a trick up your sleeve.\And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl? response:	Of course I can beat your parlor tricks.
context: And even knowing that, he's letting Caster do things her way.\Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks. response:	Is there any doubt?
context: Shall we get started, then?\This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt? response:	A first-rate mage like myself could never lose to a third-rate hack like you!
context: This will be my third time facing you.\I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you! response:	I can see by your insolence that you are in need of harsh discipline.
context: I'm tired of looking at your ugly face.\This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline. response:	Trace on!
context: This time, I'll finish you off for good.\Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on! response:	He knows exactly what our plan is.
context: Bold words.\Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is. response:	I won't be able to buy time for long.
context: Do you honestly think you can defeat me, little girl?\Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long. response:	The Master, a close-quarters specialist, who had even Saber on the ropes...
context: Of course I can beat your parlor tricks.\Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes... response:	Martial arts and magic.
context: Is there any doubt?\A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic. response:	We have no chance of winning when we're outclassed in both.
context: A first-rate mage like myself could never lose to a third-rate hack like you!\I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both. response:	Meaning this fight will be to see how long we can hold out
context: I can see by your insolence that you are in need of harsh discipline.\Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out response:	against superior opponents before Tohsaka puts her plan into motion!
context: Trace on!\He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion! response:	It isn't like that other night, is it?
context: He knows exactly what our plan is.\I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it? response:	Sorry I had to go easy on you last time.
context: I won't be able to buy time for long.\The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time. response:	My stupid Master used a Command Seal
context: The Master, a close-quarters specialist, who had even Saber on the ropes...\Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal response:	to order me to return alive, without killing you.
context: Martial arts and magic.\We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you. response:	But I'm not bound by that order now.
context: We have no chance of winning when we're outclassed in both.\Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now. response:	This time, I won't hold back...
context: Meaning this fight will be to see how long we can hold out\against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back... response:	And I'll kill you.
context: against superior opponents before Tohsaka puts her plan into motion!\It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you. response:	I can't figure you out.
context: It isn't like that other night, is it?\Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you.\I can't figure you out. response:	You're this skilled, but you chose to side with Caster?
context: Sorry I had to go easy on you last time.\My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster? response:	Working with the little lady, you probably would have been a match for Caster.
context: My stupid Master used a Command Seal\to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster. response:	I was expecting you to mouth off, but you're still going on about that?
context: to order me to return alive, without killing you.\But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that? response:	I chose the option with the higher chance of success, however slight.
context: But I'm not bound by that order now.\This time, I won't hold back...\And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight. response:	Was that why?
context: This time, I won't hold back...\And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why? response:	It was stupid of me to even ask.
context: And I'll kill you.\I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask. response:	No argument there.
context: I can't figure you out.\You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask.\No argument there. response:	But that isn't a certain path to victory.
context: You're this skilled, but you chose to side with Caster?\Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory. response:	You have a fatal lack of pride in your sword skills.
context: Working with the little lady, you probably would have been a match for Caster.\I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory.\You have a fatal lack of pride in your sword skills. response:	Yes.
context: I was expecting you to mouth off, but you're still going on about that?\I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory.\You have a fatal lack of pride in your sword skills.\Yes. response:	Unfortunately, I am devoid of pride.
context: I chose the option with the higher chance of success, however slight.\Was that why?\It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory.\You have a fatal lack of pride in your sword skills.\Yes.\Unfortunately, I am devoid of pride. response:	But why does that bother you?
context: Was that why?\It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory.\You have a fatal lack of pride in your sword skills.\Yes.\Unfortunately, I am devoid of pride.\But why does that bother you? response:	Does it dishonor all heroes?
context: It was stupid of me to even ask.\No argument there.\But that isn't a certain path to victory.\You have a fatal lack of pride in your sword skills.\Yes.\Unfortunately, I am devoid of pride.\But why does that bother you?\Does it dishonor all heroes? response:	Don't make me laugh, Lancer.
