context: Wrong! That ain't even close! response:	What are you talking about?! I played it exactly right!
context: but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful...\As if... response:	Well, well. Nishimi-kun...
context: This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun... response:	You sure look like you're in a good mood. Where ya goin'?
context: Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'? response:	Don't make a fuss.
context: I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss. response:	That's not true!
context: and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true! response:	Ri-chan? What's wrong?
context: Y-You win...\Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true!\Ri-chan? What's wrong? response:	Cut it out! Let me go!
context: Kaoru-san, that was wonderful...\As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go! response:	What'd I ever do to you?
context: As if...\Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you? response:	It's my neck, is all.
context: Well, well. Nishimi-kun...\You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all. response:	These days, I got a crick in my neck that just won't quit,
context: You sure look like you're in a good mood. Where ya goin'?\Don't make a fuss.\That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit, response:	an' it's puttin' me in the worst mood.
context: Don't make a fuss.\That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood. response:	So I thought havin' a little fun like this would brighten my day.
context: That's not true!\Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day. response:	Other than that...
context: Ri-chan? What's wrong?\Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that... response:	W-What's that supposed to mean?
context: Cut it out! Let me go!\What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean? response:	He's in the kendo team, so you'd best not resist.
context: What'd I ever do to you?\It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist. response:	Sentaro!
context: It's my neck, is all.\These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro! response:	There's trouble! Come quick!
context: These days, I got a crick in my neck that just won't quit,\an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick! response:	Let's see... How can we entertain ourselves?
context: an' it's puttin' me in the worst mood.\So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves? response:	How about splitting a watermelon?
context: So I thought havin' a little fun like this would brighten my day.\Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon? response:	D-Don't...
context: Other than that...\W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't... response:	We can do better than that.
context: W-What's that supposed to mean?\He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't...\We can do better than that. response:	What do you say we pants'im?!
context: He's in the kendo team, so you'd best not resist.\Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't...\We can do better than that.\What do you say we pants'im?! response:	Now there's a good idea.
context: Sentaro!\There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't...\We can do better than that.\What do you say we pants'im?!\Now there's a good idea. response:	D-Don't...
context: There's trouble! Come quick!\Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't...\We can do better than that.\What do you say we pants'im?!\Now there's a good idea.\D-Don't... response:	Don't move. Keep nice an' quiet.
context: Let's see... How can we entertain ourselves?\How about splitting a watermelon?\D-Don't...\We can do better than that.\What do you say we pants'im?!\Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet. response:	Students from the girls' school come home this way too,
context: How about splitting a watermelon?\D-Don't...\We can do better than that.\What do you say we pants'im?!\Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too, response:	so this'll give them a good show.
context: D-Don't...\We can do better than that.\What do you say we pants'im?!\Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show. response:	Too much momentum...
context: We can do better than that.\What do you say we pants'im?!\Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum... response:	Hey! You still alive?
context: What do you say we pants'im?!\Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum...\Hey! You still alive? response:	Hey, when this jerk wakes up,
context: Now there's a good idea.\D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up, response:	tell'im that no real man gangs up on a weakling...
context: D-Don't...\Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling... response:	Wha...? It's you, Richie?!
context: Don't move. Keep nice an' quiet.\Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?! response:	W-Well, sorry about that!
context: Students from the girls' school come home this way too,\so this'll give them a good show.\Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that! response:	A-Are you okay, Yamaoka-kun?
context: so this'll give them a good show.\Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun? response:	Y-Your front tooth is...
context: Too much momentum...\Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is... response:	What are you just standing there for?
context: Hey! You still alive?\Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for? response:	I don't care how you do it, I want him eatin' dirt!
context: Hey, when this jerk wakes up,\tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt! response:	Oh, what's this?
context: tell'im that no real man gangs up on a weakling...\Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this? response:	We gonna play a game, like monkey in the middle?
context: Wha...? It's you, Richie?!\W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle? response:	Oh, no... At this rate...
context: W-Well, sorry about that!\A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate... response:	R-Ri-chan! What are you...?
context: A-Are you okay, Yamaoka-kun?\Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...? response:	Sentaro will take care of them,
context: Y-Your front tooth is...\What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them, response:	so get away!
context: What are you just standing there for?\I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away! response:	Huh? Clearly, you boys ain't used to scrappin'!
context: I don't care how you do it, I want him eatin' dirt!\Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'! response:	I look pathetic...
context: Oh, what's this?\We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic... response:	Ri-chan literally caught me with my pants down...
context: We gonna play a game, like monkey in the middle?\Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down... response:	And on top of that, she rescued me...
context: Oh, no... At this rate...\R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me... response:	Ri-chan, would you hold on to my glasses for me?
context: R-Ri-chan! What are you...?\Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me? response:	Take this!
context: Sentaro will take care of them,\so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this! response:	I think I'll pay you back for knocking out my front tooth!
context: so get away!\Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth! response:	What the hell?
context: Huh? Clearly, you boys ain't used to scrappin'!\I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell? response:	Is he dead?
context: I look pathetic...\Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead? response:	Little twerp!
context: Ri-chan literally caught me with my pants down...\And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead?\Little twerp! response:	Get'im!
context: And on top of that, she rescued me...\Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead?\Little twerp!\Get'im! response:	Alright!
context: Ri-chan, would you hold on to my glasses for me?\Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead?\Little twerp!\Get'im!\Alright! response:	Now it's startin' to get interesting!
context: Take this!\I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead?\Little twerp!\Get'im!\Alright!\Now it's startin' to get interesting! response:	Ow!
context: I think I'll pay you back for knocking out my front tooth!\What the hell?\Is he dead?\Little twerp!\Get'im!\Alright!\Now it's startin' to get interesting!\Ow! response:	Well? You up for some more?
context: What the hell?\Is he dead?\Little twerp!\Get'im!\Alright!\Now it's startin' to get interesting!\Ow!\Well? You up for some more? response:	I-I'm gonna see to it that everyone in class gives you the cold shoulder!
context: Is he dead?\Little twerp!\Get'im!\Alright!\Now it's startin' to get interesting!\Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder! response:	You an' me are in the same class?
context: Little twerp!\Get'im!\Alright!\Now it's startin' to get interesting!\Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class? response:	Can't remember seein' this guy...
context: Get'im!\Alright!\Now it's startin' to get interesting!\Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy... response:	B-Be prepared!
context: Alright!\Now it's startin' to get interesting!\Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared! response:	Huh? My neck feels better...
context: Now it's startin' to get interesting!\Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better... response:	Kaoru-san, your forehead is bleeding... Are you okay?
context: Ow!\Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay? response:	Don't worry'bout his forehead.
context: Well? You up for some more?\I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead. response:	Those fingers of yours doin' okay?
context: I-I'm gonna see to it that everyone in class gives you the cold shoulder!\You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay? response:	Huh. He's actually keeping an eye out for me...
context: You an' me are in the same class?\Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me... response:	I'm home.
context: Can't remember seein' this guy...\B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home. response:	Oh, you took another good pounding, huh?
context: B-Be prepared!\Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh? response:	Somebody's waiting for you.
context: Huh? My neck feels better...\Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you. response:	Go on downstairs.
context: Kaoru-san, your forehead is bleeding... Are you okay?\Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs. response:	Could it be Brother Jun?!
context: Don't worry'bout his forehead.\Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?! response:	Come on!
context: Those fingers of yours doin' okay?\Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?!\Come on! response:	Why is the squirt beat up, too?
context: Huh. He's actually keeping an eye out for me...\I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too? response:	He was in a fight.
context: I'm home.\Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too?\He was in a fight. response:	Brother Jun!
context: Oh, you took another good pounding, huh?\Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too?\He was in a fight.\Brother Jun! response:	Hey!
context: Somebody's waiting for you.\Go on downstairs.\Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too?\He was in a fight.\Brother Jun!\Hey! response:	Sen-boy, you been gettin' rowdy again?
context: Go on downstairs.\Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too?\He was in a fight.\Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again? response:	Yeah, well, today wasn't much of a fight.
context: Could it be Brother Jun?!\Come on!\Why is the squirt beat up, too?\He was in a fight.\Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight. response:	Well, it's good to see you're in fighting form.
context: Come on!\Why is the squirt beat up, too?\He was in a fight.\Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form. response:	So who's this cat?
context: Why is the squirt beat up, too?\He was in a fight.\Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat? response:	He's my buddy.
context: He was in a fight.\Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy. response:	Huh. Cool. An odd couple, yeah?
context: Brother Jun!\Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah? response:	Yeah!
context: Hey!\Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah! response:	Actually, we're not friends...
context: Sen-boy, you been gettin' rowdy again?\Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends... response:	Ah, well...
context: Yeah, well, today wasn't much of a fight.\Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends...\Ah, well... response:	Say, is he your brother, Ri-chan?
context: Well, it's good to see you're in fighting form.\So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan? response:	Uh-uh. Brother Jun is from next door.
context: So who's this cat?\He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door. response:	Now he's a university student in Tokyo...
context: He's my buddy.\Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo... response:	Ritsuko...
context: Huh. Cool. An odd couple, yeah?\Yeah!\Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko... response:	Mind the store for just one tune.
context: Yeah!\Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune. response:	Dad, you always say just one tune, but then you don't come up for two hours!
context: Actually, we're not friends...\Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune.\Dad, you always say just one tune, but then you don't come up for two hours! response:	It's not every day that Junichi comes back to town... right?
context: Ah, well...\Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune.\Dad, you always say just one tune, but then you don't come up for two hours!\It's not every day that Junichi comes back to town... right? response:	Ri-chan, I'm asking you, too.
context: Say, is he your brother, Ri-chan?\Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune.\Dad, you always say just one tune, but then you don't come up for two hours!\It's not every day that Junichi comes back to town... right?\Ri-chan, I'm asking you, too. response:	Next time, I'll treat you to a cream soda at our shop.
context: Uh-uh. Brother Jun is from next door.\Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune.\Dad, you always say just one tune, but then you don't come up for two hours!\It's not every day that Junichi comes back to town... right?\Ri-chan, I'm asking you, too.\Next time, I'll treat you to a cream soda at our shop. response:	How about throwing in a cream puff?
context: Now he's a university student in Tokyo...\Ritsuko...\Mind the store for just one tune.\Dad, you always say just one tune, but then you don't come up for two hours!\It's not every day that Junichi comes back to town... right?\Ri-chan, I'm asking you, too.\Next time, I'll treat you to a cream soda at our shop.\How about throwing in a cream puff? response:	Natch.
