context: Act 9 Serious Bomber response:	Oh, our lord's carriage.
context: They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor. response:	As a result, they ordered us to increase the production quota.
context: However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota. response:	So, we need to get the Dwarves to ramp up production.
context: I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production. response:	That may be, but...
context: We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but... response:	They will drop dead one after another.
context: If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another. response:	Quite a few of them have already been worked to death.
context: Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death. response:	-What the...?! -What the hell is happening?!
context: Yeah. We were told by headquarters the naval transport unit was destroyed,\putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?! response:	Did the mine collapse?!
context: putting us in dire need of weapons and armor.\As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?! response:	The soil taken from the toilet's subfloor,
context: As a result, they ordered us to increase the production quota.\So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor, response:	the sulfur from Boobienu, and charcoal...
context: So, we need to get the Dwarves to ramp up production.\That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal... response:	It's the perfect combination for...
context: That may be, but...\They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for... response:	Wh-What the...?!
context: They will drop dead one after another.\Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?! response:	The hell is going on?!
context: Quite a few of them have already been worked to death.\-What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?!\The hell is going on?! response:	The primary effect of gunpowder is...
context: -What the...?! -What the hell is happening?!\Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is... response:	nor the shrapnel that tears through flesh.
context: Did the mine collapse?!\The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh. response:	We're charging forward. Raise the battle cry!
context: The soil taken from the toilet's subfloor,\the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry! response:	The enemy is terrified. Get them!
context: the sulfur from Boobienu, and charcoal...\It's the perfect combination for...\Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them! response:	It is the sound and light, the shock and awe...
context: It's the perfect combination for...\Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe... response:	Cannons, fire arrows, and firearms all have the same effect.
context: Wh-What the...?!\The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect. response:	The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.
context: The hell is going on?!\The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm. response:	It's no surprise that Toyo knows how best to put them to use.
context: The primary effect of gunpowder is...\nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use. response:	Rush them down!
context: nor the shrapnel that tears through flesh.\We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down! response:	The enemy! It's an enemy attack!
context: We're charging forward. Raise the battle cry!\The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack! response:	Is it the Elves?!
context: The enemy is terrified. Get them!\It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?! response:	Is this a revolt?! Shit!
context: It is the sound and light, the shock and awe...\Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit! response:	Damn demihumans!
context: Cannons, fire arrows, and firearms all have the same effect.\The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans! response:	Wh-What the hell is that?!
context: The Shimazu clan controls Tanegashima, the birthplace of Japan's first firearm.\It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?! response:	Incredible!
context: It's no surprise that Toyo knows how best to put them to use.\Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?!\Incredible! response:	Wh-What a terrible concoction...
context: Rush them down!\The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction... response:	We had no clue that
context: The enemy! It's an enemy attack!\Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction...\We had no clue that response:	he was having us create such a terrible powder all along.
context: Is it the Elves?!\Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along. response:	Mix it carefully, or else we all may die. Cautiously.
context: Is this a revolt?! Shit!\Damn demihumans!\Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously. response:	Calm down. It's all right. You Elves are all incredibly dexterous.
context: Damn demihumans!\Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous. response:	Now, let's rain arrows down upon them.
context: Wh-What the hell is that?!\Incredible!\Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them. response:	These explosive arrows aren't bad.
context: Incredible!\Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad. response:	I thought they'd work about the same as fire arrows,
context: Wh-What a terrible concoction...\We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows, response:	but in the hands of Yoichi and the Elves, they became devastating weapons.
context: We had no clue that\he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons. response:	However, I wasn't expecting them to burn this well...
context: he was having us create such a terrible powder all along.\Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well... response:	We could have taken so many supplies.
context: Mix it carefully, or else we all may die. Cautiously.\Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies. response:	Oh, well, it's too bad. Such a shame.
context: Calm down. It's all right. You Elves are all incredibly dexterous.\Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame. response:	What the hell is happening?!
context: Now, let's rain arrows down upon them.\These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?! response:	Who knows?!
context: These explosive arrows aren't bad.\I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?! response:	Shout! Shout! Bring them to their knees!
context: I thought they'd work about the same as fire arrows,\but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees! response:	It's going to blow! The fire is rapidly spreading!
context: but in the hands of Yoichi and the Elves, they became devastating weapons.\However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading! response:	Run! They have us surrounded!
context: However, I wasn't expecting them to burn this well...\We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded! response:	They will kill us all! Run!
context: We could have taken so many supplies.\Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run! response:	Wh-What the...?!
context: Oh, well, it's too bad. Such a shame.\What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?! response:	The hell is happening?!
context: What the hell is happening?!\Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?!\The hell is happening?! response:	Don't give them the chance to rally!
context: Who knows?!\Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally! response:	Destroy them all!
context: Shout! Shout! Bring them to their knees!\It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally!\Destroy them all! response:	Hey, this looks bad. Let's get out of here!
context: It's going to blow! The fire is rapidly spreading!\Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here! response:	Eh?!
context: Run! They have us surrounded!\They will kill us all! Run!\Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?! response:	To the castle town! Charge forward!
context: They will kill us all! Run!\Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward! response:	Go invade the town!
context: Wh-What the...?!\The hell is happening?!\Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward!\Go invade the town! response:	The ground you step on is Orte's largest armory,
context: The hell is happening?!\Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory, response:	and this land is protected by us, the Armored Guards Corps of Orte!
context: Don't give them the chance to rally!\Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte! response:	We shall not give in to you rebels.
context: Destroy them all!\Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels. response:	Heavy armor, heavy swords, heavy spears...
context: Hey, this looks bad. Let's get out of here!\Eh?!\To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears... response:	Withdraw!
context: Eh?!\To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw! response:	Running?
context: To the castle town! Charge forward!\Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw!\Running? response:	We won't let you!
context: Go invade the town!\The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw!\Running?\We won't let you! response:	Olminu... I wonder if she is doing all right.
context: The ground you step on is Orte's largest armory,\and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw!\Running?\We won't let you!\Olminu... I wonder if she is doing all right. response:	There should be no problems.
context: and this land is protected by us, the Armored Guards Corps of Orte!\We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw!\Running?\We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems. response:	Those guys from the deserted castle
context: We shall not give in to you rebels.\Heavy armor, heavy swords, heavy spears...\Withdraw!\Running?\We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle response:	should be able to put Olminu's powers to full effect.
context: Heavy armor, heavy swords, heavy spears...\Withdraw!\Running?\We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect. response:	Olminu of Stone Coffins.
context: Withdraw!\Running?\We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins. response:	Her casting of the Stone Wall Spell is...
context: Running?\We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is... response:	In fact, she is probably the most talented one among you...
context: We won't let you!\Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you... response:	Ah, you sound like a dirty old man.
context: Olminu... I wonder if she is doing all right.\There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man. response:	Coming from someone who is actually 83 years old, that fits.
context: There should be no problems.\Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits. response:	Wh-What the hell is that?!
context: Those guys from the deserted castle\should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?! response:	Toss them over!
context: should be able to put Olminu's powers to full effect.\Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over! response:	The enemy is falling apart. Perfect opportunity!
context: Olminu of Stone Coffins.\Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity! response:	Worth its weight in gold.
context: Her casting of the Stone Wall Spell is...\In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold. response:	Let's go!
context: In fact, she is probably the most talented one among you...\Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go! response:	Our heavy infantry was destroyed!
context: Ah, you sound like a dirty old man.\Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed! response:	Damn it... What the hell?!
context: Coming from someone who is actually 83 years old, that fits.\Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?! response:	The gate! Close the gate!
context: Wh-What the hell is that?!\Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate! response:	Close the gate!
context: Toss them over!\The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate!\Close the gate! response:	It's amazing he used the Stone Walls in that way.
context: The enemy is falling apart. Perfect opportunity!\Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way. response:	Well done, Toyohisa! As might be expected... that was a dirty trick.
context: Worth its weight in gold.\Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick. response:	The spell was supposed to be for defense.
context: Let's go!\Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense. response:	Instead, he used it to annihilate the enemy.
context: Our heavy infantry was destroyed!\Damn it... What the hell?!\The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy. response:	It is as if he were born to take on the battlefield himself.
context: Damn it... What the hell?!\The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself. response:	Yet, they closed the castle gate. That could be problematic...
context: The gate! Close the gate!\Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself.\Yet, they closed the castle gate. That could be problematic... response:	Huh?
context: Close the gate!\It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself.\Yet, they closed the castle gate. That could be problematic...\Huh? response:	Grandpa, are those raspberries good?
context: It's amazing he used the Stone Walls in that way.\Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself.\Yet, they closed the castle gate. That could be problematic...\Huh?\Grandpa, are those raspberries good? response:	They're good.
context: Well done, Toyohisa! As might be expected... that was a dirty trick.\The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself.\Yet, they closed the castle gate. That could be problematic...\Huh?\Grandpa, are those raspberries good?\They're good. response:	Why did he even come with us?
context: The spell was supposed to be for defense.\Instead, he used it to annihilate the enemy.\It is as if he were born to take on the battlefield himself.\Yet, they closed the castle gate. That could be problematic...\Huh?\Grandpa, are those raspberries good?\They're good.\Why did he even come with us? response:	How are we supposed to deal with this stupid southern barbarian?
