context: From when I was little, I had a question in my mind. response:	Why am I only myself, and not someone else?
context: So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers, response:	memorize the answers, and fill in my answers after returning... and I repeat that.
context: At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that. response:	Year-End Test Standings 1 - Yu Otosaka
context: only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka response:	Of course, I'm planning on attending a very prestigious high school.
context: That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school. response:	However, unlike a normal test, I don't know who is intelligent during an entrance exam...
context: You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam... response:	Ever since, I've snuck into prestigious cram schools one after another,
context: But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another, response:	pretending to be a student of that cram school.
context: Five minutes before time.\I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school. response:	Which student facing entrance exams apply to which schools?
context: I could possess one smart guy in class after another, memorize the answers,\memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools? response:	And which subjects were they best at?
context: memorize the answers, and fill in my answers after returning... and I repeat that.\Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at? response:	I researched all of that very thoroughly.
context: Year-End Test Standings 1 - Yu Otosaka\Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly. response:	High School Entrance Exam Venue
context: Of course, I'm planning on attending a very prestigious high school.\However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue response:	And so, I found one student after another that was vying to enter the same school as I was.
context: However, unlike a normal test, I don't know who is intelligent during an entrance exam...\Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was. response:	And successfully got admitted to an elite high school.
context: Ever since, I've snuck into prestigious cram schools one after another,\pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school. response:	Entrance Ceremony
context: pretending to be a student of that cram school.\Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony response:	Now, a word from the representative for the new students.
context: Which student facing entrance exams apply to which schools?\And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students. response:	Yu Otosaka, please go ahead.
context: And which subjects were they best at?\I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead. response:	Yes!
context: I researched all of that very thoroughly.\High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes! response:	So that means he's the top of the class!
context: High School Entrance Exam Venue\And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class! response:	And he's good-looking to boot...!
context: And so, I found one student after another that was vying to enter the same school as I was.\And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class!\And he's good-looking to boot...! response:	Entrance Ceremony
context: And successfully got admitted to an elite high school.\Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony response:	Today, for us new students, you have organized a grand ceremony of this sort,
context: Entrance Ceremony\Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort, response:	and we are deeply in gratitude for it.
context: Now, a word from the representative for the new students.\Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it. response:	Wrapped in the warm rays of the spring sunshine,
context: Yu Otosaka, please go ahead.\Yes!\So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine, response:	we are now able to be a part of the well-established ranks of Hinomori High School.
context: Yes!\So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School. response:	Hey, hey...
context: So that means he's the top of the class!\And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey... response:	Isn't he attractive?
context: And he's good-looking to boot...!\Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive? response:	Yeah, he might be your type, Mitchon.
context: Entrance Ceremony\Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon. response:	Huh? What? Yumi doesn't seem to be against the idea either?
context: Today, for us new students, you have organized a grand ceremony of this sort,\and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either? response:	We are very grateful for this opportunity today.
context: and we are deeply in gratitude for it.\Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today. response:	Previous Term Class Ranking 1 - Yu Otosaka
context: Wrapped in the warm rays of the spring sunshine,\we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka response:	Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.
context: we are now able to be a part of the well-established ranks of Hinomori High School.\Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night. response:	This again...
context: Hey, hey...\Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again... response:	Stuff like this is happening more often.
context: Isn't he attractive?\Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often. response:	Not only am I superior as the top of the class academically,
context: Yeah, he might be your type, Mitchon.\Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically, response:	I'm one of the more physically attractive.
context: Huh? What? Yumi doesn't seem to be against the idea either?\We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive. response:	It's impossible to not be popular among girls like this.
context: We are very grateful for this opportunity today.\Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this. response:	Sheesh, I'll hurry them all on home.
context: Previous Term Class Ranking 1 - Yu Otosaka\Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home. response:	I'm sorry for calling you over all the way out here!
context: Sorry for the sudden email: My name is Sugimoto from Class 1-2. Will you possibly come to the back of the school building after school? I will be waiting for you till the night.\This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here! response:	That's fine. What did you want from me?
context: This again...\Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me? response:	Um, I'm fine from starting as just friends...
context: Stuff like this is happening more often.\Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends... response:	But can you think about dating me, please?
context: Not only am I superior as the top of the class academically,\I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please? response:	Well... In order to keep my grades up at where they are now,
context: I'm one of the more physically attractive.\It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now, response:	I have to shave time to sleep to keep studying.
context: It's impossible to not be popular among girls like this.\Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying. response:	I don't have the luxury of dealing with other people. So, I'm sorry.
context: Sheesh, I'll hurry them all on home.\I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry. response:	Of course that's a pack of lies. I don't study whatsoever.
context: I'm sorry for calling you over all the way out here!\That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever. response:	I see, I understand. I'm sorry for calling you out like this so suddenly!
context: That's fine. What did you want from me?\Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly! response:	There's no way I would choose normal girls like you ilk.
context: Um, I'm fine from starting as just friends...\But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk. response:	The one I'm after...
context: But can you think about dating me, please?\Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after... response:	So Yumi, you missed the special program from yesterday?!
context: Well... In order to keep my grades up at where they are now,\I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?! response:	Of course, is the madonna of this school...
context: I have to shave time to sleep to keep studying.\I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school... response:	Yumi Shirayanagi.
context: I don't have the luxury of dealing with other people. So, I'm sorry.\Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi. response:	I will...
context: Of course that's a pack of lies. I don't study whatsoever.\I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi.\I will... response:	I know I will definitely get a chance.
context: I see, I understand. I'm sorry for calling you out like this so suddenly!\There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi.\I will...\I know I will definitely get a chance. response:	It all lies in how I use the five seconds, which are the limits of my ability!
context: There's no way I would choose normal girls like you ilk.\The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi.\I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability! response:	And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!
context: The one I'm after...\So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi.\I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up! response:	That's it!
context: So Yumi, you missed the special program from yesterday?!\Of course, is the madonna of this school...\Yumi Shirayanagi.\I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it! response:	So...
context: Of course, is the madonna of this school...\Yumi Shirayanagi.\I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So... response:	Mitchon, what's wrong?
context: Yumi Shirayanagi.\I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So...\Mitchon, what's wrong? response:	Call the police!
context: I will...\I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So...\Mitchon, what's wrong?\Call the police! response:	Are you all right?
context: I know I will definitely get a chance.\It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So...\Mitchon, what's wrong?\Call the police!\Are you all right? response:	Oh, it looks like he's okay.
context: It all lies in how I use the five seconds, which are the limits of my ability!\And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So...\Mitchon, what's wrong?\Call the police!\Are you all right?\Oh, it looks like he's okay. response:	I'm so glad...
context: And so, I was texting until 3 o'clock last night, so I overslept... it was so hard for me to get up!\That's it!\So...\Mitchon, what's wrong?\Call the police!\Are you all right?\Oh, it looks like he's okay.\I'm so glad... response:	That was close, but that went according to plan...
context: That's it!\So...\Mitchon, what's wrong?\Call the police!\Are you all right?\Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan... response:	Yumi!
context: So...\Mitchon, what's wrong?\Call the police!\Are you all right?\Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan...\Yumi! response:	Are you all right?
context: Mitchon, what's wrong?\Call the police!\Are you all right?\Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan...\Yumi!\Are you all right? response:	That was a close one.
context: Call the police!\Are you all right?\Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan...\Yumi!\Are you all right?\That was a close one. response:	Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!
context: Are you all right?\Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan...\Yumi!\Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you! response:	Is that true...?
context: Oh, it looks like he's okay.\I'm so glad...\That was close, but that went according to plan...\Yumi!\Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...? response:	Yeah. Are you hurt anywhere?
context: I'm so glad...\That was close, but that went according to plan...\Yumi!\Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere? response:	Let's go to the nurse's office. Can you walk?
context: That was close, but that went according to plan...\Yumi!\Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk? response:	Yes...
context: Yumi!\Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes... response:	Then, I'll go home now.
context: Are you all right?\That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now. response:	Please wait!
context: That was a close one.\Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now.\Please wait! response:	U-Um...
context: Yumi, you were about to be run over by a truck when Otosaka from class 1 saved you!\Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now.\Please wait!\U-Um... response:	The two of us were about to go eat our favorite pancakes together...
context: Is that true...?\Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now.\Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together... response:	would you like to come with us?
context: Yeah. Are you hurt anywhere?\Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now.\Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us? response:	I'll have to pass. It's better to keep that among friends, right?
