context: What, you drink? I didn't know. response:	I feel bad...
context: 'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today. response:	Don't make me say the obvious, it's embarrassing.
context: Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing. response:	Manato?
context: See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato? response:	Haruhiro.
context: Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro. response:	You're still awake.
context: What's up?\Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro.\You're still awake. response:	Huh?
context: Not to mention, the girls are there now.\Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro.\You're still awake.\Huh? response:	Were you drinking, Manato?
context: Listen up!\You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro.\You're still awake.\Huh?\Were you drinking, Manato? response:	Hm?
context: You see now? It means I'm crossing a moral boundary today.\Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro.\You're still awake.\Huh?\Were you drinking, Manato?\Hm? response:	Yeah, a little.
context: Don't make me say the obvious, it's embarrassing.\Manato?\Haruhiro.\You're still awake.\Huh?\Were you drinking, Manato?\Hm?\Yeah, a little. response:	Ohhh, you drink.
context: Manato?\Haruhiro.\You're still awake.\Huh?\Were you drinking, Manato?\Hm?\Yeah, a little.\Ohhh, you drink. response:	There's a place near the square on Hanazono Street called Shelly's Tavern.
context: Haruhiro.\You're still awake.\Huh?\Were you drinking, Manato?\Hm?\Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern. response:	It's become a hangout place for Volunteer Soldiers.
context: You're still awake.\Huh?\Were you drinking, Manato?\Hm?\Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers. response:	I was gathering information there.
context: Huh?\Were you drinking, Manato?\Hm?\Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there. response:	Oh...
context: Were you drinking, Manato?\Hm?\Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh... response:	I can't believe you'd go out of your way to do that for us.
context: Hm?\Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us. response:	Drinks are definitely not cheap for dirt-poor people like us.
context: Yeah, a little.\Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us. response:	I've actually gotten used to living like this pretty quickly.
context: Ohhh, you drink.\There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly. response:	Yeah.
context: There's a place near the square on Hanazono Street called Shelly's Tavern.\It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah. response:	Thanks.
context: It's become a hangout place for Volunteer Soldiers.\I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks. response:	Somehow... sorry.
context: I was gathering information there.\Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks.\Somehow... sorry. response:	You do it all while we sleep.
context: Oh...\I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks.\Somehow... sorry.\You do it all while we sleep. response:	I'm thinking of changing locations tomorrow.
context: I can't believe you'd go out of your way to do that for us.\Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks.\Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow. response:	There's a place with monsters that even we should be able to beat.
context: Drinks are definitely not cheap for dirt-poor people like us.\I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks.\Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat. response:	You should've taken me with you to the tavern.
context: I've actually gotten used to living like this pretty quickly.\Yeah.\Thanks.\Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern. response:	Do you drink, Haruhiro?
context: Yeah.\Thanks.\Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro? response:	Hmmm, who knows.
context: Thanks.\Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows. response:	I wonder if I've had alcohol before.
context: Somehow... sorry.\You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before. response:	Maybe not.
context: You do it all while we sleep.\I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not. response:	Apparently, I kind of like it.
context: I'm thinking of changing locations tomorrow.\There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it. response:	So maybe I actually wanted to drink, too.
context: There's a place with monsters that even we should be able to beat.\You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too. response:	I hope we can go with everybody next time.
context: You should've taken me with you to the tavern.\Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time. response:	Yeah.
context: Do you drink, Haruhiro?\Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah. response:	That would be nice.
context: Hmmm, who knows.\I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah.\That would be nice. response:	How was the Thief Guild?
context: I wonder if I've had alcohol before.\Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah.\That would be nice.\How was the Thief Guild? response:	Mm, I didn't expect it to be so rough, and my teacher was crazy.
context: Maybe not.\Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah.\That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy. response:	She was pretty, but scary.
context: Apparently, I kind of like it.\So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah.\That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary. response:	Ehhh, nice.
context: So maybe I actually wanted to drink, too.\I hope we can go with everybody next time.\Yeah.\That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice. response:	I had a strict, thick-bearded master with a painfully loud voice.
context: I hope we can go with everybody next time.\Yeah.\That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice. response:	It was so bad that my ears were hurt.
context: Yeah.\That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt. response:	How much did you get yelled at?
context: That would be nice.\How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at? response:	I don't remember.
context: How was the Thief Guild?\Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember. response:	Enough to make me believe I was born just to be yelled at.
context: Mm, I didn't expect it to be so rough, and my teacher was crazy.\She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at. response:	He was constantly yelling at me.
context: She was pretty, but scary.\Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me. response:	I didn't know stuff like that happens to you, too.
context: Ehhh, nice.\I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too. response:	It does.
context: I had a strict, thick-bearded master with a painfully loud voice.\It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does. response:	Of course it does.
context: It was so bad that my ears were hurt.\How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does.\Of course it does. response:	Manato...
context: How much did you get yelled at?\I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does.\Of course it does.\Manato... response:	Hm?
context: I don't remember.\Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does.\Of course it does.\Manato...\Hm? response:	Good work.
context: Enough to make me believe I was born just to be yelled at.\He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does.\Of course it does.\Manato...\Hm?\Good work. response:	The moon... is so red.
context: He was constantly yelling at me.\I didn't know stuff like that happens to you, too.\It does.\Of course it does.\Manato...\Hm?\Good work.\The moon... is so red. response:	Yeah.
context: I didn't know stuff like that happens to you, too.\It does.\Of course it does.\Manato...\Hm?\Good work.\The moon... is so red.\Yeah. response:	I don't know where this place is.
context: It does.\Of course it does.\Manato...\Hm?\Good work.\The moon... is so red.\Yeah.\I don't know where this place is. response:	I don't know how we got here...
context: Of course it does.\Manato...\Hm?\Good work.\The moon... is so red.\Yeah.\I don't know where this place is.\I don't know how we got here... response:	But... one thing is for sure.
context: Manato...\Hm?\Good work.\The moon... is so red.\Yeah.\I don't know where this place is.\I don't know how we got here...\But... one thing is for sure. response:	The moon wasn't red at the other place.
context: Hm?\Good work.\The moon... is so red.\Yeah.\I don't know where this place is.\I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place. response:	A red moon is just... weird.
context: Good work.\The moon... is so red.\Yeah.\I don't know where this place is.\I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird. response:	Repeating a yesterday filled with scrapes,
context: The moon... is so red.\Yeah.\I don't know where this place is.\I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: Yeah.\I don't know where this place is.\I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: I don't know where this place is.\I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: I don't know how we got here...\But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: But... one thing is for sure.\The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: The moon wasn't red at the other place.\A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: A red moon is just... weird.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	Is a gobs there?
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there? response:	There is. One.
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One. response:	On his own?
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One.\On his own? response:	I think so.
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One.\On his own?\I think so. response:	He armed?
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One.\On his own?\I think so.\He armed? response:	With sword.
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One.\On his own?\I think so.\He armed?\With sword. response:	Okay, let's go!
context: I will reach out my hands to seek the light, again and again.\Is a gobs there?\There is. One.\On his own?\I think so.\He armed?\With sword.\Okay, let's go! response:	We should have decided on some sort of signal.
context: Is a gobs there?\There is. One.\On his own?\I think so.\He armed?\With sword.\Okay, let's go!\We should have decided on some sort of signal. response:	Huh? Already?!
context: There is. One.\On his own?\I think so.\He armed?\With sword.\Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?! response:	Stupid Ranta!
context: On his own?\I think so.\He armed?\With sword.\Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta! response:	There's no point in a surprise attack if you're that loud!
context: I think so.\He armed?\With sword.\Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud! response:	There!
context: He armed?\With sword.\Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There! response:	Nice, Yume!
context: With sword.\Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There!\Nice, Yume! response:	Who are you fighting? Geez...
context: Okay, let's go!\We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There!\Nice, Yume!\Who are you fighting? Geez... response:	What? So I'm attacking first?!
context: We should have decided on some sort of signal.\Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There!\Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?! response:	It's not what Thieves usually do!
context: Huh? Already?!\Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There!\Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do! response:	Our reaches are completely different.
context: Stupid Ranta!\There's no point in a surprise attack if you're that loud!\There!\Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different. response:	I know, I'll use a Slap to his wrist!
context: There's no point in a surprise attack if you're that loud!\There!\Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist! response:	Too shallow?
context: There!\Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow? response:	Don't stop moving!
context: Nice, Yume!\Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving! response:	Hatred!
context: Who are you fighting? Geez...\What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving!\Hatred! response:	Ugh, gross.
context: What? So I'm attacking first?!\It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving!\Hatred!\Ugh, gross. response:	Marque, Em, Parc!
context: It's not what Thieves usually do!\Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving!\Hatred!\Ugh, gross.\Marque, Em, Parc! response:	Moguzo, get in front of the goblin!
context: Our reaches are completely different.\I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving!\Hatred!\Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin! response:	O-Okay!
context: I know, I'll use a Slap to his wrist!\Too shallow?\Don't stop moving!\Hatred!\Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay! response:	Everybody, surround him!
context: Too shallow?\Don't stop moving!\Hatred!\Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him! response:	Don't let him run away!
context: Don't stop moving!\Hatred!\Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him!\Don't let him run away! response:	Moguzo!
context: Hatred!\Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him!\Don't let him run away!\Moguzo! response:	Keep pressuring him!
context: Ugh, gross.\Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him!\Don't let him run away!\Moguzo!\Keep pressuring him! response:	Pressuring! Pressuring!
context: Marque, Em, Parc!\Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him!\Don't let him run away!\Moguzo!\Keep pressuring him!\Pressuring! Pressuring! response:	Did I get him?!
context: Moguzo, get in front of the goblin!\O-Okay!\Everybody, surround him!\Don't let him run away!\Moguzo!\Keep pressuring him!\Pressuring! Pressuring!\Did I get him?! response:	Did I just cut into his... his bone?
context: O-Okay!\Everybody, surround him!\Don't let him run away!\Moguzo!\Keep pressuring him!\Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone? response:	Gross.
context: Everybody, surround him!\Don't let him run away!\Moguzo!\Keep pressuring him!\Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone?\Gross. response:	H-He's scary.
context: Don't let him run away!\Moguzo!\Keep pressuring him!\Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone?\Gross.\H-He's scary. response:	The goblin is desperate, too.
context: Moguzo!\Keep pressuring him!\Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone?\Gross.\H-He's scary.\The goblin is desperate, too. response:	He doesn't want to be killed.
context: Keep pressuring him!\Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone?\Gross.\H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed. response:	There's no way he would.
context: Pressuring! Pressuring!\Did I get him?!\Did I just cut into his... his bone?\Gross.\H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed.\There's no way he would. response:	I'll get you before you get me.
context: Did I get him?!\Did I just cut into his... his bone?\Gross.\H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed.\There's no way he would.\I'll get you before you get me. response:	Of course I don't understand his words...
context: Did I just cut into his... his bone?\Gross.\H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed.\There's no way he would.\I'll get you before you get me.\Of course I don't understand his words... response:	Don't lose your heads, you guys!
context: Gross.\H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed.\There's no way he would.\I'll get you before you get me.\Of course I don't understand his words...\Don't lose your heads, you guys! response:	It's kill or be killed!
context: H-He's scary.\The goblin is desperate, too.\He doesn't want to be killed.\There's no way he would.\I'll get you before you get me.\Of course I don't understand his words...\Don't lose your heads, you guys!\It's kill or be killed! response:	I-I'm gonna kill this guy and accumulate my Vice.
