context: Makishima has been arrested. response:	The helmet criminals have been wiped out.
context: Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous? response:	In this society, people depend on things that are convenient but also dangerous.
context: In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous. response:	Our government made us take risks.
context: But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks. response:	But the risks were dispersed and distributed so cleverly that no one was able to notice.
context: We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice. response:	Or rather, they did notice, but they pretended that they didn't.
context: What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't. response:	Everyone might have been looking the other way.
context: Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way. response:	I'd say that it's precisely because these things were so dangerous
context: Right now, we still live in a dangerous world.\Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous response:	that they had to act as if nothing was wrong in order to keep their sanity.
context: Dangerous?\In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity. response:	Do you think all the citizens of this town, myself included, were that resourceful?
context: In this society, people depend on things that are convenient but also dangerous.\Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful? response:	I don't like to lump people together when I speak, since everyone is different,
context: Our government made us take risks.\But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different, response:	but I'll generalize broadly here.
context: But the risks were dispersed and distributed so cleverly that no one was able to notice.\Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here. response:	I think humans in general are resourceful creatures.
context: Or rather, they did notice, but they pretended that they didn't.\Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures. response:	We can involuntarily try to avoid our responsibilities.
context: Everyone might have been looking the other way.\I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities. response:	I guess I'm rambling.
context: I'd say that it's precisely because these things were so dangerous\that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling. response:	Maybe I'm nervous too.
context: that they had to act as if nothing was wrong in order to keep their sanity.\Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too. response:	The problem is what happens next. How they're going to judge Makishima.
context: Do you think all the citizens of this town, myself included, were that resourceful?\I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima. response:	It's far more difficult and troublesome a task than just shooting a Dominator.
context: I don't like to lump people together when I speak, since everyone is different,\but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator. response:	But we can't let him get away.
context: but I'll generalize broadly here.\I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away. response:	It's an undeniable fact that he committed crimes.
context: I think humans in general are resourceful creatures.\We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes. response:	Not to mention that we still have that idiot Kagari to worry about.
context: We can involuntarily try to avoid our responsibilities.\I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about. response:	He went down to the basement on his own.
context: I guess I'm rambling.\Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own. response:	Why did we lose communication with him there?
context: Maybe I'm nervous too.\The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there? response:	It's one day after the nightmarish riots.
context: The problem is what happens next. How they're going to judge Makishima.\It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots. response:	This is like dealing with the aftermath of a pandemic.
context: It's far more difficult and troublesome a task than just shooting a Dominator.\But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic. response:	A Psycho-Hazard is a mental disease.
context: But we can't let him get away.\It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease. response:	This is what happens when it's allowed to spread.
context: It's an undeniable fact that he committed crimes.\Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread. response:	A large number of people needing mental care,
context: Not to mention that we still have that idiot Kagari to worry about.\He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care, response:	housing facilities overflowing with people,
context: He went down to the basement on his own.\Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people, response:	and economic losses due to crippled city functions.
context: Why did we lose communication with him there?\It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions. response:	Makishima was a monstrous man.
context: It's one day after the nightmarish riots.\This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man. response:	It's too early to talk about him in the past tense.
context: This is like dealing with the aftermath of a pandemic.\A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense. response:	There's still the matter of his sentencing.
context: A Psycho-Hazard is a mental disease.\This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing. response:	The judiciary has been abolished for a while now,
context: This is what happens when it's allowed to spread.\A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now, response:	so I imagine it'll be quite difficult to prosecute someone based solely on evidence.
context: A large number of people needing mental care,\housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence. response:	We're counting on you, Inspector.
context: housing facilities overflowing with people,\and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector. response:	You're acting too friendly, Enforcer.
context: and economic losses due to crippled city functions.\Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer. response:	Okay, okay.
context: Makishima was a monstrous man.\It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay. response:	I've been called in by the Chief.
context: It's too early to talk about him in the past tense.\There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief. response:	The cases Makishima was involved in
context: There's still the matter of his sentencing.\The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in response:	will be investigated by a special team formed by the Minister of Welfare.
context: The judiciary has been abolished for a while now,\so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare. response:	The Public Safety Bureau has no further authority to investigate this matter.
context: so I imagine it'll be quite difficult to prosecute someone based solely on evidence.\We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter. response:	Excuse me?
context: We're counting on you, Inspector.\You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me? response:	This is quite a unique case.
context: You're acting too friendly, Enforcer.\Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case. response:	Medical staff need to be present when he is questioned,
context: Okay, okay.\I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned, response:	and we need to keep all information strictly confidential.
context: I've been called in by the Chief.\The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential. response:	Makishima Shougo was very likely to have been involved in various crimes in the past.
context: The cases Makishima was involved in\will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past. response:	In order for the facts to come to light, the Bureau needs to be able to interrogate him!
context: will be investigated by a special team formed by the Minister of Welfare.\The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him! response:	Are there any unsolved cases among those past crimes you mentioned?
context: The Public Safety Bureau has no further authority to investigate this matter.\Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned? response:	No... But...
context: Excuse me?\This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But... response:	Makishima will be disposed of as a research sample.
context: This is quite a unique case.\Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample. response:	Or rather, he has been disposed of.
context: Medical staff need to be present when he is questioned,\and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of. response:	And you have more to worry about at Division 1 than an arrested criminal, do you not?
context: and we need to keep all information strictly confidential.\Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not? response:	An Enforcer escaped,
context: Makishima Shougo was very likely to have been involved in various crimes in the past.\In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped, response:	and he's still missing.
context: In order for the facts to come to light, the Bureau needs to be able to interrogate him!\Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing. response:	We still don't know if he really escaped.
context: Are there any unsolved cases among those past crimes you mentioned?\No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped. response:	The Sibyl System has already been restored.
context: No... But...\Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored. response:	Enforcer Kagari hasn't been caught by the surveillance network
context: Makishima will be disposed of as a research sample.\Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network response:	because he's taking care to steer clear of it as he moves about.
context: Or rather, he has been disposed of.\And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about. response:	As it stands, you'll be held responsible.
context: And you have more to worry about at Division 1 than an arrested criminal, do you not?\An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible. response:	That's... Well...
context: An Enforcer escaped,\and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well... response:	Give me a break!
context: and he's still missing.\We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well...\Give me a break! response:	I demand an acceptable explanation!
context: We still don't know if he really escaped.\The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well...\Give me a break!\I demand an acceptable explanation! response:	What makes you think you can talk to me like that?! You're an Enforcer!
context: The Sibyl System has already been restored.\Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well...\Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer! response:	This is not the time to discuss our positions!
context: Enforcer Kagari hasn't been caught by the surveillance network\because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well...\Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer!\This is not the time to discuss our positions! response:	We're the ones who arrested him! It makes no damn sense that we can't even question him!
context: because he's taking care to steer clear of it as he moves about.\As it stands, you'll be held responsible.\That's... Well...\Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer!\This is not the time to discuss our positions!\We're the ones who arrested him! It makes no damn sense that we can't even question him! response:	It wasn't my decision.
context: As it stands, you'll be held responsible.\That's... Well...\Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer!\This is not the time to discuss our positions!\We're the ones who arrested him! It makes no damn sense that we can't even question him!\It wasn't my decision. response:	If you want to complain...
context: That's... Well...\Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer!\This is not the time to discuss our positions!\We're the ones who arrested him! It makes no damn sense that we can't even question him!\It wasn't my decision.\If you want to complain... response:	If you want to complain, talk to the Chief directly. Is that it?
context: Give me a break!\I demand an acceptable explanation!\What makes you think you can talk to me like that?! You're an Enforcer!\This is not the time to discuss our positions!\We're the ones who arrested him! It makes no damn sense that we can't even question him!\It wasn't my decision.\If you want to complain...\If you want to complain, talk to the Chief directly. Is that it? response:	I'm an Enforcer. There's no way in hell they'd let me see the Chief, is there?!
