context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: What's insane is your lack of vocabulary.\Yui...\U-Um...\So, here!\Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks! response:	You're the best, Michimiya! You're so thoughtful.
context: Yui...\U-Um...\So, here!\Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful. response:	Huh? I-It's not a big deal...
context: U-Um...\So, here!\Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal... response:	I'll put it on the bench.
context: So, here!\Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench. response:	Hope you'll cheer us on!
context: Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on! response:	Leave it to us!
context: Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us! response:	I'm impressed you were even able to give it to him.
context: It's for all of you guys, and for us, too... so it's not like...\Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him. response:	The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno
context: Oh, thanks!\You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno response:	Wow...
context: You're the best, Michimiya! You're so thoughtful.\Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow... response:	So this is the finals... There're so many people.
context: Huh? I-It's not a big deal...\I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people. response:	Ryu, this is no time to be scared!
context: I'll put it on the bench.\Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared! response:	I'm not scared.
context: Hope you'll cheer us on!\Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared. response:	Listen, Ryu. Picture this.
context: Leave it to us!\I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this. response:	The finals... Our opponents are Shiratorizawa.
context: I'm impressed you were even able to give it to him.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa. response:	What do you think is going to happen when we play to a crowd this big?
context: The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big? response:	What's going to happen?
context: Wow...\So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen? response:	They always look so much cooler when they're good players.
context: So this is the finals... There're so many people.\Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players. response:	Hup.
context: Ryu, this is no time to be scared!\I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players.\Hup. response:	Bam.
context: I'm not scared.\Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players.\Hup.\Bam. response:	Yeah!
context: Listen, Ryu. Picture this.\The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players.\Hup.\Bam.\Yeah! response:	Nishinoya-kun! Tanaka-kun! You're amazing!
context: The finals... Our opponents are Shiratorizawa.\What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players.\Hup.\Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing! response:	Nishinoya-kun, Tanaka-kun.
context: What do you think is going to happen when we play to a crowd this big?\What's going to happen?\They always look so much cooler when they're good players.\Hup.\Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun. response:	D-Do your best out there.
context: What's going to happen?\They always look so much cooler when they're good players.\Hup.\Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there. response:	Noya-san, I'm gonna do this!
context: They always look so much cooler when they're good players.\Hup.\Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this! response:	I'm gonna become a hero after this match.
context: Hup.\Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match. response:	I'm not gonna lose, Ryu!
context: Bam.\Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu! response:	They seem more hyped up than usual.
context: Yeah!\Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual. response:	Hey, you're embarrassing us, so stop screaming!
context: Nishinoya-kun! Tanaka-kun! You're amazing!\Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming! response:	Guts! Guts! Guts! Guts!
context: Nishinoya-kun, Tanaka-kun.\D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts! response:	I'm glad those guys never change.
context: D-Do your best out there.\Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change. response:	Shut up, you two!
context: Noya-san, I'm gonna do this!\I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two! response:	As expected...
context: I'm gonna become a hero after this match.\I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two!\As expected... response:	Come on, let's go.
context: I'm not gonna lose, Ryu!\They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two!\As expected...\Come on, let's go. response:	Yeah!
context: They seem more hyped up than usual.\Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two!\As expected...\Come on, let's go.\Yeah! response:	Hinata, do you need to go to the bathroom?
context: Hey, you're embarrassing us, so stop screaming!\Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two!\As expected...\Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom? response:	I just went!
context: Guts! Guts! Guts! Guts!\I'm glad those guys never change.\Shut up, you two!\As expected...\Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom?\I just went! response:	Sho-chan!
context: I'm glad those guys never change.\Shut up, you two!\As expected...\Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom?\I just went!\Sho-chan! response:	I-Izumin! Koji!
context: Shut up, you two!\As expected...\Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom?\I just went!\Sho-chan!\I-Izumin! Koji! response:	Hey, it's been a while!
context: As expected...\Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom?\I just went!\Sho-chan!\I-Izumin! Koji!\Hey, it's been a while! response:	Oh! They're from my middle school volley... I mean...
context: Come on, let's go.\Yeah!\Hinata, do you need to go to the bathroom?\I just went!\Sho-chan!\I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean... response:	They're the people who helped me during my volleyball match!
context: Yeah!\Hinata, do you need to go to the bathroom?\I just went!\Sho-chan!\I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match! response:	I was on the basketball team.
context: Hinata, do you need to go to the bathroom?\I just went!\Sho-chan!\I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team. response:	I was on the soccer team.
context: I just went!\Sho-chan!\I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team. response:	I was wondering why there was someone with really good footwork.
context: Sho-chan!\I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork. response:	He's...
context: I-Izumin! Koji!\Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's... response:	Why's he here?!
context: Hey, it's been a while!\Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's...\Why's he here?! response:	I said the same thing at first.
context: Oh! They're from my middle school volley... I mean...\They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's...\Why's he here?!\I said the same thing at first. response:	He had a lot going on before.
context: They're the people who helped me during my volleyball match!\I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's...\Why's he here?!\I said the same thing at first.\He had a lot going on before. response:	Isn't that the King?
context: I was on the basketball team.\I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's...\Why's he here?!\I said the same thing at first.\He had a lot going on before.\Isn't that the King? response:	Are you sure you'll be okay, Shoyo?
context: I was on the soccer team.\I was wondering why there was someone with really good footwork.\He's...\Why's he here?!\I said the same thing at first.\He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo? response:	Just watch.
context: I was wondering why there was someone with really good footwork.\He's...\Why's he here?!\I said the same thing at first.\He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch. response:	Hey, let's go, Hinata.
context: He's...\Why's he here?!\I said the same thing at first.\He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata. response:	Oh, well, I hope you cheer us on.
context: Why's he here?!\I said the same thing at first.\He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on. response:	Do your best.
context: I said the same thing at first.\He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best. response:	Yeah!
context: He had a lot going on before.\Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best.\Yeah! response:	We texted, but only about what I was up to.
context: Isn't that the King?\Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best.\Yeah!\We texted, but only about what I was up to. response:	Who knew they'd have a reunion...
context: Are you sure you'll be okay, Shoyo?\Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best.\Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion... response:	Who are they?
context: Just watch.\Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best.\Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they? response:	So Sho-chan finally made some friends.
context: Hey, let's go, Hinata.\Oh, well, I hope you cheer us on.\Do your best.\Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends. response:	They were in the match with me in junior high.
context: Oh, well, I hope you cheer us on.\Do your best.\Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high. response:	Shut up. Like I remember everyone I played against.
context: Do your best.\Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against. response:	Yeah...
context: Yeah!\We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah... response:	And that's exactly why you don't have friends, Kageyama-kun.
context: We texted, but only about what I was up to.\Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun. response:	Why, you...
context: Who knew they'd have a reunion...\Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you... response:	Hey! Stop it, you two!
context: Who are they?\So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two! response:	You're wasting energy before the finals?
context: So Sho-chan finally made some friends.\They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals? response:	Are you guys completely stupid?
context: They were in the match with me in junior high.\Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid? response:	Well, we might immediately lose anyway.
context: Shut up. Like I remember everyone I played against.\Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway. response:	Good grief. Come on, let's go.
context: Yeah...\And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go. response:	All right. As soon as we put our stuff away, we're going to warm up...
context: And that's exactly why you don't have friends, Kageyama-kun.\Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up... response:	Ow! What the heck, Daichi?!
context: Why, you...\Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?! response:	Up until recently, they couldn't even get past their second match.
context: Hey! Stop it, you two!\You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match. response:	Karasuno couldn't fly or crow.
context: You're wasting energy before the finals?\Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow. response:	Hopefully them making it to finals isn't some fluke, either.
context: Are you guys completely stupid?\Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either. response:	Oh, that guy's here again?
context: Well, we might immediately lose anyway.\Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again? response:	Do you know him?
context: Good grief. Come on, let's go.\All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him? response:	Nah, he would just show up to matches every so often.
context: All right. As soon as we put our stuff away, we're going to warm up...\Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often. response:	I don't think he's someone's relative,
context: Ow! What the heck, Daichi?!\Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative, response:	so I think he might just be a high school volleyball fan that likes Karasuno.
context: Up until recently, they couldn't even get past their second match.\Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno. response:	He'll cheer for plays he thinks were good, and boo the bad ones.
context: Karasuno couldn't fly or crow.\Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones. response:	Where's Karasuno's cheering section?
context: Hopefully them making it to finals isn't some fluke, either.\Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section? response:	You should at least make that clear.
context: Oh, that guy's here again?\Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear. response:	He's always been easy to read.
context: Do you know him?\Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read. response:	Have you guys seen him before?
context: Nah, he would just show up to matches every so often.\I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read.\Have you guys seen him before? response:	Yes. When we were still first-years,
context: I don't think he's someone's relative,\so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years, response:	he came to one of our games...
context: so I think he might just be a high school volleyball fan that likes Karasuno.\He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games... response:	We'll never let him say that we're grounded crows again.
context: He'll cheer for plays he thinks were good, and boo the bad ones.\Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again. response:	Japanese National High School Volleyball Tournament
context: Where's Karasuno's cheering section?\You should at least make that clear.\He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament response:	All right, here we go!
