context: Master, where should we head next? response:	Hair
context: King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert!\You're the worst.\Take care of him, Mr. King!\How did it come to this?\King! King! King! King! response:	He's starting to have a seizure while he's groveling!
context: I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert!\You're the worst.\Take care of him, Mr. King!\How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling! response:	You're so awesome, King.
context: Three cheers for King!\You pervert!\You're the worst.\Take care of him, Mr. King!\How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King. response:	Did you show up because you sensed the monster, King?
context: You pervert!\You're the worst.\Take care of him, Mr. King!\How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King? response:	No, I was about to go shopp
context: You're the worst.\Take care of him, Mr. King!\How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp response:	Hey, you can't just talk to King like that.
context: Take care of him, Mr. King!\How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that. response:	Er, I don't really mind.
context: How did it come to this?\King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind. response:	Could I just get a handshake?
context: King! King! King! King!\He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake? response:	I'm busy.
context: He's starting to have a seizure while he's groveling!\You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake?\I'm busy. response:	Would you mind leaving me alone?
context: You're so awesome, King.\Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake?\I'm busy.\Would you mind leaving me alone? response:	W-We're terribly sorry!
context: Did you show up because you sensed the monster, King?\No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake?\I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry! response:	Let's go! Let's go!
context: No, I was about to go shopp\Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake?\I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go! response:	Video Game Shop Pa zool
context: Hey, you can't just talk to King like that.\Er, I don't really mind.\Could I just get a handshake?\I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool response:	Thank you very much.
context: Er, I don't really mind.\Could I just get a handshake?\I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much. response:	I was able to buy it.
context: Could I just get a handshake?\I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much.\I was able to buy it. response:	Heartthrob Sisters 2
context: I'm busy.\Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much.\I was able to buy it.\Heartthrob Sisters 2 response:	The first-press limited edition of Heartthrob Sisters 2 .
context: Would you mind leaving me alone?\W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much.\I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 . response:	I can never get enough of the excitement
context: W-We're terribly sorry!\Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much.\I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement response:	I feel as I walk home after buying a new game.
context: Let's go! Let's go!\Video Game Shop Pa zool\Thank you very much.\I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game. response:	I can't wait to get home and play.
context: Video Game Shop Pa zool\Thank you very much.\I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play. response:	Class S Rank 7
context: Thank you very much.\I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7 response:	King
context: I was able to buy it.\Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7\King response:	Master, I believe that gentleman is King after all.
context: Heartthrob Sisters 2\The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7\King\Master, I believe that gentleman is King after all. response:	Who?
context: The first-press limited edition of Heartthrob Sisters 2 .\I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7\King\Master, I believe that gentleman is King after all.\Who? response:	He was one of the heroes at the Class S gathering.
context: I can never get enough of the excitement\I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7\King\Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering. response:	The first sequel in three and a half years...
context: I feel as I walk home after buying a new game.\I can't wait to get home and play.\Class S Rank 7\King\Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years... response:	I'm feeling the hype!
context: I can't wait to get home and play.\Class S Rank 7\King\Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype! response:	The Hero's Return
context: Class S Rank 7\King\Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return response:	Cafe
context: King\Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return\Cafe response:	King.
context: Master, I believe that gentleman is King after all.\Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return\Cafe\King. response:	That man somehow claims your place as the strongest man in the world.
context: Who?\He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return\Cafe\King.\That man somehow claims your place as the strongest man in the world. response:	Ah...
context: He was one of the heroes at the Class S gathering.\The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return\Cafe\King.\That man somehow claims your place as the strongest man in the world.\Ah... response:	But what in the world is he doing here?
context: The first sequel in three and a half years...\I'm feeling the hype!\The Hero's Return\Cafe\King.\That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here? response:	A-A monster!
context: I'm feeling the hype!\The Hero's Return\Cafe\King.\That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here?\A-A monster! response:	A monster?
context: The Hero's Return\Cafe\King.\That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here?\A-A monster!\A monster? response:	Master, we should hurry!
context: Cafe\King.\That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here?\A-A monster!\A monster?\Master, we should hurry! response:	No, wait...
context: King.\That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here?\A-A monster!\A monster?\Master, we should hurry!\No, wait... response:	This might be a good opportunity to see King's true power.
context: That man somehow claims your place as the strongest man in the world.\Ah...\But what in the world is he doing here?\A-A monster!\A monster?\Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power. response:	Let's see how things go.
context: Ah...\But what in the world is he doing here?\A-A monster!\A monster?\Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go. response:	I am G4! A machine god that the organization created.
context: But what in the world is he doing here?\A-A monster!\A monster?\Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created. response:	You're the Class S hero King, aren't you?
context: A-A monster!\A monster?\Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you? response:	I will eliminate you.
context: A monster?\Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you. response:	Look! It's King! King's right over there!
context: Master, we should hurry!\No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there! response:	You're aware that I'm King...
context: No, wait...\This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King... response:	A Class S Rank 7 hero, and the strongest man on Earth?
context: This might be a good opportunity to see King's true power.\Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth? response:	I'm saying that I've come to kill you!
context: Let's see how things go.\I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you! response:	What the heck's that noise?
context: I am G4! A machine god that the organization created.\You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise? response:	You've never heard of the King Engine?
context: You're the Class S hero King, aren't you?\I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine? response:	It's the sound you hear once King's in combat mode!
context: I will eliminate you.\Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode! response:	It's said that there's been no monster that made it out alive after hearing that sound!
context: Look! It's King! King's right over there!\You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound! response:	Listen well. This is also a test of my combat AI.
context: You're aware that I'm King...\A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI. response:	I need you to fight at full strength so I can gather data.
context: A Class S Rank 7 hero, and the strongest man on Earth?\I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data. response:	Is this thing a robot?
context: I'm saying that I've come to kill you!\What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot? response:	What the hell is this organization?
context: What the heck's that noise?\You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization? response:	I have no idea what it's talking about.
context: You've never heard of the King Engine?\It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about. response:	All right, but let me go to the bathroom first.
context: It's the sound you hear once King's in combat mode!\It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first. response:	I'll only be able to fight at about half-strength if I'm holding it in.
context: It's said that there's been no monster that made it out alive after hearing that sound!\Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in. response:	That won't give you accurate data, will it?
context: Listen well. This is also a test of my combat AI.\I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it? response:	I shall wait here for ten minutes.
context: I need you to fight at full strength so I can gather data.\Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes. response:	For every minute that you're late, I shall kill ten people.
context: Is this thing a robot?\What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people. response:	Got it?
context: What the hell is this organization?\I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it? response:	That monster seems pretty strong.
context: I have no idea what it's talking about.\All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong. response:	That thing is a robot... and quite powerful.
context: All right, but let me go to the bathroom first.\I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful. response:	It's performance might be higher than mine.
context: I'll only be able to fight at about half-strength if I'm holding it in.\That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine. response:	I estimate that it's at least threat level Demon and will be quite troublesome.
context: That won't give you accurate data, will it?\I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome. response:	I wonder how King will fight it.
context: I shall wait here for ten minutes.\For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it. response:	Public Bathroom
context: For every minute that you're late, I shall kill ten people.\Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom response:	It came to kill me?
context: Got it?\That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom\It came to kill me? response:	How did things end up like this?!
context: That monster seems pretty strong.\That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom\It came to kill me?\How did things end up like this?! response:	I'm scared... I'm so scared!
context: That thing is a robot... and quite powerful.\It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom\It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared! response:	I'm not strong!
context: It's performance might be higher than mine.\I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom\It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong! response:	I'm a 29-year-old unemployed otaku and antisocial loser!
context: I estimate that it's at least threat level Demon and will be quite troublesome.\I wonder how King will fight it.\Public Bathroom\It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser! response:	What the hell is the King Engine?!
context: I wonder how King will fight it.\Public Bathroom\It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?! response:	Rumble
context: Public Bathroom\It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble response:	Are they stupid?!
context: It came to kill me?\How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble\Are they stupid?! response:	I'm just twice, no, dozens of times more cowardly than other people!
context: How did things end up like this?!\I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people! response:	An evil monster just happened to appear in front of me once
context: I'm scared... I'm so scared!\I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once response:	and someone defeated it while I had my eyes closed.
context: I'm not strong!\I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed. response:	That coincidentally happened over and over again!
context: I'm a 29-year-old unemployed otaku and antisocial loser!\What the hell is the King Engine?!\Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again! response:	That's all it is!
context: What the hell is the King Engine?!\Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again!\That's all it is! response:	But then the Hero Association sent me a Class S certificate,
context: Rumble\Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again!\That's all it is!\But then the Hero Association sent me a Class S certificate, response:	saying that I was the ultimate rookie.
context: Are they stupid?!\I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again!\That's all it is!\But then the Hero Association sent me a Class S certificate,\saying that I was the ultimate rookie. response:	I mean, it's also my fault because I didn't deny it,
context: I'm just twice, no, dozens of times more cowardly than other people!\An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again!\That's all it is!\But then the Hero Association sent me a Class S certificate,\saying that I was the ultimate rookie.\I mean, it's also my fault because I didn't deny it, response:	but I never thought it'd come to this!
context: An evil monster just happened to appear in front of me once\and someone defeated it while I had my eyes closed.\That coincidentally happened over and over again!\That's all it is!\But then the Hero Association sent me a Class S certificate,\saying that I was the ultimate rookie.\I mean, it's also my fault because I didn't deny it,\but I never thought it'd come to this! response:	Aw, man... I want to quit being a hero so bad.
