context: I say yes response:	Stay with me
context: Lets change any future into hope\Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent response:	Dont touch! Because I wont listen to excuses
context: Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses response:	Touch me because I'm tired Hey, lend me your shoulder
context: Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder response:	I love you, its a lie
context: Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie response:	I hate you, thats a lie, too
context: Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too response:	Nay nay nay, its useless, its a misunderstanding
context: Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding response:	So I wont say, I love you”
context: You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you” response:	Non non non, because I absolutely wont forgive you
context: Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you response:	If you go to somewhere else
context: Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else response:	But
context: Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But response:	The truth is, I want to be by your side more than anyone else
context: I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else response:	Lets go take a walk in chains of love!
context: I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love! response:	The Farewell Wedding Ceremony
context: Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony response:	The Farewell Wedding Ceremony
context: So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony response:	Lowscythe military port (occupied by Tristain)
context: Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain) response:	The End
context: If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End response:	What is this about?
context: But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End\What is this about? response:	What's going on?
context: The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End\What is this about?\What's going on? response:	Kill Henrietta...
context: Lets go take a walk in chains of love!\The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End\What is this about?\What's going on?\Kill Henrietta... response:	Kill Henrietta...
context: The Farewell Wedding Ceremony\The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End\What is this about?\What's going on?\Kill Henrietta...\Kill Henrietta... response:	Kill Henrietta...
context: The Farewell Wedding Ceremony\Lowscythe military port (occupied by Tristain)\The End\What is this about?\What's going on?\Kill Henrietta...\Kill Henrietta...\Kill Henrietta... response:	Louise!
context: Lowscythe military port (occupied by Tristain)\The End\What is this about?\What's going on?\Kill Henrietta...\Kill Henrietta...\Kill Henrietta...\Louise! response:	Saito!
context: The End\What is this about?\What's going on?\Kill Henrietta...\Kill Henrietta...\Kill Henrietta...\Louise!\Saito! response:	You idiot! Idiot! Where were you all this time?
context: What is this about?\What's going on?\Kill Henrietta...\Kill Henrietta...\Kill Henrietta...\Louise!\Saito!\You idiot! Idiot! Where were you all this time? response:	Sorry, Louise. It's all right now.
context: What's going on?\Kill Henrietta...\Kill Henrietta...\Kill Henrietta...\Louise!\Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now. response:	Albion troops?
context: Kill Henrietta...\Kill Henrietta...\Kill Henrietta...\Louise!\Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops? response:	Don't push!
context: Kill Henrietta...\Kill Henrietta...\Louise!\Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops?\Don't push! response:	Please don't worry! Everyone will be able to get on!
context: Kill Henrietta...\Louise!\Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on! response:	Your Highness.
context: Louise!\Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness. response:	I'm glad you're safe.
context: Saito!\You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe. response:	Cardinal Masarini.
context: You idiot! Idiot! Where were you all this time?\Sorry, Louise. It's all right now.\Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe.\Cardinal Masarini. response:	What happened in the city of South Gotha?
context: Sorry, Louise. It's all right now.\Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha? response:	I heard our men started a rebellion.
context: Albion troops?\Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion. response:	It seems that they enemy had placed some kind of a magic item in our wells.
context: Don't push!\Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells. response:	So, they're under an enemy spell?
context: Please don't worry! Everyone will be able to get on!\Your Highness.\I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell? response:	Most likely.
context: Your Highness.\I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely. response:	Since Albion marched in during the chaos,
context: I'm glad you're safe.\Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos, response:	I didn't have time to investigate.
context: Cardinal Masarini.\What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate. response:	All I could do was retreat here with Her Highness.
context: What happened in the city of South Gotha?\I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness. response:	Not only did they recapture the city of South Gotha,
context: I heard our men started a rebellion.\It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha, response:	but they're also approaching our position with seventy thousand men.
context: It seems that they enemy had placed some kind of a magic item in our wells.\So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men. response:	Your Highness, there's no time to waste.
context: So, they're under an enemy spell?\Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste. response:	Please board the escape ship.
context: Most likely.\Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship. response:	No. I shall board the last ship.
context: Since Albion marched in during the chaos,\I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship. response:	Your Highness!
context: I didn't have time to investigate.\All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship.\Your Highness! response:	I am the Queen of Tristain.
context: All I could do was retreat here with Her Highness.\Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain. response:	Until everyone escapes safely, I have no intention of moving from here.
context: Not only did they recapture the city of South Gotha,\but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here. response:	Your Highness...
context: but they're also approaching our position with seventy thousand men.\Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness... response:	Wait! We finally made it back to Lowscythe!
context: Your Highness, there's no time to waste.\Please board the escape ship.\No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe! response:	Why do you want to take care of the rearguard?
context: Please board the escape ship.\No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard? response:	Let go of me.
context: No. I shall board the last ship.\Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me. response:	The rearguard, you know, is the last line of defence.
context: Your Highness!\I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence. response:	You basically have to resist the enemy force while everybody else escapes.
context: I am the Queen of Tristain.\Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes. response:	I know that!
context: Until everyone escapes safely, I have no intention of moving from here.\Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that! response:	Is that an order from the Princess?
context: Your Highness...\Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess? response:	The Princess isn't aware of this.
context: Wait! We finally made it back to Lowscythe!\Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess?\The Princess isn't aware of this. response:	Miss Valliere, we need your strength in order to save the Queen's life.
context: Why do you want to take care of the rearguard?\Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life. response:	I beg of you.
context: Let go of me.\The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you. response:	What? Cardinal, please, raise your head.
context: The rearguard, you know, is the last line of defence.\You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head. response:	If it is to save Her Highness' life, I'll do anything.
context: You basically have to resist the enemy force while everybody else escapes.\I know that!\Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything. response:	Miss Valliere...
context: I know that!\Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere... response:	This is not an order.
context: Is that an order from the Princess?\The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order. response:	And... you... accepted it?
context: The Princess isn't aware of this.\Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order.\And... you... accepted it? response:	Are you insane?!
context: Miss Valliere, we need your strength in order to save the Queen's life.\I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order.\And... you... accepted it?\Are you insane?! response:	They're coming here with seventy thousand men!
context: I beg of you.\What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order.\And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men! response:	I have my Void magic.
context: What? Cardinal, please, raise your head.\If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order.\And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic. response:	Void?
context: If it is to save Her Highness' life, I'll do anything.\Miss Valliere...\This is not an order.\And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic.\Void? response:	You couldn't use it last time.
context: Miss Valliere...\This is not an order.\And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic.\Void?\You couldn't use it last time. response:	But this time I might be able to!
context: This is not an order.\And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic.\Void?\You couldn't use it last time.\But this time I might be able to! response:	If it means saving the Princess' life,
context: And... you... accepted it?\Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic.\Void?\You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life, response:	I will make it happen.
context: Are you insane?!\They're coming here with seventy thousand men!\I have my Void magic.\Void?\You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life,\I will make it happen. response:	If I can save the Princess with my Void magic,
context: They're coming here with seventy thousand men!\I have my Void magic.\Void?\You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic, response:	there would be no greater honour.
context: I have my Void magic.\Void?\You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour. response:	Screw honour.
context: Void?\You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour. response:	Fuck that!
context: You couldn't use it last time.\But this time I might be able to!\If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour.\Fuck that! response:	Do you understand?
context: But this time I might be able to!\If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour.\Fuck that!\Do you understand? response:	They're telling you to be a bait!
context: If it means saving the Princess' life,\I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour.\Fuck that!\Do you understand?\They're telling you to be a bait! response:	They're asking you to die!
context: I will make it happen.\If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour.\Fuck that!\Do you understand?\They're telling you to be a bait!\They're asking you to die! response:	I'm going to turn down that mission!
context: If I can save the Princess with my Void magic,\there would be no greater honour.\Screw honour.\Fuck that!\Do you understand?\They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission! response:	Stop it!
context: there would be no greater honour.\Screw honour.\Fuck that!\Do you understand?\They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission!\Stop it! response:	Louise...
context: Screw honour.\Fuck that!\Do you understand?\They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission!\Stop it!\Louise... response:	This is something that only I can do.
context: Fuck that!\Do you understand?\They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission!\Stop it!\Louise...\This is something that only I can do. response:	Therefore, I have to do it.
context: Do you understand?\They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission!\Stop it!\Louise...\This is something that only I can do.\Therefore, I have to do it. response:	Hey, Louise -
context: They're telling you to be a bait!\They're asking you to die!\I'm going to turn down that mission!\Stop it!\Louise...\This is something that only I can do.\Therefore, I have to do it.\Hey, Louise - response:	Our men don't have the strength to hold back seventy thousand men.
context: They're asking you to die!\I'm going to turn down that mission!\Stop it!\Louise...\This is something that only I can do.\Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men. response:	But why do you have to -
context: I'm going to turn down that mission!\Stop it!\Louise...\This is something that only I can do.\Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to - response:	It's not just for the Princess!
context: Stop it!\Louise...\This is something that only I can do.\Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess! response:	The maid and everyone else at the Fairy Inn might be killed.
context: Louise...\This is something that only I can do.\Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed. response:	They may get shamed.
context: This is something that only I can do.\Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed. response:	I don't want to die either.
context: Therefore, I have to do it.\Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either. response:	But I'm an aristocrat.
context: Hey, Louise -\Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either.\But I'm an aristocrat. response:	It's an honour to die for one's people.
context: Our men don't have the strength to hold back seventy thousand men.\But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people. response:	You make fun of it,
context: But why do you have to -\It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it, response:	but is it that insignificant to die for everyone else?
context: It's not just for the Princess!\The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else? response:	I don't get it...
context: The maid and everyone else at the Fairy Inn might be killed.\They may get shamed.\I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it... response:	I don't get it.
context: They may get shamed.\I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it...\I don't get it. response:	Yeah, I also want to protect everyone.
context: I don't want to die either.\But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it...\I don't get it.\Yeah, I also want to protect everyone. response:	But... the one I want to protect more than anyone else is -
context: But I'm an aristocrat.\It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it...\I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is - response:	Saito.
context: It's an honour to die for one's people.\You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it...\I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito. response:	Louise.
context: You make fun of it,\but is it that insignificant to die for everyone else?\I don't get it...\I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito.\Louise. response:	You get out of here, Saito.
context: but is it that insignificant to die for everyone else?\I don't get it...\I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito.\Louise.\You get out of here, Saito. response:	You don't have to die staying with me.
context: I don't get it...\I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito.\Louise.\You get out of here, Saito.\You don't have to die staying with me. response:	What did you say? Hey, Louise?
context: I don't get it.\Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito.\Louise.\You get out of here, Saito.\You don't have to die staying with me.\What did you say? Hey, Louise? response:	Please, just get out of here.
context: Yeah, I also want to protect everyone.\But... the one I want to protect more than anyone else is -\Saito.\Louise.\You get out of here, Saito.\You don't have to die staying with me.\What did you say? Hey, Louise?\Please, just get out of here. response:	After all, you aren't from this world.
context: But... the one I want to protect more than anyone else is -\Saito.\Louise.\You get out of here, Saito.\You don't have to die staying with me.\What did you say? Hey, Louise?\Please, just get out of here.\After all, you aren't from this world. response:	Are... you saying that seriously?
context: Saito.\Louise.\You get out of here, Saito.\You don't have to die staying with me.\What did you say? Hey, Louise?\Please, just get out of here.\After all, you aren't from this world.\Are... you saying that seriously? response:	Louise...
context: Louise.\You get out of here, Saito.\You don't have to die staying with me.\What did you say? Hey, Louise?\Please, just get out of here.\After all, you aren't from this world.\Are... you saying that seriously?\Louise... response:	Fine. Okay. I won't stop you anymore.
