context: The Master Plan just came in from Army Command. response:	In the six months following the opening of hostilities, ARUS will focus on defense,
context: They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?! response:	Factoring in your abilities and the Valvrave, my revolution will come three years earlier.
context: We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier. response:	Possess Senator Figaro. Talk with their President, and
context: To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and response:	Are you kidding me?! You're our enemy!
context: Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy! response:	You killed me!
context: Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me! response:	Be that as it may, your only option is to choose me.
context: ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me. response:	I'll add an incentive, of course.
context: We will liberate Dorssia. Only through changing its foundation will the world change.\You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course. response:	I'll save this entire school.
context: You... But aren't you a Dorssian soldier?!\Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school. response:	As well as your girl.
context: Factoring in your abilities and the Valvrave, my revolution will come three years earlier.\Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school.\As well as your girl. response:	It's no use! It's completely impassable!
context: Possess Senator Figaro. Talk with their President, and\Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable! response:	You mean we're sealed in here?!
context: Are you kidding me?! You're our enemy!\You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?! response:	Send in some engineers! Hurry!
context: You killed me!\Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry! response:	Hey! Cut it out!
context: Be that as it may, your only option is to choose me.\I'll add an incentive, of course.\I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out! response:	Hang on! Hang on, okay?
context: I'll add an incentive, of course.\I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay? response:	Darn it, cut that out!
context: I'll save this entire school.\As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out! response:	That transmission just now, what
context: As well as your girl.\It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what response:	That hurt...
context: It's no use! It's completely impassable!\You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what\That hurt... response:	Are you a Sakimori student?
context: You mean we're sealed in here?!\Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what\That hurt...\Are you a Sakimori student? response:	What was that transmission just now?
context: Send in some engineers! Hurry!\Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what\That hurt...\Are you a Sakimori student?\What was that transmission just now? response:	Hey, who
context: Hey! Cut it out!\Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what\That hurt...\Are you a Sakimori student?\What was that transmission just now?\Hey, who response:	Don't tell!
context: Hang on! Hang on, okay?\Darn it, cut that out!\That transmission just now, what\That hurt...\Are you a Sakimori student?\What was that transmission just now?\Hey, who\Don't tell! response:	Don't tell anyone about me.
context: Darn it, cut that out!\That transmission just now, what\That hurt...\Are you a Sakimori student?\What was that transmission just now?\Hey, who\Don't tell!\Don't tell anyone about me. response:	This isn't a situation where you can stand on principle.
context: That transmission just now, what\That hurt...\Are you a Sakimori student?\What was that transmission just now?\Hey, who\Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle. response:	If there's something you want to protect, get your hands dirty, Haruto Tokishima.
context: That hurt...\Are you a Sakimori student?\What was that transmission just now?\Hey, who\Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima. response:	The Valvrave!
context: Are you a Sakimori student?\What was that transmission just now?\Hey, who\Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave! response:	Hey, right! I can use that to free the stranded ship
context: What was that transmission just now?\Hey, who\Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship response:	It's useless.
context: Hey, who\Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless. response:	Your only hope for a future is to make a pact with me.
context: Don't tell!\Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me. response:	How can I know that unless I try?
context: Don't tell anyone about me.\This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try? response:	My predictions are effectively prophecies.
context: This isn't a situation where you can stand on principle.\If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies. response:	Have any of them been wrong?
context: If there's something you want to protect, get your hands dirty, Haruto Tokishima.\The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong? response:	Even if I have to use that curse to do it!
context: The Valvrave!\Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it! response:	You will make a pact with me.
context: Hey, right! I can use that to free the stranded ship\It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me. response:	When you're ready, give me this sign.
context: It's useless.\Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign. response:	I'll save you.
context: Your only hope for a future is to make a pact with me.\How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign.\I'll save you. response:	Are you kidding? Give you the peace sign?
context: How can I know that unless I try?\My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign? response:	Peace sign?
context: My predictions are effectively prophecies.\Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign?\Peace sign? response:	We're not on the same wavelength at all.
context: Have any of them been wrong?\Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all. response:	Senator Figaro!
context: Even if I have to use that curse to do it!\You will make a pact with me.\When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all.\Senator Figaro! response:	Ah, Haruto!
context: You will make a pact with me.\When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto! response:	He's an ace who shot down seven fighters in the Andaman Campaign.
context: When you're ready, give me this sign.\I'll save you.\Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign. response:	Don't do this! It's dangerous!
context: I'll save you.\Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous! response:	Danger is a soldier's business.
context: Are you kidding? Give you the peace sign?\Peace sign?\We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business. response:	Don't do it! Don't get into it!
context: Peace sign?\We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it! response:	A guide program?
context: We're not on the same wavelength at all.\Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program? response:	That so JIOR-like, eh?
context: Senator Figaro!\Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh? response:	It's displaying a seriously cute picture.
context: Ah, Haruto!\He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture. response:	Can you see this?
context: He's an ace who shot down seven fighters in the Andaman Campaign.\Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this? response:	This is bad... Don't touch anything!
context: Don't do this! It's dangerous!\Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything! response:	That robot is cursed!
context: Danger is a soldier's business.\Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything!\That robot is cursed! response:	What kind of program is this?
context: Don't do it! Don't get into it!\A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this? response:	Impossible!
context: A guide program?\That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this?\Impossible! response:	That's not what happened when I used it...
context: That so JIOR-like, eh?\It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this?\Impossible!\That's not what happened when I used it... response:	Get back! It's not safe!
context: It's displaying a seriously cute picture.\Can you see this?\This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this?\Impossible!\That's not what happened when I used it...\Get back! It's not safe! response:	Why?
context: Can you see this?\This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this?\Impossible!\That's not what happened when I used it...\Get back! It's not safe!\Why? response:	Enemy defensive forces are a single battalion deployed in a flat plane.
context: This is bad... Don't touch anything!\That robot is cursed!\What kind of program is this?\Impossible!\That's not what happened when I used it...\Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane. response:	We outnumber them 14 to 1.
context: That robot is cursed!\What kind of program is this?\Impossible!\That's not what happened when I used it...\Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1. response:	Our victory is not in doubt.
context: What kind of program is this?\Impossible!\That's not what happened when I used it...\Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt. response:	It's not a matter of victory or defeat.
context: Impossible!\That's not what happened when I used it...\Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat. response:	It is how we win.
context: That's not what happened when I used it...\Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win. response:	What's going on?! I thought we still had time before the Dorssian fleet got here!
context: Get back! It's not safe!\Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here! response:	Those tremors were from cannon fire!
context: Why?\Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire! response:	I have it. We'll leave the students behind.
context: Enemy defensive forces are a single battalion deployed in a flat plane.\We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind. response:	Have a high-speed ship standing by at the auxiliary gate.
context: We outnumber them 14 to 1.\Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate. response:	We will escape, taking only this robot with us.
context: Our victory is not in doubt.\It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us. response:	Right, right. Forget about the students.
context: It's not a matter of victory or defeat.\It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students. response:	Work quickly.
context: It is how we win.\What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly. response:	No way!
context: What's going on?! I thought we still had time before the Dorssian fleet got here!\Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly.\No way! response:	You said that we would all escape together!
context: Those tremors were from cannon fire!\I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly.\No way!\You said that we would all escape together! response:	We did come here to rescue you, that's the truth.
context: I have it. We'll leave the students behind.\Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly.\No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth. response:	But in order of priority, that came second.
context: Have a high-speed ship standing by at the auxiliary gate.\We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly.\No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second. response:	Kindness and volunteer work are just pastimes to spend extra time and money on.
context: We will escape, taking only this robot with us.\Right, right. Forget about the students.\Work quickly.\No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on. response:	Games meant to garner appreciation.
context: Right, right. Forget about the students.\Work quickly.\No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation. response:	Senator Figaro... What are you saying?
context: Work quickly.\No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying? response:	That we're the ones who get to decide whether or not we'll help you.
context: No way!\You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you. response:	Are you kidding me?!
context: You said that we would all escape together!\We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?! response:	Calm down!
context: We did come here to rescue you, that's the truth.\But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down! response:	You're saying that now?!
context: But in order of priority, that came second.\Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down!\You're saying that now?! response:	Huh? It doesn't work? I have to touch the skin?
context: Kindness and volunteer work are just pastimes to spend extra time and money on.\Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin? response:	You...!
context: Games meant to garner appreciation.\Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...! response:	Go easy on him.
context: Senator Figaro... What are you saying?\That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him. response:	We're taking him with us as research material.
context: That we're the ones who get to decide whether or not we'll help you.\Are you kidding me?!\Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him.\We're taking him with us as research material. response:	You liar!
context: Are you kidding me?!\Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him.\We're taking him with us as research material.\You liar! response:	You're an adult! Aren't you ashamed of yourself?!
context: Calm down!\You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him.\We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?! response:	Not in the least. I'm an adult.
context: You're saying that now?!\Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him.\We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult. response:	Don't worry, everyone!
context: Huh? It doesn't work? I have to touch the skin?\You...!\Go easy on him.\We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone! response:	We've been told that those tremors earlier were from a malfunction in the gravity generator!
context: You...!\Go easy on him.\We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator! response:	I'd like to get our escape preparations back underway as soon as repairs are complete.
context: Go easy on him.\We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete. response:	For now, please wait patiently.
context: We're taking him with us as research material.\You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently. response:	That's a lie... That man is lying...
context: You liar!\You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying... response:	What do we do? What should we do?
context: You're an adult! Aren't you ashamed of yourself?!\Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do? response:	Right... We were fighting...
context: Not in the least. I'm an adult.\Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting... response:	Shoko!
context: Don't worry, everyone!\We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting...\Shoko! response:	I've been looking everywhere for you!
context: We've been told that those tremors earlier were from a malfunction in the gravity generator!\I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting...\Shoko!\I've been looking everywhere for you! response:	Everyone's in the school building.
context: I'd like to get our escape preparations back underway as soon as repairs are complete.\For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting...\Shoko!\I've been looking everywhere for you!\Everyone's in the school building. response:	Senpai.
context: For now, please wait patiently.\That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting...\Shoko!\I've been looking everywhere for you!\Everyone's in the school building.\Senpai. response:	We're in a lot of trouble.
context: That's a lie... That man is lying...\What do we do? What should we do?\Right... We were fighting...\Shoko!\I've been looking everywhere for you!\Everyone's in the school building.\Senpai.\We're in a lot of trouble. response:	The 40th Student Council Petitions Committee is now in session.
context: What do we do? What should we do?\Right... We were fighting...\Shoko!\I've been looking everywhere for you!\Everyone's in the school building.\Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session. response:	ARUS is lying!
context: Right... We were fighting...\Shoko!\I've been looking everywhere for you!\Everyone's in the school building.\Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying! response:	Why would they need to lie?
context: Shoko!\I've been looking everywhere for you!\Everyone's in the school building.\Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie? response:	Do you have any proof?
