context: Forever... Forever... response:	The first day I touched you,
context: It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady. response:	A working lady?
context: as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady.\A working lady? response:	Is that something people normally say?
context: I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady.\A working lady?\Is that something people normally say? response:	Miss Isuzu,
context: A New Journey\I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady.\A working lady?\Is that something people normally say?\Miss Isuzu, response:	are you okay?
context: I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady.\A working lady?\Is that something people normally say?\Miss Isuzu,\are you okay? response:	Are you tired?
context: I wish Minori could've come.\She's working at Karashin's place.\Miss Minori is a working lady.\A working lady?\Is that something people normally say?\Miss Isuzu,\are you okay?\Are you tired? response:	No, I'm fine.
context: She's working at Karashin's place.\Miss Minori is a working lady.\A working lady?\Is that something people normally say?\Miss Isuzu,\are you okay?\Are you tired?\No, I'm fine. response:	I'm full of energy.
context: Miss Minori is a working lady.\A working lady?\Is that something people normally say?\Miss Isuzu,\are you okay?\Are you tired?\No, I'm fine.\I'm full of energy. response:	Really?
context: A working lady?\Is that something people normally say?\Miss Isuzu,\are you okay?\Are you tired?\No, I'm fine.\I'm full of energy.\Really? response:	Yeah.
context: Is that something people normally say?\Miss Isuzu,\are you okay?\Are you tired?\No, I'm fine.\I'm full of energy.\Really?\Yeah. response:	That was really amazing, though.
context: Miss Isuzu,\are you okay?\Are you tired?\No, I'm fine.\I'm full of energy.\Really?\Yeah.\That was really amazing, though. response:	You really seemed like a pro!
context: are you okay?\Are you tired?\No, I'm fine.\I'm full of energy.\Really?\Yeah.\That was really amazing, though.\You really seemed like a pro! response:	Aw, stop.
context: Are you tired?\No, I'm fine.\I'm full of energy.\Really?\Yeah.\That was really amazing, though.\You really seemed like a pro!\Aw, stop. response:	The owner was really happy.
context: No, I'm fine.\I'm full of energy.\Really?\Yeah.\That was really amazing, though.\You really seemed like a pro!\Aw, stop.\The owner was really happy. response:	He looked like he was glad he asked you to do it.
context: I'm full of energy.\Really?\Yeah.\That was really amazing, though.\You really seemed like a pro!\Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it. response:	Don't make it sound like such a big deal.
context: Really?\Yeah.\That was really amazing, though.\You really seemed like a pro!\Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal. response:	It's basically a once-a-week part-time job.
context: Yeah.\That was really amazing, though.\You really seemed like a pro!\Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job. response:	And the song was just a cover of something I heard a long time ago...
context: That was really amazing, though.\You really seemed like a pro!\Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago... response:	But everyone looked truly happy listening to you.
context: You really seemed like a pro!\Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you. response:	That's right.
context: Aw, stop.\The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right. response:	Miss Isuzu is such a great artist, she must have a muse.
context: The owner was really happy.\He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse. response:	Give it a rest.
context: He looked like he was glad he asked you to do it.\Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest. response:	That was nothing.
context: Don't make it sound like such a big deal.\It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing. response:	I just know a little bit because I've always had instruments in my house since I was little.
context: It's basically a once-a-week part-time job.\And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little. response:	Your sweet melodies bring life to the city streets at night,
context: And the song was just a cover of something I heard a long time ago...\But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night, response:	and your dazzling voice brings peace to the hearts of even birds and beasts.
context: But everyone looked truly happy listening to you.\That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts. response:	Honestly, Rudy...
context: That's right.\Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy... response:	What's wrong with saying it was great, when it was great?!
context: Miss Isuzu is such a great artist, she must have a muse.\Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?! response:	Shut up, Rudy!
context: Give it a rest.\That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy! response:	What's wrong with it?
context: That was nothing.\I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it? response:	What's wrong with it?!
context: I just know a little bit because I've always had instruments in my house since I was little.\Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it?\What's wrong with it?! response:	First Order of Knights of the People of the Land Drill Guidelines
context: Your sweet melodies bring life to the city streets at night,\and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines response:	A quest?
context: and your dazzling voice brings peace to the hearts of even birds and beasts.\Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest? response:	Yes, I plan to send Tohya and the other new members on it.
context: Honestly, Rudy...\What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it. response:	And I'd like Serara to go, too.
context: What's wrong with saying it was great, when it was great?!\Shut up, Rudy!\What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too. response:	If she's okay with it, that's just fine with me.
context: Shut up, Rudy!\What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me. response:	But what quest?
context: What's wrong with it?\What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest? response:	This.
context: What's wrong with it?!\First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest?\This. response:	A magic bag?
context: First Order of Knights of the People of the Land Drill Guidelines\A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest?\This.\A magic bag? response:	Yes.
context: A quest?\Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest?\This.\A magic bag?\Yes. response:	Dazaneg's Magic Bag.
context: Yes, I plan to send Tohya and the other new members on it.\And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest?\This.\A magic bag?\Yes.\Dazaneg's Magic Bag. response:	I want them to get the materials for it.
context: And I'd like Serara to go, too.\If she's okay with it, that's just fine with me.\But what quest?\This.\A magic bag?\Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it. response:	Oh, Get the Magic Bag, right?
context: If she's okay with it, that's just fine with me.\But what quest?\This.\A magic bag?\Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right? response:	The one where you hunt the mini-wyverns.
context: But what quest?\This.\A magic bag?\Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns. response:	They've reached the minimum level required for it.
context: This.\A magic bag?\Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it. response:	I see.
context: A magic bag?\Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see. response:	They're already above level 45.
context: Yes.\Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see.\They're already above level 45. response:	Tohya seems to want to go. He keeps bringing it up.
context: Dazaneg's Magic Bag.\I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up. response:	I'm sure they want one.
context: I want them to get the materials for it.\Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one. response:	It's convenient, since it holds everything.
context: Oh, Get the Magic Bag, right?\The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything. response:	I don't think that's all it is.
context: The one where you hunt the mini-wyverns.\They've reached the minimum level required for it.\I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is. response:	I think they actually want to try a real quest, all by themselves.
context: They've reached the minimum level required for it.\I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves. response:	But will they be okay on their own?
context: I see.\They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own? response:	Excuse me.
context: They're already above level 45.\Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me. response:	I thought you might be tired.
context: Tohya seems to want to go. He keeps bringing it up.\I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me.\I thought you might be tired. response:	Thanks.
context: I'm sure they want one.\It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me.\I thought you might be tired.\Thanks. response:	Are you done working at Karashin's place?
context: It's convenient, since it holds everything.\I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me.\I thought you might be tired.\Thanks.\Are you done working at Karashin's place? response:	Yes.
context: I don't think that's all it is.\I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me.\I thought you might be tired.\Thanks.\Are you done working at Karashin's place?\Yes. response:	Thanks.
context: I think they actually want to try a real quest, all by themselves.\But will they be okay on their own?\Excuse me.\I thought you might be tired.\Thanks.\Are you done working at Karashin's place?\Yes.\Thanks. response:	Oh, great timing, actually.
context: But will they be okay on their own?\Excuse me.\I thought you might be tired.\Thanks.\Are you done working at Karashin's place?\Yes.\Thanks.\Oh, great timing, actually. response:	Everyone complimented me, but I'm not that good.
context: Excuse me.\I thought you might be tired.\Thanks.\Are you done working at Karashin's place?\Yes.\Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good. response:	It's always been my friend...
context: I thought you might be tired.\Thanks.\Are you done working at Karashin's place?\Yes.\Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend... response:	No one ever told me my music was bad.
context: Thanks.\Are you done working at Karashin's place?\Yes.\Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad. response:	But no one ever told me it was good, either.
context: Are you done working at Karashin's place?\Yes.\Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either. response:	But even if I can't be a pro like you, Dad,
context: Yes.\Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad, response:	I can at least play the lute once in a while to blow off steam, right?
context: Thanks.\Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right? response:	Because...
context: Oh, great timing, actually.\Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because... response:	It makes everyone happy.
context: Everyone complimented me, but I'm not that good.\It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy. response:	Why are you grinning like that?
context: It's always been my friend...\No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy.\Why are you grinning like that? response:	Huh?
context: No one ever told me my music was bad.\But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy.\Why are you grinning like that?\Huh? response:	No way... I was grinning?
context: But no one ever told me it was good, either.\But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy.\Why are you grinning like that?\Huh?\No way... I was grinning? response:	You were.
context: But even if I can't be a pro like you, Dad,\I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy.\Why are you grinning like that?\Huh?\No way... I was grinning?\You were. response:	You still feel great after that concert, huh?
context: I can at least play the lute once in a while to blow off steam, right?\Because...\It makes everyone happy.\Why are you grinning like that?\Huh?\No way... I was grinning?\You were.\You still feel great after that concert, huh? response:	I guess.
context: Because...\It makes everyone happy.\Why are you grinning like that?\Huh?\No way... I was grinning?\You were.\You still feel great after that concert, huh?\I guess. response:	Me, too.
context: It makes everyone happy.\Why are you grinning like that?\Huh?\No way... I was grinning?\You were.\You still feel great after that concert, huh?\I guess.\Me, too. response:	I never imagined myself on the stage, playing drums.
context: Why are you grinning like that?\Huh?\No way... I was grinning?\You were.\You still feel great after that concert, huh?\I guess.\Me, too.\I never imagined myself on the stage, playing drums. response:	You were really good.
context: Huh?\No way... I was grinning?\You were.\You still feel great after that concert, huh?\I guess.\Me, too.\I never imagined myself on the stage, playing drums.\You were really good. response:	Aw, you're flattering me.
context: No way... I was grinning?\You were.\You still feel great after that concert, huh?\I guess.\Me, too.\I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me. response:	Anyway, bards are amazing.
context: You were.\You still feel great after that concert, huh?\I guess.\Me, too.\I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me.\Anyway, bards are amazing. response:	You have an aura that makes even someone like me able to play, just by being near you.
context: You still feel great after that concert, huh?\I guess.\Me, too.\I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you. response:	But you know, it seems you need musical sense for it to work.
context: I guess.\Me, too.\I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work. response:	I tried asking Rudy, but...
context: Me, too.\I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but... response:	How's this, Miss Isuzu?
context: I never imagined myself on the stage, playing drums.\You were really good.\Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu? response:	It's great, right?
context: You were really good.\Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right? response:	How about this?
context: Aw, you're flattering me.\Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right?\How about this? response:	Oh, my God! My hand's stuck!
context: Anyway, bards are amazing.\You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right?\How about this?\Oh, my God! My hand's stuck! response:	I can imagine...
context: You have an aura that makes even someone like me able to play, just by being near you.\But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right?\How about this?\Oh, my God! My hand's stuck!\I can imagine... response:	But that just means you have really good musical sense.
context: But you know, it seems you need musical sense for it to work.\I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right?\How about this?\Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense. response:	That's not true.
context: I tried asking Rudy, but...\How's this, Miss Isuzu?\It's great, right?\How about this?\Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense.\That's not true. response:	I've just been used to music ever since I was a kid.
context: How's this, Miss Isuzu?\It's great, right?\How about this?\Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid. response:	You know...
context: It's great, right?\How about this?\Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid.\You know... response:	I played soccer.
context: How about this?\Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid.\You know...\I played soccer. response:	I practiced a lot,
context: Oh, my God! My hand's stuck!\I can imagine...\But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid.\You know...\I played soccer.\I practiced a lot, response:	but I was no match for the guys who were really good.
context: I can imagine...\But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid.\You know...\I played soccer.\I practiced a lot,\but I was no match for the guys who were really good. response:	You can tell when someone's a natural.
context: But that just means you have really good musical sense.\That's not true.\I've just been used to music ever since I was a kid.\You know...\I played soccer.\I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural. response:	Even when you're a kid.
context: That's not true.\I've just been used to music ever since I was a kid.\You know...\I played soccer.\I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid. response:	But even if I sucked, it was fun.
context: I've just been used to music ever since I was a kid.\You know...\I played soccer.\I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun. response:	You have fun playing music, too, right?
context: You know...\I played soccer.\I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right? response:	Yeah.
context: I played soccer.\I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah. response:	You like it, right?
context: I practiced a lot,\but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah.\You like it, right? response:	Yeah.
context: but I was no match for the guys who were really good.\You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah.\You like it, right?\Yeah. response:	And you get to keep doing it, so it's great!
context: You can tell when someone's a natural.\Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah.\You like it, right?\Yeah.\And you get to keep doing it, so it's great! response:	Do you remember what happened just after we were saved from Hamelin?
context: Even when you're a kid.\But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah.\You like it, right?\Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin? response:	We stayed with the Crescent Moon Alliance for a while,
context: But even if I sucked, it was fun.\You have fun playing music, too, right?\Yeah.\You like it, right?\Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while, response:	but you two had already decided to come to this guild, right?
context: You have fun playing music, too, right?\Yeah.\You like it, right?\Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right? response:	But I was suddenly free, and I had no idea what to do.
context: Yeah.\You like it, right?\Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do. response:	And then I found this lute.
context: You like it, right?\Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute. response:	With the dolphin pattern lacquered on... It was so beautiful.
context: Yeah.\And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful. response:	I knew it was something Marielle had made long ago,
context: And you get to keep doing it, so it's great!\Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago, response:	so I asked her to let me have it.
context: Do you remember what happened just after we were saved from Hamelin?\We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it. response:	And then I made a bunch of adjustments,
context: We stayed with the Crescent Moon Alliance for a while,\but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments, response:	and now it's my own personal instrument, the Flying Dolphin.
context: but you two had already decided to come to this guild, right?\But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin. response:	Thanks to this, I...
context: But I was suddenly free, and I had no idea what to do.\And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I... response:	Well, how to say it...
context: And then I found this lute.\With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it... response:	It gave me the drive to keep going.
