context: Mama? response:	Well, your father always picks you up, right?
context: Um, let's see...\Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	Your mother's beautiful, you know?
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know? response:	At home, she's a noisy old woman!
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman! response:	U-Um...
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um... response:	Apparently, Rin always looks after Kouki...
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki... response:	R-Really?
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki...\R-Really? response:	My son can be a little abrasive, so he's had trouble making friends...
context: And those days will be happy, too!\Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends... response:	Thank you so much.
context: Just wanna make you happy!\Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much. response:	Oh, no! Not at all...
context: Your mother's beautiful, you know?\At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all... response:	I-I should be thanking you...
context: At home, she's a noisy old woman!\U-Um...\Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all...\I-I should be thanking you... response:	My Rin is incredibly unsociable...
context: U-Um...\Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable... response:	Maybe it's like birds of a feather flock together, huh?
context: Apparently, Rin always looks after Kouki...\R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh? response:	Daikichi! You were just talking about me, weren't you?!
context: R-Really?\My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?! response:	I wasn't saying anything bad.
context: My son can be a little abrasive, so he's had trouble making friends...\Thank you so much.\Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad. response:	Now walk fast.
context: Thank you so much.\Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast. response:	I don't want you to demand that I carry you half the way again...
context: Oh, no! Not at all...\I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again... response:	I won't say that!
context: I-I should be thanking you...\My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that! response:	Let's go!
context: My Rin is incredibly unsociable...\Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go! response:	Is Rin-chan Daddy's girl?
context: Maybe it's like birds of a feather flock together, huh?\Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go!\Is Rin-chan Daddy's girl? response:	Oh, I'm not her father.
context: Daikichi! You were just talking about me, weren't you?!\I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father. response:	I'm more like a relative, or...
context: I wasn't saying anything bad.\Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or... response:	I-I'm sorry, what was I thinking?!
context: Now walk fast.\I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?! response:	N-Not at all!
context: I don't want you to demand that I carry you half the way again...\I won't say that!\Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all! response:	Mom, you're too slow!
context: I won't say that!\Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow! response:	It's nice that you made a friend, huh?
context: Let's go!\Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh? response:	Yep!
context: Is Rin-chan Daddy's girl?\Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh?\Yep! response:	Kouki-san said he doesn't have a father.
context: Oh, I'm not her father.\I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father. response:	He said his father went somewhere after the divorce.
context: I'm more like a relative, or...\I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce. response:	Rin... You know what divorce is?
context: I-I'm sorry, what was I thinking?!\N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is? response:	Yeah. When marriage is finished, right?
context: N-Not at all!\Mom, you're too slow!\It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right? response:	Yeah, more or less...
context: Mom, you're too slow!\It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less... response:	If God finds out, He punishes the people, doesn't he?
context: It's nice that you made a friend, huh?\Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he? response:	Mmm...
context: Yep!\Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm... response:	I wonder if my mom is gone because of divorce, too...
context: Kouki-san said he doesn't have a father.\He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too... response:	Do you want to meet her?
context: He said his father went somewhere after the divorce.\Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her? response:	I don't know.
context: Rin... You know what divorce is?\Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know. response:	I see.
context: Yeah. When marriage is finished, right?\Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know.\I see. response:	But you know...
context: Yeah, more or less...\If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know.\I see.\But you know... response:	If she's like Kouki-kun's mother, I think I want to meet her!
context: If God finds out, He punishes the people, doesn't he?\Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know.\I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her! response:	Me too! Me too!
context: Mmm...\I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know.\I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too! response:	What?!
context: I wonder if my mom is gone because of divorce, too...\Do you want to meet her?\I don't know.\I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?! response:	Rin-chan's mother is...?!
context: Do you want to meet her?\I don't know.\I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?!\Rin-chan's mother is...?! response:	Yeah. Grandpa's maid is probably Rin's mother.
context: I don't know.\I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother. response:	I don't believe it...
context: I see.\But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it... response:	Have you heard anything about the maid?
context: But you know...\If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid? response:	Friday, January 25th, from 7pm
context: If she's like Kouki-kun's mother, I think I want to meet her!\Me too! Me too!\What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm response:	This was pretty cool.
context: Me too! Me too!\What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool. response:	A farewell party? For me?
context: What?!\Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me? response:	I'm sorry it's taken so long.
context: Rin-chan's mother is...?!\Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long. response:	Winter clothing orders have finally settled down, so...
context: Yeah. Grandpa's maid is probably Rin's mother.\I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so... response:	Thanks.
context: I don't believe it...\Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks. response:	But I just can't go out at night.
context: Have you heard anything about the maid?\Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night. response:	My girl's six, see...
context: Friday, January 25th, from 7pm\This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night.\My girl's six, see... response:	Are you telling me you haven't gone out drinking once since...?
context: This was pretty cool.\A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...? response:	Yeah. I just can't get out.
context: A farewell party? For me?\I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out. response:	And I don't even care about drinking and that stuff anymore.
context: I'm sorry it's taken so long.\Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore. response:	Maybe it's my age...
context: Winter clothing orders have finally settled down, so...\Thanks.\But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age... response:	But you're only 30...
context: Thanks.\But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30... response:	Anyway, the people in my shipping department are young,
context: But I just can't go out at night.\My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young, response:	but a lot of them have kids.
context: My girl's six, see...\Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids. response:	So it isn't customary to go out drinking...
context: Are you telling me you haven't gone out drinking once since...?\Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking... response:	Right?
context: Yeah. I just can't get out.\And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking...\Right? response:	You got that right.
context: And I don't even care about drinking and that stuff anymore.\Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking...\Right?\You got that right. response:	I gotta pick up the kid at nursery school, anyway.
context: Maybe it's my age...\But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking...\Right?\You got that right.\I gotta pick up the kid at nursery school, anyway. response:	We had two kids in two years and the younger is 3 months old,
context: But you're only 30...\Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking...\Right?\You got that right.\I gotta pick up the kid at nursery school, anyway.\We had two kids in two years and the younger is 3 months old, response:	so if I don't get home quick, my wife...
context: Anyway, the people in my shipping department are young,\but a lot of them have kids.\So it isn't customary to go out drinking...\Right?\You got that right.\I gotta pick up the kid at nursery school, anyway.\We had two kids in two years and the younger is 3 months old,\so if I don't get home quick, my wife... response:	Turns into Wifezilla, right?
