context: FOUR YEARS AGO response:	PORT OF STIMMER, LEIDENSCHAFTLICH
context: Iris, can we borrow your manual?\Okay.\Uh, have a seat.\Yes ma'am.\You should remove your gloves.\Okay.\Are you okay?\It's not a problem. response:	Then why don't you try it out a bit?
context: Okay.\Uh, have a seat.\Yes ma'am.\You should remove your gloves.\Okay.\Are you okay?\It's not a problem.\Then why don't you try it out a bit? response:	Set the paper like this.
context: Uh, have a seat.\Yes ma'am.\You should remove your gloves.\Okay.\Are you okay?\It's not a problem.\Then why don't you try it out a bit?\Set the paper like this. response:	Turn the knob and feed it in.
context: Yes ma'am.\You should remove your gloves.\Okay.\Are you okay?\It's not a problem.\Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in. response:	Place your pointer fingers on the F and J keys, and try typing something.
context: You should remove your gloves.\Okay.\Are you okay?\It's not a problem.\Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something. response:	Okay.
context: Okay.\Are you okay?\It's not a problem.\Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay. response:	That's right. Just like that.
context: Are you okay?\It's not a problem.\Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that. response:	Just memorize where your fingers should go for the different letters.
context: It's not a problem.\Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters. response:	Try typing what it says in this manual.
context: Then why don't you try it out a bit?\Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual. response:	Oh, wait. Violet.
context: Set the paper like this.\Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet. response:	Violet! Stop!
context: Turn the knob and feed it in.\Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop! response:	Can you type a little more...
context: Place your pointer fingers on the F and J keys, and try typing something.\Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop!\Can you type a little more... response:	quietly?
context: Okay.\That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop!\Can you type a little more...\quietly? response:	Thank you.
context: That's right. Just like that.\Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop!\Can you type a little more...\quietly?\Thank you. response:	It's 1.2 Liber. So, that's 10 Corse.
context: Just memorize where your fingers should go for the different letters.\Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop!\Can you type a little more...\quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse. response:	-Thank you. -It's finally time for lunch!
context: Try typing what it says in this manual.\Oh, wait. Violet.\Violet! Stop!\Can you type a little more...\quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch! response:	Nerine, Lilian.
context: Oh, wait. Violet.\Violet! Stop!\Can you type a little more...\quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian. response:	Let's have lunch together. I've bought fried noodles for you.
context: Violet! Stop!\Can you type a little more...\quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you. response:	No, thanks.
context: Can you type a little more...\quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks. response:	And don't come to the reception looking so sweaty like that.
context: quietly?\Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that. response:	What's up with them?
context: Thank you.\It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them? response:	When you see a man who's been toiling away,
context: It's 1.2 Liber. So, that's 10 Corse.\-Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away, response:	can't you at least say, Thanks for your hard work?
context: -Thank you. -It's finally time for lunch!\Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work? response:	And what do they mean, Don't come?
context: Nerine, Lilian.\Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come? response:	-Women these days are so calculating. -And their perfume stinks.
context: Let's have lunch together. I've bought fried noodles for you.\No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks. response:	They're just trying to snag rich guys at reception.
context: No, thanks.\And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception. response:	Don't worry about it.
context: And don't come to the reception looking so sweaty like that.\What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it. response:	Who cares. No more working girls for me.
context: What's up with them?\When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me. response:	-Hey, you guys. Fried noodles. -I don't want any.
context: When you see a man who's been toiling away,\can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any. response:	And stop calling me Hey, you.
context: can't you at least say, Thanks for your hard work?\And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you. response:	I'll have some fried noodles.
context: And what do they mean, Don't come?\-Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles. response:	I'm stuck just writing addresses again today.
context: -Women these days are so calculating. -And their perfume stinks.\They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today. response:	The two reservations we have this afternoon
context: They're just trying to snag rich guys at reception.\Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon response:	both asked for Cattleya.
context: Don't worry about it.\Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya. response:	Are you okay?
context: Who cares. No more working girls for me.\-Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya.\Are you okay? response:	I'm fine.
context: -Hey, you guys. Fried noodles. -I don't want any.\And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya.\Are you okay?\I'm fine. response:	I came all the way to Leiden to become a Doll,
context: And stop calling me Hey, you.\I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya.\Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll, response:	but all I do is write addresses
context: I'll have some fried noodles.\I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya.\Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses response:	and inquiries about missing people from the war every day.
context: I'm stuck just writing addresses again today.\The two reservations we have this afternoon\both asked for Cattleya.\Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day. response:	That's all I do.
context: The two reservations we have this afternoon\both asked for Cattleya.\Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do. response:	Right.
context: both asked for Cattleya.\Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do.\Right. response:	By the way, I heard that new girl used to be in the army.
context: Are you okay?\I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do.\Right.\By the way, I heard that new girl used to be in the army. response:	Even though she's still a child?
context: I'm fine.\I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do.\Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child? response:	And...
context: I came all the way to Leiden to become a Doll,\but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do.\Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And... response:	They don't have to make her a Doll.
context: but all I do is write addresses\and inquiries about missing people from the war every day.\That's all I do.\Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And...\They don't have to make her a Doll. response:	She's cold and inconsiderate.
context: and inquiries about missing people from the war every day.\That's all I do.\Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And...\They don't have to make her a Doll.\She's cold and inconsiderate. response:	She's not right for this job.
context: That's all I do.\Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And...\They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job. response:	I want to write letters that are more exciting!
context: Right.\By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And...\They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting! response:	Like a letter for a famous person. Or a secret love letter for an actress.
context: By the way, I heard that new girl used to be in the army.\Even though she's still a child?\And...\They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress. response:	But those jobs always go to Cattleya.
context: Even though she's still a child?\And...\They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya. response:	How is Violet?
context: And...\They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet? response:	I invited her to lunch, but she said she didn't need to recharge.
context: They don't have to make her a Doll.\She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge. response:	She's just been practicing typing the entire time.
context: She's cold and inconsiderate.\She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time. response:	I see.
context: She's not right for this job.\I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see. response:	Sorry for all the trouble.
context: I want to write letters that are more exciting!\Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see.\Sorry for all the trouble. response:	Hey, then treat me to dinner, Claudia.
context: Like a letter for a famous person. Or a secret love letter for an actress.\But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia. response:	Don't call me by my first name!
context: But those jobs always go to Cattleya.\How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name! response:	Just because you wanted a girl. I can't believe it.
context: How is Violet?\I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it. response:	Calling out a girl's name in bed. That was terrible.
context: I invited her to lunch, but she said she didn't need to recharge.\She's just been practicing typing the entire time.\I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible. response:	Stop! Please! I'm sorry!
context: She's just been practicing typing the entire time.\I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry! response:	I can't take you anytime soon.
