context: They're holding a meeting of the Union Lords, so we've been summoned to Jalucia. response:	Over six months since the Great Hall Tragedy, and now there's finally a meeting?
context: Amazing. I can't believe you can manipulate multiple targets at once!\Once you get the hang of it, it's quite easy.\Please show me how! I'd love to learn!\W-Well, I suppose I don't mind.\Thank you very much!\Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so, response:	I'm well aware that you're always thinking of our futures, and truly appreciate it.
context: Once you get the hang of it, it's quite easy.\Please show me how! I'd love to learn!\W-Well, I suppose I don't mind.\Thank you very much!\Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it. response:	That said, Lady Margaret would prefer to continue being under contract to you.
context: Please show me how! I'd love to learn!\W-Well, I suppose I don't mind.\Thank you very much!\Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you. response:	However, it wouldn't do to show only Margaret preferential treatment.
context: W-Well, I suppose I don't mind.\Thank you very much!\Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment. response:	Siluca.
context: Thank you very much!\Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca. response:	I'd like you to start making preparations for Margaret's birthday banquet right away.
context: Understood.\I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away. response:	Also, regarding the upcoming Lords' meeting...
context: I'd forgotten that Margaret's 25th birthday was coming up.\If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting... response:	I'd like you, Theo and Lassic to accompany me.
context: If I may say so,\I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me. response:	You wish to take Sir Theo as well?
context: I'm well aware that you're always thinking of our futures, and truly appreciate it.\That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well? response:	Federico Rossini, the Viscount of Systina, will also be attending.
context: That said, Lady Margaret would prefer to continue being under contract to you.\However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending. response:	It wouldn't hurt for Theo to meet him.
context: However, it wouldn't do to show only Margaret preferential treatment.\Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him. response:	Thank you for taking it into consideration.
context: Siluca.\I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration. response:	No need to thank me.
context: I'd like you to start making preparations for Margaret's birthday banquet right away.\Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me. response:	I want you there to insist that you were the ones who started that battle.
context: Also, regarding the upcoming Lords' meeting...\I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle. response:	And that I merely lent you a helping hand.
context: I'd like you, Theo and Lassic to accompany me.\You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand. response:	Of course we will, sir.
context: You wish to take Sir Theo as well?\Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir. response:	I'm counting on you.
context: Federico Rossini, the Viscount of Systina, will also be attending.\It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you. response:	Lady Margaret, Happy Birthday!
context: It wouldn't hurt for Theo to meet him.\Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday! response:	Congratulations!
context: Thank you for taking it into consideration.\No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations! response:	Thank you for looking after me.
context: No need to thank me.\I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me. response:	Will you be returning to your homeland after this?
context: I want you there to insist that you were the ones who started that battle.\And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this? response:	Yes.
context: And that I merely lent you a helping hand.\Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this?\Yes. response:	It's all so glamorous.
context: Of course we will, sir.\I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this?\Yes.\It's all so glamorous. response:	There will be dancing afterwards, you know.
context: I'm counting on you.\Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this?\Yes.\It's all so glamorous.\There will be dancing afterwards, you know. response:	Are you a skilled dancer, Sir Theo?
context: Lady Margaret, Happy Birthday!\Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this?\Yes.\It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo? response:	Not by a long shot! I've never even seen anyone dancing before.
context: Congratulations!\Thank you for looking after me.\Will you be returning to your homeland after this?\Yes.\It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before. response:	Meletes?
context: Thank you for looking after me.\Will you be returning to your homeland after this?\Yes.\It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes? response:	Lady Margaret...
context: Will you be returning to your homeland after this?\Yes.\It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret... response:	I'd like to wish you... a happy birthday.
context: Yes.\It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday. response:	What's with the long face, Siluca?
context: It's all so glamorous.\There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca? response:	I had hoped to learn so much more from you, Lady Margaret.
context: There will be dancing afterwards, you know.\Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret. response:	Me, teach you?
context: Are you a skilled dancer, Sir Theo?\Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you? response:	But I'm Hellfire Margaret.
context: Not by a long shot! I've never even seen anyone dancing before.\Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret. response:	I have nothing to teach but basic chemical spells.
context: Meletes?\Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells. response:	But I still have so much to learn.
context: Lady Margaret...\I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn. response:	Siluca...
context: I'd like to wish you... a happy birthday.\What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca... response:	You might not be a mage under contract to Lord Villar,
context: What's with the long face, Siluca?\I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar, response:	but you've caused him trouble, as well as received his favor.
context: I had hoped to learn so much more from you, Lady Margaret.\Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor. response:	I understand that.
context: Me, teach you?\But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that. response:	I'm counting on you to take care of Artuk and Lord Villar.
context: But I'm Hellfire Margaret.\I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar. response:	Anyone can see that they're made for each other.
context: I have nothing to teach but basic chemical spells.\But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other. response:	You have a point.
context: But I still have so much to learn.\Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point. response:	But as outsiders, this is one thing we have no way of fixing.
context: Siluca...\You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing. response:	Right.
context: You might not be a mage under contract to Lord Villar,\but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right. response:	Let's dance!
context: but you've caused him trouble, as well as received his favor.\I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance! response:	Huh? Are you sure about this?
context: I understand that.\I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance!\Huh? Are you sure about this? response:	After seeing that amazing dance, no time like the present!
context: I'm counting on you to take care of Artuk and Lord Villar.\Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present! response:	Sorry!
context: Anyone can see that they're made for each other.\You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry! response:	One... Two... Three...
context: You have a point.\But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three... response:	Try to keep to this rhythm, and move your feet in time.
context: But as outsiders, this is one thing we have no way of fixing.\Right.\Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time. response:	I see.
context: Right.\Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see. response:	Move your body... a little closer to mine.
context: Let's dance!\Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine. response:	Are you sure?
context: Huh? Are you sure about this?\After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine.\Are you sure? response:	That's what you do when you dance.
context: After seeing that amazing dance, no time like the present!\Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance. response:	T-Too close!
context: Sorry!\One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance.\T-Too close! response:	R-Right in my face!
context: One... Two... Three...\Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance.\T-Too close!\R-Right in my face! response:	It looked a lot easier when I watched it.
context: Try to keep to this rhythm, and move your feet in time.\I see.\Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance.\T-Too close!\R-Right in my face!\It looked a lot easier when I watched it. response:	Well, it was your first time.
context: I see.\Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance.\T-Too close!\R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time. response:	That was quite entertaining.
context: Move your body... a little closer to mine.\Are you sure?\That's what you do when you dance.\T-Too close!\R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining. response:	Your talent lies more in buffoonery than in being a Lord, wouldn't you say?
context: Are you sure?\That's what you do when you dance.\T-Too close!\R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say? response:	Even if it's as a buffoon,
context: That's what you do when you dance.\T-Too close!\R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon, response:	to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.
context: T-Too close!\R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me. response:	My dislike of you is confirmed.
context: R-Right in my face!\It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed. response:	Come with me.
context: It looked a lot easier when I watched it.\Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me. response:	Didn't think you'd bring a shield.
context: Well, it was your first time.\That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield. response:	Feel free to make the first move!
context: That was quite entertaining.\Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move! response:	That so?
context: Your talent lies more in buffoonery than in being a Lord, wouldn't you say?\Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move!\That so? response:	I thought I'd cross swords with you, but who knew you'd only defend?
context: Even if it's as a buffoon,\to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend? response:	I thought this is how I should fight.
context: to earn any praise from you, Lord Milza, would be a lifelong source of pride for me.\My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight. response:	This is not how a Lord should fight!
context: My dislike of you is confirmed.\Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight! response:	You can only protect yourself behind a shield.
context: Come with me.\Didn't think you'd bring a shield.\Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield. response:	By eliminating your opponents, your allies will survive.
context: Didn't think you'd bring a shield.\Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive. response:	You'll save more allies in the end.
context: Feel free to make the first move!\That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end. response:	And that is how...
context: That so?\I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how... response:	a Lord worthy of his title should fight!
context: I thought I'd cross swords with you, but who knew you'd only defend?\I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight! response:	I thank you... for your instruction.
context: I thought this is how I should fight.\This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction. response:	All other Lords are just like you, hence why the era of Chaos drags on.
context: This is not how a Lord should fight!\You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on. response:	Only one person can acquire the Emperor's Crest.
context: You can only protect yourself behind a shield.\By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest. response:	So why not determine the victor in battle?
context: By eliminating your opponents, your allies will survive.\You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle? response:	Men like you, who lack ambition and the mettle to protect your allies,
context: You'll save more allies in the end.\And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies, response:	have no right to be Lords.
context: And that is how...\a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords. response:	But I have a path I've sworn to follow.
context: a Lord worthy of his title should fight!\I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow. response:	An untold number of citizens have lost their lives with you at the helm.
context: I thank you... for your instruction.\All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm. response:	And there will be many more in the future.
context: All other Lords are just like you, hence why the era of Chaos drags on.\Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future. response:	That might be true.
context: Only one person can acquire the Emperor's Crest.\So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true. response:	So you strive for oppression, I see.
