context: Alarm response:	My Friend and I
context: Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun! response:	Sorry, did you wait long?
context: Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long? response:	I love her!
context: I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long?\I love her! response:	When did you arrive?
context: but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long?\I love her!\When did you arrive? response:	Just now.
context: Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long?\I love her!\When did you arrive?\Just now. response:	Really?
context: Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long?\I love her!\When did you arrive?\Just now.\Really? response:	Whew...
context: I'll make sure it's a success.\Takeo-kun!\Sorry, did you wait long?\I love her!\When did you arrive?\Just now.\Really?\Whew... response:	I woke up super early today,
context: Takeo-kun!\Sorry, did you wait long?\I love her!\When did you arrive?\Just now.\Really?\Whew...\I woke up super early today, response:	We were supposed to meet at 10, right?
context: Sorry, did you wait long?\I love her!\When did you arrive?\Just now.\Really?\Whew...\I woke up super early today,\We were supposed to meet at 10, right? response:	like at 4 AM.
context: I love her!\When did you arrive?\Just now.\Really?\Whew...\I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM. response:	I tried going back to sleep, but then I dreamed I was running late.
context: When did you arrive?\Just now.\Really?\Whew...\I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late. response:	I woke up in a panic, only to find that it was still 5 AM...
context: Just now.\Really?\Whew...\I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM... response:	Yamato, happy birthday.
context: Really?\Whew...\I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday. response:	Yeah...
context: Whew...\I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah... response:	Yeah!
context: I woke up super early today,\We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah...\Yeah! response:	Thanks.
context: We were supposed to meet at 10, right?\like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah...\Yeah!\Thanks. response:	Thank you!
context: like at 4 AM.\I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah...\Yeah!\Thanks.\Thank you! response:	I love you, Yamato.
context: I tried going back to sleep, but then I dreamed I was running late.\I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah...\Yeah!\Thanks.\Thank you!\I love you, Yamato. response:	Today, you can leave everything to me.
context: I woke up in a panic, only to find that it was still 5 AM...\Yamato, happy birthday.\Yeah...\Yeah!\Thanks.\Thank you!\I love you, Yamato.\Today, you can leave everything to me. response:	Okay.
context: Yamato, happy birthday.\Yeah...\Yeah!\Thanks.\Thank you!\I love you, Yamato.\Today, you can leave everything to me.\Okay. response:	Where are we going?
context: Yeah...\Yeah!\Thanks.\Thank you!\I love you, Yamato.\Today, you can leave everything to me.\Okay.\Where are we going? response:	It's a secret.
context: Yeah!\Thanks.\Thank you!\I love you, Yamato.\Today, you can leave everything to me.\Okay.\Where are we going?\It's a secret. response:	Since we have time, let's walk there.
context: Thanks.\Thank you!\I love you, Yamato.\Today, you can leave everything to me.\Okay.\Where are we going?\It's a secret.\Since we have time, let's walk there. response:	Okay.
context: Thank you!\I love you, Yamato.\Today, you can leave everything to me.\Okay.\Where are we going?\It's a secret.\Since we have time, let's walk there.\Okay. response:	Suna helped me come up with this plan.
context: I love you, Yamato.\Today, you can leave everything to me.\Okay.\Where are we going?\It's a secret.\Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan. response:	Sounds fun!
context: Today, you can leave everything to me.\Okay.\Where are we going?\It's a secret.\Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan.\Sounds fun! response:	I'm glad it's sunny today.
context: Okay.\Where are we going?\It's a secret.\Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today. response:	It makes me really happy.
context: Where are we going?\It's a secret.\Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today.\It makes me really happy. response:	Suna...
context: It's a secret.\Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today.\It makes me really happy.\Suna... response:	What's wrong?
context: Since we have time, let's walk there.\Okay.\Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today.\It makes me really happy.\Suna...\What's wrong? response:	I'm fine.
context: Okay.\Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today.\It makes me really happy.\Suna...\What's wrong?\I'm fine. response:	Wow!
context: Suna helped me come up with this plan.\Sounds fun!\I'm glad it's sunny today.\It makes me really happy.\Suna...\What's wrong?\I'm fine.\Wow! response:	This place is really fun!
context: Sounds fun!\I'm glad it's sunny today.\It makes me really happy.\Suna...\What's wrong?\I'm fine.\Wow!\This place is really fun! response:	What should we do?
context: I'm glad it's sunny today.\It makes me really happy.\Suna...\What's wrong?\I'm fine.\Wow!\This place is really fun!\What should we do? response:	Bowling...
context: It makes me really happy.\Suna...\What's wrong?\I'm fine.\Wow!\This place is really fun!\What should we do?\Bowling... response:	We spoke at the same time!
context: Suna...\What's wrong?\I'm fine.\Wow!\This place is really fun!\What should we do?\Bowling...\We spoke at the same time! response:	We sure did.
context: What's wrong?\I'm fine.\Wow!\This place is really fun!\What should we do?\Bowling...\We spoke at the same time!\We sure did. response:	Bowl!
context: I'm fine.\Wow!\This place is really fun!\What should we do?\Bowling...\We spoke at the same time!\We sure did.\Bowl! response:	You're amazing, Takeo-kun!
context: Wow!\This place is really fun!\What should we do?\Bowling...\We spoke at the same time!\We sure did.\Bowl!\You're amazing, Takeo-kun! response:	blush blush blush
context: This place is really fun!\What should we do?\Bowling...\We spoke at the same time!\We sure did.\Bowl!\You're amazing, Takeo-kun!\blush blush blush response:	Wow, your ball is so heavy.
context: What should we do?\Bowling...\We spoke at the same time!\We sure did.\Bowl!\You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy. response:	You hold it like it's nothing,
context: Bowling...\We spoke at the same time!\We sure did.\Bowl!\You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing, response:	but I'm not sure I can lift it...
context: We spoke at the same time!\We sure did.\Bowl!\You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it... response:	Wow, Takeo-kun, your hand's so big!
context: We sure did.\Bowl!\You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big! response:	Wow, Takeo-kun, you're so strong!
context: Bowl!\You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong! response:	Wow!
context: You're amazing, Takeo-kun!\blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow! response:	Wow, what?
context: blush blush blush\Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow!\Wow, what? response:	Wow!
context: Wow, your ball is so heavy.\You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow!\Wow, what?\Wow! response:	Sorry, Takeo-kun...
context: You hold it like it's nothing,\but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow!\Wow, what?\Wow!\Sorry, Takeo-kun... response:	But it's from Nanako.
context: but I'm not sure I can lift it...\Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow!\Wow, what?\Wow!\Sorry, Takeo-kun...\But it's from Nanako. response:	Hmm?
context: Wow, Takeo-kun, your hand's so big!\Wow, Takeo-kun, you're so strong!\Wow!\Wow, what?\Wow!\Sorry, Takeo-kun...\But it's from Nanako.\Hmm? response:	Oh, sorry.
context: Wow, Takeo-kun, you're so strong!\Wow!\Wow, what?\Wow!\Sorry, Takeo-kun...\But it's from Nanako.\Hmm?\Oh, sorry. response:	No, you can look.
context: Wow!\Wow, what?\Wow!\Sorry, Takeo-kun...\But it's from Nanako.\Hmm?\Oh, sorry.\No, you can look. response:	Takeo-kun, can I take a selfie with you?
context: Wow, what?\Wow!\Sorry, Takeo-kun...\But it's from Nanako.\Hmm?\Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you? response:	Sure.
context: Wow!\Sorry, Takeo-kun...\But it's from Nanako.\Hmm?\Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you?\Sure. response:	I wonder if this is going too far.
context: Sorry, Takeo-kun...\But it's from Nanako.\Hmm?\Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far. response:	Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!
context: But it's from Nanako.\Hmm?\Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun! response:	Maybe it's like I'm bragging.
context: Hmm?\Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging. response:	I'm blushing.
context: Oh, sorry.\No, you can look.\Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing. response:	Okay...
context: No, you can look.\Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing.\Okay... response:	Oops, the pins are split.
context: Takeo-kun, can I take a selfie with you?\Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing.\Okay...\Oops, the pins are split. response:	Those are hard.
context: Sure.\I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing.\Okay...\Oops, the pins are split.\Those are hard. response:	Yamato's been laughing the whole time.
context: I wonder if this is going too far.\Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing.\Okay...\Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time. response:	She looks like she's having fun.
context: Compose Message To: Nanako Subject: Re: Happy Birthday, Rinko! Thanks! I'm with Takeo-kun. Bowling's super fun!\Maybe it's like I'm bragging.\I'm blushing.\Okay...\Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun. response:	Suna said you'd have fun,
context: Maybe it's like I'm bragging.\I'm blushing.\Okay...\Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun, response:	no matter where I took you.
context: I'm blushing.\Okay...\Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you. response:	Huh?
context: Okay...\Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you.\Huh? response:	Really?
context: Oops, the pins are split.\Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you.\Huh?\Really? response:	I'm not that easygoing.
context: Those are hard.\Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you.\Huh?\Really?\I'm not that easygoing. response:	I'm just really having fun.
context: Yamato's been laughing the whole time.\She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you.\Huh?\Really?\I'm not that easygoing.\I'm just really having fun. response:	Okay.
context: She looks like she's having fun.\Suna said you'd have fun,\no matter where I took you.\Huh?\Really?\I'm not that easygoing.\I'm just really having fun.\Okay. response:	I am, too.
context: Suna said you'd have fun,\no matter where I took you.\Huh?\Really?\I'm not that easygoing.\I'm just really having fun.\Okay.\I am, too. response:	I'm glad I can celebrate my birthday with you.
context: no matter where I took you.\Huh?\Really?\I'm not that easygoing.\I'm just really having fun.\Okay.\I am, too.\I'm glad I can celebrate my birthday with you. response:	Me, too.
context: Huh?\Really?\I'm not that easygoing.\I'm just really having fun.\Okay.\I am, too.\I'm glad I can celebrate my birthday with you.\Me, too. response:	I'm having lots of fun. I'm glad.
context: Really?\I'm not that easygoing.\I'm just really having fun.\Okay.\I am, too.\I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad. response:	I'm a happy man, Yamato.
context: I'm not that easygoing.\I'm just really having fun.\Okay.\I am, too.\I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato. response:	Hey, I know this place!
context: I'm just really having fun.\Okay.\I am, too.\I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place! response:	I've wanted to try coming here,
context: Okay.\I am, too.\I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here, response:	but it's expensive, so it isn't somewhere you can go often.
context: I am, too.\I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often. response:	I got a job, so it's fine.
context: I'm glad I can celebrate my birthday with you.\Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine. response:	Wow! So cute!
context: Me, too.\I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute! response:	Cakes are so sparkly.
context: I'm having lots of fun. I'm glad.\I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly. response:	Just looking at them is fun.
context: I'm a happy man, Yamato.\Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun. response:	Yeah.
context: Hey, I know this place!\I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun.\Yeah. response:	I think your smile's really sparkly.
context: I've wanted to try coming here,\but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun.\Yeah.\I think your smile's really sparkly. response:	Just seeing you smile is fun.
context: but it's expensive, so it isn't somewhere you can go often.\I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun.\Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun. response:	Suna said that if you like making sweets,
context: I got a job, so it's fine.\Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun.\Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets, response:	you must like eating them, too.
context: Wow! So cute!\Cakes are so sparkly.\Just looking at them is fun.\Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too. response:	Yeah, I do!
context: Cakes are so sparkly.\Just looking at them is fun.\Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do! response:	I see!
context: Just looking at them is fun.\Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do!\I see! response:	Suna really gets it.
context: Yeah.\I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do!\I see!\Suna really gets it. response:	He's amazing!
context: I think your smile's really sparkly.\Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do!\I see!\Suna really gets it.\He's amazing! response:	Yeah, he is.
context: Just seeing you smile is fun.\Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do!\I see!\Suna really gets it.\He's amazing!\Yeah, he is. response:	Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.
context: Suna said that if you like making sweets,\you must like eating them, too.\Yeah, I do!\I see!\Suna really gets it.\He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls. response:	I wonder why he doesn't have a girlfriend.
context: you must like eating them, too.\Yeah, I do!\I see!\Suna really gets it.\He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend. response:	I'm not sure...
context: Yeah, I do!\I see!\Suna really gets it.\He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure... response:	He said it was too much trouble.
context: I see!\Suna really gets it.\He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble. response:	Suna...
context: Suna really gets it.\He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble.\Suna... response:	Huh?
context: He's amazing!\Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble.\Suna...\Huh? response:	I'm glad you didn't have a girlfriend, either, even though you're cool, too.
context: Yeah, he is.\Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble.\Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too. response:	I'm so lucky I can go out with you.
context: Sunakawa-kun's good-looking, and I'd think he'd be popular with girls.\I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble.\Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you. response:	I'm the one who's lucky.
context: I wonder why he doesn't have a girlfriend.\I'm not sure...\He said it was too much trouble.\Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky. response:	Happy birthday!
context: I'm not sure...\He said it was too much trouble.\Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday! response:	What?
context: He said it was too much trouble.\Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday!\What? response:	Huh?
context: Suna...\Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday!\What?\Huh? response:	Wh-Wh-What?
context: Huh?\I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday!\What?\Huh?\Wh-Wh-What? response:	Please make a wish before you blow out the candle.
context: I'm glad you didn't have a girlfriend, either, even though you're cool, too.\I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday!\What?\Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle. response:	Huh?
context: I'm so lucky I can go out with you.\I'm the one who's lucky.\Happy birthday!\What?\Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh? response:	Oh, uh, um, okay...
context: I'm the one who's lucky.\Happy birthday!\What?\Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay... response:	Um, uh...
context: Happy birthday!\What?\Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay...\Um, uh... response:	I wish to spend my next birthday,
context: What?\Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday, response:	and the one after that, and the one after that with Takeo-kun!
context: Huh?\Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun! response:	You don't have to say it out loud!
context: Wh-Wh-What?\Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud! response:	Huh?
context: Please make a wish before you blow out the candle.\Huh?\Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh? response:	You're the first customer who's said their wish aloud.
