context: Yes! response:	Spellamiso. A perennial plant from the Aoshidare family.
context: Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness. response:	Thanks, Miss!
context: You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss! response:	Don't forget to take your medicine!
context: Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine! response:	See ya, Shirayuki.
context: You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki. response:	Yoshi, feel better!
context: In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better! response:	Thanks for waiting!
context: That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting! response:	Next is the medicine for you, Kino, right?
context: Yes, a girl born with exceptionally rare red hair, as red as an apple.\Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right? response:	Don't worry about it.
context: Her name is Shirayuki, Highness.\Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it. response:	I just came to let my eyes rest on your beautiful hair.
context: Thanks, Miss!\Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair. response:	Thank you. But since you're here, I'll prepare some more medicine for you.
context: Don't forget to take your medicine!\See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you. response:	I got a hold of some good medicinal herbs, so please take some with you.
context: See ya, Shirayuki.\Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you. response:	You are a fine herbalist.
context: Yoshi, feel better!\Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist. response:	I wish your dead grandparents could see you...
context: Thanks for waiting!\Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you... response:	Um... Kino-
context: Next is the medicine for you, Kino, right?\Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino- response:	I just remembered! I left the stove on!
context: Don't worry about it.\I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on! response:	Huh?!
context: I just came to let my eyes rest on your beautiful hair.\Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on!\Huh?! response:	Oh dear, oh dear.
context: Thank you. But since you're here, I'll prepare some more medicine for you.\I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear. response:	I guess I can just bring it to her later.
context: I got a hold of some good medicinal herbs, so please take some with you.\You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later. response:	Did you forget someth-
context: You are a fine herbalist.\I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth- response:	Prince Raj's... concubine?
context: I wish your dead grandparents could see you...\Um... Kino-\I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine? response:	Yes, in other words, a mistress.
context: Um... Kino-\I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress. response:	That's absurd.
context: I just remembered! I left the stove on!\Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd. response:	I can't believe he'd want a town girl like me because of the color of my hair.
context: Huh?!\Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair. response:	I'll be an embarrassment to the prince.
context: Oh dear, oh dear.\I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince. response:	That Prince Raj has taken a liking to you.
context: I guess I can just bring it to her later.\Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you. response:	Anyway, you must formally present yourself to the castle tomorrow morning.
context: Did you forget someth-\Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning. response:	Dress yourself up tonight while you can.
context: Prince Raj's... concubine?\Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can. response:	For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.
context: Yes, in other words, a mistress.\That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract. response:	At Yuri's place, the father and baby were coming down with a cold.
context: That's absurd.\I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold. response:	Okay, all that's left is...
context: I can't believe he'd want a town girl like me because of the color of my hair.\I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is... response:	That'll take care of everything.
context: I'll be an embarrassment to the prince.\That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything. response:	It's not your fault, though.
context: That Prince Raj has taken a liking to you.\Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything.\It's not your fault, though. response:	Good-bye, Tanbarun.
context: Anyway, you must formally present yourself to the castle tomorrow morning.\Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun. response:	Excuse me!
context: Dress yourself up tonight while you can.\For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun.\Excuse me! response:	Excuse me! Is anyone home?
context: For Kino, something to relieve the pain in her back and stop the inflammation of her respiratory tract.\At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home? response:	I can't just go in without permission...
context: At Yuri's place, the father and baby were coming down with a cold.\Okay, all that's left is...\That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission... response:	And it's getting dark...
context: Okay, all that's left is...\That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark... response:	And I'm starting to get hungry...
context: That'll take care of everything.\It's not your fault, though.\Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry... response:	Mitsuhide, Kiki! I'm going on ahead!
context: It's not your fault, though.\Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead! response:	Jeez, you're going from a place like that again?
context: Good-bye, Tanbarun.\Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again? response:	Ow...
context: Excuse me!\Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow... response:	Are you all right, Zen?
context: Excuse me! Is anyone home?\I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen? response:	Are you injured? Did you hit your head?
context: I can't just go in without permission...\And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen?\Are you injured? Did you hit your head? response:	What's one plus one?
context: And it's getting dark...\And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one? response:	Two.
context: And I'm starting to get hungry...\Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one?\Two. response:	Huh? Who're you again?
context: Mitsuhide, Kiki! I'm going on ahead!\Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one?\Two.\Huh? Who're you again? response:	It's me, Mitsuhide!
context: Jeez, you're going from a place like that again?\Ow...\Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one?\Two.\Huh? Who're you again?\It's me, Mitsuhide! response:	Oh, was that your name?
context: Ow...\Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one?\Two.\Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name? response:	Kiki! You, too?!
context: Are you all right, Zen?\Are you injured? Did you hit your head?\What's one plus one?\Two.\Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?! response:	Well?
context: Are you injured? Did you hit your head?\What's one plus one?\Two.\Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?!\Well? response:	Who are you, really?
context: What's one plus one?\Two.\Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?!\Well?\Who are you, really? response:	What are you doing, so deep in the woods?
context: Two.\Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?!\Well?\Who are you, really?\What are you doing, so deep in the woods? response:	O-Oh, I just followed a road without many people in the middle of running away, and...
context: Huh? Who're you again?\It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?!\Well?\Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and... response:	You have strange hair.
context: It's me, Mitsuhide!\Oh, was that your name?\Kiki! You, too?!\Well?\Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair. response:	Yeah, people often tell me that.
context: Oh, was that your name?\Kiki! You, too?!\Well?\Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that. response:	Your right arm... It's hurt!
context: Kiki! You, too?!\Well?\Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt! response:	What about it?
context: Well?\Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt!\What about it? response:	I'm an herbalist. I have a poultice you can use if you'd like.
context: Who are you, really?\What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like. response:	I don't want it.
context: What are you doing, so deep in the woods?\O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it. response:	Huh?
context: O-Oh, I just followed a road without many people in the middle of running away, and...\You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh? response:	It could be poison or something. How can I use it if someone gives it to me all of a sudden?
context: You have strange hair.\Yeah, people often tell me that.\Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden? response:	It's not like I'm a dwarf or something. I'm not going to trust someone so easily.
context: Yeah, people often tell me that.\Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily. response:	In other words, I've no business with you.
context: Your right arm... It's hurt!\What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you. response:	Right...
context: What about it?\I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right... response:	If you understand, then get going.
context: I'm an herbalist. I have a poultice you can use if you'd like.\I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right...\If you understand, then get going. response:	Well, what he said was true.
context: I don't want it.\Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right...\If you understand, then get going.\Well, what he said was true. response:	I guess there are arrogant people everywhere.
context: Huh?\It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right...\If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere. response:	Hm? Wha-?
context: It could be poison or something. How can I use it if someone gives it to me all of a sudden?\It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right...\If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-? response:	Wh-What are you...?
context: It's not like I'm a dwarf or something. I'm not going to trust someone so easily.\In other words, I've no business with you.\Right...\If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...? response:	Unfortunately, I don't make it a habit to carry poison around.
context: In other words, I've no business with you.\Right...\If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around. response:	She got you, Zen.
context: Right...\If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen. response:	Sorry about that. My name's Zen.
context: If you understand, then get going.\Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen. response:	I'm Shirayuki.
context: Well, what he said was true.\I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki. response:	Nice to meet you, Shirayuki.
context: I guess there are arrogant people everywhere.\Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki. response:	It was half your fault that I missed my landing in the first place.
context: Hm? Wha-?\Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place. response:	Huh?
context: Wh-What are you...?\Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh? response:	This is an unoccupied house, but we hang out here.
context: Unfortunately, I don't make it a habit to carry poison around.\She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here. response:	And the one losing at chess over there is Mitsuhide,
context: She got you, Zen.\Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide, response:	and the one winning easily is Kiki.
context: Sorry about that. My name's Zen.\I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki. response:	Zen, how can you say for sure that I'm losing without even looking?
context: I'm Shirayuki.\Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking? response:	I can just tell.
context: Nice to meet you, Shirayuki.\It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell. response:	You are losing.
context: It was half your fault that I missed my landing in the first place.\Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing. response:	Okay, that should do it.
context: Huh?\This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing.\Okay, that should do it. response:	Wow, you're good at this, Shirayuki.
context: This is an unoccupied house, but we hang out here.\And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki. response:	I'm used to it.
context: And the one losing at chess over there is Mitsuhide,\and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it. response:	I told you that I'm an herbalist, right?
context: and the one winning easily is Kiki.\Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right? response:	Oh yeah, you did.
context: Zen, how can you say for sure that I'm losing without even looking?\I can just tell.\You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did. response:	Well, why did an herbalist like you run away from home?
context: I can just tell.\You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home? response:	That's not important.
