context: Kiss Him, Not Me response:	I'm at a Disadvantage
context: You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter?\N-Nothing. response:	What's wrong with me? I can't look at his face!
context: Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face! response:	That's right. I've noticed.
context: against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed. response:	It's not the same as before.
context: That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before. response:	Something's even changed between her and Shinomiya!
context: Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya! response:	I'm the only one falling behind!
context: Huh? What the... Huh? What was that?\What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind! response:	As long as Puri Puri Moon is here...
context: What's the matter?\N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here... response:	The moon will never be shrouded in darkness!
context: N-Nothing.\What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness! response:	Let's go!
context: What's wrong with me? I can't look at his face!\That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go! response:	My advantage was that I kind of look like Shion from Mirage Saga.
context: That's right. I've noticed.\It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga. response:	But, since Akane-chan showed up, Shion's been shifted to the hall of fame,
context: It's not the same as before.\Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame, response:	meaning he's out of the picture.
context: Something's even changed between her and Shinomiya!\I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture. response:	And something definitely happened with all of them during that trip.
context: I'm the only one falling behind!\As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip. response:	I've got nothing.
context: As long as Puri Puri Moon is here...\The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing. response:	Diamond, let's go! We can't lose this fight.
context: The moon will never be shrouded in darkness!\Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight. response:	Right! We'll keep standing up, no matter how many tries it takes.
context: Let's go!\My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes. response:	In other words, never mind having an advantage; I'm at a disadvantage.
context: My advantage was that I kind of look like Shion from Mirage Saga.\But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage. response:	Onii-chan. Onii-chan, the dance is starting!
context: But, since Akane-chan showed up, Shion's been shifted to the hall of fame,\meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting! response:	Yeah!
context: meaning he's out of the picture.\And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah! response:	I'll be Diamond!
context: And something definitely happened with all of them during that trip.\I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond! response:	I'll be Ruby, then.
context: I've got nothing.\Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond!\I'll be Ruby, then. response:	Listen to the feelings in my heart.
context: Diamond, let's go! We can't lose this fight.\Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart. response:	I'll be honest about how I feel,
context: Right! We'll keep standing up, no matter how many tries it takes.\In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel, response:	so the most amazing miracle is sure to happen!
context: In other words, never mind having an advantage; I'm at a disadvantage.\Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen! response:	Puri Puri Puri Moon!
context: Onii-chan. Onii-chan, the dance is starting!\Yeah!\I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon! response:	Sparkle, shine!
context: Yeah!\I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine! response:	My smile is my gem!
context: I'll be Diamond!\I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem! response:	An innocent girl's heart is a full moon.
context: I'll be Ruby, then.\Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon. response:	Every day!
context: Listen to the feelings in my heart.\I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon.\Every day! response:	Heart!
context: I'll be honest about how I feel,\so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon.\Every day!\Heart! response:	Spread your arms wide
context: so the most amazing miracle is sure to happen!\Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon.\Every day!\Heart!\Spread your arms wide response:	and you can fly all the way to the moon!
context: Puri Puri Puri Moon!\Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon.\Every day!\Heart!\Spread your arms wide\and you can fly all the way to the moon! response:	Puri Puri Puri Moon!
context: Sparkle, shine!\My smile is my gem!\An innocent girl's heart is a full moon.\Every day!\Heart!\Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon! response:	Tomorrow, we'll also be
context: My smile is my gem!\An innocent girl's heart is a full moon.\Every day!\Heart!\Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be response:	Puri Puri Puri Moon!
context: An innocent girl's heart is a full moon.\Every day!\Heart!\Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon! response:	I'm getting nowhere because I'm dancing away my Sunday with my little sister!
context: Every day!\Heart!\Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister! response:	Onii-chan, I'm hungry.
context: Heart!\Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry. response:	Oh, should we eat?
context: Spread your arms wide\and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat? response:	How do you want your eggs?
context: and you can fly all the way to the moon!\Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs? response:	Sunny-side up! Well-done!
context: Puri Puri Puri Moon!\Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done! response:	Okay!
context: Tomorrow, we'll also be\Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done!\Okay! response:	Next break we have, I'll get myself a date, no matter what it takes!
context: Puri Puri Puri Moon!\I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes! response:	Starting tomorrow, I'm going all out!
context: I'm getting nowhere because I'm dancing away my Sunday with my little sister!\Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out! response:	Senpai!
context: Onii-chan, I'm hungry.\Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai! response:	Can you help my circle out?
context: Oh, should we eat?\How do you want your eggs?\Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out? response:	Beaten to the punch right away!
context: How do you want your eggs?\Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out?\Beaten to the punch right away! response:	Sorry. I'm working every day during our next break.
context: Sunny-side up! Well-done!\Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break. response:	Working?
context: Okay!\Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working? response:	Why the sudden job?
context: Next break we have, I'll get myself a date, no matter what it takes!\Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working?\Why the sudden job? response:	Well...
context: Starting tomorrow, I'm going all out!\Senpai!\Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working?\Why the sudden job?\Well... response:	Next month, the Kachu Rabu sales marathon starts.
context: Senpai!\Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working?\Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts. response:	Iga
context: Can you help my circle out?\Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working?\Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts.\Iga response:	Ka
context: Beaten to the punch right away!\Sorry. I'm working every day during our next break.\Working?\Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts.\Iga\Ka response:	DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,
context: Sorry. I'm working every day during our next break.\Working?\Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts.\Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch, response:	a special collab with all convenience stores...
context: Working?\Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts.\Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores... response:	There're even rumors of a new live stage show!
context: Why the sudden job?\Well...\Next month, the Kachu Rabu sales marathon starts.\Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show! response:	All these new events are around the corner!
context: Well...\Next month, the Kachu Rabu sales marathon starts.\Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner! response:	And I've used up the six month advance on my allowance for our pilgrimage!
context: Next month, the Kachu Rabu sales marathon starts.\Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage! response:	Sob Sob Sob
context: Iga\Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob response:	So, for now, I can't go to any events.
context: Ka\DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events. response:	In other words, I have no money.
context: DVDs, character song albums, voice actor events, Kachu Rabu Cafe, lots of new merch,\a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money. response:	The truth is, I even got an advance on my New Year's money.
context: a special collab with all convenience stores...\There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money. response:	Where is your part-time job?
context: There're even rumors of a new live stage show!\All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job? response:	Usami Land!
context: All these new events are around the corner!\And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land! response:	I heard they were hiring lots of part-timers!
context: And I've used up the six month advance on my allowance for our pilgrimage!\Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers! response:	Part-time Jobs at Usami Land!!
context: Sob Sob Sob\So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!! response:	I got my first choice job, to work in the Puri Puri Moon show!
context: So, for now, I can't go to any events.\In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show! response:	I'm playing Ruby.
context: In other words, I have no money.\The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby. response:	Yusuke Male
context: The truth is, I even got an advance on my New Year's money.\Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male response:	I'd like to apply for the Puri Moon show.
context: Where is your part-time job?\Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show. response:	Manager
context: Usami Land!\I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show.\Manager response:	Chief
context: I heard they were hiring lots of part-timers!\Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show.\Manager\Chief response:	General Affairs
context: Part-time Jobs at Usami Land!!\I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show.\Manager\Chief\General Affairs response:	I always watch Puri Moon.
context: I got my first choice job, to work in the Puri Puri Moon show!\I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show.\Manager\Chief\General Affairs\I always watch Puri Moon. response:	I love it.
context: I'm playing Ruby.\Yusuke Male\I'd like to apply for the Puri Moon show.\Manager\Chief\General Affairs\I always watch Puri Moon.\I love it. response:	Who's your favorite character?
context: Yusuke Male\I'd like to apply for the Puri Moon show.\Manager\Chief\General Affairs\I always watch Puri Moon.\I love it.\Who's your favorite character? response:	It's gotta be the main character, Puri Puri Moon.
context: I'd like to apply for the Puri Moon show.\Manager\Chief\General Affairs\I always watch Puri Moon.\I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon. response:	No, that's the title of the show. The heroine is Diamond-chan!
context: Manager\Chief\General Affairs\I always watch Puri Moon.\I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan! response:	You don't watch, do you?
context: Chief\General Affairs\I always watch Puri Moon.\I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you? response:	No. But I like it!
context: General Affairs\I always watch Puri Moon.\I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it! response:	Manager
context: I always watch Puri Moon.\I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it!\Manager response:	Chief
context: I love it.\Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it!\Manager\Chief response:	General Affairs
