context: July 15th (Thurs) 4:43 PM response:	It's open. Come in.
context: A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot.\But if you don't show it to me... response:	If I show it to you, it'll kill me and transfer over to you!
context: It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you! response:	Hurry up and burn them, okay?
context: Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay? response:	See? It's talking! It's this thing, Koichi!
context: Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi! response:	Huh?
context: Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh? response:	Why are you hiding it?!
context: Could you show it to me?\I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?! response:	Did you call me over here just to mess with me?
context: I cannot.\But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?!\Did you call me over here just to mess with me? response:	What are you talking about?!
context: But if you don't show it to me...\If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?! response:	I already told you. If I show you my back, I'll die!
context: If I show it to you, it'll kill me and transfer over to you!\Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die! response:	But you're always messing with me, Sensei.
context: Hurry up and burn them, okay?\See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei. response:	So that is what's going on.
context: See? It's talking! It's this thing, Koichi!\Huh?\Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on. response:	No! I'm being serious right now!
context: Huh?\Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now! response:	There's a corpse upstairs!
context: Why are you hiding it?!\Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs! response:	Huh? A c-corpse?!
context: Did you call me over here just to mess with me?\What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?! response:	Um... What are you doing, Sensei?
context: What are you talking about?!\I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei? response:	Climb over me, and go ahead.
context: I already told you. If I show you my back, I'll die!\But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead. response:	Please, please, go ahead. Please!
context: But you're always messing with me, Sensei.\So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please! response:	Seriously, what's with you?
context: So that is what's going on.\No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you? response:	Well? Do you believe me now?
context: No! I'm being serious right now!\There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now? response:	It's gone!
context: There's a corpse upstairs!\Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now?\It's gone! response:	That's impossible...
context: Huh? A c-corpse?!\Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now?\It's gone!\That's impossible... response:	Right here, Koichi!
context: Um... What are you doing, Sensei?\Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now?\It's gone!\That's impossible...\Right here, Koichi! response:	Look, Koichi! This is Masazo Kinoto!
context: Climb over me, and go ahead.\Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now?\It's gone!\That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto! response:	He had the life sucked out of him, and he dried up!
context: Please, please, go ahead. Please!\Seriously, what's with you?\Well? Do you believe me now?\It's gone!\That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up! response:	Wow, that's amazing. You did a great job making that.
context: Seriously, what's with you?\Well? Do you believe me now?\It's gone!\That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that. response:	But this is no time to be joking around, Sensei!
context: Well? Do you believe me now?\It's gone!\That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei! response:	The Stand users made by the old man in the picture are really after us.
context: It's gone!\That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us. response:	So I rushed over here, thinking that something might've happened to you, too!
context: That's impossible...\Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too! response:	What?
context: Right here, Koichi!\Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What? response:	Then this thing...
context: Look, Koichi! This is Masazo Kinoto!\He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing... response:	Anyway, just be careful.
context: He had the life sucked out of him, and he dried up!\Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing...\Anyway, just be careful. response:	Bye.
context: Wow, that's amazing. You did a great job making that.\But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing...\Anyway, just be careful.\Bye. response:	W-Wait, Koichi!
context: But this is no time to be joking around, Sensei!\The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing...\Anyway, just be careful.\Bye.\W-Wait, Koichi! response:	I asked you to come because I knew those shitbags
context: The Stand users made by the old man in the picture are really after us.\So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing...\Anyway, just be careful.\Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags response:	Josuke and Okuyasu wouldn't believe me!
context: So I rushed over here, thinking that something might've happened to you, too!\What?\Then this thing...\Anyway, just be careful.\Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me! response:	You have to believe me! We're friends, aren't we?!
context: What?\Then this thing...\Anyway, just be careful.\Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?! response:	Koichi!
context: Then this thing...\Anyway, just be careful.\Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi! response:	Don't be down, okay? Even though this has gotta hurt...
context: Anyway, just be careful.\Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt... response:	I, Rohan Kishibe, have never faced such humiliation...
context: Bye.\W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation... response:	You bastard. You'll regret this...
context: W-Wait, Koichi!\I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this... response:	Jojo's Bizarre Adventure
context: I asked you to come because I knew those shitbags\Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Josuke and Okuyasu wouldn't believe me!\You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	July 15th (Thurs) 5:25 PM
context: You have to believe me! We're friends, aren't we?!\Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM response:	Lately, my nails are growing fast again.
context: Koichi!\Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again. response:	Episode 34 July 15th (Thurs), Part 4
context: Don't be down, okay? Even though this has gotta hurt...\I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4 response:	Too fast.
context: I, Rohan Kishibe, have never faced such humiliation...\You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast. response:	That woman running her fingers through her prized, well-cared-for hair...
context: You bastard. You'll regret this...\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair... response:	Congratulations. You get to live longer. I'll hold off on picking you right now.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now. response:	Until I can completely blend into Kosaku Kawajiri's lifestyle.
context: Diamond is Unbreakable\July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle. response:	So, every time I leave,
context: July 15th (Thurs) 5:25 PM\Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave, response:	my dad, like, totally follows me in secret, or comes snooping around.
context: Lately, my nails are growing fast again.\Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around. response:	You're going out at night too much.
context: Episode 34 July 15th (Thurs), Part 4\Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much. response:	And whose fault is that?
context: Too fast.\That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that? response:	I got super pissed off, so I totally stole something in front of him on purpose.
context: That woman running her fingers through her prized, well-cared-for hair...\Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose. response:	And then I went straight to your place.
context: Congratulations. You get to live longer. I'll hold off on picking you right now.\Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place. response:	Seriously? They've probably got the cops looking for you now.
context: Until I can completely blend into Kosaku Kawajiri's lifestyle.\So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now. response:	Hey... What are you touching my bag for?
context: So, every time I leave,\my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for? response:	What's wrong?
context: my dad, like, totally follows me in secret, or comes snooping around.\You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong? response:	Don't worry about it. It's nothing.
context: You're going out at night too much.\And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing. response:	What are you, a pickpocket? A groper? What a joke.
context: And whose fault is that?\I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke. response:	Morioh. Morioh.
context: I got super pissed off, so I totally stole something in front of him on purpose.\And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh. response:	Oh, crap! This is Morioh.
context: And then I went straight to your place.\Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh. response:	Come on, we're getting off.
context: Seriously? They've probably got the cops looking for you now.\Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off. response:	Ow...
context: Hey... What are you touching my bag for?\What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off.\Ow... response:	What the hell?
context: What's wrong?\Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off.\Ow...\What the hell? response:	Watch where you're going when you get off the train!
context: Don't worry about it. It's nothing.\What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off.\Ow...\What the hell?\Watch where you're going when you get off the train! response:	Hey, did you see that? He had a bowling pin nail clipper.
context: What are you, a pickpocket? A groper? What a joke.\Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off.\Ow...\What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper. response:	A bowling pin nail clipper, in this day and age... What a geek.
context: Morioh. Morioh.\Oh, crap! This is Morioh.\Come on, we're getting off.\Ow...\What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek. response:	July 15th (Thurs) 5:07 PM
context: Oh, crap! This is Morioh.\Come on, we're getting off.\Ow...\What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM response:	Do you have the pictures?
context: Come on, we're getting off.\Ow...\What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures? response:	Hey, where are you going with the pictures?
context: Ow...\What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures? response:	Morioh Grand Hotel. That's the only place I can go now.
context: What the hell?\Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now. response:	To where Jotaro is? It doesn't matter where you go, okay?
context: Watch where you're going when you get off the train!\Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay? response:	Just give up and burn the pictures.
context: Hey, did you see that? He had a bowling pin nail clipper.\A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures. response:	Well done...
context: A bowling pin nail clipper, in this day and age... What a geek.\July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done... response:	Even though you don't know who could be watching from which window.
context: July 15th (Thurs) 5:07 PM\Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window. response:	This is dangerous.
context: Do you have the pictures?\Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window.\This is dangerous. response:	There, you see? Every street has an intersection.
context: Hey, where are you going with the pictures?\Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection. response:	See? There's no way you can cross.
context: Morioh Grand Hotel. That's the only place I can go now.\To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross. response:	Someone will see your back for sure.
context: To where Jotaro is? It doesn't matter where you go, okay?\Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure. response:	The road's just going to get wider, and there will be even more people.
context: Just give up and burn the pictures.\Well done...\Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people. response:	So let's just not go! Okay?
context: Well done...\Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay? response:	There's no way you can cross.
context: Even though you don't know who could be watching from which window.\This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross. response:	You think so?
context: This is dangerous.\There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross.\You think so? response:	Masazo Kinoto came all the way to my house.
context: There, you see? Every street has an intersection.\See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house. response:	He must have crossed an intersection, as well.
context: See? There's no way you can cross.\Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well. response:	I just have to figure out how he crossed it.
context: Someone will see your back for sure.\The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it. response:	And he did it... like this!
context: The road's just going to get wider, and there will be even more people.\So let's just not go! Okay?\There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this! response:	Stick
context: So let's just not go! Okay?\There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this!\Stick response:	This is ridiculously embarrassing, but I can make it to the station this way.
context: There's no way you can cross.\You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way. response:	Yeah, not bad, Rohan Kishibe.
context: You think so?\Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe. response:	But you've forgotten something.
context: Masazo Kinoto came all the way to my house.\He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something. response:	When Masazo Kinoto was crossing, I didn't interfere with him!
