context: Distant Thunder (Part 2) response:	Isn't that a downer?
context: I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly. response:	Sendagaya Station
context: Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station response:	This scenery for 40 years...
context: Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years... response:	Forty years. I said it out loud, but I couldn't imagine it.
context: 65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it. response:	That's over twice as long as I've been alive.
context: He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive. response:	On this 81-square board, he's lived and died over and over.
context: At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over. response:	Mr. Matsunaga...
context: I've spotted him many times at the Shogi Hall.\I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga... response:	I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.
context: I saw the back of a small statured man who always walked briskly.\Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire. response:	Forty years... An overwhelming span of time.
context: Sendagaya Station\This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time. response:	I wonder how he feels right now.
context: This scenery for 40 years...\Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now. response:	I can't imagine.
context: Forty years. I said it out loud, but I couldn't imagine it.\That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine. response:	Well, crap.
context: That's over twice as long as I've been alive.\On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine.\Well, crap. response:	God, to be honest, I just want to go home.
context: On this 81-square board, he's lived and died over and over.\Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine.\Well, crap.\God, to be honest, I just want to go home. response:	But please somehow let me win!
context: Mr. Matsunaga...\I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine.\Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win! response:	Clap-clap. And so on.
context: I hear if Mr. Matsunaga is demoted to C-2, he'll finally retire.\Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine.\Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on. response:	Ehhh?!
context: Forty years... An overwhelming span of time.\I wonder how he feels right now.\I can't imagine.\Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on.\Ehhh?! response:	Gong
context: I wonder how he feels right now.\I can't imagine.\Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on.\Ehhh?!\Gong response:	That's how he feels?
context: I can't imagine.\Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on.\Ehhh?!\Gong\That's how he feels? response:	True, I didn't imagine that.
context: Well, crap.\God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on.\Ehhh?!\Gong\That's how he feels?\True, I didn't imagine that. response:	Now he's drawing a fortune paper!
context: God, to be honest, I just want to go home.\But please somehow let me win!\Clap-clap. And so on.\Ehhh?!\Gong\That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper! response:	And he's incredibly agitated!
context: But please somehow let me win!\Clap-clap. And so on.\Ehhh?!\Gong\That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated! response:	What did it say? Oh no, he looks super depressed!
context: Clap-clap. And so on.\Ehhh?!\Gong\That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed! response:	You shouldn't even draw a fortune slip at a time like this!
context: Ehhh?!\Gong\That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this! response:	I-I should go! I need to get to the table, calm down, and wait for him.
context: Gong\That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him. response:	Feels like he saw something he shouldn't have
context: That's how he feels?\True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have response:	Shogi Hall
context: True, I didn't imagine that.\Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall response:	So... um...
context: Now he's drawing a fortune paper!\And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall\So... um... response:	Mr. Matsunaga isn't here!
context: And he's incredibly agitated!\What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall\So... um...\Mr. Matsunaga isn't here! response:	Thump Thump
context: What did it say? Oh no, he looks super depressed!\You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall\So... um...\Mr. Matsunaga isn't here!\Thump Thump response:	D-Don't tell me he really did go home...
context: You shouldn't even draw a fortune slip at a time like this!\I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall\So... um...\Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home... response:	He's here! What a relief.
context: I-I should go! I need to get to the table, calm down, and wait for him.\Feels like he saw something he shouldn't have\Shogi Hall\So... um...\Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief. response:	He stopped?
context: Feels like he saw something he shouldn't have\Shogi Hall\So... um...\Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief.\He stopped? response:	He's not moving?
context: Shogi Hall\So... um...\Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief.\He stopped?\He's not moving? response:	H-He moved.
context: So... um...\Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief.\He stopped?\He's not moving?\H-He moved. response:	Psychological warfare? Some kind of veteran player strategy?
context: Mr. Matsunaga isn't here!\Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief.\He stopped?\He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy? response:	It's time.
context: Thump Thump\D-Don't tell me he really did go home...\He's here! What a relief.\He stopped?\He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time. response:	Please begin.
context: D-Don't tell me he really did go home...\He's here! What a relief.\He stopped?\He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin. response:	If you would.
context: He's here! What a relief.\He stopped?\He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin.\If you would. response:	So, how will he play?
context: He stopped?\He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin.\If you would.\So, how will he play? response:	Sharp
context: He's not moving?\H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin.\If you would.\So, how will he play?\Sharp response:	Forty years...
context: H-He moved.\Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin.\If you would.\So, how will he play?\Sharp\Forty years... response:	What will my life be like in 40 years?
context: Psychological warfare? Some kind of veteran player strategy?\It's time.\Please begin.\If you would.\So, how will he play?\Sharp\Forty years...\What will my life be like in 40 years? response:	5-c-Silver General? The Bear in the Castle?
context: It's time.\Please begin.\If you would.\So, how will he play?\Sharp\Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle? response:	Surrounds himself, and then he means to have a long, careful battle?
context: Please begin.\If you would.\So, how will he play?\Sharp\Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle? response:	Then I'll go with 1-e-Pawn.
context: If you would.\So, how will he play?\Sharp\Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn. response:	That keeps the king pinned down so I can attack whenever I need to.
context: So, how will he play?\Sharp\Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to. response:	7-d-Pawn. A sudden attack?
context: Sharp\Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack? response:	He's not doing Bear in the Castle? I can't tell what his strategy is.
context: Forty years...\What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is. response:	Hmph!
context: What will my life be like in 40 years?\5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph! response:	Then I'll...
context: 5-c-Silver General? The Bear in the Castle?\Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll... response:	1-b-Lance?
context: Surrounds himself, and then he means to have a long, careful battle?\Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll...\1-b-Lance? response:	What? So he's doing Bear in the Castle after all?
context: Then I'll go with 1-e-Pawn.\That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all? response:	Upsy daisy.
context: That keeps the king pinned down so I can attack whenever I need to.\7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy. response:	Continue Operation
context: 7-d-Pawn. A sudden attack?\He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation response:	I can't tell. What is this?
context: He's not doing Bear in the Castle? I can't tell what his strategy is.\Hmph!\Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation\I can't tell. What is this? response:	Moving the pieces randomly? No, there's no way.
context: Hmph!\Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way. response:	I think he's just trying to confuse me?
context: Then I'll...\1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me? response:	He has some kind of plan, right?
context: 1-b-Lance?\What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right? response:	The calm mind is the way.
context: What? So he's doing Bear in the Castle after all?\Upsy daisy.\Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way. response:	White Side Matsunaga 7th-Dan
context: Upsy daisy.\Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan response:	Shuffle shuffle. Phew.
context: Continue Operation\I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew. response:	The bear goes in!!
context: I can't tell. What is this?\Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!! response:	All right, it's in there. Then here I go!
context: Moving the pieces randomly? No, there's no way.\I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go! response:	7-e-Pawn
context: I think he's just trying to confuse me?\He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn response:	Did he just make a weird noise?
context: He has some kind of plan, right?\The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise? response:	What expression is that?
context: The calm mind is the way.\White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise?\What expression is that? response:	Tea
context: White Side Matsunaga 7th-Dan\Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise?\What expression is that?\Tea response:	The Bishop... Um... Knight...
context: Shuffle shuffle. Phew.\The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise?\What expression is that?\Tea\The Bishop... Um... Knight... response:	Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?
context: The bear goes in!!\All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise?\What expression is that?\Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn? response:	Pawn...
context: All right, it's in there. Then here I go!\7-e-Pawn\Did he just make a weird noise?\What expression is that?\Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn... response:	And I can see someone behind him!
context: 7-e-Pawn\Did he just make a weird noise?\What expression is that?\Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him! response:	Bam!
context: Did he just make a weird noise?\What expression is that?\Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him!\Bam! response:	Whoa...
context: What expression is that?\Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him!\Bam!\Whoa... response:	So 3-b-Silver General?
context: Tea\The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him!\Bam!\Whoa...\So 3-b-Silver General? response:	Now Mino Castle?!
context: The Bishop... Um... Knight...\Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him!\Bam!\Whoa...\So 3-b-Silver General?\Now Mino Castle?! response:	Thump
context: Wait a minute, he wasn't thinking about it? No countermeasure against 7-e-Pawn?\Pawn...\And I can see someone behind him!\Bam!\Whoa...\So 3-b-Silver General?\Now Mino Castle?!\Thump response:	Thump
context: Pawn...\And I can see someone behind him!\Bam!\Whoa...\So 3-b-Silver General?\Now Mino Castle?!\Thump\Thump response:	Okay, 7-g-Knight.
context: And I can see someone behind him!\Bam!\Whoa...\So 3-b-Silver General?\Now Mino Castle?!\Thump\Thump\Okay, 7-g-Knight. response:	Matsunaga 7th-Dan...2-b-King
context: Bam!\Whoa...\So 3-b-Silver General?\Now Mino Castle?!\Thump\Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King response:	Wait, it's coming out?!
context: Whoa...\So 3-b-Silver General?\Now Mino Castle?!\Thump\Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?! response:	Please stay there! If you move now, you'll be in trouble, Mr. Bear!
context: So 3-b-Silver General?\Now Mino Castle?!\Thump\Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear! response:	EEEk!
context: Now Mino Castle?!\Thump\Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk! response:	Th-This is painful.
context: Thump\Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful. response:	For some reason, it's very painful.
context: Thump\Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful.\For some reason, it's very painful. response:	Shoot.
context: Okay, 7-g-Knight.\Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful.\For some reason, it's very painful.\Shoot. response:	Yikes. The king and rook are in check.
context: Matsunaga 7th-Dan...2-b-King\Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful.\For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check. response:	That's true.
context: Wait, it's coming out?!\Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful.\For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check.\That's true. response:	But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...
context: Please stay there! If you move now, you'll be in trouble, Mr. Bear!\EEEk!\Th-This is painful.\For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight... response:	Well, that is dubious...
context: EEEk!\Th-This is painful.\For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious... response:	Sh-Shoot! If he takes my rook...
context: Th-This is painful.\For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook... response:	Glance
context: For some reason, it's very painful.\Shoot.\Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance response:	Glance? What?
context: Shoot.\Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance\Glance? What? response:	Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!
context: Yikes. The king and rook are in check.\That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad! response:	Too much Too much
context: That's true.\But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much response:	Th-This is painful. This is seriously painful for some reason.
context: But if I place the bishop there, he'll match it at 5-e, and then a 3-f-Knight...\Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason. response:	I've never felt like this.
context: Well, that is dubious...\Sh-Shoot! If he takes my rook...\Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this. response:	It would be difficult to lose on purpose, even if I wanted to!
context: Sh-Shoot! If he takes my rook...\Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to! response:	E-Enough. Let's finish this. Yes!
context: Glance\Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes! response:	It kind of makes you worry.
context: Glance? What?\Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry. response:	Because you're such a nice guy.
context: Is he luring me in? Is he babbling? Hiding his true intentions? But his acting is bad!\Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy. response:	I'm really sorry.
context: Too much Too much\Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry. response:	Such a nice guy, such a nice guy, such a nice guy...
context: Th-This is painful. This is seriously painful for some reason.\I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy... response:	I'm grateful you said that about me, but...
context: I've never felt like this.\It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but... response:	I don't think I'm nice at all.
