context: The VVV Project? response:	Given their stated position of peace through neutrality, JIOR can't possess a big military.
context: Or so they tell me.\So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military. response:	We're their caretakers.
context: So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers. response:	Why is that woman the only exception?
context: Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception? response:	Nanami-chan is a special case.
context: Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case. response:	We were set up to look like an ordinary school,
context: I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school, response:	so I guess they felt they had to stick in a PE student teacher.
context: Test subject... You mean the students?\Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher. response:	Stick in. Receive. Insert?
context: Every last student at this school is being uniquely modified.\That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert? response:	It's a pretty weird program wizard, huh?
context: That's why all the teachers were military.\We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh? response:	Only VVVI has one.
context: We're their caretakers.\Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one. response:	Only VVVI can use that Harakiri Blade, too.
context: Why is that woman the only exception?\Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too. response:	This unit seems to be special.
context: Nanami-chan is a special case.\We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special. response:	Hey, nobody told me about this Kamitsuki stuff!
context: We were set up to look like an ordinary school,\so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff! response:	No, we didn't.
context: so I guess they felt they had to stick in a PE student teacher.\Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't. response:	Well, I knew.
context: Stick in. Receive. Insert?\It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew. response:	Look, I know this might come as a shock, but try to stay calm, okay?
context: It's a pretty weird program wizard, huh?\Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay? response:	Stay calm? This is totally bad-ass!
context: Only VVVI has one.\Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass! response:	This is your usual immortal anti-hero deal!
context: Only VVVI can use that Harakiri Blade, too.\This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal! response:	Do we have a special pose or something?
context: This unit seems to be special.\Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something? response:	Thank goodness he's so stupid...
context: Hey, nobody told me about this Kamitsuki stuff!\No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid... response:	Say what?!
context: No, we didn't.\Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?! response:	Now, now...
context: Well, I knew.\Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?!\Now, now... response:	Let's all try to get along.
context: Look, I know this might come as a shock, but try to stay calm, okay?\Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?!\Now, now...\Let's all try to get along. response:	We're gonna be a team from now on, right?
context: Stay calm? This is totally bad-ass!\This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?!\Now, now...\Let's all try to get along.\We're gonna be a team from now on, right? response:	A team...
context: This is your usual immortal anti-hero deal!\Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?!\Now, now...\Let's all try to get along.\We're gonna be a team from now on, right?\A team... response:	In other words, none of us is alone.
context: Do we have a special pose or something?\Thank goodness he's so stupid...\Say what?!\Now, now...\Let's all try to get along.\We're gonna be a team from now on, right?\A team...\In other words, none of us is alone. response:	Yeah!
context: Thank goodness he's so stupid...\Say what?!\Now, now...\Let's all try to get along.\We're gonna be a team from now on, right?\A team...\In other words, none of us is alone.\Yeah! response:	So much for being alone together...
context: Say what?!\Now, now...\Let's all try to get along.\We're gonna be a team from now on, right?\A team...\In other words, none of us is alone.\Yeah!\So much for being alone together... response:	Not at all, it would appear that my staff treated you quite rudely.
context: Now, now...\Let's all try to get along.\We're gonna be a team from now on, right?\A team...\In other words, none of us is alone.\Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely. response:	I'll apologize again once the ceremony is over.
context: Let's all try to get along.\We're gonna be a team from now on, right?\A team...\In other words, none of us is alone.\Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over. response:	Ceremony?
context: We're gonna be a team from now on, right?\A team...\In other words, none of us is alone.\Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony? response:	You and your students are heroes.
context: A team...\In other words, none of us is alone.\Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes. response:	Of course there will be a ceremony.
context: In other words, none of us is alone.\Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes.\Of course there will be a ceremony. response:	Between the international congress and media interviews, things are about to become quite hectic.
context: Yeah!\So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic. response:	I must be going. Let's meet on the Moon, Representative Rion Nanami.
context: So much for being alone together...\Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami. response:	I can't... I can't keep doing this.
context: Not at all, it would appear that my staff treated you quite rudely.\I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this. response:	I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.
context: I'll apologize again once the ceremony is over.\Ceremony?\You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried. response:	Found it!
context: Ceremony?\You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it! response:	I can relate... I couldn't bear it if my favorite shirt got buried!
context: You and your students are heroes.\Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried! response:	Here!
context: Of course there will be a ceremony.\Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here! response:	Go on, try it!
context: Between the international congress and media interviews, things are about to become quite hectic.\I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it! response:	I know, aren't they great?!
context: I must be going. Let's meet on the Moon, Representative Rion Nanami.\I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it!\I know, aren't they great?! response:	I totally recommend these!
context: I can't... I can't keep doing this.\I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it!\I know, aren't they great?!\I totally recommend these! response:	Potato chips dipped in red chile oil!
context: I'm sorry I'm all dirty! Miyamoto said his favorite model had been buried.\Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it!\I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil! response:	Hey, once we get to the Moon, come shopping with me at the supermarket!
context: Found it!\I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it!\I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket! response:	I know these!
context: I can relate... I couldn't bear it if my favorite shirt got buried!\Here!\Go on, try it!\I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these! response:	You like these wafers?
context: Here!\Go on, try it!\I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers? response:	The fukujinzuke relish coating on these is so good!
context: Go on, try it!\I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good! response:	And if you fry them, it takes them to a whole new level!
context: I know, aren't they great?!\I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level! response:	The trick is to use olive oil!
context: I totally recommend these!\Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil! response:	What do you say, Akira-chan?
context: Potato chips dipped in red chile oil!\Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan? response:	Experiment?
context: Hey, once we get to the Moon, come shopping with me at the supermarket!\I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan?\Experiment? response:	Yeah. It's in our best interest to learn more about what our bodies can do, right?
context: I know these!\You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right? response:	You have a point.
context: You like these wafers?\The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point. response:	Let's start with jumping jacks.
context: The fukujinzuke relish coating on these is so good!\And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks. response:	Duration and number. And then...
context: And if you fry them, it takes them to a whole new level!\The trick is to use olive oil!\What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks.\Duration and number. And then... response:	Hey...
context: The trick is to use olive oil!\What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks.\Duration and number. And then...\Hey... response:	Is that true?
context: What do you say, Akira-chan?\Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks.\Duration and number. And then...\Hey...\Is that true? response:	I'm saying that we should test it out.
context: Experiment?\Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks.\Duration and number. And then...\Hey...\Is that true?\I'm saying that we should test it out. response:	What are you talking about?
context: Yeah. It's in our best interest to learn more about what our bodies can do, right?\You have a point.\Let's start with jumping jacks.\Duration and number. And then...\Hey...\Is that true?\I'm saying that we should test it out.\What are you talking about? response:	What? Hey! Say something!
context: You have a point.\Let's start with jumping jacks.\Duration and number. And then...\Hey...\Is that true?\I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something! response:	C'mon, man up!
context: Let's start with jumping jacks.\Duration and number. And then...\Hey...\Is that true?\I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something!\C'mon, man up! response:	You're ignoring me?!
context: Duration and number. And then...\Hey...\Is that true?\I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something!\C'mon, man up!\You're ignoring me?! response:	We all know you like her!
context: Hey...\Is that true?\I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something!\C'mon, man up!\You're ignoring me?!\We all know you like her! response:	Right? Right?
context: Is that true?\I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something!\C'mon, man up!\You're ignoring me?!\We all know you like her!\Right? Right? response:	Well, I guess...
context: I'm saying that we should test it out.\What are you talking about?\What? Hey! Say something!\C'mon, man up!\You're ignoring me?!\We all know you like her!\Right? Right?\Well, I guess... response:	Let me show you my special stash!
context: What are you talking about?\What? Hey! Say something!\C'mon, man up!\You're ignoring me?!\We all know you like her!\Right? Right?\Well, I guess...\Let me show you my special stash! response:	It's enormous...
context: What? Hey! Say something!\C'mon, man up!\You're ignoring me?!\We all know you like her!\Right? Right?\Well, I guess...\Let me show you my special stash!\It's enormous... response:	You can use a ruler for that?
context: C'mon, man up!\You're ignoring me?!\We all know you like her!\Right? Right?\Well, I guess...\Let me show you my special stash!\It's enormous...\You can use a ruler for that? response:	I know, right? This'll do the trick for sure.
context: You're ignoring me?!\We all know you like her!\Right? Right?\Well, I guess...\Let me show you my special stash!\It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure. response:	Everyone, this is student teacher Rion Nanami.
context: We all know you like her!\Right? Right?\Well, I guess...\Let me show you my special stash!\It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami. response:	We will be arriving at the Moon soon.
context: Right? Right?\Well, I guess...\Let me show you my special stash!\It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon. response:	Oops, I didn't mean to rhyme!
context: Well, I guess...\Let me show you my special stash!\It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme! response:	When we arrive, we will need a representative
context: Let me show you my special stash!\It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative response:	for various international negotiations and interviews and things.
context: It's enormous...\You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things. response:	Up until now, I've done what I can to fill that role, but I don't think it's right.
context: You can use a ruler for that?\I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right. response:	It shouldn't be because someone is older or a teacher or whatever.
context: I know, right? This'll do the trick for sure.\Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever. response:	And so, I think we should hold an election!
context: Everyone, this is student teacher Rion Nanami.\We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election! response:	An election for the Prime Minister of JIOR!
context: We will be arriving at the Moon soon.\Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR! response:	An election?
context: Oops, I didn't mean to rhyme!\When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election? response:	We're gonna be the countrys leaders?
context: When we arrive, we will need a representative\for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders? response:	That's a great idea!
context: for various international negotiations and interviews and things.\Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders?\That's a great idea! response:	I want to try it!
context: Up until now, I've done what I can to fill that role, but I don't think it's right.\It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders?\That's a great idea!\I want to try it! response:	We have the 7th off, let's do it then!
context: It shouldn't be because someone is older or a teacher or whatever.\And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders?\That's a great idea!\I want to try it!\We have the 7th off, let's do it then! response:	We're technically off now!
context: And so, I think we should hold an election!\An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders?\That's a great idea!\I want to try it!\We have the 7th off, let's do it then!\We're technically off now! response:	That sounds like fun!
context: An election for the Prime Minister of JIOR!\An election?\We're gonna be the countrys leaders?\That's a great idea!\I want to try it!\We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun! response:	It sure does!
context: An election?\We're gonna be the countrys leaders?\That's a great idea!\I want to try it!\We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun!\It sure does! response:	Prime Minister...
context: We're gonna be the countrys leaders?\That's a great idea!\I want to try it!\We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun!\It sure does!\Prime Minister... response:	As you can see, our food self-sufficiency has been improved to 17.
context: That's a great idea!\I want to try it!\We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun!\It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17. response:	And this isn't the only benefit to come from the Seven R's.
context: I want to try it!\We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun!\It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's. response:	Senpai, who will you vote for?
context: We have the 7th off, let's do it then!\We're technically off now!\That sounds like fun!\It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for? response:	Isn't it obvious? For the winning candidate.
context: We're technically off now!\That sounds like fun!\It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate. response:	Our public relations activities via the wired are also going all-out now.
context: That sounds like fun!\It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now. response:	To give an example
context: It sure does!\Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example response:	I'm running for election, too! Thank you for your support!
context: Prime Minister...\As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support! response:	So you were serious, Yamada...
context: As you can see, our food self-sufficiency has been improved to 17.\And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada... response:	How many times do I have to tell you it's Thunder?
