context: Thank you very much. response:	Fettucine and spinach pasta.
context: Sakura?\What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet. response:	Sakura, come help!
context: What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help! response:	Okay!
context: Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay! response:	I guess girls are hard to understand.
context: What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay!\I guess girls are hard to understand. response:	You're good at cleaning up, Sakura.
context: How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura. response:	Not really.
context: You didn't look any different at all.\After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really. response:	She's not like this normally.
context: After all, Yukito can really do anything.\Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really.\She's not like this normally. response:	She'd break things here and there like a monster.
context: Besides, he's so nice and he's good at sports. Schweeet.\Sakura, come help!\Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really.\She's not like this normally.\She'd break things here and there like a monster. response:	I can't tell if she's cleaning or moving things around.
context: Sakura, come help!\Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really.\She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around. response:	When this is done, let's make dinner.
context: Okay!\I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really.\She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner. response:	How about I cook?
context: I guess girls are hard to understand.\You're good at cleaning up, Sakura.\Not really.\She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook? response:	Eh!
context: You're good at cleaning up, Sakura.\Not really.\She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook?\Eh! response:	I always eat here for free'
context: Not really.\She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook?\Eh!\I always eat here for free' response:	I'll help you.
context: She's not like this normally.\She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook?\Eh!\I always eat here for free'\I'll help you. response:	Thank you.
context: She'd break things here and there like a monster.\I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook?\Eh!\I always eat here for free'\I'll help you.\Thank you. response:	Today's a really nice day.
context: I can't tell if she's cleaning or moving things around.\When this is done, let's make dinner.\How about I cook?\Eh!\I always eat here for free'\I'll help you.\Thank you.\Today's a really nice day. response:	I guess we won't be eating dinner tonight.
context: When this is done, let's make dinner.\How about I cook?\Eh!\I always eat here for free'\I'll help you.\Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight. response:	Eh!
context: How about I cook?\Eh!\I always eat here for free'\I'll help you.\Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh! response:	Why not?
context: Eh!\I always eat here for free'\I'll help you.\Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh!\Why not? response:	If Sakura cooks,
context: I always eat here for free'\I'll help you.\Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh!\Why not?\If Sakura cooks, response:	you can't even eat the things supposed to be edible.
context: I'll help you.\Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh!\Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible. response:	What did you say?!
context: Thank you.\Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh!\Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?! response:	Touya,
context: Today's a really nice day.\I guess we won't be eating dinner tonight.\Eh!\Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?!\Touya, response:	where's the ingredient for the pasta?
context: I guess we won't be eating dinner tonight.\Eh!\Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?!\Touya,\where's the ingredient for the pasta? response:	Oh, it's here.
context: Eh!\Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?!\Touya,\where's the ingredient for the pasta?\Oh, it's here. response:	G'morning, Tomoyo.
context: Why not?\If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?!\Touya,\where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo. response:	Good morning.
context: If Sakura cooks,\you can't even eat the things supposed to be edible.\What did you say?!\Touya,\where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo.\Good morning. response:	It's gotten cooler little by little.
context: you can't even eat the things supposed to be edible.\What did you say?!\Touya,\where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little. response:	Yes. You seem cheerful.
context: What did you say?!\Touya,\where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful. response:	Listen. Listen.
context: Touya,\where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen. response:	I had a lot of good times yesterday.
context: where's the ingredient for the pasta?\Oh, it's here.\G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday. response:	Oh? Did you get a haircut?
context: Oh, it's here.\G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut? response:	Ye' Yeah. Could you tell?
context: G'morning, Tomoyo.\Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell? response:	Yukito cut it for me yesterday.
context: Good morning.\It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday. response:	I am glad for you.
context: It's gotten cooler little by little.\Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you. response:	But you know, Kero said he couldn't tell any difference.
context: Yes. You seem cheerful.\Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference. response:	I can notice even if you had the slightest trim.
context: Listen. Listen.\I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim. response:	G'morning!
context: I had a lot of good times yesterday.\Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning! response:	Good morning!
context: Oh? Did you get a haircut?\Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning!\Good morning! response:	G'morning'
context: Ye' Yeah. Could you tell?\Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning!\Good morning!\G'morning' response:	Sakura, you know'
context: Yukito cut it for me yesterday.\I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning!\Good morning!\G'morning'\Sakura, you know' response:	Did something happen?
context: I am glad for you.\But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning!\Good morning!\G'morning'\Sakura, you know'\Did something happen? response:	Kinomoto!
context: But you know, Kero said he couldn't tell any difference.\I can notice even if you had the slightest trim.\G'morning!\Good morning!\G'morning'\Sakura, you know'\Did something happen?\Kinomoto! response:	Ye' Yes!
context: I can notice even if you had the slightest trim.\G'morning!\Good morning!\G'morning'\Sakura, you know'\Did something happen?\Kinomoto!\Ye' Yes! response:	You can't misbehave like that!
context: G'morning!\Good morning!\G'morning'\Sakura, you know'\Did something happen?\Kinomoto!\Ye' Yes!\You can't misbehave like that! response:	Eh!
context: Good morning!\G'morning'\Sakura, you know'\Did something happen?\Kinomoto!\Ye' Yes!\You can't misbehave like that!\Eh! response:	You were going to steal something, weren't you?
context: G'morning'\Sakura, you know'\Did something happen?\Kinomoto!\Ye' Yes!\You can't misbehave like that!\Eh!\You were going to steal something, weren't you? response:	I saw you yesterday.
context: Sakura, you know'\Did something happen?\Kinomoto!\Ye' Yes!\You can't misbehave like that!\Eh!\You were going to steal something, weren't you?\I saw you yesterday. response:	You messed up the stuffed dolls yesterday.
context: Did something happen?\Kinomoto!\Ye' Yes!\You can't misbehave like that!\Eh!\You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday. response:	Right, Shao Lan?
context: Kinomoto!\Ye' Yes!\You can't misbehave like that!\Eh!\You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan? response:	What are you talking about?
context: Ye' Yes!\You can't misbehave like that!\Eh!\You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about? response:	Sakura, were you at the stationery store yesterday?
context: You can't misbehave like that!\Eh!\You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday? response:	No. I did go out to buy pasta,
context: Eh!\You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta, response:	but I stayed home since then.
context: You were going to steal something, weren't you?\I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then. response:	Just as I thought, I mistook her for you.
context: I saw you yesterday.\You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you. response:	That's right. Sakura wouldn't do something like that.
context: You messed up the stuffed dolls yesterday.\Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that. response:	Did something happen?
context: Right, Shao Lan?\What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen? response:	We saw someone who looked a bit like Sakura.
context: What are you talking about?\Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura. response:	Me?
context: Sakura, were you at the stationery store yesterday?\No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura.\Me? response:	That's not it.
context: No. I did go out to buy pasta,\but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura.\Me?\That's not it. response:	I'm positive that was Kinomoto.
context: but I stayed home since then.\Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura.\Me?\That's not it.\I'm positive that was Kinomoto. response:	Shao Lan saw her too!
context: Just as I thought, I mistook her for you.\That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura.\Me?\That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too! response:	Be careful.
context: That's right. Sakura wouldn't do something like that.\Did something happen?\We saw someone who looked a bit like Sakura.\Me?\That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful. response:	What does he mean?
context: Did something happen?\We saw someone who looked a bit like Sakura.\Me?\That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful.\What does he mean? response:	What could he mean by'be careful'?
context: We saw someone who looked a bit like Sakura.\Me?\That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful.\What does he mean?\What could he mean by'be careful'? response:	Sakura.
context: Me?\That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful.\What does he mean?\What could he mean by'be careful'?\Sakura. response:	Thank you very much.
context: That's not it.\I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful.\What does he mean?\What could he mean by'be careful'?\Sakura.\Thank you very much. response:	Don't worry about it, Sakura.
context: I'm positive that was Kinomoto.\Shao Lan saw her too!\Be careful.\What does he mean?\What could he mean by'be careful'?\Sakura.\Thank you very much.\Don't worry about it, Sakura. response:	They say everyone in this world
context: Shao Lan saw her too!\Be careful.\What does he mean?\What could he mean by'be careful'?\Sakura.\Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world response:	has someone who looks just like him or her.
context: Be careful.\What does he mean?\What could he mean by'be careful'?\Sakura.\Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her. response:	Eh!
context: What does he mean?\What could he mean by'be careful'?\Sakura.\Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her.\Eh! response:	Oh, there's this story too'
context: What could he mean by'be careful'?\Sakura.\Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her.\Eh!\Oh, there's this story too' response:	It's called a doppelganger. The another you.
context: Sakura.\Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her.\Eh!\Oh, there's this story too'\It's called a doppelganger. The another you. response:	They say if you meet the other you, you die.
context: Thank you very much.\Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her.\Eh!\Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die. response:	Did Li mean by that when he told me to be careful?
context: Don't worry about it, Sakura.\They say everyone in this world\has someone who looks just like him or her.\Eh!\Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful? response:	Sakura!
context: They say everyone in this world\has someone who looks just like him or her.\Eh!\Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura! response:	It was her!
context: has someone who looks just like him or her.\Eh!\Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura!\It was her! response:	You are not feeling well.
context: Eh!\Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura!\It was her!\You are not feeling well. response:	Tomoyo, did you know?
context: Oh, there's this story too'\It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura!\It was her!\You are not feeling well.\Tomoyo, did you know? response:	If you see another you, you d' di'
context: It's called a doppelganger. The another you.\They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura!\It was her!\You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di' response:	You mean, you die?
context: They say if you meet the other you, you die.\Did Li mean by that when he told me to be careful?\Sakura!\It was her!\You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die? response:	Do not worry. That is only a superstition.
context: Did Li mean by that when he told me to be careful?\Sakura!\It was her!\You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition. response:	But' But!!
context: Sakura!\It was her!\You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition.\But' But!! response:	What is wrong?
context: It was her!\You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition.\But' But!!\What is wrong? response:	I saw her!!
context: You are not feeling well.\Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition.\But' But!!\What is wrong?\I saw her!! response:	Sakura!
context: Tomoyo, did you know?\If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition.\But' But!!\What is wrong?\I saw her!!\Sakura! response:	Oh, there she is! Sakura!
context: If you see another you, you d' di'\You mean, you die?\Do not worry. That is only a superstition.\But' But!!\What is wrong?\I saw her!!\Sakura!\Oh, there she is! Sakura! response:	What is wrong?
context: You mean, you die?\Do not worry. That is only a superstition.\But' But!!\What is wrong?\I saw her!!\Sakura!\Oh, there she is! Sakura!\What is wrong? response:	Eh?
context: Do not worry. That is only a superstition.\But' But!!\What is wrong?\I saw her!!\Sakura!\Oh, there she is! Sakura!\What is wrong?\Eh? response:	Was that you who were being mean to the little kids
context: But' But!!\What is wrong?\I saw her!!\Sakura!\Oh, there she is! Sakura!\What is wrong?\Eh?\Was that you who were being mean to the little kids response:	In the park?
context: What is wrong?\I saw her!!\Sakura!\Oh, there she is! Sakura!\What is wrong?\Eh?\Was that you who were being mean to the little kids\In the park? response:	I didn't do anything like that.
context: I saw her!!\Sakura!\Oh, there she is! Sakura!\What is wrong?\Eh?\Was that you who were being mean to the little kids\In the park?\I didn't do anything like that. response:	Sakura has been here with me all this time.
context: Sakura!\Oh, there she is! Sakura!\What is wrong?\Eh?\Was that you who were being mean to the little kids\In the park?\I didn't do anything like that.\Sakura has been here with me all this time. response:	See, here is her ice cream.
context: Oh, there she is! Sakura!\What is wrong?\Eh?\Was that you who were being mean to the little kids\In the park?\I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream. response:	She was wearing the school uniform'
context: What is wrong?\Eh?\Was that you who were being mean to the little kids\In the park?\I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform' response:	It was that girl just now.
context: Eh?\Was that you who were being mean to the little kids\In the park?\I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now. response:	Someone who looks just like you?
context: Was that you who were being mean to the little kids\In the park?\I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you? response:	She was mean to the little kids,
context: In the park?\I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you?\She was mean to the little kids, response:	and she made a mess at the stores.
context: I didn't do anything like that.\Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores. response:	So it looked like it was you who did those things.
context: Sakura has been here with me all this time.\See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things. response:	At this rate, bad rumors
context: See, here is her ice cream.\She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things.\At this rate, bad rumors response:	will be spreading around the town.
context: She was wearing the school uniform'\It was that girl just now.\Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things.\At this rate, bad rumors\will be spreading around the town. response:	Besides, they say if you see another you, yo' o' yyou'll die.
context: It was that girl just now.\Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things.\At this rate, bad rumors\will be spreading around the town.\Besides, they say if you see another you, yo' o' yyou'll die. response:	A doppelganger'
context: Someone who looks just like you?\She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things.\At this rate, bad rumors\will be spreading around the town.\Besides, they say if you see another you, yo' o' yyou'll die.\A doppelganger' response:	Were you scared when you saw her?
context: She was mean to the little kids,\and she made a mess at the stores.\So it looked like it was you who did those things.\At this rate, bad rumors\will be spreading around the town.\Besides, they say if you see another you, yo' o' yyou'll die.\A doppelganger'\Were you scared when you saw her? response:	No, rather than scared,
