context: Jack response:	ED
context: manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role\Congratulations!\I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka response:	Re: postscript
context: Mashiro Moritaka\Re: I've gotten a new role\Congratulations!\I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka\Re: postscript response:	We'll make your future lead role in
context: Re: I've gotten a new role\Congratulations!\I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka\Re: postscript\We'll make your future lead role in response:	our anime the most popular role that
context: Congratulations!\I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka\Re: postscript\We'll make your future lead role in\our anime the most popular role that response:	voice actress Azuki Miho has ever
context: I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka\Re: postscript\We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever response:	played! We'll make your future lead
context: I'll definitely catch up with you\and make our dream come true!\Mashiro Moritaka\Re: postscript\We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead response:	the most popular role
context: and make our dream come true!\Mashiro Moritaka\Re: postscript\We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role response:	that voice actress Azuki Miho
context: Mashiro Moritaka\Re: postscript\We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role\that voice actress Azuki Miho response:	has ever played!
context: Re: postscript\We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role\that voice actress Azuki Miho\has ever played! response:	Niizuma
context: We'll make your future lead role in\our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role\that voice actress Azuki Miho\has ever played!\Niizuma response:	Niizuma
context: our anime the most popular role that\voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role\that voice actress Azuki Miho\has ever played!\Niizuma\Niizuma response:	Niizuma
context: voice actress Azuki Miho has ever\played! We'll make your future lead\the most popular role\that voice actress Azuki Miho\has ever played!\Niizuma\Niizuma\Niizuma response:	Eiji
context: played! We'll make your future lead\the most popular role\that voice actress Azuki Miho\has ever played!\Niizuma\Niizuma\Niizuma\Eiji response:	Eiji
context: the most popular role\that voice actress Azuki Miho\has ever played!\Niizuma\Niizuma\Niizuma\Eiji\Eiji response:	Eiji
context: that voice actress Azuki Miho\has ever played!\Niizuma\Niizuma\Niizuma\Eiji\Eiji\Eiji response:	New
context: has ever played!\Niizuma\Niizuma\Niizuma\Eiji\Eiji\Eiji\New response:	New
context: Niizuma\Niizuma\Niizuma\Eiji\Eiji\Eiji\New\New response:	New
context: Niizuma\Niizuma\Eiji\Eiji\Eiji\New\New\New response:	New
context: Niizuma\Eiji\Eiji\Eiji\New\New\New\New response:	one-
context: Eiji\Eiji\Eiji\New\New\New\New\one- response:	one-
context: Eiji\Eiji\New\New\New\New\one-\one- response:	shot!!
context: Eiji\New\New\New\New\one-\one-\shot!! response:	shot!!
context: New\New\New\New\one-\one-\shot!!\shot!! response:	45 pgs with
context: New\New\New\one-\one-\shot!!\shot!!\45 pgs with response:	45 pgs with
context: New\New\one-\one-\shot!!\shot!!\45 pgs with\45 pgs with response:	color spread!
context: New\one-\one-\shot!!\shot!!\45 pgs with\45 pgs with\color spread! response:	color spread!
context: one-\one-\shot!!\shot!!\45 pgs with\45 pgs with\color spread!\color spread! response:	52 pgs with color spread!
context: one-\shot!!\shot!!\45 pgs with\45 pgs with\color spread!\color spread!\52 pgs with color spread! response:	52 pgs with color spread!
context: shot!!\shot!!\45 pgs with\45 pgs with\color spread!\color spread!\52 pgs with color spread!\52 pgs with color spread! response:	Ashirogi
context: shot!!\45 pgs with\45 pgs with\color spread!\color spread!\52 pgs with color spread!\52 pgs with color spread!\Ashirogi response:	Ashirogi
context: 45 pgs with\45 pgs with\color spread!\color spread!\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi response:	Mutou
context: 45 pgs with\color spread!\color spread!\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou response:	Mutou
context: color spread!\color spread!\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou response:	New author's
context: color spread!\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's response:	New author's
context: 52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's response:	one-shot
context: 52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's\one-shot response:	one-shot
context: Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's\one-shot\one-shot response:	Part two
context: Ashirogi\Mutou\Mutou\New author's\New author's\one-shot\one-shot\Part two response:	Part two
context: Mutou\Mutou\New author's\New author's\one-shot\one-shot\Part two\Part two response:	Hattori Akira
context: Mutou\New author's\New author's\one-shot\one-shot\Part two\Part two\Hattori Akira response:	Hisshou
context: New author's\New author's\one-shot\one-shot\Part two\Part two\Hattori Akira\Hisshou response:	Hisshou
context: New author's\one-shot\one-shot\Part two\Part two\Hattori Akira\Hisshou\Hisshou response:	Hisshou
context: one-shot\one-shot\Part two\Part two\Hattori Akira\Hisshou\Hisshou\Hisshou response:	Hisshou
context: one-shot\Part two\Part two\Hattori Akira\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Part two\Part two\Hattori Akira\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Part two\Hattori Akira\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hattori Akira\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack\Jack\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Hisshou\Hisshou\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Hisshou\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Jack
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Jack response:	Best in
context: Jack\Jack\Jack\Jack\Jack\Jack\Jack\Best in response:	Best in
context: Jack\Jack\Jack\Jack\Jack\Jack\Best in\Best in response:	the World
context: Jack\Jack\Jack\Jack\Jack\Best in\Best in\the World response:	52 pgs with color spread!
context: Jack\Jack\Jack\Jack\Best in\Best in\the World\52 pgs with color spread! response:	52 pgs with color spread!
context: Jack\Jack\Jack\Best in\Best in\the World\52 pgs with color spread!\52 pgs with color spread! response:	Ashirogi
context: Jack\Jack\Best in\Best in\the World\52 pgs with color spread!\52 pgs with color spread!\Ashirogi response:	Ashirogi
context: Jack\Best in\Best in\the World\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi response:	Mutou
context: Best in\Best in\the World\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou response:	Mutou
context: Best in\the World\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou response:	New author's
context: the World\52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's response:	New author's
context: 52 pgs with color spread!\52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's response:	one-shot
context: 52 pgs with color spread!\Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's\one-shot response:	one-shot
context: Ashirogi\Ashirogi\Mutou\Mutou\New author's\New author's\one-shot\one-shot response:	Part two
context: Ashirogi\Mutou\Mutou\New author's\New author's\one-shot\one-shot\Part two response:	Part two
context: Mutou\Mutou\New author's\New author's\one-shot\one-shot\Part two\Part two response:	Hisshou
context: Mutou\New author's\New author's\one-shot\one-shot\Part two\Part two\Hisshou response:	Hisshou
context: New author's\New author's\one-shot\one-shot\Part two\Part two\Hisshou\Hisshou response:	Hisshou
context: New author's\one-shot\one-shot\Part two\Part two\Hisshou\Hisshou\Hisshou response:	Hisshou
context: one-shot\one-shot\Part two\Part two\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: one-shot\Part two\Part two\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Part two\Part two\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Part two\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Hisshou
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack response:	Jack
context: Hisshou\Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack\Jack response:	I will marry
context: Hisshou\Hisshou\Hisshou\Hisshou\Jack\Jack\Jack\I will marry response:	Haruno Miyuki
context: Hisshou\Hisshou\Hisshou\Jack\Jack\Jack\I will marry\Haruno Miyuki response:	Until that day, I'll write about
context: Hisshou\Hisshou\Jack\Jack\Jack\I will marry\Haruno Miyuki\Until that day, I'll write about response:	feelings towards her in this notebook.
context: Hisshou\Jack\Jack\Jack\I will marry\Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook. response:	And I think it would be great if both of us could
context: Jack\Jack\Jack\I will marry\Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could response:	read this notebook together and laugh
context: Jack\Jack\I will marry\Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh response:	when we get old.
context: Jack\I will marry\Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh\when we get old. response:	Haruno
context: I will marry\Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh\when we get old.\Haruno response:	sent me a letter on
context: Haruno Miyuki\Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh\when we get old.\Haruno\sent me a letter on response:	my birthday
context: Until that day, I'll write about\feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh\when we get old.\Haruno\sent me a letter on\my birthday response:	this year,
context: feelings towards her in this notebook.\And I think it would be great if both of us could\read this notebook together and laugh\when we get old.\Haruno\sent me a letter on\my birthday\this year, response:	too. She must like me back!
context: And I think it would be great if both of us could\read this notebook together and laugh\when we get old.\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back! response:	My plan is set for for now...
context: read this notebook together and laugh\when we get old.\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: when we get old.\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno
context: Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno response:	sent me a letter on
context: sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno\sent me a letter on response:	my birthday
context: my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno\sent me a letter on\my birthday response:	this year,
context: this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno\sent me a letter on\my birthday\this year, response:	too. She must like me back!
context: too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back! response:	My plan is set for for now...
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: I also have to decide what to say to her when I propose...\Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: Haruno\sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year,
context: my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, response:	too. She must like me back!
context: this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back! response:	My plan is set for for now...
context: too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year,
context: my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, response:	too. She must like me back!
context: this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back! response:	My plan is set for for now...
context: too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: Haruno sent me a letter on\my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: my birthday\this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: this year,\too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	my birthday
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday response:	this year, too. She must like me back!
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose... response:	Haruno sent me a letter on
context: My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on response:	as possible!
context: I also have to decide what to say to her when I propose...\Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\as possible! response:	my birthday
context: Haruno sent me a letter on\my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\as possible!\my birthday response:	this year, too. She must like me back!
context: my birthday\this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\as possible!\my birthday\this year, too. She must like me back! response:	My plan is set for for now...
context: this year, too. She must like me back!\My plan is set for for now...\I also have to decide what to say to her when I propose...\Haruno sent me a letter on\as possible!\my birthday\this year, too. She must like me back!\My plan is set for for now... response:	I also have to decide what to say to her when I propose...
