context: A journey from which you can never return. response:	Treasures that you can never again acquire.
context: The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape response:	In that direction
context: Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction response:	Even if that is a curse
context: If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse response:	The pulse is the real thing
context: The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing response:	Never again will the yearning stop
context: So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop response:	What was that all of a sudden?
context: The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden? response:	He was like, I'm gonna sleep - just for two hours.
context: Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours. response:	His belly button looks like it hurts, but it doesn't appear he's been poisoned.
context: Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned. response:	I suppose...
context: In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose... response:	he must be like this'cause he fired that thing.
context: Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing. response:	Finally...
context: The pulse is the real thing\Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing.\Finally... response:	Finally I have found it...
context: Never again will the yearning stop\What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing.\Finally...\Finally I have found it... response:	Mitty.
context: What was that all of a sudden?\He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing.\Finally...\Finally I have found it...\Mitty. response:	How nice it would be...
context: He was like, I'm gonna sleep - just for two hours.\His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing.\Finally...\Finally I have found it...\Mitty.\How nice it would be... response:	God...
context: His belly button looks like it hurts, but it doesn't appear he's been poisoned.\I suppose...\he must be like this'cause he fired that thing.\Finally...\Finally I have found it...\Mitty.\How nice it would be...\God... response:	if that's the bottom of this world, I...
context: I suppose...\he must be like this'cause he fired that thing.\Finally...\Finally I have found it...\Mitty.\How nice it would be...\God...\if that's the bottom of this world, I... response:	would like to go there.
context: he must be like this'cause he fired that thing.\Finally...\Finally I have found it...\Mitty.\How nice it would be...\God...\if that's the bottom of this world, I...\would like to go there. response:	God...
context: Finally...\Finally I have found it...\Mitty.\How nice it would be...\God...\if that's the bottom of this world, I...\would like to go there.\God... response:	Hey! Let's hurry over there!
context: Finally I have found it...\Mitty.\How nice it would be...\God...\if that's the bottom of this world, I...\would like to go there.\God...\Hey! Let's hurry over there! response:	You stink... Don't stand so close to me!
context: Mitty.\How nice it would be...\God...\if that's the bottom of this world, I...\would like to go there.\God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me! response:	I hear he's a cave raider from the Abyss.
context: How nice it would be...\God...\if that's the bottom of this world, I...\would like to go there.\God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss. response:	What's he doing in a place like this?
context: God...\if that's the bottom of this world, I...\would like to go there.\God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this? response:	Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.
context: if that's the bottom of this world, I...\would like to go there.\God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom. response:	From the chief territory of the far north, Sereny...
context: would like to go there.\God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny... response:	I've come here...
context: God...\Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here... response:	in search of children suitable for forging a path to the netherworld's next era.
context: Hey! Let's hurry over there!\You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era. response:	I am Bondrewd.
context: You stink... Don't stand so close to me!\I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd. response:	I'm a cave raider of the Abyss and a White Whistle.
context: I hear he's a cave raider from the Abyss.\What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle. response:	Brave children, who do not falter even at the prospect of setting foot inside the chasm...
context: What's he doing in a place like this?\Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm... response:	please, take a step forward.
context: Now, I believe it is time for a new approach that's free from the influence of conventional wisdom.\From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward. response:	I'm really here now...
context: From the chief territory of the far north, Sereny...\I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now... response:	You're so annoying!
context: I've come here...\in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now...\You're so annoying! response:	Get outta here!
context: in search of children suitable for forging a path to the netherworld's next era.\I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now...\You're so annoying!\Get outta here! response:	Hey, let's give it a shot...
context: I am Bondrewd.\I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now...\You're so annoying!\Get outta here!\Hey, let's give it a shot... response:	I don't keep company with idiots.
context: I'm a cave raider of the Abyss and a White Whistle.\Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now...\You're so annoying!\Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots. response:	Let's go.
context: Brave children, who do not falter even at the prospect of setting foot inside the chasm...\please, take a step forward.\I'm really here now...\You're so annoying!\Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots.\Let's go. response:	Ah... O-okay...
context: please, take a step forward.\I'm really here now...\You're so annoying!\Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots.\Let's go.\Ah... O-okay... response:	So we're not the only ones, then, huh?
context: I'm really here now...\You're so annoying!\Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots.\Let's go.\Ah... O-okay...\So we're not the only ones, then, huh? response:	Now, everyone, come and board the vessel.
context: You're so annoying!\Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots.\Let's go.\Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel. response:	Fear not, for my team of cave raiders will escort you throughout the journey.
context: Get outta here!\Hey, let's give it a shot...\I don't keep company with idiots.\Let's go.\Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey. response:	Your destination is at a depth of around 13,000 meters.
context: Hey, let's give it a shot...\I don't keep company with idiots.\Let's go.\Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters. response:	There, in the depths' fifth layer, the Sea of Corpses,
context: I don't keep company with idiots.\Let's go.\Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses, response:	lies the netherworld's forward operating base,
context: Let's go.\Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base, response:	where we strive to unravel the final mysteries of this world.
context: Ah... O-okay...\So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world. response:	This tastes so bland...
context: So we're not the only ones, then, huh?\Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland... response:	Hey, you!
context: Now, everyone, come and board the vessel.\Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you! response:	What do you want to be?
context: Fear not, for my team of cave raiders will escort you throughout the journey.\Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you!\What do you want to be? response:	A White Whistle, right?!
context: Your destination is at a depth of around 13,000 meters.\There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you!\What do you want to be?\A White Whistle, right?! response:	Hey, what's this all about?
context: There, in the depths' fifth layer, the Sea of Corpses,\lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you!\What do you want to be?\A White Whistle, right?!\Hey, what's this all about? response:	Being a White Whistle sure would be great, huh?!
context: lies the netherworld's forward operating base,\where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you!\What do you want to be?\A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?! response:	Don't you think we've got ourselves an amazing chance here?
context: where we strive to unravel the final mysteries of this world.\This tastes so bland...\Hey, you!\What do you want to be?\A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here? response:	I-I was fine with whatever as long as I could come here.
context: This tastes so bland...\Hey, you!\What do you want to be?\A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here. response:	Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.
context: Hey, you!\What do you want to be?\A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat. response:	Everyone else resorted to stealing or begging while singing songs on the streets...
context: What do you want to be?\A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets... response:	But I... didn't have the talent for anything else...
context: A White Whistle, right?!\Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else... response:	That's a great skill to have!
context: Hey, what's this all about?\Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have! response:	Huh?
context: Being a White Whistle sure would be great, huh?!\Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have!\Huh? response:	There's nothing but treasures to pick up down here!
context: Don't you think we've got ourselves an amazing chance here?\I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here! response:	Okay...
context: I-I was fine with whatever as long as I could come here.\Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here!\Okay... response:	Hey, hey, if you're fine with whatever, then be my partner!
context: Before coming here, I'd go to garbage dumps and pick out the least disgusting stuff to eat.\Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner! response:	Uh...
context: Everyone else resorted to stealing or begging while singing songs on the streets...\But I... didn't have the talent for anything else...\That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh... response:	I'm Mitty! A future White Whistle!
context: But I... didn't have the talent for anything else...\That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle! response:	Hey, what's your name?
context: That's a great skill to have!\Huh?\There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name? response:	I-I'm Nanachi.
context: Huh?\There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi. response:	Yippee! Nanachi!
context: There's nothing but treasures to pick up down here!\Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi! response:	Nice to meet you!
context: Okay...\Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you! response:	Shh! Shh!
context: Hey, hey, if you're fine with whatever, then be my partner!\Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you!\Shh! Shh! response:	Oh?
context: Uh...\I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you!\Shh! Shh!\Oh? response:	It says, Capital of the Unreturned.
context: I'm Mitty! A future White Whistle!\Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you!\Shh! Shh!\Oh?\It says, Capital of the Unreturned. response:	You can read nether glyphs?
context: Hey, what's your name?\I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you!\Shh! Shh!\Oh?\It says, Capital of the Unreturned.\You can read nether glyphs? response:	The only books found in the garbage are the ones other people can't read, you see...
context: I-I'm Nanachi.\Yippee! Nanachi!\Nice to meet you!\Shh! Shh!\Oh?\It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see... response:	The way to pronounce nether glyphs has been lost,
context: Yippee! Nanachi!\Nice to meet you!\Shh! Shh!\Oh?\It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost, response:	so pronunciations from our official language are used in their place.
context: Nice to meet you!\Shh! Shh!\Oh?\It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place. response:	It's simple once you get the hang of it.
context: Shh! Shh!\Oh?\It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it. response:	Really? Teach me!
context: Oh?\It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me! response:	I wonder if that was a bird.
context: It says, Capital of the Unreturned.\You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me!\I wonder if that was a bird. response:	Next time, let's go check it out together!
context: You can read nether glyphs?\The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me!\I wonder if that was a bird.\Next time, let's go check it out together! response:	O-okay...
context: The only books found in the garbage are the ones other people can't read, you see...\The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me!\I wonder if that was a bird.\Next time, let's go check it out together!\O-okay... response:	Wow!
context: The way to pronounce nether glyphs has been lost,\so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me!\I wonder if that was a bird.\Next time, let's go check it out together!\O-okay...\Wow! response:	Please be careful...
context: so pronunciations from our official language are used in their place.\It's simple once you get the hang of it.\Really? Teach me!\I wonder if that was a bird.\Next time, let's go check it out together!\O-okay...\Wow!\Please be careful... response:	If you climb more than 10 meters, you'll be hit with the strains of ascending.
