context: In those hectic days when we barely had time to sleep, response:	I had not realized the flaw in my plan.
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	So, what do you wanna do when we get there?
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there? response:	We've gotta try out some real Italian cuisine first.
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first. response:	Hey listen. I looked up some stores.
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores. response:	Hey, isn't he from Trapnest?!
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?! response:	- Huh? Who? - Ren?
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren? response:	No, the long-haired one.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one. response:	Really? Where?
context: Yeah, yeah, keep going on\So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one.\Really? Where? response:	So where's Ren?
context: So, what do you wanna do when we get there?\We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one.\Really? Where?\So where's Ren? response:	I'm sick of eating bread for breakfast every day.
context: We've gotta try out some real Italian cuisine first.\Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one.\Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day. response:	I want some miso soup.
context: Hey listen. I looked up some stores.\Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one.\Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup. response:	Oh, I found this great Japanese restaurant.
context: Hey, isn't he from Trapnest?!\- Huh? Who? - Ren?\No, the long-haired one.\Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant. response:	Wanna go there tonight?
context: - Huh? Who? - Ren?\No, the long-haired one.\Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight? response:	I want some of Nana's salty miso soup!
context: No, the long-haired one.\Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup! response:	Ren, keep your voice down.
context: Really? Where?\So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down. response:	Ren, you're better off forgetting about women like that.
context: So where's Ren?\I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that. response:	Women like that?
context: I'm sick of eating bread for breakfast every day.\I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that? response:	While we're on the subject, I'll be blunt with you.
context: I want some miso soup.\Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you. response:	I believe Nana is the type of girl she's rumored to be
context: Oh, I found this great Japanese restaurant.\Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be response:	and you're really being fooled by her.
context: Wanna go there tonight?\I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her. response:	If she loved you,
context: I want some of Nana's salty miso soup!\Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you, response:	she'd be more careful about the salt content in her cooking...
context: Ren, keep your voice down.\Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking... response:	Take, let me go back to Japan earlier too.
context: Ren, you're better off forgetting about women like that.\Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too. response:	That's not fair just Takumi got to go.
context: Women like that?\While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go. response:	No, you still have your photo shoot. Besides, he had his reasons.
context: While we're on the subject, I'll be blunt with you.\I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons. response:	What? Takumi's returning early?
context: I believe Nana is the type of girl she's rumored to be\and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early? response:	He's already left. Yesterday.
context: and you're really being fooled by her.\If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday. response:	What's with that?! Why didn't he say anything about it?!
context: If she loved you,\she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?! response:	He should've arrived in Japan by now.
context: she'd be more careful about the salt content in her cooking...\Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now. response:	He's so cold...
context: Take, let me go back to Japan earlier too.\That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold... response:	Mom, I'm off to check in at the hotel.
context: That's not fair just Takumi got to go.\No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel. response:	If Mr. Ichinose's coming to see us tomorrow anyway,
context: No, you still have your photo shoot. Besides, he had his reasons.\What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway, response:	he should've stayed over.
context: What? Takumi's returning early?\He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over. response:	But he'll be arriving pretty late,
context: He's already left. Yesterday.\What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late, response:	so he didn't wanna inconvenience anyone.
context: What's with that?! Why didn't he say anything about it?!\He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone. response:	He shouldn't be so formal. He's gonna be family.
context: He should've arrived in Japan by now.\He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family. response:	They're seeing each other for the first time in half a month.
context: He's so cold...\Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month. response:	Of course they want some time alone.
context: Mom, I'm off to check in at the hotel.\If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone. response:	Oh, I guess you're right.
context: If Mr. Ichinose's coming to see us tomorrow anyway,\he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right. response:	I'm sure looking forward to tomorrow.
context: he should've stayed over.\But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow. response:	Talking with him over the phone, Takumi seems like a really nice person.
context: But he'll be arriving pretty late,\so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person. response:	Huh? When did you talk to him?
context: so he didn't wanna inconvenience anyone.\He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him? response:	I answered the phone when he called from overseas.
context: He shouldn't be so formal. He's gonna be family.\They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas. response:	Dad is prejudiced when it comes to celebrities
context: They're seeing each other for the first time in half a month.\Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities response:	saying they're as bad as the yakuza
context: Of course they want some time alone.\Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza response:	but even he was praising Takumi on his manners.
context: Oh, I guess you're right.\I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners. response:	Really?
context: I'm sure looking forward to tomorrow.\Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really? response:	But he is like a yakuza though.
context: Talking with him over the phone, Takumi seems like a really nice person.\Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though. response:	HE'S GOT YOU FOOLED.
context: Huh? When did you talk to him?\I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED. response:	HE'S GOT YOU FOOLED. Is that so?
context: I answered the phone when he called from overseas.\Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so? response:	HE'S GOT YOU FOOLED.
context: Dad is prejudiced when it comes to celebrities\saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED. response:	HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.
context: saying they're as bad as the yakuza\but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world. response:	If he actually was a gangster, he'd take over the world.
context: but even he was praising Takumi on his manners.\Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world. response:	He's so cutthroat.
context: Really?\But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat. response:	Then God must've given him musical talent
context: But he is like a yakuza though.\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent response:	to keep him on the right path in life.
context: HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life. response:	The world of entertainment seems glamorous,
context: HE'S GOT YOU FOOLED. Is that so?\HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous, response:	but I'm sure it's pretty difficult.
context: HE'S GOT YOU FOOLED.\HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult. response:	It will be your job to create a home where he can relax.
context: HE'S GOT YOU FOOLED. If he actually was a gangster, he'd take over the world.\If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax. response:	So stop slacking off and do your best.
context: If he actually was a gangster, he'd take over the world.\He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best. response:	Mhm.
context: He's so cutthroat.\Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm. response:	By the way, how's Nana doing? Have you been keeping in touch?
context: Then God must've given him musical talent\to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch? response:	No. I hear that Nana broke her cell phone.
context: to keep him on the right path in life.\The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone. response:	So I haven't been able to call or email her.
context: The world of entertainment seems glamorous,\but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her. response:	And she hasn't called me.
context: but I'm sure it's pretty difficult.\It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me. response:	I see. That's a bit worrisome, isn't it?
context: It will be your job to create a home where he can relax.\So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it? response:	Yeah. But from what my other friends are telling me,
context: So stop slacking off and do your best.\Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me, response:	she seems to be in extremely high spirits and working hard.
context: Mhm.\By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard. response:	Extremely?
context: By the way, how's Nana doing? Have you been keeping in touch?\No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely? response:	That's my Nana!
context: No. I hear that Nana broke her cell phone.\So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana! response:	She's a tough girl!
context: So I haven't been able to call or email her.\And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana!\She's a tough girl! response:	I was so frantic to give Hachi the chance to see me out there singing.
context: And she hasn't called me.\I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing. response:	It never occurred to me to ask how she was doing.
context: I see. That's a bit worrisome, isn't it?\Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing. response:	About her child, or about Takumi...
context: Yeah. But from what my other friends are telling me,\she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi... response:	Honestly speaking, I didn't want to know.
context: she seems to be in extremely high spirits and working hard.\Extremely?\That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi...\Honestly speaking, I didn't want to know. response:	Although that was just me being jealous.
context: Extremely?\That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi...\Honestly speaking, I didn't want to know.\Although that was just me being jealous. response:	You haven't even touched your breakfast. Are you feeling sick?
context: That's my Nana!\She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi...\Honestly speaking, I didn't want to know.\Although that was just me being jealous.\You haven't even touched your breakfast. Are you feeling sick? response:	No...
context: She's a tough girl!\I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi...\Honestly speaking, I didn't want to know.\Although that was just me being jealous.\You haven't even touched your breakfast. Are you feeling sick?\No... response:	Hey, Mari. I wonder if Takumi met up with Stella.
context: I was so frantic to give Hachi the chance to see me out there singing.\It never occurred to me to ask how she was doing.\About her child, or about Takumi...\Honestly speaking, I didn't want to know.\Although that was just me being jealous.\You haven't even touched your breakfast. Are you feeling sick?\No...\Hey, Mari. I wonder if Takumi met up with Stella. response:	Huh? I-I don't know.
