context: Wh-what?! response:	That's my secret technique, the Sweets Canyon!
context: Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you. response:	But I think of you as a MOST special friend, UMR!
context: Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR! response:	I-I think the same of you, but there's NO WAY we're playing the Pokee game!
context: In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game! response:	Oh. Sorry for raising my voice like that...
context: What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that... response:	it's just, I don't think that's the kind of game that friends play with each other.
context: U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other. response:	No, it's all right. It's my fault for getting carried away at having a friend over.
context: Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over. response:	Oh. I see...
context: The thing about the Pokee game, is, um...\Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see... response:	it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.
context: Ah! You have to do it with someone who's really SPECIAL to you.\But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself. response:	Really, I'm the one who's sorry.
context: But I think of you as a MOST special friend, UMR!\I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry. response:	Um... you're a great friend, TSF!
context: I-I think the same of you, but there's NO WAY we're playing the Pokee game!\Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF! response:	Yes!
context: Oh. Sorry for raising my voice like that...\it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes! response:	For some reason, I'm SUPER embarrassed!
context: it's just, I don't think that's the kind of game that friends play with each other.\No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed! response:	Oh, yeah. Let's watch some anime.
context: No, it's all right. It's my fault for getting carried away at having a friend over.\Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime. response:	Hey! Let's play the Pokee game!
context: Oh. I see...\it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game! response:	Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!
context: it's nice having this big room and all, but I bet it's lonely having her snack feasts all by herself.\Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed! response:	Well, here goes. We each take one end, and then...
context: Really, I'm the one who's sorry.\Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then... response:	But, we're getting closer and closer!
context: Um... you're a great friend, TSF!\Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer! response:	U-um, so, that's why... we can't do it, right? The Pokee game.
context: Yes!\For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game. response:	A-agreed! My apologies!
context: For some reason, I'm SUPER embarrassed!\Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies! response:	Oh, hi there, Hikari.
context: Oh, yeah. Let's watch some anime.\Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari. response:	S-sorry to put you out, Big Brother.
context: Hey! Let's play the Pokee game!\Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother. response:	She really did come for bread day, Big Brother.
context: Ah! They play the Pokee game even in anime. I wonder what sort of game it is, indeed!\Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother. response:	I'm glad I made enough for the three of us.
context: Well, here goes. We each take one end, and then...\But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us. response:	Today, I've made curry and naan.
context: But, we're getting closer and closer!\U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan. response:	The deuce, you say!
context: U-um, so, that's why... we can't do it, right? The Pokee game.\A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say! response:	It's nice and chewy!
context: A-agreed! My apologies!\Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy! response:	It is!
context: Oh, hi there, Hikari.\S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy!\It is! response:	Glad to hear it...
context: S-sorry to put you out, Big Brother.\She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy!\It is!\Glad to hear it... response:	So, Hikari, Kanau knows you've been coming here, right?
context: She really did come for bread day, Big Brother.\I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy!\It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right? response:	Yes!
context: I'm glad I made enough for the three of us.\Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy!\It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes! response:	Like I thought, she doesn't know...
context: Today, I've made curry and naan.\The deuce, you say!\It's nice and chewy!\It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know... response:	Kanau!
context: The deuce, you say!\It's nice and chewy!\It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know...\Kanau! response:	Taihei?! C-can I help you?
context: It's nice and chewy!\It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you? response:	Sorry about before. It took longer than expected to wrap things up.
context: It is!\Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up. response:	Huh? Wrap up...?
context: Glad to hear it...\So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...? response:	Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.
context: So, Hikari, Kanau knows you've been coming here, right?\Yes!\Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. response:	Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?
context: Yes!\Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something? response:	Huh?
context: Like I thought, she doesn't know...\Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh? response:	Hmm?
context: Kanau!\Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm? response:	Umaruuun!
context: Taihei?! C-can I help you?\Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm?\Umaruuun! response:	Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...
context: Sorry about before. It took longer than expected to wrap things up.\Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry... response:	Say, Big Brother, why don't you call her?
context: Huh? Wrap up...?\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her? response:	Gah! Th-there's no need!
context: Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something.\Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need! response:	Well, it IS more dangerous at night, and she's probably made dinner already...
context: Note: Kanau mistakenly confuses the meaning of to get someone home, for the homophone to return something. Did I lend you something?\Huh?\Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already... response:	My sister works overtime on Tuesdays. I've just been eating on my own.
context: Huh?\Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own. response:	Oh, really? Well, we don't mind at all!
