context: Hats and Underwear go on your Head!? response:	AM 2:00 - Night Before the Sports Meet
context: Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone. response:	Yes sir!
context: Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir! response:	You're in the obstacle course, the tug-o-war, the piggyback battle...
context: A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle... response:	And the relay too?
context: and to compete fairly and honestly!\The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too? response:	Yup! The obstacle course is first.
context: The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first. response:	Let's go! Whoo!
context: I have to do that too?\Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo! response:	Whoo-
context: Err...uhh...May today be a lucky day...\And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo!\Whoo- response:	Is this supposed to be a balance beam?
context: And uh...do your best everyone.\Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam? response:	I gotta hold the tape too?
context: Yes sir!\You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too? response:	Goal!
context: You're in the obstacle course, the tug-o-war, the piggyback battle...\And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal! response:	First place!
context: And the relay too?\Yup! The obstacle course is first.\Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal!\First place! response:	Good job, you were fantastic.
context: Yup! The obstacle course is first.\Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal!\First place!\Good job, you were fantastic. response:	Now the tug-o-war!
context: Let's go! Whoo!\Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal!\First place!\Good job, you were fantastic.\Now the tug-o-war! response:	Oh? Where's the rope?
context: Whoo-\Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal!\First place!\Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope? response:	Me?!
context: Is this supposed to be a balance beam?\I gotta hold the tape too?\Goal!\First place!\Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope?\Me?! response:	A crushing victory!
context: I gotta hold the tape too?\Goal!\First place!\Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope?\Me?!\A crushing victory! response:	Good...job...
context: Goal!\First place!\Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope?\Me?!\A crushing victory!\Good...job... response:	Pat me!
context: First place!\Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope?\Me?!\A crushing victory!\Good...job...\Pat me! response:	Way...to go...
context: Good job, you were fantastic.\Now the tug-o-war!\Oh? Where's the rope?\Me?!\A crushing victory!\Good...job...\Pat me!\Way...to go... response:	I'm the horsey.
context: Now the tug-o-war!\Oh? Where's the rope?\Me?!\A crushing victory!\Good...job...\Pat me!\Way...to go...\I'm the horsey. response:	Aren't I too heavy?
context: Oh? Where's the rope?\Me?!\A crushing victory!\Good...job...\Pat me!\Way...to go...\I'm the horsey.\Aren't I too heavy? response:	Not really.
context: Me?!\A crushing victory!\Good...job...\Pat me!\Way...to go...\I'm the horsey.\Aren't I too heavy?\Not really. response:	And I'm the anchor for the relay race!
context: A crushing victory!\Good...job...\Pat me!\Way...to go...\I'm the horsey.\Aren't I too heavy?\Not really.\And I'm the anchor for the relay race! response:	Wow...
context: Good...job...\Pat me!\Way...to go...\I'm the horsey.\Aren't I too heavy?\Not really.\And I'm the anchor for the relay race!\Wow... response:	Okay...bang!
context: Pat me!\Way...to go...\I'm the horsey.\Aren't I too heavy?\Not really.\And I'm the anchor for the relay race!\Wow...\Okay...bang! response:	First runner
context: Way...to go...\I'm the horsey.\Aren't I too heavy?\Not really.\And I'm the anchor for the relay race!\Wow...\Okay...bang!\First runner response:	Second runner
context: I'm the horsey.\Aren't I too heavy?\Not really.\And I'm the anchor for the relay race!\Wow...\Okay...bang!\First runner\Second runner response:	Third runner
context: Aren't I too heavy?\Not really.\And I'm the anchor for the relay race!\Wow...\Okay...bang!\First runner\Second runner\Third runner response:	Fourth runner
context: Not really.\And I'm the anchor for the relay race!\Wow...\Okay...bang!\First runner\Second runner\Third runner\Fourth runner response:	Oh no, I've gotta hold up the tape!
context: And I'm the anchor for the relay race!\Wow...\Okay...bang!\First runner\Second runner\Third runner\Fourth runner\Oh no, I've gotta hold up the tape! response:	She's so fast!
context: Wow...\Okay...bang!\First runner\Second runner\Third runner\Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast! response:	I'm her father...her father...
context: Okay...bang!\First runner\Second runner\Third runner\Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father... response:	I won't let my daughter beat me!
context: First runner\Second runner\Third runner\Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father...\I won't let my daughter beat me! response:	O-Oh crap!
context: Second runner\Third runner\Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap! response:	You okay? Futaba?
context: Third runner\Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba? response:	First place...blew everyone away...
context: Fourth runner\Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba?\First place...blew everyone away... response:	First place...first place...
context: Oh no, I've gotta hold up the tape!\She's so fast!\I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba?\First place...blew everyone away...\First place...first place... response:	She's still a little girl.
context: She's so fast!\I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba?\First place...blew everyone away...\First place...first place...\She's still a little girl. response:	What're you doing?!
context: I'm her father...her father...\I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba?\First place...blew everyone away...\First place...first place...\She's still a little girl.\What're you doing?! response:	Leave me the hell alone.
context: I won't let my daughter beat me!\O-Oh crap!\You okay? Futaba?\First place...blew everyone away...\First place...first place...\She's still a little girl.\What're you doing?!\Leave me the hell alone. response:	The day of the sports meet
context: O-Oh crap!\You okay? Futaba?\First place...blew everyone away...\First place...first place...\She's still a little girl.\What're you doing?!\Leave me the hell alone.\The day of the sports meet response:	Girl's piggyback battle
context: You okay? Futaba?\First place...blew everyone away...\First place...first place...\She's still a little girl.\What're you doing?!\Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle response:	The piggyback battle...what a stupid event.
context: First place...blew everyone away...\First place...first place...\She's still a little girl.\What're you doing?!\Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event. response:	Let's grab everyone else's hats!
context: First place...first place...\She's still a little girl.\What're you doing?!\Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats! response:	No...we should keep observing and wait for the crowd to thin out...
context: She's still a little girl.\What're you doing?!\Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out... response:	I want hats now!
context: What're you doing?!\Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now! response:	I wanna get in a chicken fight!
context: Leave me the hell alone.\The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight! response:	Don't move without warning me!
context: The day of the sports meet\Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight!\Don't move without warning me! response:	The ground's so...the ground's so far down!
context: Girl's piggyback battle\The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down! response:	This is bad luck...
context: The piggyback battle...what a stupid event.\Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck... response:	Bad, bad luck...
context: Let's grab everyone else's hats!\No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck... response:	We're the unlucky ones.
context: No...we should keep observing and wait for the crowd to thin out...\I want hats now!\I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck...\We're the unlucky ones. response:	Come over here, enemies! Face me fairly and honestly!
context: I want hats now!\I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly! response:	Why won't anyone come?
context: I wanna get in a chicken fight!\Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come? response:	Don't run away!
context: Don't move without warning me!\The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away! response:	Positioning self in enemy blind spot...
context: The ground's so...the ground's so far down!\This is bad luck...\Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot... response:	They're staying away'cuz they think they'll be cursed.
context: This is bad luck...\Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed. response:	I feel like someone's calling me...
context: Bad, bad luck...\We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me... response:	Enemy hats! I want enemy hats!
context: We're the unlucky ones.\Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats! response:	I want'em all!
context: Come over here, enemies! Face me fairly and honestly!\Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all! response:	You're the noisiest horsey ever.
context: Why won't anyone come?\Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever. response:	We're not even trying to help, either.
context: Don't run away!\Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either. response:	See?
context: Positioning self in enemy blind spot...\They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either.\See? response:	Owie owie, lemme go!
context: They're staying away'cuz they think they'll be cursed.\I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either.\See?\Owie owie, lemme go! response:	Sorry! I was aiming for your hat!
context: I feel like someone's calling me...\Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either.\See?\Owie owie, lemme go!\Sorry! I was aiming for your hat! response:	Look at Micchan, she's having a ball.
context: Enemy hats! I want enemy hats!\I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either.\See?\Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball. response:	She's not even going for the hats, she's just trying to inflict pain!
context: I want'em all!\You're the noisiest horsey ever.\We're not even trying to help, either.\See?\Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain! response:	Mitsuba's inhumanly cruel to allies and enemies alike.
context: You're the noisiest horsey ever.\We're not even trying to help, either.\See?\Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike. response:	Who said that?
context: We're not even trying to help, either.\See?\Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that? response:	Micchan, please stop treating my eyebrows like a steering wheel!
context: See?\Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel! response:	Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.
context: Owie owie, lemme go!\Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan. response:	Wha-
context: Sorry! I was aiming for your hat!\Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha- response:	MiyaSHITA, I'm MiyaSHITA.
context: Look at Micchan, she's having a ball.\She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA. response:	And I never said a word about her!
context: She's not even going for the hats, she's just trying to inflict pain!\Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her! response:	Look.
context: Mitsuba's inhumanly cruel to allies and enemies alike.\Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look. response:	Look at all the hats I've got!
context: Who said that?\Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look.\Look at all the hats I've got! response:	I'm leading our team to certain victory.
context: Micchan, please stop treating my eyebrows like a steering wheel!\Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look.\Look at all the hats I've got!\I'm leading our team to certain victory. response:	Aww, you guys don't even have a single one?
context: Sugisaki-san and Miyawhatever-san said you're a disgusting cow, Micchan.\Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look.\Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one? response:	Bow to me in gratitude for winning!
context: Wha-\MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look.\Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning! response:	And you were so worked up, too. Guess you just have bad luck, Futaba!
context: MiyaSHITA, I'm MiyaSHITA.\And I never said a word about her!\Look.\Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba! response:	Stuck with our lazy sister Hitoha and two lame horses!
context: And I never said a word about her!\Look.\Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses! response:	Curse you, Mitsuba...
context: Look.\Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba... response:	Futaba-chan?
context: Look at all the hats I've got!\I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan? response:	Hats...enemy hats...I want...
context: I'm leading our team to certain victory.\Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want... response:	I want enemy hats, lots and lots
context: Aww, you guys don't even have a single one?\Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots response:	and lots!
context: Bow to me in gratitude for winning!\And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots! response:	What's wrong with you!
context: And you were so worked up, too. Guess you just have bad luck, Futaba!\Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots!\What's wrong with you! response:	We're on the same team! See?
context: Stuck with our lazy sister Hitoha and two lame horses!\Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots!\What's wrong with you!\We're on the same team! See? response:	C-C-Calm down...
context: Curse you, Mitsuba...\Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots!\What's wrong with you!\We're on the same team! See?\C-C-Calm down... response:	She can only see the hats now...
context: Futaba-chan?\Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots!\What's wrong with you!\We're on the same team! See?\C-C-Calm down...\She can only see the hats now... response:	The sports meet is like an aphrodisiac to her, making her mad with desire.
context: Hats...enemy hats...I want...\I want enemy hats, lots and lots\and lots!\What's wrong with you!\We're on the same team! See?\C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire. response:	Stop your stupid rambling and get her under control!
context: I want enemy hats, lots and lots\and lots!\What's wrong with you!\We're on the same team! See?\C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control! response:	Come on.
context: and lots!\What's wrong with you!\We're on the same team! See?\C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on. response:	No- Stop moving...
