context: Aye, sir! response:	The S Class Wizard Advancement Exam has finally started!
context: You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes. response:	Huh? I don't follow you in the slightest.
context: By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest. response:	It's unnatural.
context: Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural. response:	The knowledge I have of him, even though I just joined the guild...
context: Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild... response:	His name is Mest Gryder.
context: You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder. response:	He is the disciple of Mystogan, the Prince.
context: What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince. response:	He was chosen to take the S Class Exam last year, but unfortunately failed.
context: It was just a hunch at first. But the strange thing is,\the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed. response:	That's all.
context: the more doubts I have, the more clear my knowledge of Mest becomes.\Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all. response:	Any other information on him is cloudy and vague...
context: Huh? I don't follow you in the slightest.\It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague... response:	See why I told her not to partner with that weirdo!
context: It's unnatural.\The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo! response:	Anyway, we must hurry! Wendy might be in danger!
context: The knowledge I have of him, even though I just joined the guild...\His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger! response:	I've never seen this kind of flower before!
context: His name is Mest Gryder.\He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before! response:	Mest-san, look!
context: He is the disciple of Mystogan, the Prince.\He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look! response:	I want to know! I want to know what these strange flowers taste like!
context: He was chosen to take the S Class Exam last year, but unfortunately failed.\That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like! response:	Please don't eat the flowers!
context: That's all.\Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers! response:	Hey, Natsu... Aren't we heading to the top?
context: Any other information on him is cloudy and vague...\See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top? response:	I'd like to...
context: See why I told her not to partner with that weirdo!\Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to... response:	But I ain't gonna be satisfied until I give that bastard
context: Anyway, we must hurry! Wendy might be in danger!\I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard response:	who did this to Igneel's scarf a taste of my fist!
context: I've never seen this kind of flower before!\Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist! response:	So... You're gonna search for the grave while also searching for that guy?
context: Mest-san, look!\I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy? response:	Just choose one or the other...
context: I want to know! I want to know what these strange flowers taste like!\Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other... response:	I'm gonna do both at once, geez!
context: Please don't eat the flowers!\Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez! response:	That's Natsu for you, I guess.
context: Hey, Natsu... Aren't we heading to the top?\I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess. response:	What are you people after?
context: I'd like to...\But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after? response:	To hunt the fairies here!
context: But I ain't gonna be satisfied until I give that bastard\who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here! response:	Thundering Roar
context: who did this to Igneel's scarf a taste of my fist!\So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here!\Thundering Roar response:	Soul of Iron.
context: So... You're gonna search for the grave while also searching for that guy?\Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here!\Thundering Roar\Soul of Iron. response:	What a racket!
context: Just choose one or the other...\I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here!\Thundering Roar\Soul of Iron.\What a racket! response:	Magic from letters?
context: I'm gonna do both at once, geez!\That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here!\Thundering Roar\Soul of Iron.\What a racket!\Magic from letters? response:	It's the same magic as yours!
context: That's Natsu for you, I guess.\What are you people after?\To hunt the fairies here!\Thundering Roar\Soul of Iron.\What a racket!\Magic from letters?\It's the same magic as yours! response:	Right, Levy?
context: What are you people after?\To hunt the fairies here!\Thundering Roar\Soul of Iron.\What a racket!\Magic from letters?\It's the same magic as yours!\Right, Levy? response:	That magic is Eastern Solid Script!
context: To hunt the fairies here!\Thundering Roar\Soul of Iron.\What a racket!\Magic from letters?\It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script! response:	Gajeel!
context: Thundering Roar\Soul of Iron.\What a racket!\Magic from letters?\It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script!\Gajeel! response:	Gajeel, hey!
context: Soul of Iron.\What a racket!\Magic from letters?\It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey! response:	He can't hear me?
context: What a racket!\Magic from letters?\It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey!\He can't hear me? response:	Eggs?
context: Magic from letters?\It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey!\He can't hear me?\Eggs? response:	Egg Buster!
context: It's the same magic as yours!\Right, Levy?\That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey!\He can't hear me?\Eggs?\Egg Buster! response:	Damn it... I can't hear his steps with all the noise!
context: Right, Levy?\That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey!\He can't hear me?\Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise! response:	Gajeel!
context: That magic is Eastern Solid Script!\Gajeel!\Gajeel, hey!\He can't hear me?\Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel! response:	Solid Script: Silent!
context: Gajeel!\Gajeel, hey!\He can't hear me?\Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent! response:	The noise has gone back to normal!
context: Gajeel, hey!\He can't hear me?\Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent!\The noise has gone back to normal! response:	Did your writing cancel out mine?
context: He can't hear me?\Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine? response:	I heard that!
context: Eggs?\Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine?\I heard that! response:	There!
context: Egg Buster!\Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine?\I heard that!\There! response:	Fire!
context: Damn it... I can't hear his steps with all the noise!\Gajeel!\Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine?\I heard that!\There!\Fire! response:	Zuzazazazazazaza
context: Gajeel!\Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine?\I heard that!\There!\Fire!\Zuzazazazazazaza response:	How dare you!
context: Solid Script: Silent!\The noise has gone back to normal!\Did your writing cancel out mine?\I heard that!\There!\Fire!\Zuzazazazazazaza\How dare you! response:	Slash
context: The noise has gone back to normal!\Did your writing cancel out mine?\I heard that!\There!\Fire!\Zuzazazazazazaza\How dare you!\Slash response:	Supepepepepepe
context: Did your writing cancel out mine?\I heard that!\There!\Fire!\Zuzazazazazazaza\How dare you!\Slash\Supepepepepepe response:	Slash-Slash
context: I heard that!\There!\Fire!\Zuzazazazazazaza\How dare you!\Slash\Supepepepepepe\Slash-Slash response:	Man... This is messed up...
context: There!\Fire!\Zuzazazazazazaza\How dare you!\Slash\Supepepepepepe\Slash-Slash\Man... This is messed up... response:	Fire!
context: Fire!\Zuzazazazazazaza\How dare you!\Slash\Supepepepepepe\Slash-Slash\Man... This is messed up...\Fire! response:	There's too many!
context: Zuzazazazazazaza\How dare you!\Slash\Supepepepepepe\Slash-Slash\Man... This is messed up...\Fire!\There's too many! response:	Levy!
context: How dare you!\Slash\Supepepepepepe\Slash-Slash\Man... This is messed up...\Fire!\There's too many!\Levy! response:	He's cutting my iron scales like they're nothing?!
context: Slash\Supepepepepepe\Slash-Slash\Man... This is messed up...\Fire!\There's too many!\Levy!\He's cutting my iron scales like they're nothing?! response:	Go
context: Supepepepepepe\Slash-Slash\Man... This is messed up...\Fire!\There's too many!\Levy!\He's cutting my iron scales like they're nothing?!\Go response:	Bi
context: Slash-Slash\Man... This is messed up...\Fire!\There's too many!\Levy!\He's cutting my iron scales like they're nothing?!\Go\Bi response:	Ba
context: Man... This is messed up...\Fire!\There's too many!\Levy!\He's cutting my iron scales like they're nothing?!\Go\Bi\Ba response:	Do
context: Fire!\There's too many!\Levy!\He's cutting my iron scales like they're nothing?!\Go\Bi\Ba\Do response:	Za
context: There's too many!\Levy!\He's cutting my iron scales like they're nothing?!\Go\Bi\Ba\Do\Za response:	Zan
context: Levy!\He's cutting my iron scales like they're nothing?!\Go\Bi\Ba\Do\Za\Zan response:	Stab
context: He's cutting my iron scales like they're nothing?!\Go\Bi\Ba\Do\Za\Zan\Stab response:	Stab!
context: Go\Bi\Ba\Do\Za\Zan\Stab\Stab! response:	Kasha
context: Bi\Ba\Do\Za\Zan\Stab\Stab!\Kasha response:	Darkness Sword...
context: Ba\Do\Za\Zan\Stab\Stab!\Kasha\Darkness Sword... response:	No!
context: Do\Za\Zan\Stab\Stab!\Kasha\Darkness Sword...\No! response:	Crying Bite!
context: Za\Zan\Stab\Stab!\Kasha\Darkness Sword...\No!\Crying Bite! response:	Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!
context: Zan\Stab\Stab!\Kasha\Darkness Sword...\No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan! response:	Jaki
context: Stab\Stab!\Kasha\Darkness Sword...\No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki response:	Gajeel!
context: Stab!\Kasha\Darkness Sword...\No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel! response:	Gajeel...
context: Kasha\Darkness Sword...\No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel!\Gajeel... response:	If they're all as weak as these two,
context: Darkness Sword...\No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel!\Gajeel...\If they're all as weak as these two, response:	I bet we can finish them all off before the main force arrives.
context: No!\Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel!\Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives. response:	M-Main force, you say?
context: Crying Bite!\Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel!\Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say? response:	Looks like he's still alive-peron.
context: Zan-zan-zan-zan-zan-zan-zan-zan-zan... Zan!\Jaki\Gajeel!\Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron. response:	The main force is the full might of our Guild, Grimoire Heart!
context: Jaki\Gajeel!\Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart! response:	B-But...
context: Gajeel!\Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But... response:	Levy, escape.
context: Gajeel...\If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape. response:	This isn't just some war.
context: If they're all as weak as these two,\I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape.\This isn't just some war. response:	It's gonna be way bigger than that.
context: I bet we can finish them all off before the main force arrives.\M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape.\This isn't just some war.\It's gonna be way bigger than that. response:	But, I...
context: M-Main force, you say?\Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape.\This isn't just some war.\It's gonna be way bigger than that.\But, I... response:	Go and tell everyone about this, on the double!
context: Looks like he's still alive-peron.\The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape.\This isn't just some war.\It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double! response:	I can handle these chumps fine on my own!
context: The main force is the full might of our Guild, Grimoire Heart!\B-But...\Levy, escape.\This isn't just some war.\It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own! response:	You aren't getting away!
context: B-But...\Levy, escape.\This isn't just some war.\It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away! response:	Gajeel!
context: Levy, escape.\This isn't just some war.\It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away!\Gajeel! response:	What the hell are you doing? Hurry and go!
context: This isn't just some war.\It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go! response:	Iron?
context: It's gonna be way bigger than that.\But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go!\Iron? response:	Please, don't die.
context: But, I...\Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go!\Iron?\Please, don't die. response:	Damn you... Letting that woman get away.
context: Go and tell everyone about this, on the double!\I can handle these chumps fine on my own!\You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go!\Iron?\Please, don't die.\Damn you... Letting that woman get away. response:	Whatever-peron... Just makes the hunt more fun-peron.
context: I can handle these chumps fine on my own!\You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go!\Iron?\Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron. response:	An all-out war against Fairy Tail, is it?
context: You aren't getting away!\Gajeel!\What the hell are you doing? Hurry and go!\Iron?\Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it? response:	Y-You can stand?
context: Gajeel!\What the hell are you doing? Hurry and go!\Iron?\Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand? response:	Reminds me of back then...
context: What the hell are you doing? Hurry and go!\Iron?\Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then... response:	I'll show you that picking a fight with Fairy Tail was a mistake!
context: Iron?\Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake! response:	Yeah...
context: Please, don't die.\Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah... response:	You're gonna taste the same fear!
context: Damn you... Letting that woman get away.\Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear! response:	The full force of Grimoire Heart is coming to attack!
context: Whatever-peron... Just makes the hunt more fun-peron.\An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack! response:	I don't know why...
context: An all-out war against Fairy Tail, is it?\Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why... response:	But I have to tell everyone!
context: Y-You can stand?\Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone! response:	Something terrible is happening!
context: Reminds me of back then...\I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone!\Something terrible is happening! response:	Gajeel...
context: I'll show you that picking a fight with Fairy Tail was a mistake!\Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone!\Something terrible is happening!\Gajeel... response:	Roar of the Iron Dragon!
context: Yeah...\You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone!\Something terrible is happening!\Gajeel...\Roar of the Iron Dragon! response:	Block
context: You're gonna taste the same fear!\The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone!\Something terrible is happening!\Gajeel...\Roar of the Iron Dragon!\Block response:	What the...
context: The full force of Grimoire Heart is coming to attack!\I don't know why...\But I have to tell everyone!\Something terrible is happening!\Gajeel...\Roar of the Iron Dragon!\Block\What the... response:	Fool, look above you!
context: I don't know why...\But I have to tell everyone!\Something terrible is happening!\Gajeel...\Roar of the Iron Dragon!\Block\What the...\Fool, look above you! response:	Heavy Egg Rain!
context: But I have to tell everyone!\Something terrible is happening!\Gajeel...\Roar of the Iron Dragon!\Block\What the...\Fool, look above you!\Heavy Egg Rain! response:	Shubabababababa
context: Something terrible is happening!\Gajeel...\Roar of the Iron Dragon!\Block\What the...\Fool, look above you!\Heavy Egg Rain!\Shubabababababa response:	You think my forged iron is going to lose to that rusty blade?!
context: Gajeel...\Roar of the Iron Dragon!\Block\What the...\Fool, look above you!\Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?! response:	Take this!
context: Roar of the Iron Dragon!\Block\What the...\Fool, look above you!\Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?!\Take this! response:	You're a pest!
context: Block\What the...\Fool, look above you!\Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?!\Take this!\You're a pest! response:	Stab-stab-stab-stab
context: What the...\Fool, look above you!\Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?!\Take this!\You're a pest!\Stab-stab-stab-stab response:	Stab!
context: Fool, look above you!\Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?!\Take this!\You're a pest!\Stab-stab-stab-stab\Stab! response:	You're open!
context: Heavy Egg Rain!\Shubabababababa\You think my forged iron is going to lose to that rusty blade?!\Take this!\You're a pest!\Stab-stab-stab-stab\Stab!\You're open! response:	What?
