context: Have you lost sight of your pride as a Saiyan, response:	the mightiest warriors in the universe, Kakarrot!?
context: Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me! response:	Yoo-hoo!
context: You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo! response:	It's stopped!
context: They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped! response:	-Son- kun! -Goku!
context: So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped!\-Son- kun! -Goku! response:	Huh? What's up with the boy?
context: She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy? response:	Have you taken up a job baby-sitting, Goku?
context: The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku? response:	He's my boy!
context: There! That's Muten Roshi- sama's house!\Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy! response:	Y- yours, Goku!?
context: Miserable Kakarrot! You're not getting away from me!\Yoo-hoo!\It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!? response:	Yeah, that's right.
context: Yoo-hoo!\It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!?\Yeah, that's right. response:	Go on, say hello.
context: It's stopped!\-Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!?\Yeah, that's right.\Go on, say hello. response:	Good afternoon.
context: -Son- kun! -Goku!\Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!?\Yeah, that's right.\Go on, say hello.\Good afternoon. response:	-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.
context: Huh? What's up with the boy?\Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!?\Yeah, that's right.\Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon. response:	His name is Son Gohan.
context: Have you taken up a job baby-sitting, Goku?\He's my boy!\Y- yours, Goku!?\Yeah, that's right.\Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan. response:	Son Gohan? So, you've given him the name of your late grandpa?
context: He's my boy!\Y- yours, Goku!?\Yeah, that's right.\Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa? response:	Yeah.
context: Y- yours, Goku!?\Yeah, that's right.\Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah. response:	Still, this is a surprise!
context: Yeah, that's right.\Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise! response:	To think that Goku would bring a child along!
context: Go on, say hello.\Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise!\To think that Goku would bring a child along! response:	Gohan- kun, how old might you be?
context: Good afternoon.\-Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be? response:	I'm four years old.
context: -Yes, good afternoon. -Yes, good afternoon. -Yes, good afternoon.\His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old. response:	Wow. He's got good manners, considering he's your boy, Son- kun.
context: His name is Son Gohan.\Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun. response:	Chichi is fussy about that.
context: Son Gohan? So, you've given him the name of your late grandpa?\Yeah.\Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that. response:	Say, Gohan- kun, what are you going to be when you grow up?
context: Yeah.\Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up? response:	A great scholar.
context: Still, this is a surprise!\To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar. response:	S- scholar?
context: To think that Goku would bring a child along!\Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar? response:	A tail?
context: Gohan- kun, how old might you be?\I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar?\A tail? response:	Yeah. Just like I had before, right?
context: I'm four years old.\Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar?\A tail?\Yeah. Just like I had before, right? response:	You're right!
context: Wow. He's got good manners, considering he's your boy, Son- kun.\Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar?\A tail?\Yeah. Just like I had before, right?\You're right! response:	S- say, does anything happen to your boy that's strange in particular?
context: Chichi is fussy about that.\Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar?\A tail?\Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular? response:	Strange?
context: Say, Gohan- kun, what are you going to be when you grow up?\A great scholar.\S- scholar?\A tail?\Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange? response:	F- for example, does he undergo any changes on nights when the moon is full?
context: A great scholar.\S- scholar?\A tail?\Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full? response:	Nights when the moon is full? Well, we all go to sleep early and all...
context: S- scholar?\A tail?\Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all... response:	How come?
context: A tail?\Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come? response:	It's nothing, it's nothing! In that case, it's all right!
context: Yeah. Just like I had before, right?\You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right! response:	S- say, Goku, is your boy strong, like you?
context: You're right!\S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you? response:	About that...
context: S- say, does anything happen to your boy that's strange in particular?\Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that... response:	I think he has quite a bit of power,
context: Strange?\F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power, response:	but Chichi gets mad when I try to train Gohan.
context: F- for example, does he undergo any changes on nights when the moon is full?\Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan. response:	Rock scissors paper!
context: Nights when the moon is full? Well, we all go to sleep early and all...\How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper! response:	How come? That's such a waste, isn't it?
context: How come?\It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it? response:	Ain't it, though?
context: It's nothing, it's nothing! In that case, it's all right!\S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though? response:	She says the world is at peace now, so we don't need martial arts anymore,
context: S- say, Goku, is your boy strong, like you?\About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore, response:	and that from now on, it's time for studying.
context: About that...\I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying. response:	So that tomboy of a girl turned out to be an education-minded-mama- san, huh?
context: I think he has quite a bit of power,\but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh? response:	Say, is that thing on top of Gohan- kun's hat a Dragon Ball?
context: but Chichi gets mad when I try to train Gohan.\Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball? response:	Yeah. It's Si Xing Qiu, the Four-Star-Ball.
context: Rock scissors paper!\How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball. response:	It's a keepsake from my grandpa, you know?
context: How come? That's such a waste, isn't it?\Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know? response:	I searched it out and stuck it on there.
context: Ain't it, though?\She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there. response:	I also found San Xing Qiu and Liu Xing Qiu while I was at it.
context: She says the world is at peace now, so we don't need martial arts anymore,\and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it. response:	I keep them at home.
context: and that from now on, it's time for studying.\So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home. response:	That sure takes me back. Dragon Balls, huh?
context: So that tomboy of a girl turned out to be an education-minded-mama- san, huh?\Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh? response:	Are you going to gather the Dragon Balls together and wish for something else?
context: Say, is that thing on top of Gohan- kun's hat a Dragon Ball?\Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else? response:	I ain't got anything special that I want to wish for.
context: Yeah. It's Si Xing Qiu, the Four-Star-Ball.\It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for. response:	And here I thought that now that Goku has a family,
context: It's a keepsake from my grandpa, you know?\I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family, response:	his power might have diminished...
context: I searched it out and stuck it on there.\I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished... response:	You've got incredible power, the same as ever, huh?
context: I also found San Xing Qiu and Liu Xing Qiu while I was at it.\I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh? response:	W- what is that!?
context: I keep them at home.\That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!? response:	What's wrong?
context: That sure takes me back. Dragon Balls, huh?\Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong? response:	S- something's coming this way!
context: Are you going to gather the Dragon Balls together and wish for something else?\I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong?\S- something's coming this way! response:	Something's coming?
context: I ain't got anything special that I want to wish for.\And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong?\S- something's coming this way!\Something's coming? response:	I wonder if it's Yamucha.
context: And here I thought that now that Goku has a family,\his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong?\S- something's coming this way!\Something's coming?\I wonder if it's Yamucha. response:	A - awesome! I feel an awesome power! What is it!?
context: his power might have diminished...\You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong?\S- something's coming this way!\Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!? response:	It's here!
context: You've got incredible power, the same as ever, huh?\W- what is that!?\What's wrong?\S- something's coming this way!\Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here! response:	Here it comes!
context: W- what is that!?\What's wrong?\S- something's coming this way!\Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes! response:	W- what is that!?
context: What's wrong?\S- something's coming this way!\Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes!\W- what is that!? response:	Who is it?
context: S- something's coming this way!\Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes!\W- what is that!?\Who is it? response:	What kind of ferocious bloodlust is this?
context: Something's coming?\I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes!\W- what is that!?\Who is it?\What kind of ferocious bloodlust is this? response:	So, we finally meet.
context: I wonder if it's Yamucha.\A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes!\W- what is that!?\Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet. response:	You've grown, huh?
context: A - awesome! I feel an awesome power! What is it!?\It's here!\Here it comes!\W- what is that!?\Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh? response:	But I still recognized you at first glance, Kakarrot.
context: It's here!\Here it comes!\W- what is that!?\Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot. response:	Kakarrot?
context: Here it comes!\W- what is that!?\Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot? response:	You look just like Father.
context: W- what is that!?\Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father. response:	What does that mean?
context: Who is it?\What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father.\What does that mean? response:	What is this? What is this guy saying?
context: What kind of ferocious bloodlust is this?\So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father.\What does that mean?\What is this? What is this guy saying? response:	Kakarrot! What is with the condition of this planet!?
context: So, we finally meet.\You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father.\What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!? response:	You were supposed to have been under orders to dispose of humanity!
context: You've grown, huh?\But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father.\What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity! response:	What the hell have you been goofing around for?
context: But I still recognized you at first glance, Kakarrot.\Kakarrot?\You look just like Father.\What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for? response:	Now look here, you. I don't know who you are or where you're from,
context: Kakarrot?\You look just like Father.\What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from, response:	but go on back, go on back!
context: You look just like Father.\What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back! response:	Shoo, shoo! You know,
