context: The Rising of the Shield Hero response:	The Savior of the Heavenly Fowl
context: But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there. response:	He called it a miracle seed.
context: I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed. response:	A miracle seed that was sealed away?
context: I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away? response:	That was it, huh?
context: Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh? response:	At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.
context: Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit. response:	However...
context: Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However... response:	They grew too much and overwhelmed your village?
context: When he heard of our plight,\he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village? response:	Indeed.
context: he went to some nearby ruins and brought back a seed that had been sealed there.\He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village?\Indeed. response:	While investigating our options,
context: He called it a miracle seed.\A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village?\Indeed.\While investigating our options, response:	we hit upon a legend passed down the village.
context: A miracle seed that was sealed away?\That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village?\Indeed.\While investigating our options,\we hit upon a legend passed down the village. response:	A long time ago, an alchemist who'd set up shop in this area created a seed,
context: That was it, huh?\At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village?\Indeed.\While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed, response:	but sealed it away for some reason.
context: At first, we were overjoyed when we saw how quickly the plants grew and bore fruit.\However...\They grew too much and overwhelmed your village?\Indeed.\While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason. response:	The legend also said that plants had overtaken the region for a while.
context: However...\They grew too much and overwhelmed your village?\Indeed.\While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while. response:	Hold on a second.
context: They grew too much and overwhelmed your village?\Indeed.\While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second. response:	Why did none of you have doubts about that seed if you knew about this legend?
context: Indeed.\While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend? response:	You convinced yourself it was safe because a hero brought it to you?
context: While investigating our options,\we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you? response:	We'll pay for treatments, and for the monster extermination, in advance!
context: we hit upon a legend passed down the village.\A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance! response:	Please save our village!
context: A long time ago, an alchemist who'd set up shop in this area created a seed,\but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village! response:	I don't like cleaning up after that moron Motoyasu,
context: but sealed it away for some reason.\The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu, response:	but I'll earn my keep.
context: The legend also said that plants had overtaken the region for a while.\Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep. response:	That shield... Could it be?
context: Hold on a second.\Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be? response:	Let's go, Filo!
context: Why did none of you have doubts about that seed if you knew about this legend?\You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be?\Let's go, Filo! response:	Take that thing out, and it'll all be over?
context: You convinced yourself it was safe because a hero brought it to you?\We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over? response:	I hope it's that easy.
context: We'll pay for treatments, and for the monster extermination, in advance!\Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy. response:	Master, I'm going.
context: Please save our village!\I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going. response:	Wait, Filo!
context: I don't like cleaning up after that moron Motoyasu,\but I'll earn my keep.\That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going.\Wait, Filo! response:	Air Strike Shield!
context: but I'll earn my keep.\That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going.\Wait, Filo!\Air Strike Shield! response:	It regenerates too quickly.
context: That shield... Could it be?\Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going.\Wait, Filo!\Air Strike Shield!\It regenerates too quickly. response:	If normal attacks won't work...
context: Let's go, Filo!\Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going.\Wait, Filo!\Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work... response:	Raphtalia...
context: Take that thing out, and it'll all be over?\I hope it's that easy.\Master, I'm going.\Wait, Filo!\Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work...\Raphtalia... response:	Splash this herbicide directly on that eyeball.
context: I hope it's that easy.\Master, I'm going.\Wait, Filo!\Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball. response:	Got it!
context: Master, I'm going.\Wait, Filo!\Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball.\Got it! response:	Let's go, Filo.
context: Wait, Filo!\Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo. response:	Okay.
context: Air Strike Shield!\It regenerates too quickly.\If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo.\Okay. response:	Don't hold me back, Onee-chan!
context: It regenerates too quickly.\If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo.\Okay.\Don't hold me back, Onee-chan! response:	H-Hold you back?
context: If normal attacks won't work...\Raphtalia...\Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo.\Okay.\Don't hold me back, Onee-chan!\H-Hold you back? response:	Watch out!
context: Raphtalia...\Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo.\Okay.\Don't hold me back, Onee-chan!\H-Hold you back?\Watch out! response:	Did you just laugh, Filo?
context: Splash this herbicide directly on that eyeball.\Got it!\Let's go, Filo.\Okay.\Don't hold me back, Onee-chan!\H-Hold you back?\Watch out!\Did you just laugh, Filo? response:	No, I did not.
context: Got it!\Let's go, Filo.\Okay.\Don't hold me back, Onee-chan!\H-Hold you back?\Watch out!\Did you just laugh, Filo?\No, I did not. response:	Never mind that. Get the herbicide.
context: Let's go, Filo.\Okay.\Don't hold me back, Onee-chan!\H-Hold you back?\Watch out!\Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide. response:	Never mind?
context: Okay.\Don't hold me back, Onee-chan!\H-Hold you back?\Watch out!\Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide.\Never mind? response:	Regenerating again?
context: Don't hold me back, Onee-chan!\H-Hold you back?\Watch out!\Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide.\Never mind?\Regenerating again? response:	Come to think of it...
context: H-Hold you back?\Watch out!\Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide.\Never mind?\Regenerating again?\Come to think of it... response:	If the Potion Enhance skill works on the herbicide as well...
context: Watch out!\Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide.\Never mind?\Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well... response:	Stay away, Naofumi-sama!
context: Did you just laugh, Filo?\No, I did not.\Never mind that. Get the herbicide.\Never mind?\Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama! response:	You're amazing, Master!
context: No, I did not.\Never mind that. Get the herbicide.\Never mind?\Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master! response:	This is what the Shield Hero can do...
context: Never mind that. Get the herbicide.\Never mind?\Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do... response:	Potion Enhance
context: Never mind?\Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance response:	It's working!
context: Regenerating again?\Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance\It's working! response:	Get back, you two!
context: Come to think of it...\If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance\It's working!\Get back, you two! response:	Those seeds could cause more trouble.
context: If the Potion Enhance skill works on the herbicide as well...\Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance\It's working!\Get back, you two!\Those seeds could cause more trouble. response:	Let's gather them up.
context: Stay away, Naofumi-sama!\You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance\It's working!\Get back, you two!\Those seeds could cause more trouble.\Let's gather them up. response:	That one was mine.
context: You're amazing, Master!\This is what the Shield Hero can do...\Potion Enhance\It's working!\Get back, you two!\Those seeds could cause more trouble.\Let's gather them up.\That one was mine. response:	I got it first.
context: This is what the Shield Hero can do...\Potion Enhance\It's working!\Get back, you two!\Those seeds could cause more trouble.\Let's gather them up.\That one was mine.\I got it first. response:	No, me!
context: Potion Enhance\It's working!\Get back, you two!\Those seeds could cause more trouble.\Let's gather them up.\That one was mine.\I got it first.\No, me! response:	No, me!
context: It's working!\Get back, you two!\Those seeds could cause more trouble.\Let's gather them up.\That one was mine.\I got it first.\No, me!\No, me! response:	What am I gonna do with them?
context: Get back, you two!\Those seeds could cause more trouble.\Let's gather them up.\That one was mine.\I got it first.\No, me!\No, me!\What am I gonna do with them? response:	Bio Plant Shield
context: Those seeds could cause more trouble.\Let's gather them up.\That one was mine.\I got it first.\No, me!\No, me!\What am I gonna do with them?\Bio Plant Shield response:	Plant Modification?
context: Let's gather them up.\That one was mine.\I got it first.\No, me!\No, me!\What am I gonna do with them?\Bio Plant Shield\Plant Modification? response:	What are you doing?
context: That one was mine.\I got it first.\No, me!\No, me!\What am I gonna do with them?\Bio Plant Shield\Plant Modification?\What are you doing? response:	I unlocked a skill called Plant Modification, so I tried a little experiment.
context: I got it first.\No, me!\No, me!\What am I gonna do with them?\Bio Plant Shield\Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment. response:	We just barely took down that monster, so please don't be so reckless.
context: No, me!\No, me!\What am I gonna do with them?\Bio Plant Shield\Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless. response:	Thank you so much, Our Savior... No, Shield Hero!
