context: What could be the cause of the massive mosquito outbreak this year? response:	We ask Mr. Kafetch,
context: We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target. response:	THE LONE CYBORG
context: A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG response:	Thanks to that warning, they're all empty!
context: Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty! response:	Like someone's gonna die from a mosquito bite.
context: If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite. response:	What's losing a little blood if I get all this?
context: This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this? response:	The wind?
context: No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind? response:	What the?!
context: I repeat, no City Z resident is to go outside\Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind?\What the?! response:	Come on, you guys. That wasn't nearly enough.
context: Acquiring target.\THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind?\What the?!\Come on, you guys. That wasn't nearly enough. response:	Go get some more for me!
context: THE LONE CYBORG\Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind?\What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me! response:	Target acquired.
context: Thanks to that warning, they're all empty!\Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind?\What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired. response:	I see.
context: Like someone's gonna die from a mosquito bite.\What's losing a little blood if I get all this?\The wind?\What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired.\I see. response:	You make them suck the blood, then take it all for yourself.
context: What's losing a little blood if I get all this?\The wind?\What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired.\I see.\You make them suck the blood, then take it all for yourself. response:	You must be controlling the mosquitos via some sort of signal.
context: The wind?\What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired.\I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal. response:	That would explain their mysterious behavior.
context: What the?!\Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired.\I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior. response:	So if I were to get rid of you, the leader,
context: Come on, you guys. That wasn't nearly enough.\Go get some more for me!\Target acquired.\I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader, response:	would the swarm disperse too?
context: Go get some more for me!\Target acquired.\I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too? response:	Our next meal is here. Go drain him dry.
context: Target acquired.\I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry. response:	Incinerate.
context: I see.\You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate. response:	I am about to eliminate you.
context: You make them suck the blood, then take it all for yourself.\You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you. response:	Stay where you are.
context: You must be controlling the mosquitos via some sort of signal.\That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you.\Stay where you are. response:	You, eliminate me?
context: That would explain their mysterious behavior.\So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you.\Stay where you are.\You, eliminate me? response:	Go on and try!
context: So if I were to get rid of you, the leader,\would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you.\Stay where you are.\You, eliminate me?\Go on and try! response:	Got you.
context: would the swarm disperse too?\Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you.\Stay where you are.\You, eliminate me?\Go on and try!\Got you. response:	Damnmosquitos!!
context: Our next meal is here. Go drain him dry.\Incinerate.\I am about to eliminate you.\Stay where you are.\You, eliminate me?\Go on and try!\Got you.\Damnmosquitos!! response:	Incinerate.
context: Incinerate.\I am about to eliminate you.\Stay where you are.\You, eliminate me?\Go on and try!\Got you.\Damnmosquitos!!\Incinerate. response:	Maybe a leg next?
context: I am about to eliminate you.\Stay where you are.\You, eliminate me?\Go on and try!\Got you.\Damnmosquitos!!\Incinerate.\Maybe a leg next? response:	Wait, where are my legs?
context: Stay where you are.\You, eliminate me?\Go on and try!\Got you.\Damnmosquitos!!\Incinerate.\Maybe a leg next?\Wait, where are my legs? response:	Impossible.
context: You, eliminate me?\Go on and try!\Got you.\Damnmosquitos!!\Incinerate.\Maybe a leg next?\Wait, where are my legs?\Impossible. response:	You cannot escape from me.
context: Go on and try!\Got you.\Damnmosquitos!!\Incinerate.\Maybe a leg next?\Wait, where are my legs?\Impossible.\You cannot escape from me. response:	What the hell is that guy?
context: Got you.\Damnmosquitos!!\Incinerate.\Maybe a leg next?\Wait, where are my legs?\Impossible.\You cannot escape from me.\What the hell is that guy? response:	He's gonna get me if I don't do something.
context: Damnmosquitos!!\Incinerate.\Maybe a leg next?\Wait, where are my legs?\Impossible.\You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something. response:	The townspeople may all be hiding,
context: Incinerate.\Maybe a leg next?\Wait, where are my legs?\Impossible.\You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding, response:	but there are plenty of animals around.
context: Maybe a leg next?\Wait, where are my legs?\Impossible.\You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around. response:	Come here, little ones.
context: Wait, where are my legs?\Impossible.\You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones. response:	Empty all your stored juices into me!
context: Impossible.\You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me! response:	So many.
context: You cannot escape from me.\What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me!\So many. response:	If she's been collecting blood from the whole town and beyond,
context: What the hell is that guy?\He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond, response:	then it may not simply be a food source for her.
context: He's gonna get me if I don't do something.\The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her. response:	I should put an end to this as soon as possible.
context: The townspeople may all be hiding,\but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible. response:	Get back here, dammit!
context: but there are plenty of animals around.\Come here, little ones.\Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit! response:	You and I aren't done yet!
context: Come here, little ones.\Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet! response:	What's with this guy?
context: Empty all your stored juices into me!\So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet!\What's with this guy? response:	It's in my mouth! Pft! Pft! You little!
context: So many.\If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little! response:	Huh?
context: If she's been collecting blood from the whole town and beyond,\then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh? response:	What's that squirming over there?
context: then it may not simply be a food source for her.\I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there? response:	It's...mosquitoes?!
context: I should put an end to this as soon as possible.\Get back here, dammit!\You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there?\It's...mosquitoes?! response:	You over there.
context: Get back here, dammit!\You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there?\It's...mosquitoes?!\You over there. response:	Evacuate now.
context: You and I aren't done yet!\What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there?\It's...mosquitoes?!\You over there.\Evacuate now. response:	That swarm is conscious.
context: What's with this guy?\It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there?\It's...mosquitoes?!\You over there.\Evacuate now.\That swarm is conscious. response:	If it senses you, it will immediately attack.
context: It's in my mouth! Pft! Pft! You little!\Huh?\What's that squirming over there?\It's...mosquitoes?!\You over there.\Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack. response:	Seriously?
context: Huh?\What's that squirming over there?\It's...mosquitoes?!\You over there.\Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack.\Seriously? response:	That's bad. I gotta get
context: What's that squirming over there?\It's...mosquitoes?!\You over there.\Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get response:	Since you spoke, I thought you would have at least human-level intelligence.
context: It's...mosquitoes?!\You over there.\Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence. response:	But you were just a bug.
context: You over there.\Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug. response:	You brought all the mosquitos together into one, easy-to-burn swarm.
context: Evacuate now.\That swarm is conscious.\If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm. response:	When I spotted you,
context: That swarm is conscious.\If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you, response:	I confirmed there were no living beings within 500 meters,
context: If it senses you, it will immediately attack.\Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters, response:	so I should have been free to fire away.
context: Seriously?\That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away. response:	Wait, that guy might have
context: That's bad. I gotta get\Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have response:	Man, you saved me. You're amazing.
context: Since you spoke, I thought you would have at least human-level intelligence.\But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing. response:	What was that just now? You totally made them bug out!
context: But you were just a bug.\You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out! response:	Ba-dum-dum-tsh.
context: You brought all the mosquitos together into one, easy-to-burn swarm.\When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh. response:	Oh, I was just trying to make a joke about the mosquitos being bugs, and
context: When I spotted you,\I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and response:	Idiot!
context: I confirmed there were no living beings within 500 meters,\so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot! response:	I no longer need the tiny ones.
context: so I should have been free to fire away.\Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones. response:	I mean,
context: Wait, that guy might have\Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones.\I mean, response:	look
context: Man, you saved me. You're amazing.\What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones.\I mean,\look response:	how strong I've become!!
context: What was that just now? You totally made them bug out!\Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones.\I mean,\look\how strong I've become!! response:	Can't your punches kill a little mosquito?
context: Ba-dum-dum-tsh.\Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones.\I mean,\look\how strong I've become!!\Can't your punches kill a little mosquito? response:	Weakling!
context: Oh, I was just trying to make a joke about the mosquitos being bugs, and\Idiot!\I no longer need the tiny ones.\I mean,\look\how strong I've become!!\Can't your punches kill a little mosquito?\Weakling! response:	I see.
context: Idiot!\I no longer need the tiny ones.\I mean,\look\how strong I've become!!\Can't your punches kill a little mosquito?\Weakling!\I see. response:	The more blood she consumes, the more powerful she becomes.
context: I no longer need the tiny ones.\I mean,\look\how strong I've become!!\Can't your punches kill a little mosquito?\Weakling!\I see.\The more blood she consumes, the more powerful she becomes. response:	I think I'll have your head next!
context: I mean,\look\how strong I've become!!\Can't your punches kill a little mosquito?\Weakling!\I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next! response:	I let my guard down. There's no chance of winning.
context: look\how strong I've become!!\Can't your punches kill a little mosquito?\Weakling!\I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning. response:	All I can do is self-destruct.
context: how strong I've become!!\Can't your punches kill a little mosquito?\Weakling!\I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct. response:	Forgive me, Doctor...
context: Can't your punches kill a little mosquito?\Weakling!\I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor... response:	Mosquitossuck!
context: Weakling!\I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck! response:	Hold on!
context: I see.\The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck!\Hold on! response:	Please tell me your name!
context: The more blood she consumes, the more powerful she becomes.\I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck!\Hold on!\Please tell me your name! response:	Oh. It's Saitama.
context: I think I'll have your head next!\I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck!\Hold on!\Please tell me your name!\Oh. It's Saitama. response:	I'd like to be your disciple.
context: I let my guard down. There's no chance of winning.\All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck!\Hold on!\Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple. response:	Oh, okay.
context: All I can do is self-destruct.\Forgive me, Doctor...\Mosquitossuck!\Hold on!\Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay. response:	Huh?
context: Forgive me, Doctor...\Mosquitossuck!\Hold on!\Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay.\Huh? response:	Sensei!
context: Mosquitossuck!\Hold on!\Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay.\Huh?\Sensei! response:	You really showed up.
context: Hold on!\Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay.\Huh?\Sensei!\You really showed up. response:	Uh...
context: Please tell me your name!\Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay.\Huh?\Sensei!\You really showed up.\Uh... response:	It's Genos, Saitama-sensei.
context: Oh. It's Saitama.\I'd like to be your disciple.\Oh, okay.\Huh?\Sensei!\You really showed up.\Uh...\It's Genos, Saitama-sensei. response:	Can you not call me sensei?
context: I'd like to be your disciple.\Oh, okay.\Huh?\Sensei!\You really showed up.\Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei? response:	Master!
context: Oh, okay.\Huh?\Sensei!\You really showed up.\Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei?\Master! response:	Not Master either!
context: Huh?\Sensei!\You really showed up.\Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei?\Master!\Not Master either! response:	Go on home after your drink.
context: Sensei!\You really showed up.\Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei?\Master!\Not Master either!\Go on home after your drink. response:	I'm not looking for disciples.
context: You really showed up.\Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei?\Master!\Not Master either!\Go on home after your drink.\I'm not looking for disciples. response:	Waityou're back in one piece?
context: Uh...\It's Genos, Saitama-sensei.\Can you not call me sensei?\Master!\Not Master either!\Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece? response:	Yes, my body is mostly mechanical.
context: It's Genos, Saitama-sensei.\Can you not call me sensei?\Master!\Not Master either!\Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical. response:	As long as there are parts, repairs are quick.
context: Can you not call me sensei?\Master!\Not Master either!\Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick. response:	You're an odd one.
context: Master!\Not Master either!\Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one. response:	What kind of parts do you use, Master?
context: Not Master either!\Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master? response:	Don't use any.
context: Go on home after your drink.\I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master?\Don't use any. response:	Then what about the skin-colored armor on your head?
context: I'm not looking for disciples.\Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head? response:	Yeah, that's my skin.
context: Waityou're back in one piece?\Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin. response:	But that would mean you're bald despite being so young.
context: Yes, my body is mostly mechanical.\As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young. response:	So I'm baldwhat's your problem?!
context: As long as there are parts, repairs are quick.\You're an odd one.\What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?! response:	Me? You'll listen to my problems?
context: You're an odd one.\What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems? response:	No thanks, I'm good.
context: What kind of parts do you use, Master?\Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good. response:	Actually, four years ago, when I was 15, I was still a real human being.
context: Don't use any.\Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being. response:	Did you hear what I just said?
context: Then what about the skin-colored armor on your head?\Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said? response:	Although we had to pinch pennies,
