context: We've cleared Warning Line One. response:	I didn't think she'd still be alive.
context: They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails. response:	Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.
context: Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana. response:	We can stop fighting this stupid war.
context: With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war. response:	But Salako's invasion operation failed.
context: The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed. response:	The casualties must be pretty severe.
context: The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe. response:	Cooperating with them would be the best way to achieve both our objectives.
context: I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives. response:	The enemy of my enemy is my friend, eh?
context: The humans' flow of Mana will stop, along with the entire world.\They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh? response:	I see.
context: They won't be able to open singularities, and there won't be any need for Para-mails.\Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see. response:	Y-You're kidding, right?
context: Right now, all we Normas are doing by hunting down DRAGONs is obtaining more Mana.\We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right? response:	They killed so many of our people.
context: We can stop fighting this stupid war.\But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right?\They killed so many of our people. response:	They're monsters.
context: But Salako's invasion operation failed.\The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right?\They killed so many of our people.\They're monsters. response:	Cooperate with the DRAGONs? You're out of your mind.
context: The casualties must be pretty severe.\Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right?\They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind. response:	Talk to them and you'll understand.
context: Cooperating with them would be the best way to achieve both our objectives.\The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right?\They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand. response:	It's no use. They aren't trustworthy.
context: The enemy of my enemy is my friend, eh?\I see.\Y-You're kidding, right?\They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy. response:	I don't care about Aura or whatever.
context: I see.\Y-You're kidding, right?\They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever. response:	Do you think Libertus will be over just because we save a single DRAGON?
context: Y-You're kidding, right?\They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON? response:	We have to kill the man who's playing God, Embryo, and destroy this world.
context: They killed so many of our people.\They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world. response:	That's the only way to free the Normas.
context: They're monsters.\Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas. response:	You haven't forgotten, have you?
context: Cooperate with the DRAGONs? You're out of your mind.\Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you? response:	That you were betrayed by your country, your siblings, your people.
context: Talk to them and you'll understand.\It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people. response:	That you hate all humans.
context: It's no use. They aren't trustworthy.\I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans. response:	That you want to destroy this world, with its discrimination and prejudice.
context: I don't care about Aura or whatever.\Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice. response:	Wasn't that what you wanted?
context: Do you think Libertus will be over just because we save a single DRAGON?\We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted? response:	That's...
context: We have to kill the man who's playing God, Embryo, and destroy this world.\That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's... response:	You've gone soft.
context: That's the only way to free the Normas.\You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's...\You've gone soft. response:	Did the DRAGONs brainwash you?
context: You haven't forgotten, have you?\That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's...\You've gone soft.\Did the DRAGONs brainwash you? response:	Or have you become a woman?
context: That you were betrayed by your country, your siblings, your people.\That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's...\You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman? response:	If you want to play with your boyfriend in a pink flower garden,
context: That you hate all humans.\That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's...\You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden, response:	do it after our mission is accomplished!
context: That you want to destroy this world, with its discrimination and prejudice.\Wasn't that what you wanted?\That's...\You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished! response:	But Jill, it's true that we lack sufficient fighting strength.
context: Wasn't that what you wanted?\That's...\You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength. response:	Thanks to Salia betraying us.
context: That's...\You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us. response:	Ange.
context: You've gone soft.\Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange. response:	Can you contact the DRAGONs?
context: Did the DRAGONs brainwash you?\Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs? response:	The Villkiss can travel to the other side without opening a singularity.
context: Or have you become a woman?\If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity. response:	I think.
context: If you want to play with your boyfriend in a pink flower garden,\do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think. response:	That's grand.
context: do it after our mission is accomplished!\But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand. response:	Isn't it worth at least considering an alliance with the DRAGONs?
context: But Jill, it's true that we lack sufficient fighting strength.\Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs? response:	Jill.
context: Thanks to Salia betraying us.\Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill. response:	Fine.
context: Ange.\Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine. response:	I'll announce our strategies after I'm done evaluating our intel.
context: Can you contact the DRAGONs?\The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel. response:	That's all.
context: The Villkiss can travel to the other side without opening a singularity.\I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all. response:	Believe it or not, she's happy.
context: I think.\That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy. response:	Since you came back in one piece.
context: That's grand.\Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy.\Since you came back in one piece. response:	Rest well tonight.
context: Isn't it worth at least considering an alliance with the DRAGONs?\Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight. response:	Delicious!
context: Jill.\Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight.\Delicious! response:	I love your cooking, Momoka.
context: Fine.\I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight.\Delicious!\I love your cooking, Momoka. response:	I missed this terrible Norma food...
context: I'll announce our strategies after I'm done evaluating our intel.\That's all.\Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight.\Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food... response:	Are you sure you're not going to turn into a DRAGON without your candies?
context: That's all.\Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight.\Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies? response:	Nope, apparently.
context: Believe it or not, she's happy.\Since you came back in one piece.\Rest well tonight.\Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently. response:	That's impressive technology.
context: Since you came back in one piece.\Rest well tonight.\Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology. response:	Oh, yeah! Everyone over there had wings and tails.
context: Rest well tonight.\Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails. response:	How come I don't?
context: Delicious!\I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't? response:	I chopped them off to disguise you.
context: I love your cooking, Momoka.\I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you. response:	You're awful!
context: I missed this terrible Norma food...\Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you.\You're awful! response:	I see the Aurora's still operational.
context: Are you sure you're not going to turn into a DRAGON without your candies?\Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational. response:	You know about it?
context: Nope, apparently.\That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational.\You know about it? response:	It's the Libertus flagship built by the Ancient People.
context: That's impressive technology.\Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People. response:	We fought Embryo on this ship.
context: Oh, yeah! Everyone over there had wings and tails.\How come I don't?\I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship. response:	The beds are a little small, but rest assured, it's very comfortable.
context: How come I don't?\I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable. response:	Ah, that's good.
context: I chopped them off to disguise you.\You're awful!\I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good. response:	There's nothing good about it.
context: You're awful!\I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it. response:	You went missing in action, and then came back with a man.
context: I see the Aurora's still operational.\You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man. response:	And a male Norma? Seriously? Jeez.
context: You know about it?\It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez. response:	Actually, I'm not a Norma
context: It's the Libertus flagship built by the Ancient People.\We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma response:	How selfish can you be?
context: We fought Embryo on this ship.\The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be? response:	Sorry, Hilda.
context: The beds are a little small, but rest assured, it's very comfortable.\Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda. response:	What are you getting all pissy about?
context: Ah, that's good.\There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about? response:	Nothing.
context: There's nothing good about it.\You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about?\Nothing. response:	Things were really bad after you left, you know.
context: You went missing in action, and then came back with a man.\And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know. response:	Yeah, they were. Arzenal collapsed, a lot of our people got killed,
context: And a male Norma? Seriously? Jeez.\Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed, response:	and Chris and the others joined the enemy.
context: Actually, I'm not a Norma\How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy. response:	Why?
context: How selfish can you be?\Sorry, Hilda.\What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why? response:	Why did Salia and the others join Embryo?
context: Sorry, Hilda.\What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo? response:	That's what I want to know.
context: What are you getting all pissy about?\Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo?\That's what I want to know. response:	They shoot as us mercilessly.
context: Nothing.\Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly. response:	They aren't our friends or anything anymore.
context: Things were really bad after you left, you know.\Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore. response:	Then it's just you girls doing the fighting now?
context: Yeah, they were. Arzenal collapsed, a lot of our people got killed,\and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now? response:	Yeah, so?
context: and Chris and the others joined the enemy.\Why?\Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so? response:	I'm surprised you haven't sunk yet.
context: Why?\Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet. response:	The ship, that is.
context: Why did Salia and the others join Embryo?\That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is. response:	Are you trying to start something?
context: That's what I want to know.\They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something? response:	It's thanks to these girls' hard work.
context: They shoot as us mercilessly.\They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work. response:	Nonna, Marika, and Mary.
context: They aren't our friends or anything anymore.\Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary. response:	We didn't have enough troops, so these novices got promoted to riders.
context: Then it's just you girls doing the fighting now?\Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders. response:	They're good, thanks to my strict training regimen.
context: Yeah, so?\I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen. response:	I'm so happy to get to meet you.
context: I'm surprised you haven't sunk yet.\The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you. response:	Huh? Me?
context: The ship, that is.\Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me? response:	The ace of the First Squad! Vivian-onee-sama, right?
context: Are you trying to start something?\It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right? response:	I've always admired you.
context: It's thanks to these girls' hard work.\Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you. response:	I'm a huge fan.
context: Nonna, Marika, and Mary.\We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan. response:	Oh, yeah?
context: We didn't have enough troops, so these novices got promoted to riders.\They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan.\Oh, yeah? response:	All right, eat up!
context: They're good, thanks to my strict training regimen.\I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan.\Oh, yeah?\All right, eat up! response:	Come on, guys!
context: I'm so happy to get to meet you.\Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan.\Oh, yeah?\All right, eat up!\Come on, guys! response:	You never said that to me!
context: Huh? Me?\The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan.\Oh, yeah?\All right, eat up!\Come on, guys!\You never said that to me! response:	What's wrong?
context: The ace of the First Squad! Vivian-onee-sama, right?\I've always admired you.\I'm a huge fan.\Oh, yeah?\All right, eat up!\Come on, guys!\You never said that to me!\What's wrong? response:	Oh, I'm just worried about Alektra... I mean, Jill.
context: I've always admired you.\I'm a huge fan.\Oh, yeah?\All right, eat up!\Come on, guys!\You never said that to me!\What's wrong?\Oh, I'm just worried about Alektra... I mean, Jill. response:	Alektra Maria von Loewenherz, was it?
