context: Let's skip training today. response:	You were hurt pretty badly.
context: As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet,\so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force. response:	I believe so.
context: Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet,\so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so. response:	There is a powerful barrier against spiritual beings erected around that mountain.
context: Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet,\so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain. response:	The front gate is the only way in.
context: That's perfect.\I haven't had lunch yet,\so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in. response:	So if we force our way onto the temple grounds, Caster will be waiting.
context: I haven't had lunch yet,\so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting. response:	I suppose...
context: so I'll join you.\Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose... response:	Wait, why are you sitting so far away?
context: Hey, not so fast!\So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away? response:	Because you poached my usual place!
context: So in the end, our only option against Caster is to resort to using force.\I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place! response:	Anyway, once we're on the grounds, the question is how we'll corner Caster.
context: I believe so.\There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster. response:	If we play our cards wrong, she might take out all of Ryuudou Temple.
context: There is a powerful barrier against spiritual beings erected around that mountain.\The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple. response:	True, that is something Caster could do.
context: The front gate is the only way in.\So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do. response:	Saber, don't say scary stuff like that so casually!
context: So if we force our way onto the temple grounds, Caster will be waiting.\I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually! response:	Are you saying that Caster will self-destruct if we corner her?
context: I suppose...\Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her? response:	It's likely, yes.
context: Wait, why are you sitting so far away?\Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes. response:	I believe she would.
context: Because you poached my usual place!\Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would. response:	You two are totally in sync...
context: Anyway, once we're on the grounds, the question is how we'll corner Caster.\If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would.\You two are totally in sync... response:	Wow, it's this late already?
context: If we play our cards wrong, she might take out all of Ryuudou Temple.\True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would.\You two are totally in sync...\Wow, it's this late already? response:	I guess we should wrap things up.
context: True, that is something Caster could do.\Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would.\You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up. response:	I need to get dinner started.
context: Saber, don't say scary stuff like that so casually!\Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would.\You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started. response:	What is it, Emiya-kun?
context: Are you saying that Caster will self-destruct if we corner her?\It's likely, yes.\I believe she would.\You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun? response:	Why are you staring at me?
context: It's likely, yes.\I believe she would.\You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me? response:	No, I was just...
context: I believe she would.\You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me?\No, I was just... response:	Oh, I get it...
context: You two are totally in sync...\Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me?\No, I was just...\Oh, I get it... response:	In public, we're fellow Masters, so I don't bother you there,
context: Wow, it's this late already?\I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me?\No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there, response:	but inside your own home,
context: I guess we should wrap things up.\I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me?\No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home, response:	you revert to your natural instincts.
context: I need to get dinner started.\What is it, Emiya-kun?\Why are you staring at me?\No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts. response:	I'm a guy, so it's a perfectly ordinary reaction.
context: What is it, Emiya-kun?\Why are you staring at me?\No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction. response:	But it's odd, isn't it?
context: Why are you staring at me?\No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it? response:	Saber is a girl.
context: No, I was just...\Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl. response:	And from what I hear, Fujimura-sensei and Sakura are always coming over.
context: Oh, I get it...\In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over. response:	I shouldn't be any different.
context: In public, we're fellow Masters, so I don't bother you there,\but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different. response:	Look, just go home, okay?
context: but inside your own home,\you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay? response:	Oh? How can I go home, when we've yet to settle on a strategy?
context: you revert to your natural instincts.\I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy? response:	Shirou, Rin's point is valid, is it not?
context: I'm a guy, so it's a perfectly ordinary reaction.\But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not? response:	I see no issue with her staying here.
context: But it's odd, isn't it?\Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here. response:	Don't you start, too...
context: Saber is a girl.\And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too... response:	All right, fine.
context: And from what I hear, Fujimura-sensei and Sakura are always coming over.\I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too...\All right, fine. response:	But Fuji-nee... Fujimura-sensei will probably show up later,
context: I shouldn't be any different.\Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later, response:	so you'll have to persuade her yourself.
context: Look, just go home, okay?\Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself. response:	I know, I know.
context: Oh? How can I go home, when we've yet to settle on a strategy?\Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know. response:	I know all about Fujimura-sensei, so don't worry about that.
context: Shirou, Rin's point is valid, is it not?\I see no issue with her staying here.\Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that. response:	Don't blame me if this blows up in your face.
context: I see no issue with her staying here.\Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face. response:	I'm home!
context: Don't you start, too...\All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home! response:	Boy, it's cold!
context: All right, fine.\But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold! response:	I think it's gonna snow!
context: But Fuji-nee... Fujimura-sensei will probably show up later,\so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold!\I think it's gonna snow! response:	Ah, you're making a hot pot!
context: so you'll have to persuade her yourself.\I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot! response:	That's my Shirou!
context: I know, I know.\I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou! response:	You're freezing!
context: I know all about Fujimura-sensei, so don't worry about that.\Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou!\You're freezing! response:	I bet you're awake now!
context: Don't blame me if this blows up in your face.\I'm home!\Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou!\You're freezing!\I bet you're awake now! response:	Be careful!
context: I'm home!\Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou!\You're freezing!\I bet you're awake now!\Be careful! response:	I'm working over a fire here!
context: Boy, it's cold!\I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou!\You're freezing!\I bet you're awake now!\Be careful!\I'm working over a fire here! response:	Whatever... Hurry, hurry, hurry!
context: I think it's gonna snow!\Ah, you're making a hot pot!\That's my Shirou!\You're freezing!\I bet you're awake now!\Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry! response:	Hot pot! Hot pot! Hot pot!
context: Ah, you're making a hot pot!\That's my Shirou!\You're freezing!\I bet you're awake now!\Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot! response:	Come on, get off me!
context: That's my Shirou!\You're freezing!\I bet you're awake now!\Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me! response:	I hope you don't mind my joining you, Fujimura-sensei.
context: You're freezing!\I bet you're awake now!\Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei. response:	Why, it's Tohsaka-san!
context: I bet you're awake now!\Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san! response:	It's unusual to run into you at Shirou's place... Hang on.
context: Be careful!\I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on. response:	What are you doing at Shirou's place?!
context: I'm working over a fire here!\Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?! response:	Hang on, Tohsaka-san!
