context: Space-time fluctuation confirmed. response:	Bearing 012, distance 4,500.
context: No whining.\Captain to all units.\Open fire and destroy all enemies.\Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire. response:	Eight Scuna-class down.
context: Captain to all units.\Open fire and destroy all enemies.\Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down. response:	I'm going in to intercept.
context: Open fire and destroy all enemies.\Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down.\I'm going in to intercept. response:	All rearguard units, begin barrage at distance 500.
context: Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500. response:	Now! All vanguard units, attack!
context: Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack! response:	Roger!
context: Update data confirmed, sight line type G.\Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger! response:	Roger!
context: Parallax compensation, sight line type G.\Fire.\Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger!\Roger! response:	The forty thousand in cash is mine!
context: Fire.\Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger!\Roger!\The forty thousand in cash is mine! response:	Is she splitting off again?
context: Eight Scuna-class down.\I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger!\Roger!\The forty thousand in cash is mine!\Is she splitting off again? response:	You! Maintain formation!
context: I'm going in to intercept.\All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger!\Roger!\The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation! response:	Emissions confirmed.
context: All rearguard units, begin barrage at distance 500.\Now! All vanguard units, attack!\Roger!\Roger!\The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation!\Emissions confirmed. response:	All units, scatter.
context: Now! All vanguard units, attack!\Roger!\Roger!\The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation!\Emissions confirmed.\All units, scatter. response:	Rosalie, Ersha!
context: Roger!\Roger!\The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation!\Emissions confirmed.\All units, scatter.\Rosalie, Ersha! response:	Ange, come in.
context: Roger!\The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation!\Emissions confirmed.\All units, scatter.\Rosalie, Ersha!\Ange, come in. response:	Ange!
context: The forty thousand in cash is mine!\Is she splitting off again?\You! Maintain formation!\Emissions confirmed.\All units, scatter.\Rosalie, Ersha!\Ange, come in.\Ange! response:	Here we go, Villkiss.
context: Is she splitting off again?\You! Maintain formation!\Emissions confirmed.\All units, scatter.\Rosalie, Ersha!\Ange, come in.\Ange!\Here we go, Villkiss. response:	My name is Ange.
context: You! Maintain formation!\Emissions confirmed.\All units, scatter.\Rosalie, Ersha!\Ange, come in.\Ange!\Here we go, Villkiss.\My name is Ange. response:	I will survive.
context: Emissions confirmed.\All units, scatter.\Rosalie, Ersha!\Ange, come in.\Ange!\Here we go, Villkiss.\My name is Ange.\I will survive. response:	Kill and survive.
context: All units, scatter.\Rosalie, Ersha!\Ange, come in.\Ange!\Here we go, Villkiss.\My name is Ange.\I will survive.\Kill and survive. response:	Fallen Princess
context: Rosalie, Ersha!\Ange, come in.\Ange!\Here we go, Villkiss.\My name is Ange.\I will survive.\Kill and survive.\Fallen Princess response:	The sweat and blood of youth!
context: Ange, come in.\Ange!\Here we go, Villkiss.\My name is Ange.\I will survive.\Kill and survive.\Fallen Princess\The sweat and blood of youth! response:	The Light of Mana clashes!
context: Ange!\Here we go, Villkiss.\My name is Ange.\I will survive.\Kill and survive.\Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes! response:	It's the Iaria Championship!
context: Here we go, Villkiss.\My name is Ange.\I will survive.\Kill and survive.\Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship! response:	Will the grand prize be won by Floria Academy,
context: My name is Ange.\I will survive.\Kill and survive.\Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy, response:	of the Kingdom of Rosenblum?
context: I will survive.\Kill and survive.\Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum? response:	Or by the Empire of Misurugi's Ho-o Institute?
context: Kill and survive.\Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute? response:	I'll take back the lead!
context: Fallen Princess\The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead! response:	Follow me!
context: The sweat and blood of youth!\The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me! response:	Oh no you don't!
context: The Light of Mana clashes!\It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me!\Oh no you don't! response:	Momoka!
context: It's the Iaria Championship!\Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me!\Oh no you don't!\Momoka! response:	Yes.
context: Will the grand prize be won by Floria Academy,\of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me!\Oh no you don't!\Momoka!\Yes. response:	Are you hurt?
context: of the Kingdom of Rosenblum?\Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me!\Oh no you don't!\Momoka!\Yes.\Are you hurt? response:	Angelise-sama!
context: Or by the Empire of Misurugi's Ho-o Institute?\I'll take back the lead!\Follow me!\Oh no you don't!\Momoka!\Yes.\Are you hurt?\Angelise-sama! response:	Let's fly once more.
context: I'll take back the lead!\Follow me!\Oh no you don't!\Momoka!\Yes.\Are you hurt?\Angelise-sama!\Let's fly once more. response:	Yes.
context: Follow me!\Oh no you don't!\Momoka!\Yes.\Are you hurt?\Angelise-sama!\Let's fly once more.\Yes. response:	And the game is over!
context: Oh no you don't!\Momoka!\Yes.\Are you hurt?\Angelise-sama!\Let's fly once more.\Yes.\And the game is over! response:	One point decides this fierce battle!
context: Momoka!\Yes.\Are you hurt?\Angelise-sama!\Let's fly once more.\Yes.\And the game is over!\One point decides this fierce battle! response:	The victor of this year's Iaria Championship is Floria Academy,
context: Yes.\Are you hurt?\Angelise-sama!\Let's fly once more.\Yes.\And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy, response:	of the Kingdom of Rosenblum!
context: Are you hurt?\Angelise-sama!\Let's fly once more.\Yes.\And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum! response:	For Ho-o Institute, it's an unfortunate end.
context: Angelise-sama!\Let's fly once more.\Yes.\And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end. response:	Prince Julio and Princess Sylvia give a warm round of applause
context: Let's fly once more.\Yes.\And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause response:	to both teams, for their passionate fight.
context: Yes.\And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight. response:	I'm sorry!
context: And the game is over!\One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry! response:	Angelise-sama, if only we hadn't gotten in your way...
context: One point decides this fierce battle!\The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way... response:	Remember the promise we made that day?
context: The victor of this year's Iaria Championship is Floria Academy,\of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day? response:	That we'll aspire to something more important than winning.
context: of the Kingdom of Rosenblum!\For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning. response:	We formed stronger bonds than any other team.
context: For Ho-o Institute, it's an unfortunate end.\Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team. response:	That is our victory.
context: Prince Julio and Princess Sylvia give a warm round of applause\to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory. response:	Angelise-sama!
context: to both teams, for their passionate fight.\I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory.\Angelise-sama! response:	Impressive, Princess Angelise.
context: I'm sorry!\Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory.\Angelise-sama!\Impressive, Princess Angelise. response:	You've taught us all something more beautiful and noble than victory.
context: Angelise-sama, if only we hadn't gotten in your way...\Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory.\Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory. response:	We'll make up for today in the fall competition.
context: Remember the promise we made that day?\That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory.\Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition. response:	I'll be back after the Baptism Ritual,
context: That we'll aspire to something more important than winning.\We formed stronger bonds than any other team.\That is our victory.\Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual, response:	no matter how busy I become.
context: We formed stronger bonds than any other team.\That is our victory.\Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become. response:	Please take care of the Iaria team until then.
context: That is our victory.\Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then. response:	Yes, Captain!
context: Angelise-sama!\Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain! response:	How laughable.
context: Impressive, Princess Angelise.\You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain!\How laughable. response:	My heart's still pounding.
context: You've taught us all something more beautiful and noble than victory.\We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain!\How laughable.\My heart's still pounding. response:	I thought I was going to have a heart attack
context: We'll make up for today in the fall competition.\I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain!\How laughable.\My heart's still pounding.\I thought I was going to have a heart attack response:	when Onee-sama flew into the sky.
context: I'll be back after the Baptism Ritual,\no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain!\How laughable.\My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky. response:	Angelise is a constant source of anxiety, isn't she, Momoka?
context: no matter how busy I become.\Please take care of the Iaria team until then.\Yes, Captain!\How laughable.\My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka? response:	I'm so upset.
context: Please take care of the Iaria team until then.\Yes, Captain!\How laughable.\My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset. response:	Help my friends and win...
context: Yes, Captain!\How laughable.\My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win... response:	That's what's expected of a princess.
context: How laughable.\My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win...\That's what's expected of a princess. response:	Good grief. Our princess is greedy.
context: My heart's still pounding.\I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy. response:	The country's full of pictures of Onee-sama.
context: I thought I was going to have a heart attack\when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama. response:	They can't wait for the Baptism Ritual.
context: when Onee-sama flew into the sky.\Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual. response:	I understand, Onii-sama.
context: Angelise is a constant source of anxiety, isn't she, Momoka?\I'm so upset.\Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama. response:	I will show them the future of this nation,
context: I'm so upset.\Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation, response:	with my Light of Mana.
context: Help my friends and win...\That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana. response:	I look forward to the Baptism Ritual tomorrow.
context: That's what's expected of a princess.\Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow. response:	Guards, perimeter defense!
context: Good grief. Our princess is greedy.\The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense! response:	Light of Mana, shield!
context: The country's full of pictures of Onee-sama.\They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield! response:	Please be patient.
context: They can't wait for the Baptism Ritual.\I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield!\Please be patient. response:	We'll take care of this.
context: I understand, Onii-sama.\I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield!\Please be patient.\We'll take care of this. response:	It's a Norma, eh?
context: I will show them the future of this nation,\with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield!\Please be patient.\We'll take care of this.\It's a Norma, eh? response:	Let me go, please!
context: with my Light of Mana.\I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield!\Please be patient.\We'll take care of this.\It's a Norma, eh?\Let me go, please! response:	Barrier!
context: I look forward to the Baptism Ritual tomorrow.\Guards, perimeter defense!\Light of Mana, shield!\Please be patient.\We'll take care of this.\It's a Norma, eh?\Let me go, please!\Barrier! response:	No!
context: Guards, perimeter defense!\Light of Mana, shield!\Please be patient.\We'll take care of this.\It's a Norma, eh?\Let me go, please!\Barrier!\No! response:	She broke the Light of Mana.
context: Light of Mana, shield!\Please be patient.\We'll take care of this.\It's a Norma, eh?\Let me go, please!\Barrier!\No!\She broke the Light of Mana. response:	Haven't seen one in person before?
context: Please be patient.\We'll take care of this.\It's a Norma, eh?\Let me go, please!\Barrier!\No!\She broke the Light of Mana.\Haven't seen one in person before? response:	That's a Norma.
context: We'll take care of this.\It's a Norma, eh?\Let me go, please!\Barrier!\No!\She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma. response:	Under Article 1, Section 3, of the Norma Management Code,
context: It's a Norma, eh?\Let me go, please!\Barrier!\No!\She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code, response:	this individual is hereby designated Norma 1203-76.
context: Let me go, please!\Barrier!\No!\She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76. response:	Serra
context: Barrier!\No!\She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra response:	Give me back my daughter!
context: No!\She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter! response:	What are you
context: She broke the Light of Mana.\Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter!\What are you response:	You!
context: Haven't seen one in person before?\That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter!\What are you\You! response:	Please forgive us.
context: That's a Norma.\Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter!\What are you\You!\Please forgive us. response:	She's just a little bad at using Mana!
context: Under Article 1, Section 3, of the Norma Management Code,\this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter!\What are you\You!\Please forgive us.\She's just a little bad at using Mana! response:	Please!
context: this individual is hereby designated Norma 1203-76.\Serra\Give me back my daughter!\What are you\You!\Please forgive us.\She's just a little bad at using Mana!\Please! response:	But that is the very sign of a Norma.
context: Serra\Give me back my daughter!\What are you\You!\Please forgive us.\She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma. response:	We cannot ignore it.
context: Give me back my daughter!\What are you\You!\Please forgive us.\She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma.\We cannot ignore it. response:	Angelise-sama...
context: What are you\You!\Please forgive us.\She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama... response:	What?
context: You!\Please forgive us.\She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama...\What? response:	It's her!
context: Please forgive us.\She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama...\What?\It's her! response:	The Light of Mana, the ultimate evolution of humanity...
context: She's just a little bad at using Mana!\Please!\But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama...\What?\It's her!\The Light of Mana, the ultimate evolution of humanity... response:	The Norma reject it.
context: Please!\But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama...\What?\It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it. response:	They are instinctively violent, antisocial monsters.
context: But that is the very sign of a Norma.\We cannot ignore it.\Angelise-sama...\What?\It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters. response:	She must be quarantined immediately.
context: We cannot ignore it.\Angelise-sama...\What?\It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately. response:	Please, Angelise-sama! I'll raise her well!
context: Angelise-sama...\What?\It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well! response:	You can't. Norma are not human.
context: What?\It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human. response:	You must forget her,
context: It's her!\The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her, response:	and bear another child.
context: The Light of Mana, the ultimate evolution of humanity...\The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her,\and bear another child. response:	A proper child, not a Norma.
context: The Norma reject it.\They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her,\and bear another child.\A proper child, not a Norma. response:	Shield!
context: They are instinctively violent, antisocial monsters.\She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her,\and bear another child.\A proper child, not a Norma.\Shield! response:	Princess, are you hurt?
context: She must be quarantined immediately.\Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her,\and bear another child.\A proper child, not a Norma.\Shield!\Princess, are you hurt? response:	You're too protective.
context: Please, Angelise-sama! I'll raise her well!\You can't. Norma are not human.\You must forget her,\and bear another child.\A proper child, not a Norma.\Shield!\Princess, are you hurt?\You're too protective. response:	Serra!
context: You can't. Norma are not human.\You must forget her,\and bear another child.\A proper child, not a Norma.\Shield!\Princess, are you hurt?\You're too protective.\Serra! response:	Let go!
context: You must forget her,\and bear another child.\A proper child, not a Norma.\Shield!\Princess, are you hurt?\You're too protective.\Serra!\Let go! response:	Serra!
context: and bear another child.\A proper child, not a Norma.\Shield!\Princess, are you hurt?\You're too protective.\Serra!\Let go!\Serra! response:	You haven't changed since you were little.
context: A proper child, not a Norma.\Shield!\Princess, are you hurt?\You're too protective.\Serra!\Let go!\Serra!\You haven't changed since you were little. response:	Whenever you're troubled, you come here to sing this song.
context: Shield!\Princess, are you hurt?\You're too protective.\Serra!\Let go!\Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song. response:	It's as if it washes everything away.
context: Princess, are you hurt?\You're too protective.\Serra!\Let go!\Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away. response:	My doubts, my anxieties...
context: You're too protective.\Serra!\Let go!\Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties... response:	The Endless Song.
context: Serra!\Let go!\Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties...\The Endless Song. response:	The lullaby that guides the royal family.
context: Let go!\Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties...\The Endless Song.\The lullaby that guides the royal family. response:	That guides...
context: Serra!\You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties...\The Endless Song.\The lullaby that guides the royal family.\That guides... response:	Mother,
context: You haven't changed since you were little.\Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties...\The Endless Song.\The lullaby that guides the royal family.\That guides...\Mother, response:	I love this world.
context: Whenever you're troubled, you come here to sing this song.\It's as if it washes everything away.\My doubts, my anxieties...\The Endless Song.\The lullaby that guides the royal family.\That guides...\Mother,\I love this world. response:	This world, freed by the Light of Mana from war, inequality, and poverty.
