context: It's finally the second semester... response:	I'm not too sure if I feel happy or empty... it's a complicated feeling.
context: That's fine then...\When I see your face...\You're not going to-\Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here! response:	The summer vacation's first Youkai newspaper issue looks really good!
context: When I see your face...\You're not going to-\Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good! response:	Yup, yup!
context: You're not going to-\Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup! response:	I think the girls will love the news article about the latest fashions of the human world!
context: Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world! response:	Isn't it? I wrote it, after all.
context: Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all. response:	Let's see here...
context: Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here... response:	Ganguro and loose socks...
context: It's also possible that the human and monster worlds will become separated.\That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks... response:	What a nice article...
context: That's why I decided to make as many happy memories as I can while I'm still here!\The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks...\What a nice article... response:	Yahoohoohoo!
context: The summer vacation's first Youkai newspaper issue looks really good!\Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks...\What a nice article...\Yahoohoohoo! response:	Isn't that article a little outdated?
context: Yup, yup!\I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks...\What a nice article...\Yahoohoohoo!\Isn't that article a little outdated? response:	But, this is worth all the effort we put in. There's more content than usual too.
context: I think the girls will love the news article about the latest fashions of the human world!\Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks...\What a nice article...\Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too. response:	Yeah, I think-
context: Isn't it? I wrote it, after all.\Let's see here...\Ganguro and loose socks...\What a nice article...\Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think- response:	Shi-Shirayuki-san!
context: Let's see here...\Ganguro and loose socks...\What a nice article...\Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san! response:	Shirayuki-san makes it sound like we're still strangers.
context: Ganguro and loose socks...\What a nice article...\Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers. response:	From now on, please call me Mizore-chan.
context: What a nice article...\Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan. response:	Ah... okay...
context: Yahoohoohoo!\Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay... response:	Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!
context: Isn't that article a little outdated?\But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work! response:	You're pretty into it, huh.
context: But, this is worth all the effort we put in. There's more content than usual too.\Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh. response:	Of course! It's the newspaper that Tsukune and I made, right?
context: Yeah, I think-\Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right? response:	You're wrong, Kurumu-chan! It's all-of-us!
context: Shi-Shirayuki-san!\Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us! response:	Yup, yup!
context: Shirayuki-san makes it sound like we're still strangers.\From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup! response:	Before, when I first met you guys, I thought, what a weird bunch, but...
context: From now on, please call me Mizore-chan.\Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but... response:	Anyways, wasn't the Human World great?
context: Ah... okay...\Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great? response:	But?
context: Hey! We still haven't compiled as many issues as we were planning, so hurry up and get to work!\You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But? response:	Yeah, it was!
context: You're pretty into it, huh.\Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But?\Yeah, it was! response:	But now I think, This kind of thing isn't so bad.
context: Of course! It's the newspaper that Tsukune and I made, right?\You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But?\Yeah, it was!\But now I think, This kind of thing isn't so bad. response:	After seeing ganguros, I was thinking about trying it myself.
context: You're wrong, Kurumu-chan! It's all-of-us!\Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But?\Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself. response:	Eh, really?!
context: Yup, yup!\Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But?\Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?! response:	That's why...
context: Before, when I first met you guys, I thought, what a weird bunch, but...\Anyways, wasn't the Human World great?\But?\Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why... response:	I think it's better if you don't use too much...
context: Anyways, wasn't the Human World great?\But?\Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why...\I think it's better if you don't use too much... response:	All right! Then, let's pass out those newspapers before class!
context: But?\Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class! response:	Yeah!
context: Yeah, it was!\But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah! response:	Yeah!
context: But now I think, This kind of thing isn't so bad.\After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah! response:	Would you like a copy of Square?
context: After seeing ganguros, I was thinking about trying it myself.\Eh, really?!\That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah!\Would you like a copy of Square? response:	Would you like a copy of Youkai Square?
context: Eh, really?!\That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square? response:	All of the articles are very interesting and informative!
context: That's why...\I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative! response:	For our first issue, it's a special edition about the Human World!
context: I think it's better if you don't use too much...\All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World! response:	Whoa, it was printed in color?
context: All right! Then, let's pass out those newspapers before class!\Yeah!\Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color? response:	There're even pictures of models in swimsuits!
context: Yeah!\Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits! response:	The latest fashion trends in the human world?
context: Yeah!\Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world? response:	Tulip hats and trousers are in style now, huh?
context: Would you like a copy of Square?\Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh? response:	Hey, what the heck is that?
context: Would you like a copy of Youkai Square?\All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that? response:	Youkai Square?
context: All of the articles are very interesting and informative!\For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square? response:	Hey, you guys! Who gave you guys permission to hand out newspapers?
context: For our first issue, it's a special edition about the Human World!\Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers? response:	Eh? Permission?
context: Whoa, it was printed in color?\There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission? response:	And also, Youkai Square?
context: There're even pictures of models in swimsuits!\The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square? response:	And unlike our newspaper club, this isn't a legitimate club...
context: The latest fashion trends in the human world?\Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club... response:	That's too bad.
context: Tulip hats and trousers are in style now, huh?\Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad. response:	Who are you?!
context: Hey, what the heck is that?\Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?! response:	I'm Keito, a second-year student.
context: Youkai Square?\Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?!\I'm Keito, a second-year student. response:	The president of the Super Newspaper Club.
context: Hey, you guys! Who gave you guys permission to hand out newspapers?\Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club. response:	Super... Newspaper Club?
context: Eh? Permission?\And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club? response:	When was this created?
context: And also, Youkai Square?\And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created? response:	As an official club, I've already gotten approval from the school.
context: And unlike our newspaper club, this isn't a legitimate club...\That's too bad.\Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school. response:	No way!
context: That's too bad.\Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school.\No way! response:	Since you guys were so boring, we were thinking of bringing in new journalism.
context: Who are you?!\I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism. response:	What was that?!
context: I'm Keito, a second-year student.\The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?! response:	Now now, Kurumu-chan...
context: The president of the Super Newspaper Club.\Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan... response:	If you're frustrated, then compete with your content.
context: Super... Newspaper Club?\When was this created?\As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content. response:	Of course we will! We definitely won't lose!
context: When was this created?\As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose! response:	You're right.
context: As an official club, I've already gotten approval from the school.\No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right. response:	The distribution of the latest issue of Youkai Newspaper commences!
context: No way!\Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences! response:	This is the latest issue of Youkai Newspaper!
context: Since you guys were so boring, we were thinking of bringing in new journalism.\What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper! response:	Look! It's a special edition about the Human World!
context: What was that?!\Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World! response:	Please read it!
context: Now now, Kurumu-chan...\If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it! response:	If you don't read it... I'll freeze you.
context: If you're frustrated, then compete with your content.\Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you. response:	There's a special on the human world in this newspaper too?
context: Of course we will! We definitely won't lose!\You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too? response:	Doesn't this seem kinda rehashed?
context: You're right.\The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed? response:	There aren't any swimsuit models in this one!
context: The distribution of the latest issue of Youkai Newspaper commences!\This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one! response:	With so many stiff news articles, it's so boring!
context: This is the latest issue of Youkai Newspaper!\Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring! response:	Somehow, our reputation...
context: Look! It's a special edition about the Human World!\Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation... response:	I didn't think that a rival would appear...
context: Please read it!\If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear... response:	Does the Super Newspaper Club really exist?
context: If you don't read it... I'll freeze you.\There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist? response:	Sorry. This was something that I only heard of yesterday.
context: There's a special on the human world in this newspaper too?\Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday. response:	But, I'm surprised they got permission, since there's already a similar club.
context: Doesn't this seem kinda rehashed?\There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club. response:	About that...
context: There aren't any swimsuit models in this one!\With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that... response:	In this situation, there is a belief that the less popular group should be abolished...
context: With so many stiff news articles, it's so boring!\Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished... response:	B-But...!
context: Somehow, our reputation...\I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...! response:	This is too much!
context: I didn't think that a rival would appear...\Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much! response:	If that's the case, fine.
context: Does the Super Newspaper Club really exist?\Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much!\If that's the case, fine. response:	Kurumu-chan?
context: Sorry. This was something that I only heard of yesterday.\But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much!\If that's the case, fine.\Kurumu-chan? response:	In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!
context: But, I'm surprised they got permission, since there's already a similar club.\About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much!\If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?! response:	Hey wait, Kurumu-chan!
context: About that...\In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much!\If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan! response:	That's right! We have to talk to Gin-senpai first! He's our president, after all.
