context: We're dividing up into two? response:	Yeah. The waterway is a big place.
context: I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish. response:	Oh, right, did you like the present I left?
context: One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left? response:	I'm sure you miss your dear mother.
context: I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother. response:	Why, you!
context: You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you! response:	Don't screw around with me!
context: Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you!\Don't screw around with me! response:	I won't let him go. I can't let this man go there. That is my...
context: Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my... response:	You're coming around, are you?
context: is a ploy so cheap as to be pitiful.\Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you? response:	In that case...
context: Childish, childish.\Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case... response:	You really aren't like the other small fry around, huh?
context: Oh, right, did you like the present I left?\I'm sure you miss your dear mother.\Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh? response:	Bounce around! Bounce around even more,
context: I'm sure you miss your dear mother.\Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more, response:	you little gnat!
context: Why, you!\Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat! response:	You can't use your weapon around here.
context: Don't screw around with me!\I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here. response:	I've always wanted to ask your kind something.
context: I won't let him go. I can't let this man go there. That is my...\You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something. response:	You calmly prey on innocent people, compulsively devouring them.
context: You're coming around, are you?\In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them. response:	Why does your kind exist?
context: In that case...\You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist? response:	The children whose parents have been killed...
context: You really aren't like the other small fry around, huh?\Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed... response:	The grief of those left behind...
context: Bounce around! Bounce around even more,\you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind... response:	The loneliness...
context: you little gnat!\You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind...\The loneliness... response:	Have you ever thought about that?
context: You can't use your weapon around here.\I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind...\The loneliness...\Have you ever thought about that? response:	Answer me!
context: I've always wanted to ask your kind something.\You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind...\The loneliness...\Have you ever thought about that?\Answer me! response:	Is the terror of having your life hunted for no reason...
context: You calmly prey on innocent people, compulsively devouring them.\Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind...\The loneliness...\Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason... response:	something you understand?
context: Why does your kind exist?\The children whose parents have been killed...\The grief of those left behind...\The loneliness...\Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason...\something you understand? response:	Having the people dear to you killed like worms...
context: The children whose parents have been killed...\The grief of those left behind...\The loneliness...\Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms... response:	Do you understand what that feels like?
context: The grief of those left behind...\The loneliness...\Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like? response:	Why, you...!
context: The loneliness...\Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...! response:	The rabbit killed one of my friends.
context: Have you ever thought about that?\Answer me!\Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends. response:	Why was he killed?
context: Answer me!\Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends.\Why was he killed? response:	Because he was an investigator? Because he was human? Get real!
context: Is the terror of having your life hunted for no reason...\something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real! response:	Where was there any reason why he had to be killed?
context: something you understand?\Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed? response:	Tell me, what reason was there for Mrs. Ryoko to be killed!
context: Having the people dear to you killed like worms...\Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed! response:	This whole world is messed up.
context: Do you understand what that feels like?\Why, you...!\The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up. response:	It's you guys who are screwing it up!
context: Why, you...!\The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up! response:	If it weren't for you people...!
context: The rabbit killed one of my friends.\Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...! response:	Die!
context: Why was he killed?\Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...!\Die! response:	Well? You recognize this, don't you?
context: Because he was an investigator? Because he was human? Get real!\Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...!\Die!\Well? You recognize this, don't you? response:	It's your...
context: Where was there any reason why he had to be killed?\Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...!\Die!\Well? You recognize this, don't you?\It's your... response:	beloved...
context: Tell me, what reason was there for Mrs. Ryoko to be killed!\This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...!\Die!\Well? You recognize this, don't you?\It's your...\beloved... response:	mother!
context: This whole world is messed up.\It's you guys who are screwing it up!\If it weren't for you people...!\Die!\Well? You recognize this, don't you?\It's your...\beloved...\mother! response:	Quinques are made from your kagunes, after all!
context: It's you guys who are screwing it up!\If it weren't for you people...!\Die!\Well? You recognize this, don't you?\It's your...\beloved...\mother!\Quinques are made from your kagunes, after all! response:	Lowlife bastard!
context: If it weren't for you people...!\Die!\Well? You recognize this, don't you?\It's your...\beloved...\mother!\Quinques are made from your kagunes, after all!\Lowlife bastard! response:	Ghouls are screwing up the world...
context: Die!\Well? You recognize this, don't you?\It's your...\beloved...\mother!\Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world... response:	Is that really true?
context: Well? You recognize this, don't you?\It's your...\beloved...\mother!\Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world...\Is that really true? response:	Was there a reason why Mrs. Ryoko was killed?
context: It's your...\beloved...\mother!\Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed? response:	What about Hinami?
context: beloved...\mother!\Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami? response:	Hinami also had the lives of those dear to her taken, didn't she?
context: mother!\Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she? response:	Ghouls have feelings, too.
context: Quinques are made from your kagunes, after all!\Lowlife bastard!\Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too. response:	No different than humans do.
context: Lowlife bastard!\Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do. response:	Why don't humans turn their attention toward that?
context: Ghouls are screwing up the world...\Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that? response:	-Why don't they try to understand?
context: Is that really true?\Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand? response:	-I'm not done yet! -Why don't they try to understand?
context: Was there a reason why Mrs. Ryoko was killed?\What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand? response:	It's something so obvious.
context: What about Hinami?\Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious. response:	-It's something so simple.
context: Hinami also had the lives of those dear to her taken, didn't she?\Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple. response:	-You're pretty tough! -It's something so simple.
context: Ghouls have feelings, too.\No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple. response:	I'm the only one... who is aware of it... who can communicate it...
context: No different than humans do.\Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it... response:	Only me, the ghoul...
context: Why don't humans turn their attention toward that?\-Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul... response:	Only me, the human...
context: -Why don't they try to understand?\-I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human... response:	I'm the only one.
context: -I'm not done yet! -Why don't they try to understand?\It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human...\I'm the only one. response:	You're wrong...
context: It's something so obvious.\-It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human...\I'm the only one.\You're wrong... response:	It's not the world... that is messed up...
context: -It's something so simple.\-You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human...\I'm the only one.\You're wrong...\It's not the world... that is messed up... response:	Sure, there are ghouls who have taken the wrong path...
context: -You're pretty tough! -It's something so simple.\I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human...\I'm the only one.\You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path... response:	but... not all ghouls are like that.
context: I'm the only one... who is aware of it... who can communicate it...\Only me, the ghoul...\Only me, the human...\I'm the only one.\You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that. response:	We should... learn more... Both humans... and ghouls...
context: Only me, the ghoul...\Only me, the human...\I'm the only one.\You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls... response:	It's not just ghouls who are screwing up the world...
context: Only me, the human...\I'm the only one.\You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world... response:	It's you, too.
context: I'm the only one.\You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world...\It's you, too. response:	What are you talking about?
context: You're wrong...\It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world...\It's you, too.\What are you talking about? response:	You won't understand, will you?
context: It's not the world... that is messed up...\Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world...\It's you, too.\What are you talking about?\You won't understand, will you? response:	Well then...
context: Sure, there are ghouls who have taken the wrong path...\but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world...\It's you, too.\What are you talking about?\You won't understand, will you?\Well then... response:	I'll make you understand.
context: but... not all ghouls are like that.\We should... learn more... Both humans... and ghouls...\It's not just ghouls who are screwing up the world...\It's you, too.\What are you talking about?\You won't understand, will you?\Well then...\I'll make you understand. response:	You should make for some fine material.
