context: Yeah, that's right, short stuff, do as much as you can. response:	I, ReaCoom- san, will let you match up against me, okay?
context: No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father!\You got up, did you?\You got up, you got up!\I won't be beaten. Not by you. response:	I won't... be beaten...
context: the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father!\You got up, did you?\You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten... response:	What have we here? Did you mean for that to be an attack?
context: Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father!\You got up, did you?\You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack? response:	N- nothing is happening, huh? Have you become immortally young yet?
context: Darn it...\Father!\You got up, did you?\You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet? response:	N- no, I do not believe so.
context: Father!\You got up, did you?\You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so. response:	W- why?
context: You got up, did you?\You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why? response:	Even if you do get the Dragon Balls together,
context: You got up, you got up!\I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together, response:	you guys won't be able to get your wish granted anyhow.
context: I won't be beaten. Not by you.\I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow. response:	As I recall, when I took the second Dragon Ball, that is what the Namekian said.
context: I won't... be beaten...\What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said. response:	I thought he was just being a poor loser.
context: What have we here? Did you mean for that to be an attack?\N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser. response:	You guys. That is exactly what he said. You guys.
context: N- nothing is happening, huh? Have you become immortally young yet?\N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys. response:	There has to be some sort of passcode for these!
context: N- no, I do not believe so.\W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these! response:	A secret passcode to grant wishes, that only the Namekians know!
context: W- why?\Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know! response:	A password! A place! Or perhaps a way of arranging the Balls!
context: Even if you do get the Dragon Balls together,\you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls! response:	We will have to ask a Namekian for it.
context: you guys won't be able to get your wish granted anyhow.\As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it. response:	A Namekian? Are there any of them still surviving anywhere?
context: As I recall, when I took the second Dragon Ball, that is what the Namekian said.\I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere? response:	T- this reading is from Vegeta and company.
context: I thought he was just being a poor loser.\You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company. response:	It's possible that Vegeta or the others know what it is.
context: You guys. That is exactly what he said. You guys.\There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is. response:	I- in that case, I must stop my men from killing Vegeta!
context: There has to be some sort of passcode for these!\A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta! response:	Have a look at Point 8829401.
context: A secret passcode to grant wishes, that only the Namekians know!\A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401. response:	There are two readings which I believe could be Namekians.
context: A password! A place! Or perhaps a way of arranging the Balls!\We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians. response:	There is also a reading that is approaching that point.
context: We will have to ask a Namekian for it.\A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point. response:	We have not once attacked this area, so they must be survivors, yes?
context: A Namekian? Are there any of them still surviving anywhere?\T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes? response:	Well then, I will go there at once and force them to tell me how to get a wish granted.
context: T- this reading is from Vegeta and company.\It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted. response:	That will not be necessary. I will go ask them directly.
context: It's possible that Vegeta or the others know what it is.\I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly. response:	After all, I am more accustomed to dealing with these people.
context: I- in that case, I must stop my men from killing Vegeta!\Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people. response:	Ginyu- san, please stay here and keep watch over the Dragon Balls.
context: Have a look at Point 8829401.\There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls. response:	Yes, sir, understood. Please leave everything to me.
context: There are two readings which I believe could be Namekians.\There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me. response:	Now, to go flying...
context: There is also a reading that is approaching that point.\We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying... response:	I won't be beaten...
context: We have not once attacked this area, so they must be survivors, yes?\Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten... response:	G- Gohan...
context: Well then, I will go there at once and force them to tell me how to get a wish granted.\That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten...\G- Gohan... response:	I have to... defeat you guys... for Piccolo- san... Yamucha- san...
context: That will not be necessary. I will go ask them directly.\After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san... response:	Tenshinhan- san... Chaozu- san...
context: After all, I am more accustomed to dealing with these people.\Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san... response:	Or I can't bring anyone back to life!
context: Ginyu- san, please stay here and keep watch over the Dragon Balls.\Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life! response:	All right, here I come!
context: Yes, sir, understood. Please leave everything to me.\Now, to go flying...\I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come! response:	ReaCoom Bomber!!
context: Now, to go flying...\I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!! response:	Go, go, go, go, go, go, go! Go!
