context: Congratulations, Louise FranCoise. response:	I really am unworthy of such an honorary title as Chevalier.
context: We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me!\Hey! response:	You blew it all at the casino?!
context: You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me!\Hey!\You blew it all at the casino?! response:	But they said I'd end up with more for sure.
context: No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me!\Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure. response:	That's why I can't leave you alone.
context: So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me!\Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone. response:	Be quiet!
context: Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me!\Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet! response:	I'm thinking about what we should do from here.
context: Make do? What are you going to do?\Don't follow me!\Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here. response:	No choice but to bow down to the Princess and get some more, right?
context: Don't follow me!\Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right? response:	This task is one that the Princess asked as a personal favor.
context: Hey!\You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor. response:	I'm sure she had lots of trouble coming up with the money.
context: You blew it all at the casino?!\But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money. response:	You knew that, yet you wanted a horse,
context: But they said I'd end up with more for sure.\That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse, response:	and just had to sleep in an expensive inn...
context: That's why I can't leave you alone.\Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn... response:	I'm amazed you could want so much.
context: Be quiet!\I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much. response:	Because I need them.
context: I'm thinking about what we should do from here.\No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them. response:	I'm hungry.
context: No choice but to bow down to the Princess and get some more, right?\This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them.\I'm hungry. response:	Finding somewhere to sleep comes before food.
context: This task is one that the Princess asked as a personal favor.\I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food. response:	Tres bien!
context: I'm sure she had lots of trouble coming up with the money.\You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien! response:	Such a beautiful face!
context: You knew that, yet you wanted a horse,\and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face! response:	From the looks of it, you seem to be in some sort of trouble.
context: and just had to sleep in an expensive inn...\I'm amazed you could want so much.\Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble. response:	Bonjour! Bon!
context: I'm amazed you could want so much.\Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon! response:	As you can obviously see, I am nobody suspicious at all.
context: Because I need them.\I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all. response:	No, better to say you are, from the looks of it.
context: I'm hungry.\Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it. response:	I am Scarron. I run a tavern just up ahead!
context: Finding somewhere to sleep comes before food.\Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead! response:	A tavern?
context: Tres bien!\Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead!\A tavern? response:	Yes! A tavern!
context: Such a beautiful face!\From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead!\A tavern?\Yes! A tavern! response:	Would you like me to furnish you two with one of our rooms?
context: From the looks of it, you seem to be in some sort of trouble.\Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead!\A tavern?\Yes! A tavern!\Would you like me to furnish you two with one of our rooms? response:	Really?
context: Bonjour! Bon!\As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead!\A tavern?\Yes! A tavern!\Would you like me to furnish you two with one of our rooms?\Really? response:	Saito!
context: As you can obviously see, I am nobody suspicious at all.\No, better to say you are, from the looks of it.\I am Scarron. I run a tavern just up ahead!\A tavern?\Yes! A tavern!\Would you like me to furnish you two with one of our rooms?\Really?\Saito! response:	H-o-w-e-v-e-r, on one condition.
