context: Come on! Hurry up! response:	That was pathetic.
context: who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun response:	between the three of us to give them a boost!
context: On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost! response:	Instead of worrying about our opponent's order,
context: The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order, response:	we should go with an order that brings out the best in us!
context: focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us! response:	It doesn't matter who we play! We're gonna win!
context: That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win! response:	Chihaya Furu
context: Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu response:	Verse 11
context: Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard\Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11 response:	The Sky Is The Road Home
context: Then, we put Kana-chan and Desktomu-kun\between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11\The Sky Is The Road Home response:	Here is Mizusawa High School's lineup.
context: between the three of us to give them a boost!\Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup. response:	Thank you.
context: Instead of worrying about our opponent's order,\we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you. response:	Eyebrows! Eyebrows!
context: we should go with an order that brings out the best in us!\It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows! response:	Dr. Harada.
context: It doesn't matter who we play! We're gonna win!\Chihaya Furu\Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows!\Dr. Harada. response:	I heard you made it to the finals!
context: Chihaya Furu\Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals! response:	I'm so glad to hear that.
context: Verse 11\The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that. response:	Chihaya-chan must be on a roll.
context: The Sky Is The Road Home\Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll. response:	Doctor, I never knew that Chihaya could succumb to pressure.
context: Here is Mizusawa High School's lineup.\Thank you.\Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure. response:	Huh? Chihaya-chan?
context: Thank you.\Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan? response:	I chose the wrong words when I tried to stimulate her.
context: Eyebrows! Eyebrows!\Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her. response:	I didn't think she would fall apart...
context: Dr. Harada.\I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart... response:	So I need to accept that I don't even understand Chihaya,
context: I heard you made it to the finals!\I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya, response:	since I'm the president of this club.
context: I'm so glad to hear that.\Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club. response:	I'll be going then.
context: Chihaya-chan must be on a roll.\Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then. response:	This is why I can never stop watching...
context: Doctor, I never knew that Chihaya could succumb to pressure.\Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then.\This is why I can never stop watching... response:	I could spend my entire youth on karuta
context: Huh? Chihaya-chan?\I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta response:	without ever becoming better than Arata.
context: I chose the wrong words when I tried to stimulate her.\I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata. response:	Remember all the time you spent practicing your swing.
context: I didn't think she would fall apart...\So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing. response:	You've already become a different person.
context: So I need to accept that I don't even understand Chihaya,\since I'm the president of this club.\I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person. response:	You'll be fine. You can do this!
context: since I'm the president of this club.\I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this! response:	Dr. Harada.
context: I'll be going then.\This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this!\Dr. Harada. response:	I see that kid hasn't changed.
context: This is why I can never stop watching...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed. response:	Hmm?
context: I could spend my entire youth on karuta\without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed.\Hmm? response:	Retrot answer!
context: without ever becoming better than Arata.\Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed.\Hmm?\Retrot answer! response:	Mashima Nishida Chihaya Komano Oe
context: Remember all the time you spent practicing your swing.\You've already become a different person.\You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed.\Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe response:	This will be their order!
context: You've already become a different person.\You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed.\Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order! response:	So they're switching it up?
context: You'll be fine. You can do this!\Dr. Harada.\I see that kid hasn't changed.\Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up? response:	You know, does this even matter?
context: Dr. Harada.\I see that kid hasn't changed.\Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up?\You know, does this even matter? response:	They're not that strong.
context: I see that kid hasn't changed.\Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up?\You know, does this even matter?\They're not that strong. response:	Anyway, I'm playing 5.
context: Hmm?\Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up?\You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5. response:	Chihaya
context: Retrot answer!\Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up?\You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5.\Chihaya response:	Ooh, ooh, ooh!
context: Mashima Nishida Chihaya Komano Oe\This will be their order!\So they're switching it up?\You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh! response:	I'll take on 3, Mashima!
context: This will be their order!\So they're switching it up?\You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima! response:	Huh? Why's that, Retro-kun?
context: So they're switching it up?\You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun? response:	We were in the same karuta society back in grade school.
context: You know, does this even matter?\They're not that strong.\Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school. response:	He's never beaten me.
context: They're not that strong.\Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me. response:	He'll have a mental block when he faces me.
context: Anyway, I'm playing 5.\Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me. response:	Guaranteed
context: Chihaya\Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed response:	R-Really...
context: Ooh, ooh, ooh!\I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed\R-Really... response:	Then I'll assign the rest randomly.
context: I'll take on 3, Mashima!\Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed\R-Really...\Then I'll assign the rest randomly. response:	Let's just get these regionals over with already.
context: Huh? Why's that, Retro-kun?\We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed\R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already. response:	This is the year we get our revenge against Fujisaki from Shizuoka!
context: We were in the same karuta society back in grade school.\He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed\R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka! response:	We'll win every match and the national championship!
context: He's never beaten me.\He'll have a mental block when he faces me.\Guaranteed\R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship! response:	Naturally!
context: He'll have a mental block when he faces me.\Guaranteed\R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally! response:	Yeah!
context: Guaranteed\R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally!\Yeah! response:	E-Everyone, if you look too far ahead, you'll stumble.
context: R-Really...\Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble. response:	Yeah, yeah.
context: Then I'll assign the rest randomly.\Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah. response:	Submit our order for us, Teach.
context: Let's just get these regionals over with already.\This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach. response:	I'm sure you're already sick of the place,
context: This is the year we get our revenge against Fujisaki from Shizuoka!\We'll win every match and the national championship!\Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place, response:	but we'll be taking you to Omi Jingu again.
context: We'll win every match and the national championship!\Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again. response:	I will now read the lineup for the finals.
context: Naturally!\Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals. response:	Hokuo Academy, Amakasu-kun.
context: Yeah!\E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun. response:	Oh, that's me.
context: E-Everyone, if you look too far ahead, you'll stumble.\Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me. response:	Mizusawa High School, Nishida-kun.
context: Yeah, yeah.\Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun. response:	Hokuo Academy, Ryugasaki-kun.
context: Submit our order for us, Teach.\I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun. response:	Mizusawa High School, Oe-san.
context: I'm sure you're already sick of the place,\but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san. response:	Hokuo Academy, Kinashi-kun.
context: but we'll be taking you to Omi Jingu again.\I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun. response:	Yes!
context: I will now read the lineup for the finals.\Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes! response:	Huh?
context: Hokuo Academy, Amakasu-kun.\Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes!\Huh? response:	Mizusawa High School, Mashima-kun.
context: Oh, that's me.\Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes!\Huh?\Mizusawa High School, Mashima-kun. response:	Hokuo Academy, Takuma-kun.
context: Mizusawa High School, Nishida-kun.\Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes!\Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun. response:	Mizusawa High School, Komano-kun.
context: Hokuo Academy, Ryugasaki-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes!\Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun. response:	Hokuo Academy, Sudo-kun.
context: Mizusawa High School, Oe-san.\Hokuo Academy, Kinashi-kun.\Yes!\Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun. response:	Mizusawa High School, Ayase-san.
context: Hokuo Academy, Kinashi-kun.\Yes!\Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san. response:	Dead on...
context: Yes!\Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on... response:	Retrot cards are scary!
context: Huh?\Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary! response:	Good luck.
context: Mizusawa High School, Mashima-kun.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary!\Good luck. response:	G-Good luck.
