context: Don't you want to know... response:	Usotsuki na anata nakimushi no atashi
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 11 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ... response:	On that day two years ago, I was with Onee-chan.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan. response:	We were both out shopping.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping. response:	You hadn't called or texted her, so Onee-chan was feeling down all morning.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning. response:	Did you two have a fight?
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight? response:	Not really.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really. response:	You've been obsessed with your cell phone this whole time.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time. response:	It's so stupid.
context: Episode 11 ...\On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid. response:	He should just apologize already.
context: On that day two years ago, I was with Onee-chan.\We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already. response:	Yeah, I know!
context: We were both out shopping.\You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already.\Yeah, I know! response:	And that's when he drove by.
context: You hadn't called or texted her, so Onee-chan was feeling down all morning.\Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already.\Yeah, I know!\And that's when he drove by. response:	Kagawa.
context: Did you two have a fight?\Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already.\Yeah, I know!\And that's when he drove by.\Kagawa. response:	Onee-chan's ex. The worst man ever, who had a habit of beating her.
context: Not really.\You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already.\Yeah, I know!\And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her. response:	Want a ride?
context: You've been obsessed with your cell phone this whole time.\It's so stupid.\He should just apologize already.\Yeah, I know!\And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride? response:	That's quite all right.
context: It's so stupid.\He should just apologize already.\Yeah, I know!\And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right. response:	What's up with that? You're awfully cold.
context: He should just apologize already.\Yeah, I know!\And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right.\What's up with that? You're awfully cold. response:	What happened to your little boyfriend?
context: Yeah, I know!\And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend? response:	What was his name again? Yano?
context: And that's when he drove by.\Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano? response:	He left you alone on a beautiful day like this?
context: Kagawa.\Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this? response:	Mind your own business.
context: Onee-chan's ex. The worst man ever, who had a habit of beating her.\Want a ride?\That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business. response:	Nana.
context: Want a ride?\That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business.\Nana. response:	Happy birthday.
context: That's quite all right.\What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business.\Nana.\Happy birthday. response:	I had also completely forgotten.
context: What's up with that? You're awfully cold.\What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business.\Nana.\Happy birthday.\I had also completely forgotten. response:	July 29th.
context: What happened to your little boyfriend?\What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business.\Nana.\Happy birthday.\I had also completely forgotten.\July 29th. response:	It was Onee-chan's birthday.
context: What was his name again? Yano?\He left you alone on a beautiful day like this?\Mind your own business.\Nana.\Happy birthday.\I had also completely forgotten.\July 29th.\It was Onee-chan's birthday. response:	It makes sense why she was waiting for her cell phone to ring all day, doesn't it?
context: He left you alone on a beautiful day like this?\Mind your own business.\Nana.\Happy birthday.\I had also completely forgotten.\July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it? response:	Wait a second.
context: Mind your own business.\Nana.\Happy birthday.\I had also completely forgotten.\July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second. response:	She got into his car over a simple happy birthday?
context: Nana.\Happy birthday.\I had also completely forgotten.\July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday? response:	I guess she'd go all the way to his house with a Merry Christmas...
context: Happy birthday.\I had also completely forgotten.\July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas... response:	There's really no saving her.
context: I had also completely forgotten.\July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her. response:	You should've...
context: July 29th.\It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've... response:	But you were too late.
context: It was Onee-chan's birthday.\It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've...\But you were too late. response:	Do you regret it?
context: It makes sense why she was waiting for her cell phone to ring all day, doesn't it?\Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've...\But you were too late.\Do you regret it? response:	You tried calling her...
context: Wait a second.\She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've...\But you were too late.\Do you regret it?\You tried calling her... response:	I'm sorry?
context: She got into his car over a simple happy birthday?\I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've...\But you were too late.\Do you regret it?\You tried calling her...\I'm sorry? response:	Of all the things she left behind, I checked Onee-chan's cell phone.
context: I guess she'd go all the way to his house with a Merry Christmas...\There's really no saving her.\You should've...\But you were too late.\Do you regret it?\You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone. response:	I guess you didn't want to text her.
context: There's really no saving her.\You should've...\But you were too late.\Do you regret it?\You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her. response:	Important things should be spoken out loud, I suppose.
context: You should've...\But you were too late.\Do you regret it?\You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose. response:	You must've wanted to apologize, right?
context: But you were too late.\Do you regret it?\You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right? response:	But unfortunately, she didn't pick up.
context: Do you regret it?\You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up. response:	You called at 4:15 PM.
context: You tried calling her...\I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM. response:	Conveniently, that was when she was out driving with Kagawa.
context: I'm sorry?\Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa. response:	Onee-chan's accident was at 4:38 PM.
context: Of all the things she left behind, I checked Onee-chan's cell phone.\I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM. response:	Who knows why Onee-chan didn't pick up the phone.
context: I guess you didn't want to text her.\Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone. response:	Stop it.
context: Important things should be spoken out loud, I suppose.\You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it. response:	Stop it...
context: You must've wanted to apologize, right?\But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it... response:	Why are you telling Yano this sort of stuff now?
context: But unfortunately, she didn't pick up.\You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it...\Why are you telling Yano this sort of stuff now? response:	Why did you decide to finally come tell him something from two years ago now?
context: You called at 4:15 PM.\Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now? response:	Takahashi.
context: Conveniently, that was when she was out driving with Kagawa.\Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi. response:	Why are you trying to confuse him with all of this stuff?
context: Onee-chan's accident was at 4:38 PM.\Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff? response:	What are you trying to get out of this, Yamamoto-san?
context: Who knows why Onee-chan didn't pick up the phone.\Stop it.\Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san? response:	Don't worry about it, go back inside.
context: Stop it.\Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside. response:	I have to worry.
context: Stop it...\Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry. response:	I'll be fine.
context: Why are you telling Yano this sort of stuff now?\Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry.\I'll be fine. response:	Yeah, don't worry.
context: Why did you decide to finally come tell him something from two years ago now?\Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry.\I'll be fine.\Yeah, don't worry. response:	There's nothing to worry about.
context: Takahashi.\Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry.\I'll be fine.\Yeah, don't worry.\There's nothing to worry about. response:	Not a single thing happened.
context: Why are you trying to confuse him with all of this stuff?\What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry.\I'll be fine.\Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened. response:	So relax and go back inside like a good girl, Takahashi-san.
context: What are you trying to get out of this, Yamamoto-san?\Don't worry about it, go back inside.\I have to worry.\I'll be fine.\Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san. response:	This all happened in the past.
context: Don't worry about it, go back inside.\I have to worry.\I'll be fine.\Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past. response:	It has nothing to do with you at all.
context: I have to worry.\I'll be fine.\Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all. response:	Yano...?
context: I'll be fine.\Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all.\Yano...? response:	What are you trying to do?
context: Yeah, don't worry.\There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all.\Yano...?\What are you trying to do? response:	Some kind of revenge?
context: There's nothing to worry about.\Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all.\Yano...?\What are you trying to do?\Some kind of revenge? response:	Harassment?
context: Not a single thing happened.\So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all.\Yano...?\What are you trying to do?\Some kind of revenge?\Harassment? response:	Are you saying it's my fault she was riding in his car?!
context: So relax and go back inside like a good girl, Takahashi-san.\This all happened in the past.\It has nothing to do with you at all.\Yano...?\What are you trying to do?\Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?! response:	You're saying I'm cold-hearted for not going to the funeral?!
context: This all happened in the past.\It has nothing to do with you at all.\Yano...?\What are you trying to do?\Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?! response:	Is it because I wasn't with her on her birthday?
context: It has nothing to do with you at all.\Yano...?\What are you trying to do?\Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday? response:	In that case, tell me why she didn't answer her phone!
context: Yano...?\What are you trying to do?\Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone! response:	She couldn't pick it up because she was with Kagawa?
context: What are you trying to do?\Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa? response:	She got what she deserved!
context: Some kind of revenge?\Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved! response:	Yano?
context: Harassment?\Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano? response:	That's a pretty rude way of speaking about the dead.
context: Are you saying it's my fault she was riding in his car?!\You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead. response:	Just because she's dead doesn't mean her sins have gotten lighter.
context: You're saying I'm cold-hearted for not going to the funeral?!\Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter. response:	Even after she started going out with me, she was never through with Kagawa.
context: Is it because I wasn't with her on her birthday?\In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa. response:	I can't hear anything.
context: In that case, tell me why she didn't answer her phone!\She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything. response:	Then, what about your sin?
context: She couldn't pick it up because she was with Kagawa?\She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin? response:	What about...
context: She got what she deserved!\Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin?\What about... response:	Have you forgotten about that day two years ago?
context: Yano?\That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin?\What about...\Have you forgotten about that day two years ago? response:	That day, two years ago...
context: That's a pretty rude way of speaking about the dead.\Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin?\What about...\Have you forgotten about that day two years ago?\That day, two years ago... response:	Yano, what are you doing?
context: Just because she's dead doesn't mean her sins have gotten lighter.\Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin?\What about...\Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing? response:	If we don't hurry, Mom will come back.
context: Even after she started going out with me, she was never through with Kagawa.\I can't hear anything.\Then, what about your sin?\What about...\Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back. response:	There was a cat.
context: I can't hear anything.\Then, what about your sin?\What about...\Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat. response:	A cat?
context: Then, what about your sin?\What about...\Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat.\A cat? response:	A black cat. A really small one.
context: What about...\Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat.\A cat?\A black cat. A really small one. response:	Today's... Friday, right?
context: Have you forgotten about that day two years ago?\That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat.\A cat?\A black cat. A really small one.\Today's... Friday, right? response:	Black cats are bad luck when they cross your path.
context: That day, two years ago...\Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat.\A cat?\A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path. response:	Hurry up.
context: Yano, what are you doing?\If we don't hurry, Mom will come back.\There was a cat.\A cat?\A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up. response:	What is it?
context: If we don't hurry, Mom will come back.\There was a cat.\A cat?\A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up.\What is it? response:	It's nothing...
context: There was a cat.\A cat?\A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up.\What is it?\It's nothing... response:	Just tell me already.
context: A cat?\A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up.\What is it?\It's nothing...\Just tell me already. response:	You've been like this the whole time.
context: A black cat. A really small one.\Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up.\What is it?\It's nothing...\Just tell me already.\You've been like this the whole time. response:	Isn't this your first time?
context: Today's... Friday, right?\Black cats are bad luck when they cross your path.\Hurry up.\What is it?\It's nothing...\Just tell me already.\You've been like this the whole time.\Isn't this your first time? response:	It is.
context: Black cats are bad luck when they cross your path.\Hurry up.\What is it?\It's nothing...\Just tell me already.\You've been like this the whole time.\Isn't this your first time?\It is. response:	Did you get cold feet or something?
