context: My name is Shippo. response:	I'm a baby fox-demon of justice!
context: If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange...\What is? response:	If the Raiju Tribe wanted revenge,
context: Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange...\What is?\If the Raiju Tribe wanted revenge, response:	their enemy shouldn't be you, Shippo...
context: Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange...\What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo... response:	But Inuyasha who actually fought the brothers.
context: Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange...\What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers. response:	That's right!
context: I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange...\What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right! response:	Well, that's probably because Inuyasha is a half-demon...
context: Hey you! Don't read my letter!\But it's strange...\What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon... response:	and not good enough for the Raiju Tribe.
context: But it's strange...\What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe. response:	What?!
context: What is?\If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?! response:	What will you do?
context: If the Raiju Tribe wanted revenge,\their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?!\What will you do? response:	Will you fight this Soten?
context: their enemy shouldn't be you, Shippo...\But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?!\What will you do?\Will you fight this Soten? response:	Can't be helped.
context: But Inuyasha who actually fought the brothers.\That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?!\What will you do?\Will you fight this Soten?\Can't be helped. response:	If I avenged my pa's death,
context: That's right!\Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?!\What will you do?\Will you fight this Soten?\Can't be helped.\If I avenged my pa's death, response:	someone will come after me in vengeance.
context: Well, that's probably because Inuyasha is a half-demon...\and not good enough for the Raiju Tribe.\What?!\What will you do?\Will you fight this Soten?\Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance. response:	That's the fate of fighters.
context: and not good enough for the Raiju Tribe.\What?!\What will you do?\Will you fight this Soten?\Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters. response:	What?!
context: What?!\What will you do?\Will you fight this Soten?\Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters.\What?! response:	Do you want us to help you? We'll make it real cheap.
context: What will you do?\Will you fight this Soten?\Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap. response:	Feel free to ask.
context: Will you fight this Soten?\Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask. response:	All I want in payment is an introduction to a pretty girl.
context: Can't be helped.\If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl. response:	You two!
context: If I avenged my pa's death,\someone will come after me in vengeance.\That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two! response:	Don't worry!
context: someone will come after me in vengeance.\That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two!\Don't worry! response:	I can handle the Raiju Tribe!
context: That's the fate of fighters.\What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two!\Don't worry!\I can handle the Raiju Tribe! response:	That's the valley where the Thunder Brothers lived.
context: What?!\Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two!\Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived. response:	That's no ordinary miasma.
context: Do you want us to help you? We'll make it real cheap.\Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two!\Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma. response:	Yeah... That's one place where the weather always sucks.
context: Feel free to ask.\All I want in payment is an introduction to a pretty girl.\You two!\Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks. response:	Shippo, don't be proud. Ask them for help.
context: All I want in payment is an introduction to a pretty girl.\You two!\Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help. response:	No!
context: You two!\Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No! response:	If I did, my honor as the recipient of the challenge would be damaged!
context: Don't worry!\I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged! response:	Boo!
context: I can handle the Raiju Tribe!\That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo! response:	You talk big, but you're scared already!
context: That's the valley where the Thunder Brothers lived.\That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already! response:	- Oh dear... - This is bad.
context: That's no ordinary miasma.\Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad. response:	- Think so. - Me too.
context: Yeah... That's one place where the weather always sucks.\Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too. response:	What are you writing, Soten?
context: Shippo, don't be proud. Ask them for help.\No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten? response:	Koryu...
context: No!\If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten?\Koryu... response:	Stop waffling, and come here!
context: If I did, my honor as the recipient of the challenge would be damaged!\Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten?\Koryu...\Stop waffling, and come here! response:	Yes!
context: Boo!\You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten?\Koryu...\Stop waffling, and come here!\Yes! response:	This is our strategy.
context: You talk big, but you're scared already!\- Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten?\Koryu...\Stop waffling, and come here!\Yes!\This is our strategy. response:	Memorize it well.
context: - Oh dear... - This is bad.\- Think so. - Me too.\What are you writing, Soten?\Koryu...\Stop waffling, and come here!\Yes!\This is our strategy.\Memorize it well. response:	Strategy?
context: - Think so. - Me too.\What are you writing, Soten?\Koryu...\Stop waffling, and come here!\Yes!\This is our strategy.\Memorize it well.\Strategy? response:	Aren't you going to fight fair and square?
context: What are you writing, Soten?\Koryu...\Stop waffling, and come here!\Yes!\This is our strategy.\Memorize it well.\Strategy?\Aren't you going to fight fair and square? response:	Do you think a pretty child like me has a chance against those ruffians?!
context: Koryu...\Stop waffling, and come here!\Yes!\This is our strategy.\Memorize it well.\Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?! response:	Well, that's true...
context: Stop waffling, and come here!\Yes!\This is our strategy.\Memorize it well.\Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true... response:	This monk named Miroku has a Wind Tunnel that sucks up everything!
context: Yes!\This is our strategy.\Memorize it well.\Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything! response:	This Sango is an expert Demon Slayer!
context: This is our strategy.\Memorize it well.\Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer! response:	Furthermore, she has a demon cat named Kirara.
context: Memorize it well.\Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara. response:	I know that. Since I'm the one that researched it all.
context: Strategy?\Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all. response:	On top of that, this Inuyasha and Kagome duo are even worse!
context: Aren't you going to fight fair and square?\Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse! response:	How many demons do you think have fallen at their feet?
context: Do you think a pretty child like me has a chance against those ruffians?!\Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet? response:	If I fought fair and square, I would not live through this!
context: Well, that's true...\This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this! response:	That would mean the absolute extinction of the Raiju Tribe!
context: This monk named Miroku has a Wind Tunnel that sucks up everything!\This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe! response:	Then...
context: This Sango is an expert Demon Slayer!\Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then... response:	- Isn't it better to just live peacefully? - No!
context: Furthermore, she has a demon cat named Kirara.\I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No! response:	They are my hated enemies!
context: I know that. Since I'm the one that researched it all.\On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies! response:	I must get Shippo, at least!
context: On top of that, this Inuyasha and Kagome duo are even worse!\How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least! response:	Oh dear...
context: How many demons do you think have fallen at their feet?\If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least!\Oh dear... response:	Stop complaining and put this plan into action!
context: If I fought fair and square, I would not live through this!\That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action! response:	They are already nearby!
context: That would mean the absolute extinction of the Raiju Tribe!\Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action!\They are already nearby! response:	All right!
context: Then...\- Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action!\They are already nearby!\All right! response:	Shippo... You! Stop stalling like that!
context: - Isn't it better to just live peacefully? - No!\They are my hated enemies!\I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action!\They are already nearby!\All right!\Shippo... You! Stop stalling like that! response:	Hey, calm down.
context: They are my hated enemies!\I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action!\They are already nearby!\All right!\Shippo... You! Stop stalling like that!\Hey, calm down. response:	But Shippo, at this rate, you won't make it by sundown.
context: I must get Shippo, at least!\Oh dear...\Stop complaining and put this plan into action!\They are already nearby!\All right!\Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown. response:	Didn't it say so in the letter?
context: Oh dear...\Stop complaining and put this plan into action!\They are already nearby!\All right!\Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter? response:	That's right! The challenge!
context: Stop complaining and put this plan into action!\They are already nearby!\All right!\Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge! response:	Say Kagome...
context: They are already nearby!\All right!\Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge!\Say Kagome... response:	Yes?
context: All right!\Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge!\Say Kagome...\Yes? response:	This is ONLY read as Shippo?
context: Shippo... You! Stop stalling like that!\Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge!\Say Kagome...\Yes?\This is ONLY read as Shippo? response:	Yes.
context: Hey, calm down.\But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge!\Say Kagome...\Yes?\This is ONLY read as Shippo?\Yes. response:	There's no other reading? For example, Inuyasha?
context: But Shippo, at this rate, you won't make it by sundown.\Didn't it say so in the letter?\That's right! The challenge!\Say Kagome...\Yes?\This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha? response:	You! Can't you even read your own name?
context: Didn't it say so in the letter?\That's right! The challenge!\Say Kagome...\Yes?\This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name? response:	Don't tease me! I was just checking!
context: That's right! The challenge!\Say Kagome...\Yes?\This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking! response:	Yes, it's me! It's a letter challenging me!
context: Say Kagome...\Yes?\This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me! response:	Just wait, Soten! I'm coming!
context: Yes?\This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming! response:	Shippo... You're not making any progress.
context: This is ONLY read as Shippo?\Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress. response:	I can't stand it any longer!
context: Yes.\There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer! response:	l-Inuyasha!
context: There's no other reading? For example, Inuyasha?\You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha! response:	All right, everyone!
context: You! Can't you even read your own name?\Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha!\All right, everyone! response:	I really don't need any help this time!
context: Don't tease me! I was just checking!\Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha!\All right, everyone!\I really don't need any help this time! response:	Who'd help! Hurry it up!
context: Yes, it's me! It's a letter challenging me!\Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha!\All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up! response:	Inuyasha!
context: Just wait, Soten! I'm coming!\Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha!\All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha! response:	The opponent is a member of the dreaded Raiju Tribe!
context: Shippo... You're not making any progress.\I can't stand it any longer!\l-Inuyasha!\All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe! response:	Kagome, you can take shelter somewhere safe.
context: I can't stand it any longer!\l-Inuyasha!\All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe. response:	All right.
context: l-Inuyasha!\All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right. response:	You too, Sango and Miroku!
context: All right, everyone!\I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku! response:	He really wants help.
context: I really don't need any help this time!\Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku!\He really wants help. response:	I think so.
context: Who'd help! Hurry it up!\Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku!\He really wants help.\I think so. response:	Why doesn't he just come out and ask?
context: Inuyasha!\The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku!\He really wants help.\I think so.\Why doesn't he just come out and ask? response:	First, we separate Shippo from the others with a boulder.
context: The opponent is a member of the dreaded Raiju Tribe!\Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku!\He really wants help.\I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder. response:	Kagome!
context: Kagome, you can take shelter somewhere safe.\All right.\You too, Sango and Miroku!\He really wants help.\I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome! response:	Shippo!
context: All right.\You too, Sango and Miroku!\He really wants help.\I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome!\Shippo! response:	What's he doing?!
context: You too, Sango and Miroku!\He really wants help.\I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome!\Shippo!\What's he doing?! response:	Nooo!
context: He really wants help.\I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome!\Shippo!\What's he doing?!\Nooo! response:	It went well, Soten!
context: I think so.\Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome!\Shippo!\What's he doing?!\Nooo!\It went well, Soten! response:	Ohhh yes! I forgot! Change!
