context: Okay! response:	I'm off!
context: You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not. response:	We'll just be losing our only means of defense.
context: How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense. response:	I got lost! This place is too big!
context: You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big! response:	Mr. Tadokoro! You need to hear me out!
context: Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out! response:	Muginami is my
context: that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my response:	All right. That's enough.
context: Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough. response:	That's enough?
context: Do you think the enemy will leave Earth peacefully?\Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough.\That's enough? response:	Ms. Watabe, please find a safe area on the sea that is suitable for battle.
context: Of course not.\We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle. response:	We'll head there once all civilian personnel have been evacuated from this ship.
context: We'll just be losing our only means of defense.\I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship. response:	I'm on it.
context: I got lost! This place is too big!\Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it. response:	James, report the situation to every branch of the Foundation.
context: Mr. Tadokoro! You need to hear me out!\Muginami is my\All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation. response:	Coordinate with them to make absolutely sure
context: Muginami is my\All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure response:	no ship or aircraft enters the airspace where the fighting will take place.
context: All right. That's enough.\That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place. response:	Roger!
context: That's enough?\Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger! response:	Uehara...
context: Ms. Watabe, please find a safe area on the sea that is suitable for battle.\We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara... response:	Hurry and complete final checks on both Vox units
context: We'll head there once all civilian personnel have been evacuated from this ship.\I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara...\Hurry and complete final checks on both Vox units response:	so that Kyono and Laffinty can fly at any time.
context: I'm on it.\James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time. response:	Roger!
context: James, report the situation to every branch of the Foundation.\Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger! response:	Don't just stand there.
context: Coordinate with them to make absolutely sure\no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there. response:	Huh?
context: no ship or aircraft enters the airspace where the fighting will take place.\Roger!\Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there.\Huh? response:	We're going to fight to the bitter end!
context: Roger!\Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there.\Huh?\We're going to fight to the bitter end! response:	Perfect!
context: Uehara...\Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there.\Huh?\We're going to fight to the bitter end!\Perfect! response:	Let's go, Lan!
context: Hurry and complete final checks on both Vox units\so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there.\Huh?\We're going to fight to the bitter end!\Perfect!\Let's go, Lan! response:	I'm sure you understand,
context: so that Kyono and Laffinty can fly at any time.\Roger!\Don't just stand there.\Huh?\We're going to fight to the bitter end!\Perfect!\Let's go, Lan!\I'm sure you understand, response:	but this doesn't mean you may attack immediately.
context: Roger!\Don't just stand there.\Huh?\We're going to fight to the bitter end!\Perfect!\Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately. response:	Woof.
context: Don't just stand there.\Huh?\We're going to fight to the bitter end!\Perfect!\Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof. response:	I'm leaving the rest to you.
context: Huh?\We're going to fight to the bitter end!\Perfect!\Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you. response:	Yes sir!
context: We're going to fight to the bitter end!\Perfect!\Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you.\Yes sir! response:	Get revenge?
context: Perfect!\Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you.\Yes sir!\Get revenge? response:	That's what this email from Dad says.
context: Let's go, Lan!\I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you.\Yes sir!\Get revenge?\That's what this email from Dad says. response:	What's wrong?
context: I'm sure you understand,\but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you.\Yes sir!\Get revenge?\That's what this email from Dad says.\What's wrong? response:	No, never mind. It's nothing.
context: but this doesn't mean you may attack immediately.\Woof.\I'm leaving the rest to you.\Yes sir!\Get revenge?\That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing. response:	I don't understand this guy Villagiulio.
context: Woof.\I'm leaving the rest to you.\Yes sir!\Get revenge?\That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio. response:	What do you mean?
context: I'm leaving the rest to you.\Yes sir!\Get revenge?\That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean? response:	Why did he bother to come all the way here?
context: Yes sir!\Get revenge?\That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here? response:	Oh, now that you mention it...
context: Get revenge?\That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it... response:	Ta-dah!
context: That's what this email from Dad says.\What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah! response:	What is that?
context: What's wrong?\No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah!\What is that? response:	Let's drink it
context: No, never mind. It's nothing.\I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah!\What is that?\Let's drink it response:	and find out!
context: I don't understand this guy Villagiulio.\What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah!\What is that?\Let's drink it\and find out! response:	Hey, what's the big idea?!
context: What do you mean?\Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah!\What is that?\Let's drink it\and find out!\Hey, what's the big idea?! response:	It's so good!
context: Why did he bother to come all the way here?\Oh, now that you mention it...\Ta-dah!\What is that?\Let's drink it\and find out!\Hey, what's the big idea?!\It's so good! response:	Try some. It hits the spot!
context: Oh, now that you mention it...\Ta-dah!\What is that?\Let's drink it\and find out!\Hey, what's the big idea?!\It's so good!\Try some. It hits the spot! response:	No, I think I'll...
context: Ta-dah!\What is that?\Let's drink it\and find out!\Hey, what's the big idea?!\It's so good!\Try some. It hits the spot!\No, I think I'll... response:	Then I'll try some.
context: What is that?\Let's drink it\and find out!\Hey, what's the big idea?!\It's so good!\Try some. It hits the spot!\No, I think I'll...\Then I'll try some. response:	It's important to try stuff like this
context: Let's drink it\and find out!\Hey, what's the big idea?!\It's so good!\Try some. It hits the spot!\No, I think I'll...\Then I'll try some.\It's important to try stuff like this response:	so you can get to know your enemy.
context: and find out!\Hey, what's the big idea?!\It's so good!\Try some. It hits the spot!\No, I think I'll...\Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy. response:	Kirius!
context: Hey, what's the big idea?!\It's so good!\Try some. It hits the spot!\No, I think I'll...\Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy.\Kirius! response:	It tastes pleasant and refreshing at first.
context: It's so good!\Try some. It hits the spot!\No, I think I'll...\Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first. response:	But the moment it hits your stomach,
context: Try some. It hits the spot!\No, I think I'll...\Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach, response:	this overpowering sweetness hits.
context: No, I think I'll...\Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits. response:	I was right, Izo.
context: Then I'll try some.\It's important to try stuff like this\so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo. response:	This planet cannot be underestimated!
context: It's important to try stuff like this\so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated! response:	Man, you're so dramatic.
context: so you can get to know your enemy.\Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic. response:	It's pretty good, isn't it?
context: Kirius!\It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it? response:	Hey, what did you go down there for anyway?
context: It tastes pleasant and refreshing at first.\But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway? response:	Two more hours'til dawn.
context: But the moment it hits your stomach,\this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn. response:	You'll find out then.
context: this overpowering sweetness hits.\I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then. response:	What time is it?
context: I was right, Izo.\This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then.\What time is it? response:	Rest while you can or your body won't hold up.
context: This planet cannot be underestimated!\Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then.\What time is it?\Rest while you can or your body won't hold up. response:	I'll be just fine!
context: Man, you're so dramatic.\It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then.\What time is it?\Rest while you can or your body won't hold up.\I'll be just fine! response:	I'm fully charged with Energy!
context: It's pretty good, isn't it?\Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then.\What time is it?\Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy! response:	Do you think she's all right?
context: Hey, what did you go down there for anyway?\Two more hours'til dawn.\You'll find out then.\What time is it?\Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right? response:	You mean Muginami?
context: Two more hours'til dawn.\You'll find out then.\What time is it?\Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami? response:	Well, knowing her,
context: You'll find out then.\What time is it?\Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami?\Well, knowing her, response:	I'm sure she won't let something like that get to her...
context: What time is it?\Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her... response:	Of course it would! It would get to anyone!
context: Rest while you can or your body won't hold up.\I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone! response:	I guess you're right.
context: I'll be just fine!\I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right. response:	Anyone would react that way after being told such a horrible thing.
context: I'm fully charged with Energy!\Do you think she's all right?\You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing. response:	He didn't use to be like that.
context: Do you think she's all right?\You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that. response:	He was so noble
context: You mean Muginami?\Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble response:	and caring.
context: Well, knowing her,\I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble\and caring. response:	The past doesn't matter!
context: I'm sure she won't let something like that get to her...\Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble\and caring.\The past doesn't matter! response:	After all, I don't know about that Giuvigiuvi's past!
context: Of course it would! It would get to anyone!\I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble\and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past! response:	Yes... You're right, Madoka.
context: I guess you're right.\Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble\and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka. response:	Right now, I have every reason to fight him!
context: Anyone would react that way after being told such a horrible thing.\He didn't use to be like that.\He was so noble\and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him! response:	Let's kick his butt!
context: He didn't use to be like that.\He was so noble\and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt! response:	Then... here!
context: He was so noble\and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt!\Then... here! response:	Let's get fully charged!
context: and caring.\The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt!\Then... here!\Let's get fully charged! response:	Thank you.
