context: A NETFLIX ORIGINAL SERIES response:	Then can I assign this job to you, Cattleya?
context: And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria. response:	We're shipping out.
context: I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria.\We're shipping out. response:	The request envelope is gone!
context: It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria.\We're shipping out.\The request envelope is gone! response:	What? The one that you were going to cancel?
context: I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria.\We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel? response:	Where's Violet?
context: because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria.\We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet? response:	She left this morning saying she had a job.
context: But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE\Maria.\We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job. response:	I think she mentioned Ctrigall.
context: CTRIGALL, CAMP MENACE\Maria.\We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall. response:	That will take about a week one way.
context: Maria.\We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way. response:	Oh, no.
context: We're shipping out.\The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no. response:	You're asking me to do the impossible here.
context: The request envelope is gone!\What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no.\You're asking me to do the impossible here. response:	Please.
context: What? The one that you were going to cancel?\Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no.\You're asking me to do the impossible here.\Please. response:	Like I said, it's outside our delivery area.
context: Where's Violet?\She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no.\You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area. response:	What's all the ruckus?
context: She left this morning saying she had a job.\I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no.\You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area.\What's all the ruckus? response:	Boss,
context: I think she mentioned Ctrigall.\That will take about a week one way.\Oh, no.\You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area.\What's all the ruckus?\Boss, response:	this woman wants us to deliver her to this location.
context: That will take about a week one way.\Oh, no.\You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area.\What's all the ruckus?\Boss,\this woman wants us to deliver her to this location. response:	Camp Menace?
context: Oh, no.\You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area.\What's all the ruckus?\Boss,\this woman wants us to deliver her to this location.\Camp Menace? response:	And you came from Leidenschaftlich?
context: You're asking me to do the impossible here.\Please.\Like I said, it's outside our delivery area.\What's all the ruckus?\Boss,\this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich? response:	That explains why you're dressed so lightly.
context: Please.\Like I said, it's outside our delivery area.\What's all the ruckus?\Boss,\this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly. response:	Listen up, young lady.
context: Like I said, it's outside our delivery area.\What's all the ruckus?\Boss,\this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady. response:	This is Camp Menace, where you want us to deliver you.
context: What's all the ruckus?\Boss,\this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you. response:	And over here is a refugee camp.
context: Boss,\this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp. response:	Or rather, there used to be.
context: this woman wants us to deliver her to this location.\Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be. response:	Did they escape?
context: Camp Menace?\And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be.\Did they escape? response:	Apparently, they had some outside help.
context: And you came from Leidenschaftlich?\That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be.\Did they escape?\Apparently, they had some outside help. response:	There's a faction in our country who wants to go back to war.
context: That explains why you're dressed so lightly.\Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be.\Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war. response:	And because they handed weapons to the Gardarik refugees in the camp,
context: Listen up, young lady.\This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be.\Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp, response:	everything became a mess, and now we're in a civil war.
context: This is Camp Menace, where you want us to deliver you.\And over here is a refugee camp.\Or rather, there used to be.\Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war. response:	Camp Menace is holding on as our last bastion of defense,
context: And over here is a refugee camp.\Or rather, there used to be.\Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense, response:	but the surrounding roads are being blockaded, cutting off reinforcements.
context: Or rather, there used to be.\Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements. response:	Did you get it?
context: Did they escape?\Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it? response:	The place you want us to deliver you to is a genuine battlefield.
context: Apparently, they had some outside help.\There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield. response:	But that is precisely why.
context: There's a faction in our country who wants to go back to war.\And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why. response:	The soldiers stationed over there have messages they'd like to send.
context: And because they handed weapons to the Gardarik refugees in the camp,\everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send. response:	I get what you're saying,
context: everything became a mess, and now we're in a civil war.\Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying, response:	but not even an ant could get near that base.
context: Camp Menace is holding on as our last bastion of defense,\but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base. response:	No.
context: but the surrounding roads are being blockaded, cutting off reinforcements.\Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base.\No. response:	This mountain here is very high and difficult to climb by foot.
context: Did you get it?\The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot. response:	Which means that neither army should be watching it.
context: The place you want us to deliver you to is a genuine battlefield.\But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it. response:	But going over that mountain is...
context: But that is precisely why.\The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is... response:	It is possible.
context: The soldiers stationed over there have messages they'd like to send.\I get what you're saying,\but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is...\It is possible. response:	All it takes is an airplane and an excellent pilot.
context: I get what you're saying,\but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot. response:	No way.
context: but not even an ant could get near that base.\No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot.\No way. response:	Even if we made it there, you'd have to be dropped in from above.
context: No.\This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above. response:	You've got guts, young lady. I like you.
context: This mountain here is very high and difficult to climb by foot.\Which means that neither army should be watching it.\But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you. response:	I see. So, you're a Doll.
context: Which means that neither army should be watching it.\But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll. response:	Yes. I will travel anywhere to meet your request.
context: But going over that mountain is...\It is possible.\All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request. response:	In that case, a postman is a person who will deliver anything anywhere!
context: It is possible.\All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere! response:	Hey. You know they're almost done building the transcontinental railroad, right?
context: All it takes is an airplane and an excellent pilot.\No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right? response:	Yeah.
context: No way.\Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah. response:	Then we'd be able to get to the south in no time.
context: Even if we made it there, you'd have to be dropped in from above.\You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time. response:	They say all the girls down there are cute.
context: You've got guts, young lady. I like you.\I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute. response:	And soon we'll get shipments of their delicious food.
context: I see. So, you're a Doll.\Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food. response:	The south?
context: Yes. I will travel anywhere to meet your request.\In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south? response:	-Hey, Yale. -Yes, sir!
context: In that case, a postman is a person who will deliver anything anywhere!\Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir! response:	Send a message to the company commander.
context: Hey. You know they're almost done building the transcontinental railroad, right?\Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander. response:	The Second Platoon will be taking a detour from here.
context: Yeah.\Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here. response:	Yes, sir! Understood!
context: Then we'd be able to get to the south in no time.\They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood! response:	Our estimated time of arrival-
context: They say all the girls down there are cute.\And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival- response:	Master Sergeant! Yale!
context: And soon we'll get shipments of their delicious food.\The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale! response:	It's an enemy ambush!
context: The south?\-Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush! response:	Damn it! Those bastards!
context: -Hey, Yale. -Yes, sir!\Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards! response:	Get down!
context: Send a message to the company commander.\The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards!\Get down! response:	Damn it.
context: The Second Platoon will be taking a detour from here.\Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards!\Get down!\Damn it. response:	Damn it!
context: Yes, sir! Understood!\Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards!\Get down!\Damn it.\Damn it! response:	Aidan.
context: Our estimated time of arrival-\Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards!\Get down!\Damn it.\Damn it!\Aidan. response:	Please. Don't leave me.
context: Master Sergeant! Yale!\It's an enemy ambush!\Damn it! Those bastards!\Get down!\Damn it.\Damn it!\Aidan.\Please. Don't leave me. response:	I'm not leaving you behind!
context: It's an enemy ambush!\Damn it! Those bastards!\Get down!\Damn it.\Damn it!\Aidan.\Please. Don't leave me.\I'm not leaving you behind! response:	We're going to get through this.
context: Damn it! Those bastards!\Get down!\Damn it.\Damn it!\Aidan.\Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this. response:	I don't want to die. I don't want to die.
context: Get down!\Damn it.\Damn it!\Aidan.\Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die. response:	I don't want to die either!
context: Damn it.\Damn it!\Aidan.\Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either! response:	No,
context: Damn it!\Aidan.\Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either!\No, response:	Aidan.
context: Aidan.\Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either!\No,\Aidan. response:	Don't leave me.
context: Please. Don't leave me.\I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either!\No,\Aidan.\Don't leave me. response:	Yale!
context: I'm not leaving you behind!\We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either!\No,\Aidan.\Don't leave me.\Yale! response:	Yale.
context: We're going to get through this.\I don't want to die. I don't want to die.\I don't want to die either!\No,\Aidan.\Don't leave me.\Yale!\Yale. response:	No!
context: I don't want to die. I don't want to die.\I don't want to die either!\No,\Aidan.\Don't leave me.\Yale!\Yale.\No! response:	No!
context: I don't want to die either!\No,\Aidan.\Don't leave me.\Yale!\Yale.\No!\No! response:	I don't want to die!
context: No,\Aidan.\Don't leave me.\Yale!\Yale.\No!\No!\I don't want to die! response:	I'm going to make it home!
context: Aidan.\Don't leave me.\Yale!\Yale.\No!\No!\I don't want to die!\I'm going to make it home! response:	Maria!
context: Don't leave me.\Yale!\Yale.\No!\No!\I don't want to die!\I'm going to make it home!\Maria! response:	I'm going to make it home.
context: Yale!\Yale.\No!\No!\I don't want to die!\I'm going to make it home!\Maria!\I'm going to make it home. response:	It's a battlefield.
context: Yale.\No!\No!\I don't want to die!\I'm going to make it home!\Maria!\I'm going to make it home.\It's a battlefield. response:	Camp Menace has fallen.
context: No!\No!\I don't want to die!\I'm going to make it home!\Maria!\I'm going to make it home.\It's a battlefield.\Camp Menace has fallen. response:	No way you can go down there now. We're heading back.
context: No!\I don't want to die!\I'm going to make it home!\Maria!\I'm going to make it home.\It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back. response:	God, the Ctrigall Army is so pathetic.
context: I don't want to die!\I'm going to make it home!\Maria!\I'm going to make it home.\It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic. response:	That's because the moderates are a bunch of cowards.
context: I'm going to make it home!\Maria!\I'm going to make it home.\It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards. response:	That's why it's necessary for us to lead them again.
context: Maria!\I'm going to make it home.\It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again. response:	Shall we continue our hunt then?
context: I'm going to make it home.\It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then? response:	A plane? That's not ours.
context: It's a battlefield.\Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours. response:	A child?
context: Camp Menace has fallen.\No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours.\A child? response:	Fire!
context: No way you can go down there now. We're heading back.\God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours.\A child?\Fire! response:	Stop.
context: God, the Ctrigall Army is so pathetic.\That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours.\A child?\Fire!\Stop. response:	I know who you are.
context: That's because the moderates are a bunch of cowards.\That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours.\A child?\Fire!\Stop.\I know who you are. response:	You're the soldier maiden of Leidenschaftlich.
context: That's why it's necessary for us to lead them again.\Shall we continue our hunt then?\A plane? That's not ours.\A child?\Fire!\Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich. response:	Why are you here?
context: Shall we continue our hunt then?\A plane? That's not ours.\A child?\Fire!\Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here? response:	I am very sorry, but would you please stand down?
context: A plane? That's not ours.\A child?\Fire!\Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down? response:	Okay, okay.
context: A child?\Fire!\Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down?\Okay, okay. response:	Let's go. We're no match for her.
context: Fire!\Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down?\Okay, okay.\Let's go. We're no match for her. response:	Are you Mr. Aidan Field?
context: Stop.\I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down?\Okay, okay.\Let's go. We're no match for her.\Are you Mr. Aidan Field? response:	H- How do you know about me?
context: I know who you are.\You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down?\Okay, okay.\Let's go. We're no match for her.\Are you Mr. Aidan Field?\H- How do you know about me? response:	I am sorry to keep you waiting, sir.
context: You're the soldier maiden of Leidenschaftlich.\Why are you here?\I am very sorry, but would you please stand down?\Okay, okay.\Let's go. We're no match for her.\Are you Mr. Aidan Field?\H- How do you know about me?\I am sorry to keep you waiting, sir. response:	Aren't you going to play?
