context: Miyazawa Yukino's mornings begin early. response:	And are just as methodical as the novitiates of Mt. Kouya.
context: At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake. response:	It's so cute how I care about my family.
context: even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family. response:	Breakfast, Let's eat!
context: *Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat! response:	See you later!
context: They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat!\See you later! response:	Oh, Yuki. What about school? *Once again studying in progress.*
context: But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.* response:	Today's make-up exam day.
context: GROSS!\What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day. response:	Those who don't have make-ups have the day off.
context: What the hell're you doing at this hour of the morning?!\Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off. response:	After lunch I'm going over to Arima's house...
context: Oh, but now you're awake.\It's so cute how I care about my family.\Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house... response:	Dammit, it's so frustrating how Yuki has no weaknesses.
context: It's so cute how I care about my family.\Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses. response:	I'm off! *Departure*
context: Breakfast, Let's eat!\See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure* response:	I have a fast-track lifestyle, but I'm still able to meet Arima.
context: See you later!\Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima. response:	I don't have feelings for anyone else the way I do for Arima.
context: Oh, Yuki. What about school? *Once again studying in progress.*\Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima. response:	Because I strove to be perfect, whenever I was with someone...
context: Today's make-up exam day.\Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone... response:	I had to be the one to push things along.
context: Those who don't have make-ups have the day off.\After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along. response:	Because Arima is the one person I can be on equal terms with...
context: After lunch I'm going over to Arima's house...\Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with... response:	Miyazawa, want to come over to my place on make-up exam day?
context: Dammit, it's so frustrating how Yuki has no weaknesses.\I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day? response:	I only have practice in the morning.
context: I'm off! *Departure*\I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning. response:	Sure, I'd love to!
context: I have a fast-track lifestyle, but I'm still able to meet Arima.\I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to! response:	No one else will be home that day.
context: I don't have feelings for anyone else the way I do for Arima.\Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day. response:	This is bad. This is BAD. This is REALLY bad!
context: Because I strove to be perfect, whenever I was with someone...\I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad! response:	Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.
context: I had to be the one to push things along.\Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives. response:	He's decent about that kind of thing.
context: Because Arima is the one person I can be on equal terms with...\Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing. response:	Hi. I was just in the shower. Come on in.
context: Miyazawa, want to come over to my place on make-up exam day?\I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in. response:	No way! Not Arima!
context: I only have practice in the morning.\Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima! response:	He just wanted to freshen up after practice...
context: Sure, I'd love to!\No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice... response:	Yeah, freshen up...
context: No one else will be home that day.\This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up... response:	But this feels different from the usual Arima!
context: This is bad. This is BAD. This is REALLY bad!\Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima! response:	when we'll be all alone in this huge house?!
context: Yeah, whatever. I'm sure Arima doesn't have any ulterior motives.\He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?! response:	He IS a guy, after all!
context: He's decent about that kind of thing.\Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all! response:	I feel tired...
context: Hi. I was just in the shower. Come on in.\No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired... response:	Here you go, Souichirou. Vegetable ramen.
context: No way! Not Arima!\He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen. response:	Hot foods are good for you in the summer.
context: He just wanted to freshen up after practice...\Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer. response:	Don't talk to me like a housewife.
context: Yeah, freshen up...\But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife. response:	Miyazawa, please sit, sit!
context: But this feels different from the usual Arima!\when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit! response:	Here's some iced tea.
context: when we'll be all alone in this huge house?!\He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea. response:	Stop playing the host!
context: He IS a guy, after all!\I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host! response:	Whaddya think? My cooking's delicious!
context: I feel tired...\Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious! response:	It's delicious!
context: Here you go, Souichirou. Vegetable ramen.\Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious! response:	Just the fact that a guy made it makes it taste bad.
context: Hot foods are good for you in the summer.\Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad. response:	Cooks and chefs are guys, too!
context: Don't talk to me like a housewife.\Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too! response:	And you're neither.
context: Miyazawa, please sit, sit!\Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither. response:	But, Asapin, I guess you hadn't been goofing off as much as I thought.
context: Here's some iced tea.\Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought. response:	If you're at home on make-up day, you must've studied a lot.
context: Stop playing the host!\Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot. response:	What? Make-up day?
context: Whaddya think? My cooking's delicious!\It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day? response:	I flunked most of my tests.
context: It's delicious!\Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests. response:	What the hell're you doin' standing around making ramen?!
context: Just the fact that a guy made it makes it taste bad.\Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?! response:	How the hell did you get into our school in the first place?
context: Cooks and chefs are guys, too!\And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place? response:	It's not too late! Get your ass to school!
context: And you're neither.\But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school! response:	Dressed like this?
context: But, Asapin, I guess you hadn't been goofing off as much as I thought.\If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this? response:	JUST GO!
context: If you're at home on make-up day, you must've studied a lot.\What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this?\JUST GO! response:	I'll buy some Jello on my way back!
context: What? Make-up day?\I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this?\JUST GO!\I'll buy some Jello on my way back! response:	Get going already!
context: I flunked most of my tests.\What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this?\JUST GO!\I'll buy some Jello on my way back!\Get going already! response:	Sorry this had to happen right when you got here.
context: What the hell're you doin' standing around making ramen?!\How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this?\JUST GO!\I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here. response:	I don't mind.
context: How the hell did you get into our school in the first place?\It's not too late! Get your ass to school!\Dressed like this?\JUST GO!\I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here.\I don't mind. response:	Want to go to my room?
context: It's not too late! Get your ass to school!\Dressed like this?\JUST GO!\I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room? response:	Sure! Arima!
context: Dressed like this?\JUST GO!\I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room?\Sure! Arima! response:	What is it?
context: JUST GO!\I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room?\Sure! Arima!\What is it? response:	Miyazawa...
context: I'll buy some Jello on my way back!\Get going already!\Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room?\Sure! Arima!\What is it?\Miyazawa... response:	I'll get some drinks, so you can head on up.
context: Get going already!\Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room?\Sure! Arima!\What is it?\Miyazawa...\I'll get some drinks, so you can head on up. response:	We're such glorified kids...
context: Sorry this had to happen right when you got here.\I don't mind.\Want to go to my room?\Sure! Arima!\What is it?\Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids... response:	I thought he was going to kiss me.
context: I don't mind.\Want to go to my room?\Sure! Arima!\What is it?\Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me. response:	We're often alone together,
context: Want to go to my room?\Sure! Arima!\What is it?\Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me.\We're often alone together, response:	but there hasn't been much in terms of progress.
context: Sure! Arima!\What is it?\Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress. response:	We've only kissed that one time.
context: What is it?\Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time. response:	Speaking of which, I wonder what's going on there.
context: Miyazawa...\I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there. response:	Oh, well.
context: I'll get some drinks, so you can head on up.\We're such glorified kids...\I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well. response:	There's books scattered all over.
context: We're such glorified kids...\I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over. response:	Must be Asapin's doing.
context: I thought he was going to kiss me.\We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over.\Must be Asapin's doing. response:	Romance of the Three Kingdoms, Kou'u and Ryuuhou...
context: We're often alone together,\but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou... response:	So Arima likes long historical novels.
context: but there hasn't been much in terms of progress.\We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels. response:	How cute.
context: We've only kissed that one time.\Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute. response:	Shiba, Ikenami, Yamamoto...
context: Speaking of which, I wonder what's going on there.\Oh, well.\There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto... response:	What's up?
context: Oh, well.\There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto...\What's up? response:	These books.
context: There's books scattered all over.\Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto...\What's up?\These books. response:	You want to borrow one?
context: Must be Asapin's doing.\Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto...\What's up?\These books.\You want to borrow one? response:	What kind of books do you read?
context: Romance of the Three Kingdoms, Kou'u and Ryuuhou...\So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto...\What's up?\These books.\You want to borrow one?\What kind of books do you read? response:	Money!
context: So Arima likes long historical novels.\How cute.\Shiba, Ikenami, Yamamoto...\What's up?\These books.\You want to borrow one?\What kind of books do you read?\Money! response:	Come to think of it...
context: How cute.\Shiba, Ikenami, Yamamoto...\What's up?\These books.\You want to borrow one?\What kind of books do you read?\Money!\Come to think of it... response:	What?
context: Shiba, Ikenami, Yamamoto...\What's up?\These books.\You want to borrow one?\What kind of books do you read?\Money!\Come to think of it...\What? response:	This is the first time I've been to your house besides study group.
context: What's up?\These books.\You want to borrow one?\What kind of books do you read?\Money!\Come to think of it...\What?\This is the first time I've been to your house besides study group. response:	Yeah, I guess you're right.
context: These books.\You want to borrow one?\What kind of books do you read?\Money!\Come to think of it...\What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right. response:	Your room's really nice.
context: You want to borrow one?\What kind of books do you read?\Money!\Come to think of it...\What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice. response:	It has its own A/C. I'm jealous!
context: What kind of books do you read?\Money!\Come to think of it...\What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous! response:	Morning practice must be really tough!
context: Money!\Come to think of it...\What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough! response:	I guess. The captain's a morning person, so...
context: Come to think of it...\What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so... response:	Wow, really?
context: What?\This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really? response:	Yeah, that's right.
context: This is the first time I've been to your house besides study group.\Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right. response:	I see.
context: Yeah, I guess you're right.\Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right.\I see. response:	Uh huh.
context: Your room's really nice.\It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right.\I see.\Uh huh. response:	Say!
context: It has its own A/C. I'm jealous!\Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right.\I see.\Uh huh.\Say! response:	Huh?!
context: Morning practice must be really tough!\I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right.\I see.\Uh huh.\Say!\Huh?! response:	Miyazawa, I was wondering...
context: I guess. The captain's a morning person, so...\Wow, really?\Yeah, that's right.\I see.\Uh huh.\Say!\Huh?!\Miyazawa, I was wondering... response:	do you just want some attention?
context: Wow, really?\Yeah, that's right.\I see.\Uh huh.\Say!\Huh?!\Miyazawa, I was wondering...\do you just want some attention? response:	Um, actually... yeah.
context: Yeah, that's right.\I see.\Uh huh.\Say!\Huh?!\Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah. response:	All right, here's some attention!
context: I see.\Uh huh.\Say!\Huh?!\Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah.\All right, here's some attention! response:	Hey, ow!
context: Uh huh.\Say!\Huh?!\Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah.\All right, here's some attention!\Hey, ow! response:	I guess I'm the only one who's showing their hand.
context: Say!\Huh?!\Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah.\All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand. response:	You're so cold.
context: Huh?!\Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah.\All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold. response:	I feel like I'm the only one expressing my love.
context: Miyazawa, I was wondering...\do you just want some attention?\Um, actually... yeah.\All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love. response:	I bet you don't really love me all that much.
context: do you just want some attention?\Um, actually... yeah.\All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much. response:	What?! How could you say that?!
