context: I love you, Haru. response:	I-I can't believe I just said that...
context: What?\What?!\Nuisance\Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared response:	to come down from the dresser now.
context: What?!\Nuisance\Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now. response:	You brought it back, Yoshida-kun!
context: Nuisance\Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun! response:	You never stop, Saeko.
context: Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko. response:	Hey, can we keep him at school?
context: We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school? response:	We had chicken coops at my grade school and middle school.
context: Oh, that would be dangerous.\The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school. response:	I think we had one at our middle school.
context: The cat will eat the rooster.\Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school. response:	Really?
context: Actually, my cat's too scared\to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really? response:	I never noticed anything.
context: to come down from the dresser now.\You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really?\I never noticed anything. response:	So Sensei, can you ask for permission?
context: You brought it back, Yoshida-kun!\You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really?\I never noticed anything.\So Sensei, can you ask for permission? response:	What?!
context: You never stop, Saeko.\Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really?\I never noticed anything.\So Sensei, can you ask for permission?\What?! response:	No way!
context: Hey, can we keep him at school?\We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really?\I never noticed anything.\So Sensei, can you ask for permission?\What?!\No way! response:	You kids have no idea how much of a pain those geezers are!
context: We had chicken coops at my grade school and middle school.\I think we had one at our middle school.\Really?\I never noticed anything.\So Sensei, can you ask for permission?\What?!\No way!\You kids have no idea how much of a pain those geezers are! response:	They gave permission...
context: I think we had one at our middle school.\Really?\I never noticed anything.\So Sensei, can you ask for permission?\What?!\No way!\You kids have no idea how much of a pain those geezers are!\They gave permission... response:	Hooray! Hooray!
context: Really?\I never noticed anything.\So Sensei, can you ask for permission?\What?!\No way!\You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray! response:	What? What?
context: I never noticed anything.\So Sensei, can you ask for permission?\What?!\No way!\You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray!\What? What? response:	Why?
context: So Sensei, can you ask for permission?\What?!\No way!\You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray!\What? What?\Why? response:	A-Anyway! You better take good care of it, Yoshida-kun!
context: What?!\No way!\You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray!\What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun! response:	I'm counting on you, Mizutani-san!
context: No way!\You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray!\What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san! response:	I knew it...
context: You kids have no idea how much of a pain those geezers are!\They gave permission...\Hooray! Hooray!\What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it... response:	Don't worry. I'll help.
context: They gave permission...\Hooray! Hooray!\What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help. response:	I can lend a hand,
context: Hooray! Hooray!\What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help.\I can lend a hand, response:	since it's kind of my fault.
context: What? What?\Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault. response:	You're a nice person, Sasahara-kun.
context: Why?\A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun. response:	You can call me Sasayan.
context: A-Anyway! You better take good care of it, Yoshida-kun!\I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan. response:	Sasayan-kun.
context: I'm counting on you, Mizutani-san!\I knew it...\Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun. response:	Library
context: I knew it...\Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun.\Library response:	Okay...
context: Don't worry. I'll help.\I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun.\Library\Okay... response:	That should cover everything.
context: I can lend a hand,\since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun.\Library\Okay...\That should cover everything. response:	We just need to figure out what
context: since it's kind of my fault.\You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun.\Library\Okay...\That should cover everything.\We just need to figure out what response:	Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop
context: You're a nice person, Sasahara-kun.\You can call me Sasayan.\Sasayan-kun.\Library\Okay...\That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop response:	we're doing about the chicken coop.
context: You can call me Sasayan.\Sasayan-kun.\Library\Okay...\That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop. response:	Mizutani Shizuku-san,
context: Sasayan-kun.\Library\Okay...\That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san, response:	please participate.
context: Library\Okay...\That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate. response:	Gulp.
context: Okay...\That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate.\Gulp. response:	How do you build a chicken coop?
context: That should cover everything.\We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate.\Gulp.\How do you build a chicken coop? response:	Oh, I can look that up.
context: We just need to figure out what\Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate.\Gulp.\How do you build a chicken coop?\Oh, I can look that up. response:	You can find anything on the Internet.
context: Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate.\Gulp.\How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet. response:	There's a hardware store near my home.
context: we're doing about the chicken coop.\Mizutani Shizuku-san,\please participate.\Gulp.\How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home. response:	I could go buy the materials.
context: Mizutani Shizuku-san,\please participate.\Gulp.\How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials. response:	L-Let's go together!
context: please participate.\Gulp.\How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials.\L-Let's go together! response:	We can all go over the weekend!
context: Gulp.\How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials.\L-Let's go together!\We can all go over the weekend! response:	The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop
context: How do you build a chicken coop?\Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials.\L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop response:	Sure, I guess...
context: Oh, I can look that up.\You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials.\L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess... response:	Mind if we go after my practice?
context: You can find anything on the Internet.\There's a hardware store near my home.\I could go buy the materials.\L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice? response:	Spending the weekend with classmates...
context: There's a hardware store near my home.\I could go buy the materials.\L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates... response:	That's perfectly okay!
context: I could go buy the materials.\L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay! response:	Now that that's set,
context: L-Let's go together!\We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay!\Now that that's set, response:	it's time for the next step!
context: We can all go over the weekend!\The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay!\Now that that's set,\it's time for the next step! response:	Next step?
context: The School Rooster Committee Kick-off Meeting Name: Nagoya Clothing: Feathers Food: Chicken feed Shelter: Chicken coop\Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay!\Now that that's set,\it's time for the next step!\Next step? response:	Choosing a meeting place!
context: Sure, I guess...\Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay!\Now that that's set,\it's time for the next step!\Next step?\Choosing a meeting place! response:	You know, a location and time!
context: Mind if we go after my practice?\Spending the weekend with classmates...\That's perfectly okay!\Now that that's set,\it's time for the next step!\Next step?\Choosing a meeting place!\You know, a location and time! response:	So...
context: Spending the weekend with classmates...\That's perfectly okay!\Now that that's set,\it's time for the next step!\Next step?\Choosing a meeting place!\You know, a location and time!\So... response:	Wanna go out?
context: That's perfectly okay!\Now that that's set,\it's time for the next step!\Next step?\Choosing a meeting place!\You know, a location and time!\So...\Wanna go out? response:	N-No... I was lying.
context: Now that that's set,\it's time for the next step!\Next step?\Choosing a meeting place!\You know, a location and time!\So...\Wanna go out?\N-No... I was lying. response:	I feel much, much better.
context: it's time for the next step!\Next step?\Choosing a meeting place!\You know, a location and time!\So...\Wanna go out?\N-No... I was lying.\I feel much, much better. response:	Should I have accepted?
context: Next step?\Choosing a meeting place!\You know, a location and time!\So...\Wanna go out?\N-No... I was lying.\I feel much, much better.\Should I have accepted? response:	But that was a spur-of-the-moment confession on my part.
context: Choosing a meeting place!\You know, a location and time!\So...\Wanna go out?\N-No... I was lying.\I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part. response:	What's wrong with me?
context: You know, a location and time!\So...\Wanna go out?\N-No... I was lying.\I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me? response:	In any case, it's clear that
context: So...\Wanna go out?\N-No... I was lying.\I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that response:	he wasn't happy about my feelings.
context: Wanna go out?\N-No... I was lying.\I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings. response:	Misawa Batting Center
context: N-No... I was lying.\I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center response:	Ah.
context: I feel much, much better.\Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center\Ah. response:	You're early.
context: Should I have accepted?\But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center\Ah.\You're early. response:	Oh, yeah.
context: But that was a spur-of-the-moment confession on my part.\What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center\Ah.\You're early.\Oh, yeah. response:	We got out of practice early.
context: What's wrong with me?\In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center\Ah.\You're early.\Oh, yeah.\We got out of practice early. response:	W-Want to wait inside?
context: In any case, it's clear that\he wasn't happy about my feelings.\Misawa Batting Center\Ah.\You're early.\Oh, yeah.\We got out of practice early.\W-Want to wait inside? response:	Sure.
context: he wasn't happy about my feelings.\Misawa Batting Center\Ah.\You're early.\Oh, yeah.\We got out of practice early.\W-Want to wait inside?\Sure. response:	Right, I don't like being alone with boys.
context: Misawa Batting Center\Ah.\You're early.\Oh, yeah.\We got out of practice early.\W-Want to wait inside?\Sure.\Right, I don't like being alone with boys. response:	Huh?
context: Ah.\You're early.\Oh, yeah.\We got out of practice early.\W-Want to wait inside?\Sure.\Right, I don't like being alone with boys.\Huh? response:	And don't come back.
context: You're early.\Oh, yeah.\We got out of practice early.\W-Want to wait inside?\Sure.\Right, I don't like being alone with boys.\Huh?\And don't come back. response:	Did you see that?
context: Oh, yeah.\We got out of practice early.\W-Want to wait inside?\Sure.\Right, I don't like being alone with boys.\Huh?\And don't come back.\Did you see that? response:	He was pretty handsome.
context: We got out of practice early.\W-Want to wait inside?\Sure.\Right, I don't like being alone with boys.\Huh?\And don't come back.\Did you see that?\He was pretty handsome. response:	Yo.
context: W-Want to wait inside?\Sure.\Right, I don't like being alone with boys.\Huh?\And don't come back.\Did you see that?\He was pretty handsome.\Yo. response:	'Sup, baseballer.
context: Sure.\Right, I don't like being alone with boys.\Huh?\And don't come back.\Did you see that?\He was pretty handsome.\Yo.\'Sup, baseballer. response:	Huh? Do you know him, Sasahara-kun?
context: Right, I don't like being alone with boys.\Huh?\And don't come back.\Did you see that?\He was pretty handsome.\Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun? response:	Yep, I come here all the time.
context: Huh?\And don't come back.\Did you see that?\He was pretty handsome.\Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time. response:	What? Are you also one of Haru's friends?
context: And don't come back.\Did you see that?\He was pretty handsome.\Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends? response:	We're in the same class.
context: Did you see that?\He was pretty handsome.\Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class. response:	I'll go take a few swings.
context: He was pretty handsome.\Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings. response:	Sure.
context: Yo.\'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings.\Sure. response:	Hmm? What is it?
context: 'Sup, baseballer.\Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings.\Sure.\Hmm? What is it? response:	You shouldn't lend strange people money.
context: Huh? Do you know him, Sasahara-kun?\Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings.\Sure.\Hmm? What is it?\You shouldn't lend strange people money. response:	Huh?
context: Yep, I come here all the time.\What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings.\Sure.\Hmm? What is it?\You shouldn't lend strange people money.\Huh? response:	Yo, Natsume.
context: What? Are you also one of Haru's friends?\We're in the same class.\I'll go take a few swings.\Sure.\Hmm? What is it?\You shouldn't lend strange people money.\Huh?\Yo, Natsume. response:	You're supposed to hold the bat like this.
context: We're in the same class.\I'll go take a few swings.\Sure.\Hmm? What is it?\You shouldn't lend strange people money.\Huh?\Yo, Natsume.\You're supposed to hold the bat like this. response:	Huh? What?
context: I'll go take a few swings.\Sure.\Hmm? What is it?\You shouldn't lend strange people money.\Huh?\Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What? response:	S-Sorry!
context: Sure.\Hmm? What is it?\You shouldn't lend strange people money.\Huh?\Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What?\S-Sorry! response:	My brother broke my alarm clock...
context: Hmm? What is it?\You shouldn't lend strange people money.\Huh?\Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What?\S-Sorry!\My brother broke my alarm clock... response:	Granny clothes.
context: You shouldn't lend strange people money.\Huh?\Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What?\S-Sorry!\My brother broke my alarm clock...\Granny clothes. response:	Hardware
context: Huh?\Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What?\S-Sorry!\My brother broke my alarm clock...\Granny clothes.\Hardware response:	Absolutely not!
context: Yo, Natsume.\You're supposed to hold the bat like this.\Huh? What?\S-Sorry!\My brother broke my alarm clock...\Granny clothes.\Hardware\Absolutely not! response:	Why not?!
context: You're supposed to hold the bat like this.\Huh? What?\S-Sorry!\My brother broke my alarm clock...\Granny clothes.\Hardware\Absolutely not!\Why not?! response:	It's so cool!
context: Huh? What?\S-Sorry!\My brother broke my alarm clock...\Granny clothes.\Hardware\Absolutely not!\Why not?!\It's so cool! response:	There isn't enough money in the federal budget!
context: S-Sorry!\My brother broke my alarm clock...\Granny clothes.\Hardware\Absolutely not!\Why not?!\It's so cool!\There isn't enough money in the federal budget! response:	Borrow money! Take out a mortgage!
context: My brother broke my alarm clock...\Granny clothes.\Hardware\Absolutely not!\Why not?!\It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage! response:	No! Roosters can't find work!
context: Granny clothes.\Hardware\Absolutely not!\Why not?!\It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work! response:	I've had enough.
context: Hardware\Absolutely not!\Why not?!\It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough. response:	Let's leave them here and go look for materials.
context: Absolutely not!\Why not?!\It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials. response:	Sounds good.
context: Why not?!\It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials.\Sounds good. response:	Gold... Gold... Gold...
context: It's so cool!\There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold... response:	Brown... Black...
context: There isn't enough money in the federal budget!\Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold...\Brown... Black... response:	Excuse me.
context: Borrow money! Take out a mortgage!\No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold...\Brown... Black...\Excuse me. response:	Hey! Aren't you...
context: No! Roosters can't find work!\I've had enough.\Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold...\Brown... Black...\Excuse me.\Hey! Aren't you... response:	I-It's them!
context: I've had enough.\Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold...\Brown... Black...\Excuse me.\Hey! Aren't you...\I-It's them! response:	Perfect timing.
context: Let's leave them here and go look for materials.\Sounds good.\Gold... Gold... Gold...\Brown... Black...\Excuse me.\Hey! Aren't you...\I-It's them!\Perfect timing. response:	We need to talk to you.
context: Sounds good.\Gold... Gold... Gold...\Brown... Black...\Excuse me.\Hey! Aren't you...\I-It's them!\Perfect timing.\We need to talk to you. response:	Mizutani-san, how big should the...
context: Gold... Gold... Gold...\Brown... Black...\Excuse me.\Hey! Aren't you...\I-It's them!\Perfect timing.\We need to talk to you.\Mizutani-san, how big should the... response:	Sasayan-kun.
context: Brown... Black...\Excuse me.\Hey! Aren't you...\I-It's them!\Perfect timing.\We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun. response:	A-Am I interrupting something?
context: Excuse me.\Hey! Aren't you...\I-It's them!\Perfect timing.\We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something? response:	Who's the twerp?
context: Hey! Aren't you...\I-It's them!\Perfect timing.\We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something?\Who's the twerp? response:	What do you jerks think you're doing?!
context: I-It's them!\Perfect timing.\We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?! response:	Run, Mizutani-san!
context: Perfect timing.\We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san! response:	That was scary.
context: We need to talk to you.\Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary. response:	I thought you were going to fight them.
context: Mizutani-san, how big should the...\Sasayan-kun.\A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary.\I thought you were going to fight them. response:	That's crazy talk.
context: Sasayan-kun.\A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary.\I thought you were going to fight them.\That's crazy talk. response:	I've never been in a fight in my life.
context: A-Am I interrupting something?\Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary.\I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life. response:	Let's get out of this place.
context: Who's the twerp?\What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary.\I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place. response:	Hey! Wait up!
