context: Rule the Court Aoba Johsai High School Volleyball Club response:	What? Again?
context: How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything response:	there is to know about Seijoh's team,
context: Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team, response:	Oikawa, one more!
context: Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more! response:	Nice serve!
context: They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more!\Nice serve! response:	and is helping them bring out their A-game.
context: I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more!\Nice serve!\and is helping them bring out their A-game. response:	The Great King is so awesome!
context: I mean, they're in Seijoh.\Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more!\Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome! response:	I want to hurry up and play him!
context: Right.\I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more!\Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him! response:	Yeah! I hope he aims his serves at me!
context: I think it's just that Oikawa knows everything\there is to know about Seijoh's team,\Oikawa, one more!\Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me! response:	I totally want to get them!
context: there is to know about Seijoh's team,\Oikawa, one more!\Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them! response:	Noya-san's awesome, too!
context: Oikawa, one more!\Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too! response:	Well, isn't that promising...
context: Nice serve!\and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising... response:	Hey, look, Shoyo!
context: and is helping them bring out their A-game.\The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo! response:	A TV crew's here!
context: The Great King is so awesome!\I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here! response:	TV?! Awesome! I wanna be on TV, too!
context: I want to hurry up and play him!\Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too! response:	Hey, now...
context: Yeah! I hope he aims his serves at me!\I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now... response:	You two junior high
context: I totally want to get them!\Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high response:	Maybe you're grade school kids? Quiet down a little.
context: Noya-san's awesome, too!\Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little. response:	Grade...
context: Well, isn't that promising...\Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade... response:	Sorry...
context: Hey, look, Shoyo!\A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry... response:	Aoba Johsai Omisaki
context: A TV crew's here!\TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry...\Aoba Johsai Omisaki response:	It's so quiet.
context: TV?! Awesome! I wanna be on TV, too!\Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry...\Aoba Johsai Omisaki\It's so quiet. response:	Everyone's out cold.
context: Hey, now...\You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry...\Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold. response:	Well, they did play two matches.
context: You two junior high\Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry...\Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold.\Well, they did play two matches. response:	Plus they won both straight-set wins, so that's not bad.
context: Maybe you're grade school kids? Quiet down a little.\Grade...\Sorry...\Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad. response:	If they keep winning starting tomorrow,
context: Grade...\Sorry...\Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow, response:	not only will they have two matches a day,
context: Sorry...\Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day, response:	but their opponents will continue to get stronger.
context: Aoba Johsai Omisaki\It's so quiet.\Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger. response:	We'll have to bolster their morale every time.
context: It's so quiet.\Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time. response:	Right.
context: Everyone's out cold.\Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right. response:	All right, we're going to have a meeting.
context: Well, they did play two matches.\Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting. response:	Right.
context: Plus they won both straight-set wins, so that's not bad.\If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting.\Right. response:	Takeda-sensei!
context: If they keep winning starting tomorrow,\not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting.\Right.\Takeda-sensei! response:	The volleyball club is on TV!
context: not only will they have two matches a day,\but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting.\Right.\Takeda-sensei!\The volleyball club is on TV! response:	TV?!
context: but their opponents will continue to get stronger.\We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting.\Right.\Takeda-sensei!\The volleyball club is on TV!\TV?! response:	Please excuse us!
context: We'll have to bolster their morale every time.\Right.\All right, we're going to have a meeting.\Right.\Takeda-sensei!\The volleyball club is on TV!\TV?!\Please excuse us! response:	Faculty Room
context: Right.\All right, we're going to have a meeting.\Right.\Takeda-sensei!\The volleyball club is on TV!\TV?!\Please excuse us!\Faculty Room response:	National High School Volleyball Miyagi Prefecture Preliminaries
context: All right, we're going to have a meeting.\Right.\Takeda-sensei!\The volleyball club is on TV!\TV?!\Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries response:	Now, then...
context: Right.\Takeda-sensei!\The volleyball club is on TV!\TV?!\Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then... response:	The first and second matches of the Miyagi Prefecture Preliminaries for
context: Takeda-sensei!\The volleyball club is on TV!\TV?!\Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for response:	Oh!
context: The volleyball club is on TV!\TV?!\Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh! response:	It's really on!
context: TV?!\Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on! response:	TV!
context: Please excuse us!\Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on!\TV! response:	It's just the local news.
context: Faculty Room\National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on!\TV!\It's just the local news. response:	the Inter-High School National Sporting Competition Volleyball Tournament
context: National High School Volleyball Miyagi Prefecture Preliminaries\Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on!\TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament response:	Shut up!
context: Now, then...\The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on!\TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up! response:	were held, and heated matches ensued.
context: The first and second matches of the Miyagi Prefecture Preliminaries for\Oh!\It's really on!\TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued. response:	TV is TV!
context: Oh!\It's really on!\TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued.\TV is TV! response:	Shiratorizawa Academy vs. Oginnami High School
context: It's really on!\TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School response:	First, in the I Block,
context: TV!\It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block, response:	we have the ace player, Ushijima Wakatoshi-kun,
context: It's just the local news.\the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun, response:	leading the reigning champions at Shiratorizawa Academy in their first game.
context: the Inter-High School National Sporting Competition Volleyball Tournament\Shut up!\were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game. response:	They played against Oginnami High School, winning 25 to 10 in their first set,
context: Shut up!\were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set, response:	Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School
context: were held, and heated matches ensued.\TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School response:	and 25 to 6 in their second set,
context: TV is TV!\Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set, response:	not giving their opponents the slightest chance against them.
context: Shiratorizawa Academy vs. Oginnami High School\First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them. response:	They showed everyone why they're the reigning champions.
context: First, in the I Block,\we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions. response:	25 to 6?
context: we have the ace player, Ushijima Wakatoshi-kun,\leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6? response:	Will they be able to make it to nationals once again
context: leading the reigning champions at Shiratorizawa Academy in their first game.\They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again response:	or will a team appear that can stop them?
context: They played against Oginnami High School, winning 25 to 10 in their first set,\Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them? response:	It'll be worth seeing.
context: Inter-High School National Sporting Competition Volleyball Tournament Miyagi Prefecture Preliminaries I Block Shiratorizawa Academy vs. Oginnami High School\and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing. response:	Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block
context: and 25 to 6 in their second set,\not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block response:	Next, the A Block is also drawing interest.
context: not giving their opponents the slightest chance against them.\They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest. response:	That's the gym we played at today!
context: They showed everyone why they're the reigning champions.\25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today! response:	Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block
context: 25 to 6?\Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block response:	A player you should definitely watch out for is Aoba Johsai High School's
context: Will they be able to make it to nationals once again\or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's response:	team captain, Oikawa Toru-kun.
context: or will a team appear that can stop them?\It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun. response:	His dashing good looks draw in female fans,
context: It'll be worth seeing.\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans, response:	so he's a player with both skill and popularity to spare.
context: Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare. response:	Oikawa-san! So cute!
context: Next, the A Block is also drawing interest.\That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute! response:	Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block
context: That's the gym we played at today!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block response:	Tomorrow, going up against Aoba Johsai
context: Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai response:	is a team that sped to an unbelievable straight-set victory against Date Tech
context: A player you should definitely watch out for is Aoba Johsai High School's\team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech response:	who were expected to place in the tournament's top eight
context: team captain, Oikawa Toru-kun.\His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight response:	the powerhouse, Karasuno High School.
context: His dashing good looks draw in female fans,\so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School. response:	We're gonna be on!
context: so he's a player with both skill and popularity to spare.\Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on! response:	We asked him what he thought about his opponent, Karasuno High School,
context: Oikawa-san! So cute!\Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on!\We asked him what he thought about his opponent, Karasuno High School, response:	who he'll be facing in the third match.
context: Inter-High School National Volleyball Tournament Prefectural Preliminaries A Block\Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on!\We asked him what he thought about his opponent, Karasuno High School,\who he'll be facing in the third match. response:	Q: What do you think of your opponents for the third match?
context: Tomorrow, going up against Aoba Johsai\is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on!\We asked him what he thought about his opponent, Karasuno High School,\who he'll be facing in the third match.\Q: What do you think of your opponents for the third match? response:	They're a great team.
context: is a team that sped to an unbelievable straight-set victory against Date Tech\who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on!\We asked him what he thought about his opponent, Karasuno High School,\who he'll be facing in the third match.\Q: What do you think of your opponents for the third match?\They're a great team. response:	I hope...
context: who were expected to place in the tournament's top eight\the powerhouse, Karasuno High School.\We're gonna be on!\We asked him what he thought about his opponent, Karasuno High School,\who he'll be facing in the third match.\Q: What do you think of your opponents for the third match?\They're a great team.\I hope... response:	There'll definitely be more heated matches tomorrow.
